266908  , -73555.2    , array([ 0.0238989  ,  0.0639062  ,  4.22722e-39,  4.05706e-47,  0.0191531  ])
266909  , -73601.2    , array([ 0.0238989  ,  0.0639062  ,  4.22722e-39,  4.053e-47  ,  0.0191722  ])
266910  , -108871     , array([ 0.0401444  ,  0.0158953  ,  4.22722e-39,  4.053e-47  ,  0.0362753  ])
266911  , -108871     , array([ 0.0401444  ,  0.0158953  ,  4.22722e-39,  4.053e-47  ,  0.0362753  ])
266912  , -108822     , array([ 0.0401846  ,  0.0158953  ,  4.22722e-39,  4.053e-47  ,  0.0362753  ])
266913  , -108796     , array([ 0.0401444  ,  0.0159112  ,  4.22722e-39,  4.053e-47  ,  0.0362753  ])
266914  , -108871     , array([ 0.0401444  ,  0.0158953  ,  4.23145e-39,  4.053e-47  ,  0.0362753  ])
266915  , -108871     , array([ 0.0401444  ,  0.0158953  ,  4.22722e-39,  4.05706e-47,  0.0362753  ])
266916  , -108987     , array([ 0.0401444  ,  0.0158953  ,  4.22722e-39,  4.053e-47  ,  0.0363116  ])
266917  , -68563.8    , array([ 0.027767   ,  0.0427328  ,  4.22722e-39,  4.053e-47  ,  0.0230392  ])
266918  , -68563.8    , array([ 0.027767   ,  0.0427328  ,  4.22722e-39,  4.053e-47  ,  0.0230392  ])
266919  , -68500.8    , array([ 0.0277948  ,  0.0427328  ,  4.22722e-39,  4.053e-47  ,  0.0230392  ])
266920  , -68568.1    , array([ 0.027767   ,  0.0427756  ,  4.22722e-39,  4.053e-47  ,  0.0230392  ])
266921  , -68563.8    , array([ 0.027767   ,  0.0427328  ,  4.23145e-39,  4.053e-47  ,  0.0230392  ])
266922  , -68563.8    , array([ 0.027767   ,  0.0427328  ,  4.22722e-39,  4.05706e-47,  0.0230392  ])
266923  , -68616.3    , array([ 0.027767   ,  0.0427328  ,  4.22722e-39,  4.053e-47  ,  0.0230622  ])
266931  , -68556.9    , array([ 0.0277208  ,  0.0426422  ,  4.22722e-39,  4.053e-47  ,  0.0229943  ])
266932  , -68556.9    , array([ 0.0277208  ,  0.0426422  ,  4.22722e-39,  4.053e-47  ,  0.0229943  ])
266933  , -68494      , array([ 0.0277485  ,  0.0426422  ,  4.22722e-39,  4.053e-47  ,  0.0229943  ])
266934  , -68561.3    , array([ 0.0277208  ,  0.0426848  ,  4.22722e-39,  4.053e-47  ,  0.0229943  ])
266935  , -68556.9    , array([ 0.0277208  ,  0.0426422  ,  4.23145e-39,  4.053e-47  ,  0.0229943  ])
266936  , -68556.9    , array([ 0.0277208  ,  0.0426422  ,  4.22722e-39,  4.05706e-47,  0.0229943  ])
266937  , -68609.5    , array([ 0.0277208  ,  0.0426422  ,  4.22722e-39,  4.053e-47  ,  0.0230173  ])
266938  , -68550.1    , array([ 0.0276746  ,  0.0425516  ,  4.22722e-39,  4.053e-47  ,  0.0229494  ])
266939  , -68550.1    , array([ 0.0276746  ,  0.0425516  ,  4.22722e-39,  4.053e-47  ,  0.0229494  ])
266940  , -68487.1    , array([ 0.0277023  ,  0.0425516  ,  4.22722e-39,  4.053e-47  ,  0.0229494  ])
266941  , -68554.4    , array([ 0.0276746  ,  0.0425942  ,  4.22722e-39,  4.053e-47  ,  0.0229494  ])
266942  , -68550.1    , array([ 0.0276746  ,  0.0425516  ,  4.23145e-39,  4.053e-47  ,  0.0229494  ])
266943  , -68550.1    , array([ 0.0276746  ,  0.0425516  ,  4.22722e-39,  4.05706e-47,  0.0229494  ])
266944  , -68602.6    , array([ 0.0276746  ,  0.0425516  ,  4.22722e-39,  4.053e-47  ,  0.0229724  ])
266952  , -68548.3    , array([ 0.0276631  ,  0.042529   ,  4.22722e-39,  4.053e-47  ,  0.0229382  ])
266953  , -68548.3    , array([ 0.0276631  ,  0.042529   ,  4.22722e-39,  4.053e-47  ,  0.0229382  ])
266954  , -68485.4    , array([ 0.0276908  ,  0.042529   ,  4.22722e-39,  4.053e-47  ,  0.0229382  ])
266955  , -68552.7    , array([ 0.0276631  ,  0.0425715  ,  4.22722e-39,  4.053e-47  ,  0.0229382  ])
266956  , -68548.3    , array([ 0.0276631  ,  0.042529   ,  4.23145e-39,  4.053e-47  ,  0.0229382  ])
266957  , -68548.3    , array([ 0.0276631  ,  0.042529   ,  4.22722e-39,  4.05706e-47,  0.0229382  ])
266958  , -68600.9    , array([ 0.0276631  ,  0.042529   ,  4.22722e-39,  4.053e-47  ,  0.0229612  ])
266959  , -68546.6    , array([ 0.0276515  ,  0.0425063  ,  4.22722e-39,  4.053e-47  ,  0.022927   ])
266960  , -68546.6    , array([ 0.0276515  ,  0.0425063  ,  4.22722e-39,  4.053e-47  ,  0.022927   ])
