Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-396.8	801.6	604.08	5577.58	30.0,1.3268,12.1506,3.0638
our_model	Round_1_Replicate_2	-397.96	803.92	606.2	6337.26	30.0,1.1663,9.3472,2.5995
our_model	Round_1_Replicate_3	-395.49	798.98	600.74	46656.2	1.7178,0.1595,0.5547,0.3586
our_model	Round_1_Replicate_4	-395.36	798.72	600.65	23438.21	2.4167,0.3174,5.5837,0.6961
our_model	Round_1_Replicate_5	-395.14	798.28	600.21	48125.69	1.1205,0.1546,27.7143,0.3412
our_model	Round_1_Replicate_6	-395.52	799.04	601.69	8048.82	30.0,0.921,9.4283,2.3138
our_model	Round_1_Replicate_7	-395.52	799.04	600.66	21486.63	2.3755,0.3466,30.0,0.743
our_model	Round_1_Replicate_8	-394.0	796.0	598.15	31734.51	3.4667,0.2348,3.678,0.6325
our_model	Round_1_Replicate_9	-396.27	800.54	603.08	44101.35	1.0292,0.1679,30.0,0.3351
our_model	Round_1_Replicate_10	-395.63	799.26	600.81	27439.88	2.964,0.2714,2.4461,0.6206
our_model	Round_2_Replicate_1	-394.12	796.24	598.33	19491.74	3.8723,0.3823,10.5296,0.9689
our_model	Round_2_Replicate_2	-399.69	807.38	609.35	13218.07	30.0,0.5583,3.1799,1.1973
our_model	Round_2_Replicate_3	-393.27	794.54	597.46	52418.4	29.9998,0.1419,2.568,0.4967
our_model	Round_2_Replicate_4	-396.73	801.46	603.94	18142.46	30.0,0.408,2.6718,0.9688
our_model	Round_2_Replicate_5	-393.96	795.92	598.94	41950.68	1.9272,0.177,3.7573,0.4568
our_model	Round_2_Replicate_6	-394.2	796.4	598.44	27508.91	2.9218,0.2709,5.3687,0.6873
our_model	Round_2_Replicate_7	-393.64	795.28	598.15	49401.09	1.7982,0.1505,5.2917,0.4122
our_model	Round_2_Replicate_8	-394.25	796.5	598.55	44396.34	1.5279,0.1678,5.8381,0.4132
our_model	Round_2_Replicate_9	-393.17	794.34	597.28	42890.66	7.0788,0.1735,4.9988,0.6049
our_model	Round_2_Replicate_10	-395.49	798.98	600.76	45630.52	1.4987,0.1631,0.7746,0.3629
our_model	Round_2_Replicate_11	-395.48	798.96	601.62	15026.64	30.0,0.4933,4.3534,1.2614
our_model	Round_2_Replicate_12	-399.57	807.14	609.15	9689.75	30.0,0.7616,4.9092,1.6393
our_model	Round_2_Replicate_13	-394.08	796.16	598.46	24781.73	2.8838,0.3005,11.7291,0.7557
our_model	Round_2_Replicate_14	-393.3	794.6	597.51	47700.76	29.7862,0.1559,2.7979,0.5398
our_model	Round_2_Replicate_15	-394.46	796.92	599.7	31458.5	29.9953,0.236,1.9522,0.6522
our_model	Round_2_Replicate_16	-393.64	795.28	598.16	41085.13	29.9054,0.181,2.1896,0.5666
our_model	Round_2_Replicate_17	-395.2	798.4	601.1	18470.95	30.0,0.4015,3.4857,1.0465
our_model	Round_2_Replicate_18	-396.42	800.84	603.36	16250.38	30.0,0.4556,3.3036,1.1017
our_model	Round_2_Replicate_19	-395.11	798.22	600.17	48796.16	1.1093,0.1525,28.5546,0.3372
our_model	Round_2_Replicate_20	-396.45	800.9	603.43	23394.81	1.9026,0.3165,30.0,0.624
