169741  , -40750.2    , array([ 0.0295434  ,  0.0011845  ,  2.36156e-30,  0.000539883,  5.67343e-05])
169742  , -40747.9    , array([ 0.0295378  ,  0.00118396 ,  2.36156e-30,  0.000539883,  5.67143e-05])
169743  , -40747.9    , array([ 0.0295378  ,  0.00118396 ,  2.36156e-30,  0.000539883,  5.67143e-05])
169744  , -40748.5    , array([ 0.0295673  ,  0.00118396 ,  2.36156e-30,  0.000539883,  5.67143e-05])
169745  , -40772.4    , array([ 0.0295378  ,  0.00118515 ,  2.36156e-30,  0.000539883,  5.67143e-05])
169746  , -40747.9    , array([ 0.0295378  ,  0.00118396 ,  2.36393e-30,  0.000539883,  5.67143e-05])
169747  , -40747.9    , array([ 0.0295378  ,  0.00118396 ,  2.36156e-30,  0.000540423,  5.67143e-05])
169748  , -40722.8    , array([ 0.0295378  ,  0.00118396 ,  2.36156e-30,  0.000539883,  5.6771e-05 ])
169749  , -40720.4    , array([ 0.0295321  ,  0.00118343 ,  2.36156e-30,  0.000539883,  5.6751e-05 ])
169750  , -40720.4    , array([ 0.0295321  ,  0.00118343 ,  2.36156e-30,  0.000539883,  5.6751e-05 ])
169751  , -40721      , array([ 0.0295616  ,  0.00118343 ,  2.36156e-30,  0.000539883,  5.6751e-05 ])
169752  , -40745      , array([ 0.0295321  ,  0.00118461 ,  2.36156e-30,  0.000539883,  5.6751e-05 ])
169753  , -40720.4    , array([ 0.0295321  ,  0.00118343 ,  2.36393e-30,  0.000539883,  5.6751e-05 ])
169754  , -40720.4    , array([ 0.0295321  ,  0.00118343 ,  2.36156e-30,  0.000540423,  5.6751e-05 ])
169755  , -40695.3    , array([ 0.0295321  ,  0.00118343 ,  2.36156e-30,  0.000539883,  5.68078e-05])
169763  , -40713.6    , array([ 0.0295307  ,  0.00118329 ,  2.36156e-30,  0.000539883,  5.67602e-05])
169764  , -40713.6    , array([ 0.0295307  ,  0.00118329 ,  2.36156e-30,  0.000539883,  5.67602e-05])
169765  , -40714.2    , array([ 0.0295602  ,  0.00118329 ,  2.36156e-30,  0.000539883,  5.67602e-05])
