206252  , -50829.5    , array([ 0.0239455  ,  0.21856    ,  1.57598e-12,  2.14091    ,  0.00433679 ])
206253  , -50829.9    , array([ 0.0239455  ,  0.21856    ,  1.5744e-12 ,  2.14305    ,  0.00433679 ])
206254  , -50840.5    , array([ 0.0239455  ,  0.21856    ,  1.5744e-12 ,  2.14091    ,  0.00434113 ])
206262  , -50823.6    , array([ 0.0239515  ,  0.218425   ,  1.5744e-12 ,  2.14088    ,  0.00433823 ])
206263  , -50823.6    , array([ 0.0239515  ,  0.218425   ,  1.5744e-12 ,  2.14088    ,  0.00433823 ])
206264  , -50803.8    , array([ 0.0239755  ,  0.218425   ,  1.5744e-12 ,  2.14088    ,  0.00433823 ])
206265  , -50831      , array([ 0.0239515  ,  0.218644   ,  1.5744e-12 ,  2.14088    ,  0.00433823 ])
206266  , -50823.6    , array([ 0.0239515  ,  0.218425   ,  1.57598e-12,  2.14088    ,  0.00433823 ])
206267  , -50823.9    , array([ 0.0239515  ,  0.218425   ,  1.5744e-12 ,  2.14302    ,  0.00433823 ])
206268  , -50834.5    , array([ 0.0239515  ,  0.218425   ,  1.5744e-12 ,  2.14088    ,  0.00434257 ])
206269  , -50817.6    , array([ 0.0239576  ,  0.218291   ,  1.5744e-12 ,  2.14084    ,  0.00433966 ])
206270  , -50817.6    , array([ 0.0239576  ,  0.218291   ,  1.5744e-12 ,  2.14084    ,  0.00433966 ])
206271  , -50797.8    , array([ 0.0239816  ,  0.218291   ,  1.5744e-12 ,  2.14084    ,  0.00433966 ])
206272  , -50825      , array([ 0.0239576  ,  0.218509   ,  1.5744e-12 ,  2.14084    ,  0.00433966 ])
206273  , -50817.6    , array([ 0.0239576  ,  0.218291   ,  1.57598e-12,  2.14084    ,  0.00433966 ])
206274  , -50817.9    , array([ 0.0239576  ,  0.218291   ,  1.5744e-12 ,  2.14298    ,  0.00433966 ])
206275  , -50828.5    , array([ 0.0239576  ,  0.218291   ,  1.5744e-12 ,  2.14084    ,  0.00434401 ])
206276  , -64960.6    , array([ 0.0852615  ,  0.00997982 ,  1.5744e-12 ,  1.98237    ,  0.022776   ])
206277  , -64960.6    , array([ 0.0852615  ,  0.00997982 ,  1.5744e-12 ,  1.98237    ,  0.022776   ])
206278  , -64946.7    , array([ 0.0853468  ,  0.00997982 ,  1.5744e-12 ,  1.98237    ,  0.022776   ])
206279  , -64897.1    , array([ 0.0852615  ,  0.0099898  ,  1.5744e-12 ,  1.98237    ,  0.022776   ])
206280  , -64960.6    , array([ 0.0852615  ,  0.00997982 ,  1.57598e-12,  1.98237    ,  0.022776   ])
206281  , -64951.6    , array([ 0.0852615  ,  0.00997982 ,  1.5744e-12 ,  1.98435    ,  0.022776   ])
206282  , -65025.1    , array([ 0.0852615  ,  0.00997982 ,  1.5744e-12 ,  1.98237    ,  0.0227988  ])
206283  , -24148.1    , array([ 0.0437613  ,  0.0504806  ,  1.5744e-12 ,  2.06411    ,  0.00953174 ])
206284  , -24148.1    , array([ 0.0437613  ,  0.0504806  ,  1.5744e-12 ,  2.06411    ,  0.00953174 ])
206285  , -24122.9    , array([ 0.0438051  ,  0.0504806  ,  1.5744e-12 ,  2.06411    ,  0.00953174 ])
206286  , -24162.1    , array([ 0.0437613  ,  0.0505311  ,  1.5744e-12 ,  2.06411    ,  0.00953174 ])
206287  , -24148.1    , array([ 0.0437613  ,  0.0504806  ,  1.57598e-12,  2.06411    ,  0.00953174 ])
206288  , -24148.4    , array([ 0.0437613  ,  0.0504806  ,  1.5744e-12 ,  2.06618    ,  0.00953174 ])
206289  , -24157.9    , array([ 0.0437613  ,  0.0504806  ,  1.5744e-12 ,  2.06411    ,  0.00954128 ])
206290  , -18623.3    , array([ 0.0535356  ,  0.0309268  ,  1.5744e-12 ,  2.03906    ,  0.0124028  ])
206291  , -18623.3    , array([ 0.0535356  ,  0.0309268  ,  1.5744e-12 ,  2.03906    ,  0.0124028  ])
206292  , -18600.3    , array([ 0.0535892  ,  0.0309268  ,  1.5744e-12 ,  2.03906    ,  0.0124028  ])
206293  , -18624.9    , array([ 0.0535356  ,  0.0309577  ,  1.5744e-12 ,  2.03906    ,  0.0124028  ])
206294  , -18623.3    , array([ 0.0535356  ,  0.0309268  ,  1.57598e-12,  2.03906    ,  0.0124028  ])
206295  , -18623.1    , array([ 0.0535356  ,  0.0309268  ,  1.5744e-12 ,  2.0411     ,  0.0124028  ])
206296  , -18642.5    , array([ 0.0535356  ,  0.0309268  ,  1.5744e-12 ,  2.03906    ,  0.0124152  ])
206304  , -18616.2    , array([ 0.0535189  ,  0.0308734  ,  1.5744e-12 ,  2.06567    ,  0.0123973  ])
206305  , -18616.2    , array([ 0.0535189  ,  0.0308734  ,  1.5744e-12 ,  2.06567    ,  0.0123973  ])
206306  , -18593.3    , array([ 0.0535725  ,  0.0308734  ,  1.5744e-12 ,  2.06567    ,  0.0123973  ])
206307  , -18617.9    , array([ 0.0535189  ,  0.0309043  ,  1.5744e-12 ,  2.06567    ,  0.0123973  ])
206308  , -18616.2    , array([ 0.0535189  ,  0.0308734  ,  1.57598e-12,  2.06567    ,  0.0123973  ])
206309  , -18616      , array([ 0.0535189  ,  0.0308734  ,  1.5744e-12 ,  2.06773    ,  0.0123973  ])
206310  , -18635.5    , array([ 0.0535189  ,  0.0308734  ,  1.5744e-12 ,  2.06567    ,  0.0124097  ])
206311  , -18609.2    , array([ 0.0535022  ,  0.0308201  ,  1.5744e-12 ,  2.09268    ,  0.0123919  ])
206312  , -18609.2    , array([ 0.0535022  ,  0.0308201  ,  1.5744e-12 ,  2.09268    ,  0.0123919  ])
206313  , -18586.2    , array([ 0.0535557  ,  0.0308201  ,  1.5744e-12 ,  2.09268    ,  0.0123919  ])
206314  , -18610.8    , array([ 0.0535022  ,  0.0308509  ,  1.5744e-12 ,  2.09268    ,  0.0123919  ])
206315  , -18609.2    , array([ 0.0535022  ,  0.0308201  ,  1.57598e-12,  2.09268    ,  0.0123919  ])
206316  , -18608.9    , array([ 0.0535022  ,  0.0308201  ,  1.5744e-12 ,  2.09477    ,  0.0123919  ])
206317  , -18628.4    , array([ 0.0535022  ,  0.0308201  ,  1.5744e-12 ,  2.09268    ,  0.0124043  ])
206325  , -18607.4    , array([ 0.053498   ,  0.0308067  ,  1.5744e-12 ,  2.0995     ,  0.0123906  ])
206326  , -18607.4    , array([ 0.053498   ,  0.0308067  ,  1.5744e-12 ,  2.0995     ,  0.0123906  ])
206327  , -18584.4    , array([ 0.0535515  ,  0.0308067  ,  1.5744e-12 ,  2.0995     ,  0.0123906  ])
206328  , -18609      , array([ 0.053498   ,  0.0308375  ,  1.5744e-12 ,  2.0995     ,  0.0123906  ])
206329  , -18607.4    , array([ 0.053498   ,  0.0308067  ,  1.57598e-12,  2.0995     ,  0.0123906  ])
206330  , -18607.1    , array([ 0.053498   ,  0.0308067  ,  1.5744e-12 ,  2.1016     ,  0.0123906  ])
206331  , -18626.6    , array([ 0.053498   ,  0.0308067  ,  1.5744e-12 ,  2.0995     ,  0.012403   ])
206332  , -18605.6    , array([ 0.0534938  ,  0.0307934  ,  1.5744e-12 ,  2.10635    ,  0.0123892  ])
206333  , -18605.6    , array([ 0.0534938  ,  0.0307934  ,  1.5744e-12 ,  2.10635    ,  0.0123892  ])
206334  , -18582.6    , array([ 0.0535473  ,  0.0307934  ,  1.5744e-12 ,  2.10635    ,  0.0123892  ])
206335  , -18607.2    , array([ 0.0534938  ,  0.0308242  ,  1.5744e-12 ,  2.10635    ,  0.0123892  ])
206336  , -18605.6    , array([ 0.0534938  ,  0.0307934  ,  1.57598e-12,  2.10635    ,  0.0123892  ])
206337  , -18605.4    , array([ 0.0534938  ,  0.0307934  ,  1.5744e-12 ,  2.10845    ,  0.0123892  ])
206338  , -18624.8    , array([ 0.0534938  ,  0.0307934  ,  1.5744e-12 ,  2.10635    ,  0.0124016  ])
206346  , -18605.2    , array([ 0.0534927  ,  0.03079    ,  1.5744e-12 ,  2.10806    ,  0.0123889  ])
206347  , -18605.2    , array([ 0.0534927  ,  0.03079    ,  1.5744e-12 ,  2.10806    ,  0.0123889  ])
206348  , -18582.2    , array([ 0.0535463  ,  0.03079    ,  1.5744e-12 ,  2.10806    ,  0.0123889  ])
206349  , -18606.8    , array([ 0.0534927  ,  0.0308208  ,  1.5744e-12 ,  2.10806    ,  0.0123889  ])
206350  , -18605.2    , array([ 0.0534927  ,  0.03079    ,  1.57598e-12,  2.10806    ,  0.0123889  ])
206351  , -18604.9    , array([ 0.0534927  ,  0.03079    ,  1.5744e-12 ,  2.11017    ,  0.0123889  ])
206352  , -18624.4    , array([ 0.0534927  ,  0.03079    ,  1.5744e-12 ,  2.10806    ,  0.0124013  ])
206353  , -18604.7    , array([ 0.0534917  ,  0.0307867  ,  1.5744e-12 ,  2.10978    ,  0.0123885  ])
206354  , -18604.7    , array([ 0.0534917  ,  0.0307867  ,  1.5744e-12 ,  2.10978    ,  0.0123885  ])
206355  , -18581.8    , array([ 0.0535452  ,  0.0307867  ,  1.5744e-12 ,  2.10978    ,  0.0123885  ])
206356  , -18606.3    , array([ 0.0534917  ,  0.0308175  ,  1.5744e-12 ,  2.10978    ,  0.0123885  ])
206357  , -18604.7    , array([ 0.0534917  ,  0.0307867  ,  1.57598e-12,  2.10978    ,  0.0123885  ])
206358  , -18604.5    , array([ 0.0534917  ,  0.0307867  ,  1.5744e-12 ,  2.11189    ,  0.0123885  ])
206359  , -18624      , array([ 0.0534917  ,  0.0307867  ,  1.5744e-12 ,  2.10978    ,  0.0124009  ])
206367  , -18604.6    , array([ 0.0534914  ,  0.0307859  ,  1.5744e-12 ,  2.11021    ,  0.0123884  ])
206368  , -18604.6    , array([ 0.0534914  ,  0.0307859  ,  1.5744e-12 ,  2.11021    ,  0.0123884  ])
206369  , -18581.6    , array([ 0.0535449  ,  0.0307859  ,  1.5744e-12 ,  2.11021    ,  0.0123884  ])
206370  , -18606.2    , array([ 0.0534914  ,  0.0308167  ,  1.5744e-12 ,  2.11021    ,  0.0123884  ])
206371  , -18604.6    , array([ 0.0534914  ,  0.0307859  ,  1.57598e-12,  2.11021    ,  0.0123884  ])
206372  , -18604.4    , array([ 0.0534914  ,  0.0307859  ,  1.5744e-12 ,  2.11232    ,  0.0123884  ])
206373  , -18623.8    , array([ 0.0534914  ,  0.0307859  ,  1.5744e-12 ,  2.11021    ,  0.0124008  ])
206374  , -18604.5    , array([ 0.0534912  ,  0.030785   ,  1.5744e-12 ,  2.11064    ,  0.0123883  ])
206375  , -18604.5    , array([ 0.0534912  ,  0.030785   ,  1.5744e-12 ,  2.11064    ,  0.0123883  ])
206376  , -18581.5    , array([ 0.0535447  ,  0.030785   ,  1.5744e-12 ,  2.11064    ,  0.0123883  ])
206377  , -18606.1    , array([ 0.0534912  ,  0.0308158  ,  1.5744e-12 ,  2.11064    ,  0.0123883  ])
