79415   , -26959.7    , array([ 7.47858    ,  0.253069   ,  4.91395e-60,  0.0136913  ,  0.0208774  ])
79416   , -26960.3    , array([ 7.48607    ,  0.253069   ,  4.91395e-60,  0.0136913  ,  0.0208774  ])
79417   , -26986      , array([ 7.47858    ,  0.253322   ,  4.91395e-60,  0.0136913  ,  0.0208774  ])
79418   , -26959.7    , array([ 7.47858    ,  0.253069   ,  4.91886e-60,  0.0136913  ,  0.0208774  ])
79419   , -26959.7    , array([ 7.47858    ,  0.253069   ,  4.91395e-60,  0.013705   ,  0.0208774  ])
79420   , -26933.7    , array([ 7.47858    ,  0.253069   ,  4.91395e-60,  0.0136913  ,  0.0208983  ])
79421   , -26959.7    , array([ 7.47858    ,  0.253069   ,  4.91395e-60,  0.0136913  ,  0.0208774  ])
79422   , -2310.79    , array([ 7.35335    ,  0.123301   ,  4.91395e-60,  0.0136881  ,  0.0424257  ])
79423   , -2310.79    , array([ 7.35335    ,  0.123301   ,  4.91395e-60,  0.0136881  ,  0.0424257  ])
79424   , -2311.06    , array([ 7.36071    ,  0.123301   ,  4.91395e-60,  0.0136881  ,  0.0424257  ])
79425   , -2313       , array([ 7.35335    ,  0.123424   ,  4.91395e-60,  0.0136881  ,  0.0424257  ])
79426   , -2310.79    , array([ 7.35335    ,  0.123301   ,  4.91886e-60,  0.0136881  ,  0.0424257  ])
79427   , -2310.79    , array([ 7.35335    ,  0.123301   ,  4.91395e-60,  0.0137018  ,  0.0424257  ])
79428   , -2310.13    , array([ 7.35335    ,  0.123301   ,  4.91395e-60,  0.0136881  ,  0.0424681  ])
79436   , -2306.75    , array([ 7.34794    ,  0.122993   ,  4.91395e-60,  0.0136881  ,  0.0423243  ])
79437   , -2306.75    , array([ 7.34794    ,  0.122993   ,  4.91395e-60,  0.0136881  ,  0.0423243  ])
79438   , -2307.01    , array([ 7.35529    ,  0.122993   ,  4.91395e-60,  0.0136881  ,  0.0423243  ])
79439   , -2308.95    , array([ 7.34794    ,  0.123116   ,  4.91395e-60,  0.0136881  ,  0.0423243  ])
79440   , -2306.75    , array([ 7.34794    ,  0.122993   ,  4.91886e-60,  0.0136881  ,  0.0423243  ])
79441   , -2306.75    , array([ 7.34794    ,  0.122993   ,  4.91395e-60,  0.0137018  ,  0.0423243  ])
79442   , -2306.08    , array([ 7.34794    ,  0.122993   ,  4.91395e-60,  0.0136881  ,  0.0423667  ])
79443   , -1861.1     , array([ 6.38524    ,  0.0763829  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79444   , -1861.1     , array([ 6.38524    ,  0.0763829  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79445   , -1861.24    , array([ 6.39163    ,  0.0763829  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79446   , -1862.17    , array([ 6.38524    ,  0.0764593  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79447   , -1861.1     , array([ 6.38524    ,  0.0763829  ,  4.91886e-60,  0.0136841  ,  0.0268252  ])
79448   , -1861.1     , array([ 6.38524    ,  0.0763829  ,  4.91395e-60,  0.0136978  ,  0.0268252  ])
79449   , -1860.38    , array([ 6.38524    ,  0.0763829  ,  4.91395e-60,  0.0136841  ,  0.026852   ])
79457   , -1861.1     , array([ 6.38515    ,  0.076383   ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79458   , -1861.1     , array([ 6.38515    ,  0.076383   ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79459   , -1861.24    , array([ 6.39154    ,  0.076383   ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79460   , -1862.17    , array([ 6.38515    ,  0.0764594  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79461   , -1861.1     , array([ 6.38515    ,  0.076383   ,  4.91886e-60,  0.0136841  ,  0.0268252  ])
79462   , -1861.1     , array([ 6.38515    ,  0.076383   ,  4.91395e-60,  0.0136978  ,  0.0268252  ])
79463   , -1860.38    , array([ 6.38515    ,  0.076383   ,  4.91395e-60,  0.0136841  ,  0.026852   ])
79464   , -1861.1     , array([ 6.38506    ,  0.0763831  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79465   , -1861.1     , array([ 6.38506    ,  0.0763831  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
79466   , -1861.24    , array([ 6.39144    ,  0.0763831  ,  4.91395e-60,  0.0136841  ,  0.0268252  ])
