44561   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.02651e-07,  0.0041716  ])
44563   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  3.92094e-08,  0.0041716  ])
44565   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.49766e-08,  0.0041716  ])
44567   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  5.72057e-09,  0.0041716  ])
44569   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  2.18506e-09,  0.0041716  ])
44571   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  8.3462e-10 ,  0.0041716  ])
44573   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  3.18796e-10,  0.0041716  ])
44575   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21769e-10,  0.0041716  ])
44577   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  4.65117e-11,  0.0041716  ])
44579   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.77659e-11,  0.0041716  ])
44581   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0041716  ])
44582   , -102861     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  1.00417    ])
44584   , -7952.5     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0041716  ])
44586   , -109865     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.386138   ])
44587   , -139381     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.194331   ])
44590   , -137041     , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0768062  ])
44592   , -67492.5    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0319155  ])
44594   , -30277.3    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0147688  ])
44596   , -14242.6    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00821938 ])
44597   , -13130      , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00225222 ])
44598   , -8437.46    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00510496 ])
44599   , -7970.23    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00440791 ])
44600   , -7948.94    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423093 ])
44601   , -7948.89    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00424056 ])
44602   , -7948.89    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
44603   , -7948.89    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.0042385  ])
44604   , -7948.89    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423985 ])
44606   , -7948.89    , array([ 0.0425112  ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
44607   , -3726.47    , array([ 1.04251    ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
44608   , -3811.05    , array([ 2.66055    ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
44609   , -3726.47    , array([ 1.04251    ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
44610   , -3776.03    , array([ 1.66055    ,  0.0159771  ,  9.94826    ,  1.21405e-42,  0.00423918 ])
