70601   , -65994      , array([ 0.062811   ,  1.0657     ,  6.81652e-33,  1.47613e-49,  0.00123821 ])
70602   , -66002.7    , array([ 0.0628738  ,  1.0657     ,  6.81652e-33,  1.47613e-49,  0.00123821 ])
70603   , -65995      , array([ 0.062811   ,  1.06676    ,  6.81652e-33,  1.47613e-49,  0.00123821 ])
70604   , -65994      , array([ 0.062811   ,  1.0657     ,  6.82334e-33,  1.47613e-49,  0.00123821 ])
70605   , -65994      , array([ 0.062811   ,  1.0657     ,  6.81652e-33,  1.4776e-49 ,  0.00123821 ])
70606   , -65984.1    , array([ 0.062811   ,  1.0657     ,  6.81652e-33,  1.47613e-49,  0.00123944 ])
70607   , -65994      , array([ 0.062811   ,  1.0657     ,  6.81652e-33,  1.47613e-49,  0.00123821 ])
70608   , -52935.2    , array([ 0.0322515  ,  0.984052   ,  6.81652e-33,  1.47613e-49,  0.0026334  ])
70609   , -52935.2    , array([ 0.0322515  ,  0.984052   ,  6.81652e-33,  1.47613e-49,  0.0026334  ])
70610   , -52937.9    , array([ 0.0322838  ,  0.984052   ,  6.81652e-33,  1.47613e-49,  0.0026334  ])
70611   , -52936.7    , array([ 0.0322515  ,  0.985037   ,  6.81652e-33,  1.47613e-49,  0.0026334  ])
70612   , -52935.2    , array([ 0.0322515  ,  0.984052   ,  6.82334e-33,  1.47613e-49,  0.0026334  ])
70613   , -52935.2    , array([ 0.0322515  ,  0.984052   ,  6.81652e-33,  1.4776e-49 ,  0.0026334  ])
70614   , -52930.2    , array([ 0.0322515  ,  0.984052   ,  6.81652e-33,  1.47613e-49,  0.00263603 ])
70615   , -3.55294e+06, array([ 1.94216    ,  0.00165244 ,  6.81652e-33,  1.47613e-49,  0.731376   ])
70616   , -3.55294e+06, array([ 1.94216    ,  0.00165244 ,  6.81652e-33,  1.47613e-49,  0.731376   ])
70617   , -3.55305e+06, array([ 1.9441     ,  0.00165244 ,  6.81652e-33,  1.47613e-49,  0.731376   ])
70618   , -3.55278e+06, array([ 1.94216    ,  0.00165409 ,  6.81652e-33,  1.47613e-49,  0.731376   ])
70619   , -3.55292e+06, array([ 1.94216    ,  0.00165244 ,  6.82334e-33,  1.47613e-49,  0.731376   ])
70620   , -3.55293e+06, array([ 1.94216    ,  0.00165244 ,  6.81652e-33,  1.4776e-49 ,  0.731376   ])
70621   , -3.55295e+06, array([ 1.94216    ,  0.00165244 ,  6.81652e-33,  1.47613e-49,  0.732108   ])
70622   , -52896.1    , array([ 0.032446   ,  0.974871   ,  6.81652e-33,  1.47613e-49,  0.00265523 ])
70623   , -52896.1    , array([ 0.032446   ,  0.974871   ,  6.81652e-33,  1.47613e-49,  0.00265523 ])
70624   , -52898.9    , array([ 0.0324785  ,  0.974871   ,  6.81652e-33,  1.47613e-49,  0.00265523 ])
70625   , -52897.7    , array([ 0.032446   ,  0.975846   ,  6.81652e-33,  1.47613e-49,  0.00265523 ])
70626   , -52896.1    , array([ 0.032446   ,  0.974871   ,  6.82334e-33,  1.47613e-49,  0.00265523 ])
70627   , -52896.1    , array([ 0.032446   ,  0.974871   ,  6.81652e-33,  1.4776e-49 ,  0.00265523 ])
70628   , -52891.2    , array([ 0.032446   ,  0.974871   ,  6.81652e-33,  1.47613e-49,  0.00265788 ])
70629   , -52856.5    , array([ 0.032643   ,  0.965713   ,  6.81652e-33,  1.47613e-49,  0.00267739 ])
70630   , -52856.5    , array([ 0.032643   ,  0.965713   ,  6.81652e-33,  1.47613e-49,  0.00267739 ])
70631   , -52859.1    , array([ 0.0326757  ,  0.965713   ,  6.81652e-33,  1.47613e-49,  0.00267739 ])
70632   , -52858      , array([ 0.032643   ,  0.966679   ,  6.81652e-33,  1.47613e-49,  0.00267739 ])
70633   , -52856.5    , array([ 0.032643   ,  0.965713   ,  6.82334e-33,  1.47613e-49,  0.00267739 ])
70634   , -52856.5    , array([ 0.032643   ,  0.965713   ,  6.81652e-33,  1.4776e-49 ,  0.00267739 ])
70635   , -52851.5    , array([ 0.032643   ,  0.965713   ,  6.81652e-33,  1.47613e-49,  0.00268007 ])
70636   , -28420.2    , array([ 0.251789   ,  0.0399473  ,  6.81652e-33,  1.47613e-49,  0.0442513  ])
70637   , -28420.2    , array([ 0.251789   ,  0.0399473  ,  6.81652e-33,  1.47613e-49,  0.0442513  ])
70638   , -28410.1    , array([ 0.252041   ,  0.0399473  ,  6.81652e-33,  1.47613e-49,  0.0442513  ])
70639   , -28383.8    , array([ 0.251789   ,  0.0399872  ,  6.81652e-33,  1.47613e-49,  0.0442513  ])
70640   , -28420.2    , array([ 0.251789   ,  0.0399473  ,  6.82334e-33,  1.47613e-49,  0.0442513  ])
70641   , -28420.2    , array([ 0.251789   ,  0.0399473  ,  6.81652e-33,  1.4776e-49 ,  0.0442513  ])
70642   , -28464.3    , array([ 0.251789   ,  0.0399473  ,  6.81652e-33,  1.47613e-49,  0.0442956  ])
70643   , -51992.1    , array([ 0.0367325  ,  0.803388   ,  6.81652e-33,  1.47613e-49,  0.00314842 ])
70644   , -51992.1    , array([ 0.0367325  ,  0.803388   ,  6.81652e-33,  1.47613e-49,  0.00314842 ])
70645   , -51993.9    , array([ 0.0367693  ,  0.803388   ,  6.81652e-33,  1.47613e-49,  0.00314842 ])
