Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-11331.99	22679.98	302.85	19978.13	1.4507,0.5456,0.8524,0.5917,1.7094,0.7233,0.1261,0.0393
our_model	Round_1_Replicate_2	-13985.51	27987.02	5494.71	10788.38	1.6832,0.4383,0.8621,0.6803,0.9562,7.1858,1.6175,1.2246
our_model	Round_1_Replicate_3	-11335.82	22687.64	309.5	19632.38	1.5125,0.54,0.808,0.6007,1.605,3.7666,0.1217,0.0499
our_model	Round_1_Replicate_4	-13996.55	28009.1	5535.12	7235.32	2.5444,0.642,1.2818,0.5018,0.5981,4.7738,2.9521,1.8436
our_model	Round_1_Replicate_5	-11409.0	22834.0	458.74	19983.48	1.5013,0.5557,0.7456,0.5233,2.0275,1.3986,0.1265,0.0375
our_model	Round_1_Replicate_6	-11797.18	23610.36	1237.93	18323.59	2.1489,0.6386,0.8441,0.467,1.6966,1.3403,0.1457,0.0446
our_model	Round_1_Replicate_7	-13926.66	27869.32	5396.91	10028.83	1.8383,0.4302,1.0342,0.9427,0.5865,6.8061,1.8138,1.3909
our_model	Round_1_Replicate_8	-11389.31	22794.62	412.12	19802.05	1.4766,0.5372,0.7686,0.631,1.8052,3.5479,0.1238,0.047
our_model	Round_1_Replicate_9	-11286.55	22589.1	214.67	19922.25	1.478,0.5541,0.8892,0.5616,1.6179,0.444,0.1237,0.0388
our_model	Round_1_Replicate_10	-14003.59	28023.18	5561.67	5798.83	3.1876,0.7887,1.6116,0.4181,0.4584,3.8762,3.948,2.3249
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-11239.12	22494.24	119.9	20225.64	1.4142,0.4505,0.776,0.313,1.0267,5.9778,0.0832,0.0654
our_model	Round_1_Replicate_2	-13936.29	27888.58	5435.48	8237.36	2.2462,0.5041,1.3147,0.8476,0.4151,5.6943,2.461,1.7295
our_model	Round_1_Replicate_3	-11478.41	22972.82	592.17	19995.01	1.4399,0.5206,0.6619,0.5161,1.9763,4.9115,0.1206,0.0496
our_model	Round_1_Replicate_4	-11736.75	23489.5	1125.77	19452.03	1.6106,0.6223,0.651,0.6457,2.6246,0.5162,0.1487,0.0326
our_model	Round_1_Replicate_5	-13986.25	27988.5	5517.57	5454.5	3.3653,0.8283,1.7578,0.4215,0.4093,3.6483,4.274,2.5035
our_model	Round_1_Replicate_6	-13976.82	27969.64	5492.79	7095.43	2.577,0.6435,1.3307,0.5335,0.5475,4.7399,3.0125,1.9833
our_model	Round_1_Replicate_7	-13944.07	27904.14	5422.76	9861.62	1.8655,0.4595,0.9887,0.7896,0.7022,6.5589,1.8532,1.3721
our_model	Round_1_Replicate_8	-14010.18	28036.36	5547.82	9576.7	1.8858,0.4833,0.9904,0.612,0.8558,6.4818,2.0422,1.3406
our_model	Round_1_Replicate_9	-14001.99	28019.98	5558.59	6767.04	2.7173,0.6773,1.3571,0.4684,0.5575,4.5279,3.1925,2.1247
our_model	Round_1_Replicate_10	-13981.74	27979.48	5505.26	9476.89	1.9436,0.4946,0.975,0.6425,0.7793,6.2635,1.9712,1.4076
our_model	Round_2_Replicate_1	-11229.07	22474.14	100.87	20082.98	1.5095,0.4366,0.8913,0.4816,0.7331,5.8103,0.0787,0.0666
our_model	Round_2_Replicate_2	-11261.02	22538.04	164.26	20031.99	1.5106,0.4237,0.8517,0.4387,0.6505,6.4122,0.0732,0.0733
our_model	Round_2_Replicate_3	-11219.39	22454.78	82.61	19858.24	1.5122,0.5577,1.0336,0.5702,1.3343,0.01,0.1165,0.0396
our_model	Round_2_Replicate_4	-11182.27	22380.54	7.96	20066.65	1.4846,0.4868,0.9246,0.4572,1.0133,3.8658,0.0962,0.0532
our_model	Round_2_Replicate_5	-11297.61	22611.22	236.99	20269.14	1.4862,0.3913,0.811,0.4808,0.6341,7.1504,0.0656,0.0769
our_model	Round_2_Replicate_6	-11185.56	22387.12	14.51	20039.99	1.4775,0.4873,0.9043,0.4707,1.0697,4.017,0.0975,0.0541
our_model	Round_2_Replicate_7	-11268.93	22553.86	178.13	20308.79	1.3841,0.4189,0.7914,0.4858,0.7521,6.5928,0.0741,0.0726
our_model	Round_2_Replicate_8	-11287.52	22591.04	212.22	20055.53	1.4804,0.4112,0.7476,0.3412,0.8232,7.2852,0.0696,0.0814
our_model	Round_2_Replicate_9	-11186.61	22389.22	16.67	20041.32	1.4804,0.5004,0.9168,0.4594,1.1272,3.2963,0.1019,0.0502
our_model	Round_2_Replicate_10	-11195.89	22407.78	34.84	20112.04	1.4803,0.4621,0.8891,0.4198,0.914,4.8937,0.0883,0.0593
our_model	Round_2_Replicate_11	-11218.56	22453.12	80.62	20091.86	1.496,0.4433,0.9408,0.4978,0.7122,5.3945,0.0823,0.0633
our_model	Round_2_Replicate_12	-11214.22	22444.44	72.55	20300.09	1.4665,0.4693,0.8883,0.3328,0.8914,4.11,0.0876,0.0536
our_model	Round_2_Replicate_13	-11296.95	22609.9	237.45	20298.27	1.4491,0.3947,0.9089,0.6098,0.5669,6.6344,0.0679,0.0731
our_model	Round_2_Replicate_14	-11180.1	22376.2	3.63	19938.92	1.5004,0.5094,0.982,0.4961,1.0651,2.9,0.1027,0.0496
our_model	Round_2_Replicate_15	-11265.15	22546.3	177.0	20183.17	1.5282,0.4212,0.9454,0.487,0.5652,5.7626,0.0751,0.0654
our_model	Round_2_Replicate_16	-11184.58	22385.16	12.6	20080.46	1.4744,0.4913,0.9128,0.4554,1.0752,3.6645,0.0987,0.0519
our_model	Round_2_Replicate_17	-11279.98	22575.96	200.62	20055.0	1.5225,0.4093,0.8104,0.414,0.6806,6.9176,0.0696,0.0774
our_model	Round_2_Replicate_18	-11224.65	22465.3	93.3	19998.35	1.4929,0.5521,0.9787,0.5168,1.3626,0.01,0.114,0.0389
our_model	Round_2_Replicate_19	-11207.64	22431.28	58.1	20103.63	1.4677,0.444,0.9147,0.5378,0.8625,5.3497,0.0856,0.0634
our_model	Round_2_Replicate_20	-11211.22	22438.44	66.51	20309.32	1.4859,0.4612,1.1104,0.5625,0.7769,3.1832,0.0908,0.0496
