8695    , -2337.02    , array([ 26.495     ,  2.15709    ,  5.60947e-08,  2.12407e-05])
8696    , -2337.02    , array([ 26.5215    ,  2.15709    ,  5.60947e-08,  2.12407e-05])
8697    , -2337.02    , array([ 26.495     ,  2.15925    ,  5.60947e-08,  2.12407e-05])
8698    , -2337.02    , array([ 26.495     ,  2.15709    ,  5.61508e-08,  2.12407e-05])
8699    , -2337.02    , array([ 26.495     ,  2.15709    ,  5.60947e-08,  2.12619e-05])
8700    , -2337.02    , array([ 26.495     ,  2.15709    ,  5.60947e-08,  2.12407e-05])
8701    , -2336.95    , array([ 26.4939    ,  1.78532    ,  5.60365e-08,  1.70613e-05])
8702    , -2336.95    , array([ 26.4939    ,  1.78532    ,  5.60365e-08,  1.70613e-05])
8703    , -2336.95    , array([ 26.5204    ,  1.78532    ,  5.60365e-08,  1.70613e-05])
8704    , -2336.95    , array([ 26.4939    ,  1.7871     ,  5.60365e-08,  1.70613e-05])
8705    , -2336.95    , array([ 26.4939    ,  1.78532    ,  5.60926e-08,  1.70613e-05])
8706    , -2336.95    , array([ 26.4939    ,  1.78532    ,  5.60365e-08,  1.70784e-05])
8707    , -2336.82    , array([ 26.491     ,  1.0841     ,  5.58793e-08,  1.13035e-05])
8708    , -2336.82    , array([ 26.491     ,  1.0841     ,  5.58793e-08,  1.13035e-05])
8709    , -2336.82    , array([ 26.5175    ,  1.0841     ,  5.58793e-08,  1.13035e-05])
8710    , -2336.82    , array([ 26.491     ,  1.08518    ,  5.58793e-08,  1.13035e-05])
8711    , -2336.82    , array([ 26.491     ,  1.0841     ,  5.59352e-08,  1.13035e-05])
8712    , -2336.82    , array([ 26.491     ,  1.0841     ,  5.58793e-08,  1.13148e-05])
8713    , -2336.58    , array([ 26.4841    ,  0.318762   ,  5.55086e-08,  5.49106e-06])
8714    , -2336.58    , array([ 26.4841    ,  0.318762   ,  5.55086e-08,  5.49106e-06])
8715    , -2336.58    , array([ 26.5106    ,  0.318762   ,  5.55086e-08,  5.49106e-06])
8716    , -2336.58    , array([ 26.4841    ,  0.319081   ,  5.55086e-08,  5.49106e-06])
8717    , -2336.58    , array([ 26.4841    ,  0.318762   ,  5.55642e-08,  5.49106e-06])
8718    , -2336.58    , array([ 26.4841    ,  0.318762   ,  5.55086e-08,  5.49655e-06])
8719    , -2334.35    , array([ 26.4565    ,  0.00238262 ,  5.40504e-08,  3.05793e-07])
8720    , -2334.35    , array([ 26.4565    ,  0.00238262 ,  5.40504e-08,  3.05793e-07])
