186756  , -59500.2    , array([ 0.643905   ,  17.0272    ,  0.0177671  ,  1.14909e-15,  0.0216291  ])
186757  , -59511.7    , array([ 0.644549   ,  17.0272    ,  0.0177671  ,  1.14909e-15,  0.0216291  ])
186758  , -59501.2    , array([ 0.643905   ,  17.0443    ,  0.0177671  ,  1.14909e-15,  0.0216291  ])
186759  , -59500.2    , array([ 0.643905   ,  17.0272    ,  0.0177848  ,  1.14909e-15,  0.0216291  ])
186760  , -59500.2    , array([ 0.643905   ,  17.0272    ,  0.0177671  ,  1.15024e-15,  0.0216291  ])
186761  , -59487.2    , array([ 0.643905   ,  17.0272    ,  0.0177671  ,  1.14909e-15,  0.0216507  ])
186762  , -59500.2    , array([ 0.643905   ,  17.0272    ,  0.0177671  ,  1.14909e-15,  0.0216291  ])
186763  , -46632.9    , array([ 0.329486   ,  16.0935    ,  0.0177626  ,  1.14909e-15,  0.0459564  ])
186764  , -46632.9    , array([ 0.329486   ,  16.0935    ,  0.0177626  ,  1.14909e-15,  0.0459564  ])
186765  , -46630      , array([ 0.329816   ,  16.0935    ,  0.0177626  ,  1.14909e-15,  0.0459564  ])
186766  , -46634.1    , array([ 0.329486   ,  16.1096    ,  0.0177626  ,  1.14909e-15,  0.0459564  ])
186767  , -46632.9    , array([ 0.329486   ,  16.0935    ,  0.0177804  ,  1.14909e-15,  0.0459564  ])
186768  , -46632.9    , array([ 0.329486   ,  16.0935    ,  0.0177626  ,  1.15024e-15,  0.0459564  ])
186769  , -46631.3    , array([ 0.329486   ,  16.0935    ,  0.0177626  ,  1.14909e-15,  0.0460024  ])
186777  , -46631.8    , array([ 0.329551   ,  16.0914    ,  0.0177626  ,  1.14909e-15,  0.045968   ])
186778  , -46631.8    , array([ 0.329551   ,  16.0914    ,  0.0177626  ,  1.14909e-15,  0.045968   ])
186779  , -46628.9    , array([ 0.329881   ,  16.0914    ,  0.0177626  ,  1.14909e-15,  0.045968   ])
186780  , -46633      , array([ 0.329551   ,  16.1075    ,  0.0177626  ,  1.14909e-15,  0.045968   ])
186781  , -46631.8    , array([ 0.329551   ,  16.0914    ,  0.0177804  ,  1.14909e-15,  0.045968   ])
186782  , -46631.8    , array([ 0.329551   ,  16.0914    ,  0.0177626  ,  1.15024e-15,  0.045968   ])
186783  , -46630.2    , array([ 0.329551   ,  16.0914    ,  0.0177626  ,  1.14909e-15,  0.046014   ])
186784  , -46630.7    , array([ 0.329616   ,  16.0894    ,  0.0177626  ,  1.14909e-15,  0.0459796  ])
186785  , -46630.7    , array([ 0.329616   ,  16.0894    ,  0.0177626  ,  1.14909e-15,  0.0459796  ])
186786  , -46627.7    , array([ 0.329946   ,  16.0894    ,  0.0177626  ,  1.14909e-15,  0.0459796  ])
186787  , -46631.9    , array([ 0.329616   ,  16.1055    ,  0.0177626  ,  1.14909e-15,  0.0459796  ])
186788  , -46630.6    , array([ 0.329616   ,  16.0894    ,  0.0177804  ,  1.14909e-15,  0.0459796  ])
186789  , -46630.7    , array([ 0.329616   ,  16.0894    ,  0.0177626  ,  1.15024e-15,  0.0459796  ])
186790  , -46629.1    , array([ 0.329616   ,  16.0894    ,  0.0177626  ,  1.14909e-15,  0.0460256  ])
186791  , -42626.3    , array([ 3.19126    ,  3.71391    ,  0.0178274  ,  1.14909e-15,  0.844372   ])
186792  , -42626.3    , array([ 3.19126    ,  3.71391    ,  0.0178274  ,  1.14909e-15,  0.844372   ])
186793  , -42614.2    , array([ 3.19445    ,  3.71391    ,  0.0178274  ,  1.14909e-15,  0.844372   ])
186794  , -42637.2    , array([ 3.19126    ,  3.71762    ,  0.0178274  ,  1.14909e-15,  0.844372   ])
186795  , -42625.4    , array([ 3.19126    ,  3.71391    ,  0.0178452  ,  1.14909e-15,  0.844372   ])
186796  , -42626.3    , array([ 3.19126    ,  3.71391    ,  0.0178274  ,  1.15024e-15,  0.844372   ])
186797  , -42650      , array([ 3.19126    ,  3.71391    ,  0.0178274  ,  1.14909e-15,  0.845217   ])
186798  , -42705.2    , array([ 0.709755   ,  9.8046     ,  0.0177845  ,  1.14909e-15,  0.122911   ])
186799  , -42705.2    , array([ 0.709755   ,  9.8046     ,  0.0177845  ,  1.14909e-15,  0.122911   ])
186800  , -42700.1    , array([ 0.710465   ,  9.8046     ,  0.0177845  ,  1.14909e-15,  0.122911   ])
186801  , -42709.4    , array([ 0.709755   ,  9.81441    ,  0.0177845  ,  1.14909e-15,  0.122911   ])
186802  , -42705.1    , array([ 0.709755   ,  9.8046     ,  0.0178023  ,  1.14909e-15,  0.122911   ])
186803  , -42705.2    , array([ 0.709755   ,  9.8046     ,  0.0177845  ,  1.15024e-15,  0.122911   ])
186804  , -42708.2    , array([ 0.709755   ,  9.8046     ,  0.0177845  ,  1.14909e-15,  0.123034   ])
186805  , -32368.6    , array([ 2.39514    ,  2.06797    ,  0.0178481  ,  1.14909e-15,  0.594605   ])
186806  , -32368.6    , array([ 2.39514    ,  2.06797    ,  0.0178481  ,  1.14909e-15,  0.594605   ])
186807  , -32356.8    , array([ 2.39754    ,  2.06797    ,  0.0178481  ,  1.14909e-15,  0.594605   ])
186808  , -32376.2    , array([ 2.39514    ,  2.07004    ,  0.0178481  ,  1.14909e-15,  0.594605   ])
186809  , -32368      , array([ 2.39514    ,  2.06797    ,  0.017866   ,  1.14909e-15,  0.594605   ])
186810  , -32368.6    , array([ 2.39514    ,  2.06797    ,  0.0178481  ,  1.15024e-15,  0.594605   ])
186811  , -32391.9    , array([ 2.39514    ,  2.06797    ,  0.0178481  ,  1.14909e-15,  0.595199   ])
186812  , -38094.5    , array([ 1.19503    ,  5.03395    ,  0.0178117  ,  1.14909e-15,  0.241469   ])
186813  , -38094.5    , array([ 1.19503    ,  5.03395    ,  0.0178117  ,  1.14909e-15,  0.241469   ])
186814  , -38085.9    , array([ 1.19622    ,  5.03395    ,  0.0178117  ,  1.14909e-15,  0.241469   ])
186815  , -38104.9    , array([ 1.19503    ,  5.03898    ,  0.0178117  ,  1.14909e-15,  0.241469   ])
186816  , -38094.4    , array([ 1.19503    ,  5.03395    ,  0.0178295  ,  1.14909e-15,  0.241469   ])
186817  , -38094.5    , array([ 1.19503    ,  5.03395    ,  0.0178117  ,  1.15024e-15,  0.241469   ])
186818  , -38102.2    , array([ 1.19503    ,  5.03395    ,  0.0178117  ,  1.14909e-15,  0.241711   ])
186819  , -31970.7    , array([ 2.14233    ,  2.38525    ,  0.0178423  ,  1.14909e-15,  0.514561   ])
186820  , -31970.7    , array([ 2.14233    ,  2.38525    ,  0.0178423  ,  1.14909e-15,  0.514561   ])
186821  , -31958.7    , array([ 2.14447    ,  2.38525    ,  0.0178423  ,  1.14909e-15,  0.514561   ])
186822  , -31981.5    , array([ 2.14233    ,  2.38763    ,  0.0178423  ,  1.14909e-15,  0.514561   ])
186823  , -31970.3    , array([ 2.14233    ,  2.38525    ,  0.0178601  ,  1.14909e-15,  0.514561   ])
186824  , -31970.7    , array([ 2.14233    ,  2.38525    ,  0.0178423  ,  1.15024e-15,  0.514561   ])
186825  , -31989.8    , array([ 2.14233    ,  2.38525    ,  0.0178423  ,  1.14909e-15,  0.515076   ])
186833  , -31969.9    , array([ 2.14258    ,  2.38489    ,  0.0178709  ,  1.14909e-15,  0.514639   ])
186834  , -31969.9    , array([ 2.14258    ,  2.38489    ,  0.0178709  ,  1.14909e-15,  0.514639   ])
186835  , -31958      , array([ 2.14472    ,  2.38489    ,  0.0178709  ,  1.14909e-15,  0.514639   ])
186836  , -31980.7    , array([ 2.14258    ,  2.38727    ,  0.0178709  ,  1.14909e-15,  0.514639   ])
186837  , -31969.5    , array([ 2.14258    ,  2.38489    ,  0.0178888  ,  1.14909e-15,  0.514639   ])
186838  , -31969.9    , array([ 2.14258    ,  2.38489    ,  0.0178709  ,  1.15024e-15,  0.514639   ])
186839  , -31989.1    , array([ 2.14258    ,  2.38489    ,  0.0178709  ,  1.14909e-15,  0.515154   ])
186840  , -31969.2    , array([ 2.14283    ,  2.38453    ,  0.0178996  ,  1.14909e-15,  0.514716   ])
186841  , -31969.2    , array([ 2.14283    ,  2.38453    ,  0.0178996  ,  1.14909e-15,  0.514716   ])
186842  , -31957.2    , array([ 2.14497    ,  2.38453    ,  0.0178996  ,  1.14909e-15,  0.514716   ])
186843  , -31979.9    , array([ 2.14283    ,  2.38691    ,  0.0178996  ,  1.14909e-15,  0.514716   ])
186844  , -31968.8    , array([ 2.14283    ,  2.38453    ,  0.0179175  ,  1.14909e-15,  0.514716   ])
186845  , -31969.2    , array([ 2.14283    ,  2.38453    ,  0.0178996  ,  1.15024e-15,  0.514716   ])
186846  , -31988.3    , array([ 2.14283    ,  2.38453    ,  0.0178996  ,  1.14909e-15,  0.515231   ])
186854  , -31969      , array([ 2.14289    ,  2.38444    ,  0.0179067  ,  1.14909e-15,  0.514736   ])
186855  , -31969      , array([ 2.14289    ,  2.38444    ,  0.0179067  ,  1.14909e-15,  0.514736   ])
186856  , -31957      , array([ 2.14503    ,  2.38444    ,  0.0179067  ,  1.14909e-15,  0.514736   ])
186857  , -31979.7    , array([ 2.14289    ,  2.38682    ,  0.0179067  ,  1.14909e-15,  0.514736   ])
186858  , -31968.6    , array([ 2.14289    ,  2.38444    ,  0.0179247  ,  1.14909e-15,  0.514736   ])
186859  , -31969      , array([ 2.14289    ,  2.38444    ,  0.0179067  ,  1.15024e-15,  0.514736   ])
186860  , -31988.1    , array([ 2.14289    ,  2.38444    ,  0.0179067  ,  1.14909e-15,  0.515251   ])
186861  , -31968.8    , array([ 2.14295    ,  2.38435    ,  0.0179139  ,  1.14909e-15,  0.514755   ])
186862  , -31968.8    , array([ 2.14295    ,  2.38435    ,  0.0179139  ,  1.14909e-15,  0.514755   ])
186863  , -31956.8    , array([ 2.1451     ,  2.38435    ,  0.0179139  ,  1.14909e-15,  0.514755   ])
186864  , -31979.5    , array([ 2.14295    ,  2.38673    ,  0.0179139  ,  1.14909e-15,  0.514755   ])
186865  , -31968.4    , array([ 2.14295    ,  2.38435    ,  0.0179318  ,  1.14909e-15,  0.514755   ])
186866  , -31968.8    , array([ 2.14295    ,  2.38435    ,  0.0179139  ,  1.15024e-15,  0.514755   ])
186867  , -31987.9    , array([ 2.14295    ,  2.38435    ,  0.0179139  ,  1.14909e-15,  0.51527    ])
186875  , -31968.7    , array([ 2.14297    ,  2.38433    ,  0.0179157  ,  1.14909e-15,  0.51476    ])
186876  , -31968.7    , array([ 2.14297    ,  2.38433    ,  0.0179157  ,  1.14909e-15,  0.51476    ])
186877  , -31956.7    , array([ 2.14511    ,  2.38433    ,  0.0179157  ,  1.14909e-15,  0.51476    ])
186878  , -31979.5    , array([ 2.14297    ,  2.38671    ,  0.0179157  ,  1.14909e-15,  0.51476    ])
186879  , -31968.3    , array([ 2.14297    ,  2.38433    ,  0.0179336  ,  1.14909e-15,  0.51476    ])
186880  , -31968.7    , array([ 2.14297    ,  2.38433    ,  0.0179157  ,  1.15024e-15,  0.51476    ])
186881  , -31987.8    , array([ 2.14297    ,  2.38433    ,  0.0179157  ,  1.14909e-15,  0.515275   ])
186882  , -31968.7    , array([ 2.14298    ,  2.3843     ,  0.0179175  ,  1.14909e-15,  0.514765   ])
186883  , -31968.7    , array([ 2.14298    ,  2.3843     ,  0.0179175  ,  1.14909e-15,  0.514765   ])
186884  , -31956.7    , array([ 2.14513    ,  2.3843     ,  0.0179175  ,  1.14909e-15,  0.514765   ])
186885  , -31979.4    , array([ 2.14298    ,  2.38669    ,  0.0179175  ,  1.14909e-15,  0.514765   ])
186886  , -31968.3    , array([ 2.14298    ,  2.3843     ,  0.0179354  ,  1.14909e-15,  0.514765   ])
186887  , -31968.7    , array([ 2.14298    ,  2.3843     ,  0.0179175  ,  1.15024e-15,  0.514765   ])
186888  , -31987.8    , array([ 2.14298    ,  2.3843     ,  0.0179175  ,  1.14909e-15,  0.51528    ])
186889  , -25428.6    , array([ 3.20775    ,  1.41578    ,  4.56556    ,  1.14909e-15,  0.865923   ])
186890  , -25428.6    , array([ 3.20775    ,  1.41578    ,  4.56556    ,  1.14909e-15,  0.865923   ])
186891  , -25438.2    , array([ 3.21096    ,  1.41578    ,  4.56556    ,  1.14909e-15,  0.865923   ])
186892  , -25450.4    , array([ 3.20775    ,  1.4172     ,  4.56556    ,  1.14909e-15,  0.865923   ])
186893  , -25446.9    , array([ 3.20775    ,  1.41578    ,  4.57013    ,  1.14909e-15,  0.865923   ])
186894  , -25428.6    , array([ 3.20775    ,  1.41578    ,  4.56556    ,  1.15024e-15,  0.865923   ])
186895  , -25426.5    , array([ 3.20775    ,  1.41578    ,  4.56556    ,  1.14909e-15,  0.866789   ])
186896  , -31888.3    , array([ 2.16768    ,  2.34925    ,  0.0209721  ,  1.14909e-15,  0.522428   ])
186897  , -31888.3    , array([ 2.16768    ,  2.34925    ,  0.0209721  ,  1.14909e-15,  0.522428   ])
