175592  , -12396      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24443e-12,  0.00471321 ])
175593  , -12410      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24118e-12,  0.00471793 ])
175594  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175595  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175596  , -12370.4    , array([ 0.031028   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175597  , -12386.7    , array([ 0.030997   ,  0.0131797  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175598  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02573e-66,  3.24118e-12,  0.00479628 ])
175599  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24443e-12,  0.00479628 ])
175600  , -12399.8    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00480108 ])
175608  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175609  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175610  , -12367.8    , array([ 0.0311632  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175611  , -12384.1    , array([ 0.0311321  ,  0.0132317  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175612  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02573e-66,  3.24118e-12,  0.0048175  ])
175613  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24443e-12,  0.0048175  ])
175614  , -12397.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.00482232 ])
175615  , -12380.7    , array([ 0.0312682  ,  0.0132709  ,  2.02371e-66,  3.24118e-12,  0.00483886 ])
175616  , -12380.7    , array([ 0.0312682  ,  0.0132709  ,  2.02371e-66,  3.24118e-12,  0.00483886 ])
175617  , -12365.2    , array([ 0.0312994  ,  0.0132709  ,  2.02371e-66,  3.24118e-12,  0.00483886 ])
175618  , -12381.5    , array([ 0.0312682  ,  0.0132841  ,  2.02371e-66,  3.24118e-12,  0.00483886 ])
175619  , -12380.7    , array([ 0.0312682  ,  0.0132709  ,  2.02573e-66,  3.24118e-12,  0.00483886 ])
175620  , -12380.7    , array([ 0.0312682  ,  0.0132709  ,  2.02371e-66,  3.24443e-12,  0.00483886 ])
175621  , -12394.7    , array([ 0.0312682  ,  0.0132709  ,  2.02371e-66,  3.24118e-12,  0.0048437  ])
175629  , -12380      , array([ 0.0313023  ,  0.013284   ,  2.02371e-66,  3.24118e-12,  0.00484423 ])
175630  , -12380      , array([ 0.0313023  ,  0.013284   ,  2.02371e-66,  3.24118e-12,  0.00484423 ])
175631  , -12364.6    , array([ 0.0313337  ,  0.013284   ,  2.02371e-66,  3.24118e-12,  0.00484423 ])
175632  , -12380.8    , array([ 0.0313023  ,  0.0132973  ,  2.02371e-66,  3.24118e-12,  0.00484423 ])
175633  , -12380      , array([ 0.0313023  ,  0.013284   ,  2.02573e-66,  3.24118e-12,  0.00484423 ])
175634  , -12380      , array([ 0.0313023  ,  0.013284   ,  2.02371e-66,  3.24443e-12,  0.00484423 ])
175635  , -12394      , array([ 0.0313023  ,  0.013284   ,  2.02371e-66,  3.24118e-12,  0.00484907 ])
175636  , -12379.4    , array([ 0.0313366  ,  0.0132972  ,  2.02371e-66,  3.24118e-12,  0.0048496  ])
175637  , -12379.4    , array([ 0.0313366  ,  0.0132972  ,  2.02371e-66,  3.24118e-12,  0.0048496  ])
175638  , -12363.9    , array([ 0.031368   ,  0.0132972  ,  2.02371e-66,  3.24118e-12,  0.0048496  ])
175639  , -12380.1    , array([ 0.0313366  ,  0.0133105  ,  2.02371e-66,  3.24118e-12,  0.0048496  ])
175640  , -12379.4    , array([ 0.0313366  ,  0.0132972  ,  2.02573e-66,  3.24118e-12,  0.0048496  ])
175641  , -12379.4    , array([ 0.0313366  ,  0.0132972  ,  2.02371e-66,  3.24443e-12,  0.0048496  ])
175642  , -12393.4    , array([ 0.0313366  ,  0.0132972  ,  2.02371e-66,  3.24118e-12,  0.00485446 ])
175650  , -12379.2    , array([ 0.0313452  ,  0.0133005  ,  2.02371e-66,  3.24118e-12,  0.00485095 ])
175651  , -12379.2    , array([ 0.0313452  ,  0.0133005  ,  2.02371e-66,  3.24118e-12,  0.00485095 ])
175652  , -12363.8    , array([ 0.0313765  ,  0.0133005  ,  2.02371e-66,  3.24118e-12,  0.00485095 ])
175653  , -12380      , array([ 0.0313452  ,  0.0133138  ,  2.02371e-66,  3.24118e-12,  0.00485095 ])
175654  , -12379.2    , array([ 0.0313452  ,  0.0133005  ,  2.02573e-66,  3.24118e-12,  0.00485095 ])
175655  , -12379.2    , array([ 0.0313452  ,  0.0133005  ,  2.02371e-66,  3.24443e-12,  0.00485095 ])
175656  , -12393.2    , array([ 0.0313452  ,  0.0133005  ,  2.02371e-66,  3.24118e-12,  0.0048558  ])
175657  , -12379.1    , array([ 0.0313538  ,  0.0133038  ,  2.02371e-66,  3.24118e-12,  0.0048523  ])
175658  , -12379.1    , array([ 0.0313538  ,  0.0133038  ,  2.02371e-66,  3.24118e-12,  0.0048523  ])
175659  , -12363.6    , array([ 0.0313851  ,  0.0133038  ,  2.02371e-66,  3.24118e-12,  0.0048523  ])
175660  , -12379.8    , array([ 0.0313538  ,  0.0133171  ,  2.02371e-66,  3.24118e-12,  0.0048523  ])
175661  , -12379.1    , array([ 0.0313538  ,  0.0133038  ,  2.02573e-66,  3.24118e-12,  0.0048523  ])
175662  , -12379.1    , array([ 0.0313538  ,  0.0133038  ,  2.02371e-66,  3.24443e-12,  0.0048523  ])
175663  , -12393      , array([ 0.0313538  ,  0.0133038  ,  2.02371e-66,  3.24118e-12,  0.00485715 ])
175671  , -12379      , array([ 0.0313559  ,  0.0133046  ,  2.02371e-66,  3.24118e-12,  0.00485263 ])
175672  , -12379      , array([ 0.0313559  ,  0.0133046  ,  2.02371e-66,  3.24118e-12,  0.00485263 ])
175673  , -12363.6    , array([ 0.0313873  ,  0.0133046  ,  2.02371e-66,  3.24118e-12,  0.00485263 ])
175674  , -12379.8    , array([ 0.0313559  ,  0.0133179  ,  2.02371e-66,  3.24118e-12,  0.00485263 ])
175675  , -12379      , array([ 0.0313559  ,  0.0133046  ,  2.02573e-66,  3.24118e-12,  0.00485263 ])
175676  , -12379      , array([ 0.0313559  ,  0.0133046  ,  2.02371e-66,  3.24443e-12,  0.00485263 ])
175677  , -12393      , array([ 0.0313559  ,  0.0133046  ,  2.02371e-66,  3.24118e-12,  0.00485749 ])
175678  , -12379      , array([ 0.031358   ,  0.0133054  ,  2.02371e-66,  3.24118e-12,  0.00485297 ])
175679  , -12379      , array([ 0.031358   ,  0.0133054  ,  2.02371e-66,  3.24118e-12,  0.00485297 ])
175680  , -12363.5    , array([ 0.0313894  ,  0.0133054  ,  2.02371e-66,  3.24118e-12,  0.00485297 ])
175681  , -12379.7    , array([ 0.031358   ,  0.0133188  ,  2.02371e-66,  3.24118e-12,  0.00485297 ])
175682  , -12379      , array([ 0.031358   ,  0.0133054  ,  2.02573e-66,  3.24118e-12,  0.00485297 ])
175683  , -12379      , array([ 0.031358   ,  0.0133054  ,  2.02371e-66,  3.24443e-12,  0.00485297 ])
175684  , -12393      , array([ 0.031358   ,  0.0133054  ,  2.02371e-66,  3.24118e-12,  0.00485783 ])
175685  , -21797.1    , array([ 2.28155    ,  0.648201   ,  2.02371e-66,  3.24118e-12,  0.3758     ])
175686  , -21797.1    , array([ 2.28155    ,  0.648201   ,  2.02371e-66,  3.24118e-12,  0.3758     ])
175687  , -21792      , array([ 2.28383    ,  0.648201   ,  2.02371e-66,  3.24118e-12,  0.3758     ])
175688  , -21787.2    , array([ 2.28155    ,  0.648849   ,  2.02371e-66,  3.24118e-12,  0.3758     ])
175689  , -21797.1    , array([ 2.28155    ,  0.648201   ,  2.02573e-66,  3.24118e-12,  0.3758     ])
175690  , -21797.1    , array([ 2.28155    ,  0.648201   ,  2.02371e-66,  3.24443e-12,  0.3758     ])
175691  , -21827.2    , array([ 2.28155    ,  0.648201   ,  2.02371e-66,  3.24118e-12,  0.376176   ])
175692  , -11113.6    , array([ 0.123362   ,  0.0460479  ,  2.02371e-66,  3.24118e-12,  0.0194755  ])
175693  , -11113.6    , array([ 0.123362   ,  0.0460479  ,  2.02371e-66,  3.24118e-12,  0.0194755  ])
175694  , -11099.5    , array([ 0.123486   ,  0.0460479  ,  2.02371e-66,  3.24118e-12,  0.0194755  ])
175695  , -11110.5    , array([ 0.123362   ,  0.0460939  ,  2.02371e-66,  3.24118e-12,  0.0194755  ])
175696  , -11113.6    , array([ 0.123362   ,  0.0460479  ,  2.02573e-66,  3.24118e-12,  0.0194755  ])
175697  , -11113.6    , array([ 0.123362   ,  0.0460479  ,  2.02371e-66,  3.24443e-12,  0.0194755  ])
175698  , -11129.1    , array([ 0.123362   ,  0.0460479  ,  2.02371e-66,  3.24118e-12,  0.019495   ])
175699  , -9973.48    , array([ 0.383775   ,  0.128821   ,  2.02371e-66,  3.24118e-12,  0.0615954  ])
175700  , -9973.48    , array([ 0.383775   ,  0.128821   ,  2.02371e-66,  3.24118e-12,  0.0615954  ])
175701  , -9961.75    , array([ 0.384159   ,  0.128821   ,  2.02371e-66,  3.24118e-12,  0.0615954  ])
175702  , -9967.31    , array([ 0.383775   ,  0.12895    ,  2.02371e-66,  3.24118e-12,  0.0615954  ])
175703  , -9973.48    , array([ 0.383775   ,  0.128821   ,  2.02573e-66,  3.24118e-12,  0.0615954  ])
175704  , -9973.48    , array([ 0.383775   ,  0.128821   ,  2.02371e-66,  3.24443e-12,  0.0615954  ])
175705  , -9990.56    , array([ 0.383775   ,  0.128821   ,  2.02371e-66,  3.24118e-12,  0.0616571  ])
175713  , -9973.43    , array([ 0.38381    ,  0.128833   ,  2.02371e-66,  3.24118e-12,  0.0616012  ])
175714  , -9973.43    , array([ 0.38381    ,  0.128833   ,  2.02371e-66,  3.24118e-12,  0.0616012  ])
175715  , -9961.71    , array([ 0.384194   ,  0.128833   ,  2.02371e-66,  3.24118e-12,  0.0616012  ])
175716  , -9967.26    , array([ 0.38381    ,  0.128962   ,  2.02371e-66,  3.24118e-12,  0.0616012  ])
175717  , -9973.43    , array([ 0.38381    ,  0.128833   ,  2.02573e-66,  3.24118e-12,  0.0616012  ])
175718  , -9973.43    , array([ 0.38381    ,  0.128833   ,  2.02371e-66,  3.24443e-12,  0.0616012  ])
175719  , -9990.52    , array([ 0.38381    ,  0.128833   ,  2.02371e-66,  3.24118e-12,  0.0616629  ])
175720  , -9973.39    , array([ 0.383844   ,  0.128844   ,  2.02371e-66,  3.24118e-12,  0.0616067  ])
175721  , -9973.39    , array([ 0.383844   ,  0.128844   ,  2.02371e-66,  3.24118e-12,  0.0616067  ])
175722  , -9961.67    , array([ 0.384228   ,  0.128844   ,  2.02371e-66,  3.24118e-12,  0.0616067  ])
175723  , -9967.22    , array([ 0.383844   ,  0.128973   ,  2.02371e-66,  3.24118e-12,  0.0616067  ])
175724  , -9973.39    , array([ 0.383844   ,  0.128844   ,  2.02573e-66,  3.24118e-12,  0.0616067  ])
175725  , -9973.39    , array([ 0.383844   ,  0.128844   ,  2.02371e-66,  3.24443e-12,  0.0616067  ])
175726  , -9990.48    , array([ 0.383844   ,  0.128844   ,  2.02371e-66,  3.24118e-12,  0.0616684  ])
175734  , -9973.38    , array([ 0.383853   ,  0.128847   ,  2.02371e-66,  3.24118e-12,  0.0616082  ])
175735  , -9973.38    , array([ 0.383853   ,  0.128847   ,  2.02371e-66,  3.24118e-12,  0.0616082  ])
175736  , -9961.66    , array([ 0.384237   ,  0.128847   ,  2.02371e-66,  3.24118e-12,  0.0616082  ])
175737  , -9967.21    , array([ 0.383853   ,  0.128976   ,  2.02371e-66,  3.24118e-12,  0.0616082  ])
175738  , -9973.38    , array([ 0.383853   ,  0.128847   ,  2.02573e-66,  3.24118e-12,  0.0616082  ])
175739  , -9973.38    , array([ 0.383853   ,  0.128847   ,  2.02371e-66,  3.24443e-12,  0.0616082  ])
175740  , -9990.47    , array([ 0.383853   ,  0.128847   ,  2.02371e-66,  3.24118e-12,  0.0616698  ])
175741  , -9973.37    , array([ 0.383861   ,  0.12885    ,  2.02371e-66,  3.24118e-12,  0.0616095  ])
175742  , -9973.37    , array([ 0.383861   ,  0.12885    ,  2.02371e-66,  3.24118e-12,  0.0616095  ])
175743  , -9961.65    , array([ 0.384245   ,  0.12885    ,  2.02371e-66,  3.24118e-12,  0.0616095  ])
175744  , -9967.2     , array([ 0.383861   ,  0.128979   ,  2.02371e-66,  3.24118e-12,  0.0616095  ])
175745  , -9973.37    , array([ 0.383861   ,  0.12885    ,  2.02573e-66,  3.24118e-12,  0.0616095  ])
175746  , -9973.37    , array([ 0.383861   ,  0.12885    ,  2.02371e-66,  3.24443e-12,  0.0616095  ])
175747  , -9990.46    , array([ 0.383861   ,  0.12885    ,  2.02371e-66,  3.24118e-12,  0.0616712  ])
175748  , -44175.6    , array([ 6.48508    ,  2.09428    ,  2.02371e-66,  3.24118e-12,  1.09295    ])
