20567   , -79089.4    , array([ 0.285361   ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20568   , -79089.4    , array([ 0.285361   ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20569   , -79089.4    , array([ 1.28536    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20570   , -79089.4    , array([ 2.9034     ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20571   , -79089.4    , array([ 1.28536    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20572   , -79089.4    , array([ 1.9034     ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20573   , -79089.4    , array([ 2.28536    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20574   , -79089.4    , array([ 2.52143    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20575   , -79089.4    , array([ 2.66733    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20576   , -79089.4    , array([ 2.7575     ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20577   , -79089.4    , array([ 2.81323    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20578   , -79089.4    , array([ 2.84767    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20579   , -79089.4    , array([ 2.87329    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20580   , -79089.4    , array([ 2.87329    ,  3.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20581   , -79089.4    , array([ 2.87329    ,  4.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20582   , -79089.4    , array([ 2.87329    ,  6.5438     ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20583   , -79089.4    , array([ 2.87329    ,  4.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20584   , -79089.4    , array([ 2.87329    ,  5.5438     ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20585   , -79089.4    , array([ 2.87329    ,  5.92577    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20586   , -79089.4    , array([ 2.87329    ,  6.16184    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
20587   , -79089.4    , array([ 2.87329    ,  6.30774    ,  0.000143456,  1.46906e-82,  3.3912e-21 ])
