73966   , -79089.4    , array([ 0.951791   ,  0.412524   ,  0.400471   ,  7.09075e-74,  1.45215e-10])
73967   , -79089.4    , array([ 0.952743   ,  0.412524   ,  0.400471   ,  7.09075e-74,  1.45215e-10])
73968   , -79089.4    , array([ 0.951791   ,  0.412937   ,  0.400471   ,  7.09075e-74,  1.45215e-10])
73969   , -79089.4    , array([ 0.951791   ,  0.412524   ,  0.400872   ,  7.09075e-74,  1.45215e-10])
73970   , -79089.4    , array([ 0.951791   ,  0.412524   ,  0.400471   ,  7.09784e-74,  1.45215e-10])
73971   , -79089.4    , array([ 0.951791   ,  0.412524   ,  0.400471   ,  7.09075e-74,  1.4536e-10 ])
73972   , -79089.4    , array([ 0.951791   ,  0.412524   ,  0.400471   ,  7.09075e-74,  1.45215e-10])
73973   , -79089.4    , array([ 0.951675   ,  0.412354   ,  0.400472   ,  7.09075e-74,  1.45293e-10])
73974   , -79089.4    , array([ 0.951675   ,  0.412354   ,  0.400472   ,  7.09075e-74,  1.45293e-10])
73975   , -79089.4    , array([ 0.952627   ,  0.412354   ,  0.400472   ,  7.09075e-74,  1.45293e-10])
73976   , -79089.4    , array([ 0.951675   ,  0.412767   ,  0.400472   ,  7.09075e-74,  1.45293e-10])
73977   , -79089.4    , array([ 0.951675   ,  0.412354   ,  0.400872   ,  7.09075e-74,  1.45293e-10])
73978   , -79089.4    , array([ 0.951675   ,  0.412354   ,  0.400472   ,  7.09784e-74,  1.45293e-10])
73979   , -79089.4    , array([ 0.951675   ,  0.412354   ,  0.400472   ,  7.09075e-74,  1.45438e-10])
73980   , -79089.4    , array([ 0.951212   ,  0.411673   ,  0.400472   ,  7.09075e-74,  1.45606e-10])
73981   , -79089.4    , array([ 0.951212   ,  0.411673   ,  0.400472   ,  7.09075e-74,  1.45606e-10])
73982   , -79089.4    , array([ 0.952164   ,  0.411673   ,  0.400472   ,  7.09075e-74,  1.45606e-10])
73983   , -79089.4    , array([ 0.951212   ,  0.412085   ,  0.400472   ,  7.09075e-74,  1.45606e-10])
73984   , -79089.4    , array([ 0.951212   ,  0.411673   ,  0.400873   ,  7.09075e-74,  1.45606e-10])
73985   , -79089.4    , array([ 0.951212   ,  0.411673   ,  0.400472   ,  7.09784e-74,  1.45606e-10])
73986   , -79089.4    , array([ 0.951212   ,  0.411673   ,  0.400472   ,  7.09075e-74,  1.45752e-10])
73987   , -79089.4    , array([ 0.949362   ,  0.408959   ,  0.400474   ,  7.09075e-74,  1.46866e-10])
73988   , -79089.4    , array([ 0.949362   ,  0.408959   ,  0.400474   ,  7.09075e-74,  1.46866e-10])
73989   , -79089.4    , array([ 0.950312   ,  0.408959   ,  0.400474   ,  7.09075e-74,  1.46866e-10])
73990   , -79089.4    , array([ 0.949362   ,  0.409369   ,  0.400474   ,  7.09075e-74,  1.46866e-10])
73991   , -79089.4    , array([ 0.949362   ,  0.408959   ,  0.400875   ,  7.09075e-74,  1.46866e-10])
73992   , -79089.4    , array([ 0.949362   ,  0.408959   ,  0.400474   ,  7.09784e-74,  1.46866e-10])
73993   , -79089.4    , array([ 0.949362   ,  0.408959   ,  0.400474   ,  7.09075e-74,  1.47013e-10])
73994   , -79089.4    , array([ 0.941998   ,  0.398283   ,  0.400482   ,  7.09075e-74,  1.52015e-10])
73995   , -79089.4    , array([ 0.941998   ,  0.398283   ,  0.400482   ,  7.09075e-74,  1.52015e-10])
73996   , -79089.4    , array([ 0.942941   ,  0.398283   ,  0.400482   ,  7.09075e-74,  1.52015e-10])
73997   , -79089.4    , array([ 0.941998   ,  0.398682   ,  0.400482   ,  7.09075e-74,  1.52015e-10])
73998   , -79089.4    , array([ 0.941998   ,  0.398283   ,  0.400883   ,  7.09075e-74,  1.52015e-10])
73999   , -79089.4    , array([ 0.941998   ,  0.398283   ,  0.400482   ,  7.09784e-74,  1.52015e-10])
74000   , -79089.4    , array([ 0.941998   ,  0.398283   ,  0.400482   ,  7.09075e-74,  1.52167e-10])
74001   , -79089.4    , array([ 0.91311    ,  0.358294   ,  0.400515   ,  7.09075e-74,  1.74479e-10])
74002   , -79089.4    , array([ 0.91311    ,  0.358294   ,  0.400515   ,  7.09075e-74,  1.74479e-10])
74003   , -79089.4    , array([ 0.914023   ,  0.358294   ,  0.400515   ,  7.09075e-74,  1.74479e-10])
74004   , -79089.4    , array([ 0.91311    ,  0.358653   ,  0.400515   ,  7.09075e-74,  1.74479e-10])
74005   , -79089.4    , array([ 0.91311    ,  0.358294   ,  0.400916   ,  7.09075e-74,  1.74479e-10])
74006   , -79089.4    , array([ 0.91311    ,  0.358294   ,  0.400515   ,  7.09784e-74,  1.74479e-10])
74007   , -79089.4    , array([ 0.91311    ,  0.358294   ,  0.400515   ,  7.09075e-74,  1.74654e-10])
74008   , -79089.4    , array([ 0.806148   ,  0.234655   ,  0.400646   ,  7.09075e-74,  3.02814e-10])
74009   , -79089.4    , array([ 0.806148   ,  0.234655   ,  0.400646   ,  7.09075e-74,  3.02814e-10])
74010   , -79089.4    , array([ 0.806955   ,  0.234655   ,  0.400646   ,  7.09075e-74,  3.02814e-10])
74011   , -79089.4    , array([ 0.806148   ,  0.23489    ,  0.400646   ,  7.09075e-74,  3.02814e-10])
74012   , -79089.4    , array([ 0.806148   ,  0.234655   ,  0.401047   ,  7.09075e-74,  3.02814e-10])
74013   , -79089.4    , array([ 0.806148   ,  0.234655   ,  0.400646   ,  7.09784e-74,  3.02814e-10])
