278545  , -79089      , array([ 0.703727   ,  4.0604     ,  4.24392e-45,  1.38404e-30,  3.07349e-07])
278546  , -79089      , array([ 0.704431   ,  4.0604     ,  4.24392e-45,  1.38404e-30,  3.07349e-07])
278547  , -79089      , array([ 0.703727   ,  4.06447    ,  4.24392e-45,  1.38404e-30,  3.07349e-07])
278548  , -79089      , array([ 0.703727   ,  4.0604     ,  4.24817e-45,  1.38404e-30,  3.07349e-07])
278549  , -79089      , array([ 0.703727   ,  4.0604     ,  4.24392e-45,  1.38543e-30,  3.07349e-07])
278550  , -79089      , array([ 0.703727   ,  4.0604     ,  4.24392e-45,  1.38404e-30,  3.07657e-07])
278551  , -79089      , array([ 0.703727   ,  4.0604     ,  4.24392e-45,  1.38404e-30,  3.07349e-07])
278552  , -79088.5    , array([ 0.496596   ,  3.71504    ,  4.24392e-45,  1.38404e-30,  4.78681e-07])
278553  , -79088.5    , array([ 0.496596   ,  3.71504    ,  4.24392e-45,  1.38404e-30,  4.78681e-07])
278554  , -79088.5    , array([ 0.497092   ,  3.71504    ,  4.24392e-45,  1.38404e-30,  4.78681e-07])
278555  , -79088.5    , array([ 0.496596   ,  3.71876    ,  4.24392e-45,  1.38404e-30,  4.78681e-07])
278556  , -79088.5    , array([ 0.496596   ,  3.71504    ,  4.24817e-45,  1.38404e-30,  4.78681e-07])
278557  , -79088.5    , array([ 0.496596   ,  3.71504    ,  4.24392e-45,  1.38543e-30,  4.78681e-07])
278558  , -79088.5    , array([ 0.496596   ,  3.71504    ,  4.24392e-45,  1.38404e-30,  4.79159e-07])
278559  , -79069.9    , array([ 0.123139   ,  2.6034     ,  4.24392e-45,  1.38404e-30,  2.81643e-06])
278560  , -79069.9    , array([ 0.123139   ,  2.6034     ,  4.24392e-45,  1.38404e-30,  2.81643e-06])
278561  , -79069.9    , array([ 0.123263   ,  2.6034     ,  4.24392e-45,  1.38404e-30,  2.81643e-06])
278562  , -79069.9    , array([ 0.123139   ,  2.606      ,  4.24392e-45,  1.38404e-30,  2.81643e-06])
278563  , -79069.9    , array([ 0.123139   ,  2.6034     ,  4.24817e-45,  1.38404e-30,  2.81643e-06])
278564  , -79069.9    , array([ 0.123139   ,  2.6034     ,  4.24392e-45,  1.38543e-30,  2.81643e-06])
278565  , -79069.8    , array([ 0.123139   ,  2.6034     ,  4.24392e-45,  1.38404e-30,  2.81925e-06])
278573  , -79069.9    , array([ 0.123139   ,  2.60339    ,  4.24392e-45,  1.38404e-30,  2.81644e-06])
278574  , -79069.9    , array([ 0.123139   ,  2.60339    ,  4.24392e-45,  1.38404e-30,  2.81644e-06])
278575  , -79069.9    , array([ 0.123262   ,  2.60339    ,  4.24392e-45,  1.38404e-30,  2.81644e-06])
278576  , -79069.9    , array([ 0.123139   ,  2.606      ,  4.24392e-45,  1.38404e-30,  2.81644e-06])
278577  , -79069.9    , array([ 0.123139   ,  2.60339    ,  4.24817e-45,  1.38404e-30,  2.81644e-06])
278578  , -79069.9    , array([ 0.123139   ,  2.60339    ,  4.24392e-45,  1.38543e-30,  2.81644e-06])
278579  , -79069.8    , array([ 0.123139   ,  2.60339    ,  4.24392e-45,  1.38404e-30,  2.81926e-06])
278580  , -79069.9    , array([ 0.123139   ,  2.60339    ,  4.24392e-45,  1.38404e-30,  2.81645e-06])
