128951  , -705677     , array([ 0.0141497  ,  0.00487529 ,  7.1104e-39 ,  3.80925e-47,  0.139635   ])
128952  , -705677     , array([ 0.0141497  ,  0.00487529 ,  7.1104e-39 ,  3.80925e-47,  0.139635   ])
128953  , -705686     , array([ 0.0141639  ,  0.00487529 ,  7.1104e-39 ,  3.80925e-47,  0.139635   ])
128954  , -731033     , array([ 0.0141497  ,  0.00488017 ,  7.1104e-39 ,  3.80925e-47,  0.139635   ])
128955  , -705677     , array([ 0.0141497  ,  0.00487529 ,  7.11751e-39,  3.80925e-47,  0.139635   ])
128956  , -705677     , array([ 0.0141497  ,  0.00487529 ,  7.1104e-39 ,  3.81307e-47,  0.139635   ])
128957  , -695025     , array([ 0.0141497  ,  0.00487529 ,  7.1104e-39 ,  3.80925e-47,  0.139775   ])
128958  , -657205     , array([ 0.00777233 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128959  , -657205     , array([ 0.00777233 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128960  , -657221     , array([ 0.00778011 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128961  , -660586     , array([ 0.00777233 ,  0.00496161 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128962  , -657205     , array([ 0.00777233 ,  0.00495665 ,  7.11751e-39,  3.80925e-47,  0.135651   ])
128963  , -657205     , array([ 0.00777233 ,  0.00495665 ,  7.1104e-39 ,  3.81307e-47,  0.135651   ])
128964  , -656928     , array([ 0.00777233 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135787   ])
128965  , -668489     , array([ 0.00790724 ,  0.0049543  ,  7.1104e-39 ,  3.80925e-47,  0.135764   ])
128966  , -668489     , array([ 0.00790724 ,  0.0049543  ,  7.1104e-39 ,  3.80925e-47,  0.135764   ])
128967  , -668504     , array([ 0.00791515 ,  0.0049543  ,  7.1104e-39 ,  3.80925e-47,  0.135764   ])
128968  , -655201     , array([ 0.00790724 ,  0.00495925 ,  7.1104e-39 ,  3.80925e-47,  0.135764   ])
128969  , -668489     , array([ 0.00790724 ,  0.0049543  ,  7.11751e-39,  3.80925e-47,  0.135764   ])
128970  , -668489     , array([ 0.00790724 ,  0.0049543  ,  7.1104e-39 ,  3.81307e-47,  0.135764   ])
128971  , -683047     , array([ 0.00790724 ,  0.0049543  ,  7.1104e-39 ,  3.80925e-47,  0.1359     ])
128972  , -657199     , array([ 0.0077781  ,  0.00495655 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128973  , -657199     , array([ 0.0077781  ,  0.00495655 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128974  , -660007     , array([ 0.00778589 ,  0.00495655 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128975  , -660414     , array([ 0.0077781  ,  0.00496151 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128976  , -657199     , array([ 0.0077781  ,  0.00495655 ,  7.11751e-39,  3.80925e-47,  0.135656   ])
128977  , -657199     , array([ 0.0077781  ,  0.00495655 ,  7.1104e-39 ,  3.81307e-47,  0.135656   ])
128978  , -656925     , array([ 0.0077781  ,  0.00495655 ,  7.1104e-39 ,  3.80925e-47,  0.135792   ])
128979  , -657204     , array([ 0.00777252 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128980  , -657204     , array([ 0.00777252 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128981  , -657221     , array([ 0.00778029 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128982  , -660572     , array([ 0.00777252 ,  0.00496161 ,  7.1104e-39 ,  3.80925e-47,  0.135651   ])
128983  , -657204     , array([ 0.00777252 ,  0.00495665 ,  7.11751e-39,  3.80925e-47,  0.135651   ])
128984  , -657204     , array([ 0.00777252 ,  0.00495665 ,  7.1104e-39 ,  3.81307e-47,  0.135651   ])
128985  , -656928     , array([ 0.00777252 ,  0.00495665 ,  7.1104e-39 ,  3.80925e-47,  0.135787   ])
128986  , -657200     , array([ 0.00777622 ,  0.00495658 ,  7.1104e-39 ,  3.80925e-47,  0.135655   ])
128987  , -657200     , array([ 0.00777622 ,  0.00495658 ,  7.1104e-39 ,  3.80925e-47,  0.135655   ])
128988  , -657218     , array([ 0.007784   ,  0.00495658 ,  7.1104e-39 ,  3.80925e-47,  0.135655   ])
128989  , -660446     , array([ 0.00777622 ,  0.00496154 ,  7.1104e-39 ,  3.80925e-47,  0.135655   ])
128990  , -657200     , array([ 0.00777622 ,  0.00495658 ,  7.11751e-39,  3.80925e-47,  0.135655   ])
128991  , -657200     , array([ 0.00777622 ,  0.00495658 ,  7.1104e-39 ,  3.81307e-47,  0.135655   ])
128992  , -656926     , array([ 0.00777622 ,  0.00495658 ,  7.1104e-39 ,  3.80925e-47,  0.13579    ])
128993  , -657199     , array([ 0.00777747 ,  0.00495656 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128994  , -657199     , array([ 0.00777747 ,  0.00495656 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128995  , -660042     , array([ 0.00778525 ,  0.00495656 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128996  , -660424     , array([ 0.00777747 ,  0.00496152 ,  7.1104e-39 ,  3.80925e-47,  0.135656   ])
128997  , -657199     , array([ 0.00777747 ,  0.00495656 ,  7.11751e-39,  3.80925e-47,  0.135656   ])
128998  , -657199     , array([ 0.00777747 ,  0.00495656 ,  7.1104e-39 ,  3.81307e-47,  0.135656   ])
128999  , -656925     , array([ 0.00777747 ,  0.00495656 ,  7.1104e-39 ,  3.80925e-47,  0.135791   ])
