8496    , -93307.9    , array([ 1.99133    ,  0.0303398  ,  6.76539e-10,  5.4149e-53 ,  0.0935528  ])
8497    , -93307.9    , array([ 1.99133    ,  0.0303398  ,  6.75863e-10,  5.42032e-53,  0.0935528  ])
8498    , -93418.3    , array([ 1.99133    ,  0.0303398  ,  6.75863e-10,  5.4149e-53 ,  0.0936464  ])
8499    , -3584.66    , array([ 0.700092   ,  0.150267   ,  6.75863e-10,  5.4149e-53 ,  0.0529707  ])
8500    , -3584.66    , array([ 0.700092   ,  0.150267   ,  6.75863e-10,  5.4149e-53 ,  0.0529707  ])
8501    , -3580.83    , array([ 0.700792   ,  0.150267   ,  6.75863e-10,  5.4149e-53 ,  0.0529707  ])
8502    , -3585.37    , array([ 0.700092   ,  0.150417   ,  6.75863e-10,  5.4149e-53 ,  0.0529707  ])
8503    , -3584.66    , array([ 0.700092   ,  0.150267   ,  6.76539e-10,  5.4149e-53 ,  0.0529707  ])
8504    , -3584.66    , array([ 0.700092   ,  0.150267   ,  6.75863e-10,  5.42032e-53,  0.0529707  ])
8505    , -3588.29    , array([ 0.700092   ,  0.150267   ,  6.75863e-10,  5.4149e-53 ,  0.0530237  ])
8513    , -3584.48    , array([ 0.699864   ,  0.150214   ,  6.75863e-10,  5.4149e-53 ,  0.0529532  ])
8514    , -3584.48    , array([ 0.699864   ,  0.150214   ,  6.75863e-10,  5.4149e-53 ,  0.0529532  ])
8515    , -3580.65    , array([ 0.700564   ,  0.150214   ,  6.75863e-10,  5.4149e-53 ,  0.0529532  ])
8516    , -3585.18    , array([ 0.699864   ,  0.150365   ,  6.75863e-10,  5.4149e-53 ,  0.0529532  ])
8517    , -3584.48    , array([ 0.699864   ,  0.150214   ,  6.76539e-10,  5.4149e-53 ,  0.0529532  ])
8518    , -3584.48    , array([ 0.699864   ,  0.150214   ,  6.75863e-10,  5.42032e-53,  0.0529532  ])
8519    , -3588.11    , array([ 0.699864   ,  0.150214   ,  6.75863e-10,  5.4149e-53 ,  0.0530062  ])
