88103   , -14825.4    , array([ 2.58463    ,  0.649347   ,  0.00263715 ,  9.97811e-57,  0.0905246  ])
88104   , -14827.9    , array([ 2.58721    ,  0.649347   ,  0.00263715 ,  9.97811e-57,  0.0905246  ])
88105   , -14844.6    , array([ 2.58463    ,  0.649997   ,  0.00263715 ,  9.97811e-57,  0.0905246  ])
88106   , -14825.4    , array([ 2.58463    ,  0.649347   ,  0.00263979 ,  9.97811e-57,  0.0905246  ])
88107   , -14825.4    , array([ 2.58463    ,  0.649347   ,  0.00263715 ,  9.98809e-57,  0.0905246  ])
88108   , -14809.6    , array([ 2.58463    ,  0.649347   ,  0.00263715 ,  9.97811e-57,  0.0906152  ])
88109   , -14825.4    , array([ 2.58463    ,  0.649347   ,  0.00263715 ,  9.97811e-57,  0.0905246  ])
88110   , -10576.9    , array([ 2.34393    ,  0.299148   ,  0.0026369  ,  9.97811e-57,  0.171715   ])
88111   , -10576.9    , array([ 2.34393    ,  0.299148   ,  0.0026369  ,  9.97811e-57,  0.171715   ])
88112   , -10576.3    , array([ 2.34627    ,  0.299148   ,  0.0026369  ,  9.97811e-57,  0.171715   ])
88113   , -10564.8    , array([ 2.34393    ,  0.299447   ,  0.0026369  ,  9.97811e-57,  0.171715   ])
88114   , -10576.8    , array([ 2.34393    ,  0.299148   ,  0.00263954 ,  9.97811e-57,  0.171715   ])
88115   , -10576.9    , array([ 2.34393    ,  0.299148   ,  0.0026369  ,  9.98809e-57,  0.171715   ])
88116   , -10597.9    , array([ 2.34393    ,  0.299148   ,  0.0026369  ,  9.97811e-57,  0.171886   ])
88117   , -6480.3     , array([ 2.45562    ,  0.432683   ,  0.00263702 ,  9.97811e-57,  0.126592   ])
88118   , -6480.3     , array([ 2.45562    ,  0.432683   ,  0.00263702 ,  9.97811e-57,  0.126592   ])
88119   , -6480.62    , array([ 2.45807    ,  0.432683   ,  0.00263702 ,  9.97811e-57,  0.126592   ])
88120   , -6486.64    , array([ 2.45562    ,  0.433116   ,  0.00263702 ,  9.97811e-57,  0.126592   ])
88121   , -6480.29    , array([ 2.45562    ,  0.432683   ,  0.00263965 ,  9.97811e-57,  0.126592   ])
88122   , -6480.3     , array([ 2.45562    ,  0.432683   ,  0.00263702 ,  9.98809e-57,  0.126592   ])
88123   , -6480.85    , array([ 2.45562    ,  0.432683   ,  0.00263702 ,  9.97811e-57,  0.126718   ])
88124   , -3660.2     , array([ 2.49034    ,  0.0358576  ,  0.0026429  ,  9.97811e-57,  0.0180854  ])
88125   , -3660.2     , array([ 2.49034    ,  0.0358576  ,  0.0026429  ,  9.97811e-57,  0.0180854  ])
88126   , -3660.28    , array([ 2.49283    ,  0.0358576  ,  0.0026429  ,  9.97811e-57,  0.0180854  ])
88127   , -3648.88    , array([ 2.49034    ,  0.0358935  ,  0.0026429  ,  9.97811e-57,  0.0180854  ])
88128   , -3660.19    , array([ 2.49034    ,  0.0358576  ,  0.00264554 ,  9.97811e-57,  0.0180854  ])
88129   , -3660.2     , array([ 2.49034    ,  0.0358576  ,  0.0026429  ,  9.98809e-57,  0.0180854  ])
88130   , -3670.92    , array([ 2.49034    ,  0.0358576  ,  0.0026429  ,  9.97811e-57,  0.0181035  ])
88131   , -36571.5    , array([ 0.0167493  ,  0.0208077  ,  0.00262927 ,  9.97811e-57,  0.00623147 ])
88132   , -36571.5    , array([ 0.0167493  ,  0.0208077  ,  0.00262927 ,  9.97811e-57,  0.00623147 ])
88133   , -36531.2    , array([ 0.0167661  ,  0.0208077  ,  0.00262927 ,  9.97811e-57,  0.00623147 ])
88134   , -36582      , array([ 0.0167493  ,  0.0208285  ,  0.00262927 ,  9.97811e-57,  0.00623147 ])
88135   , -36571.5    , array([ 0.0167493  ,  0.0208077  ,  0.0026319  ,  9.97811e-57,  0.00623147 ])
88136   , -36571.5    , array([ 0.0167493  ,  0.0208077  ,  0.00262927 ,  9.98809e-57,  0.00623147 ])
88137   , -36599.7    , array([ 0.0167493  ,  0.0208077  ,  0.00262927 ,  9.97811e-57,  0.0062377  ])
88138   , -2622.08    , array([ 0.689173   ,  0.0311799  ,  0.00263939 ,  9.97811e-57,  0.0137555  ])
88139   , -2622.08    , array([ 0.689173   ,  0.0311799  ,  0.00263939 ,  9.97811e-57,  0.0137555  ])
88140   , -2621.78    , array([ 0.689862   ,  0.0311799  ,  0.00263939 ,  9.97811e-57,  0.0137555  ])
88141   , -2614.98    , array([ 0.689173   ,  0.0312111  ,  0.00263939 ,  9.97811e-57,  0.0137555  ])
88142   , -2622.08    , array([ 0.689173   ,  0.0311799  ,  0.00264203 ,  9.97811e-57,  0.0137555  ])
88143   , -2622.08    , array([ 0.689173   ,  0.0311799  ,  0.00263939 ,  9.98809e-57,  0.0137555  ])
88144   , -2628.86    , array([ 0.689173   ,  0.0311799  ,  0.00263939 ,  9.97811e-57,  0.0137693  ])
88145   , -1852.74    , array([ 0.988662   ,  0.0383882  ,  0.00136679 ,  9.97811e-57,  0.0146824  ])
88146   , -1852.74    , array([ 0.988662   ,  0.0383882  ,  0.00136679 ,  9.97811e-57,  0.0146824  ])
88147   , -1852.67    , array([ 0.989651   ,  0.0383882  ,  0.00136679 ,  9.97811e-57,  0.0146824  ])
88148   , -1850.29    , array([ 0.988662   ,  0.0384266  ,  0.00136679 ,  9.97811e-57,  0.0146824  ])
88149   , -1852.74    , array([ 0.988662   ,  0.0383882  ,  0.00136816 ,  9.97811e-57,  0.0146824  ])
88150   , -1852.74    , array([ 0.988662   ,  0.0383882  ,  0.00136679 ,  9.98809e-57,  0.0146824  ])
88151   , -1854.82    , array([ 0.988662   ,  0.0383882  ,  0.00136679 ,  9.97811e-57,  0.0146971  ])
88152   , -1694.69    , array([ 1.33324    ,  0.04899    ,  0.00120934 ,  9.97811e-57,  0.0174332  ])
88153   , -1694.69    , array([ 1.33324    ,  0.04899    ,  0.00120934 ,  9.97811e-57,  0.0174332  ])
88154   , -1694.72    , array([ 1.33458    ,  0.04899    ,  0.00120934 ,  9.97811e-57,  0.0174332  ])
88155   , -1694.66    , array([ 1.33324    ,  0.049039   ,  0.00120934 ,  9.97811e-57,  0.0174332  ])
88156   , -1694.69    , array([ 1.33324    ,  0.04899    ,  0.00121055 ,  9.97811e-57,  0.0174332  ])
88157   , -1694.69    , array([ 1.33324    ,  0.04899    ,  0.00120934 ,  9.98809e-57,  0.0174332  ])
88158   , -1694.43    , array([ 1.33324    ,  0.04899    ,  0.00120934 ,  9.97811e-57,  0.0174507  ])
88159   , -1661.57    , array([ 1.5708     ,  0.0574016  ,  0.00152128 ,  9.97811e-57,  0.0202883  ])
88160   , -1661.57    , array([ 1.5708     ,  0.0574016  ,  0.00152128 ,  9.97811e-57,  0.0202883  ])
88161   , -1661.64    , array([ 1.57237    ,  0.0574016  ,  0.00152128 ,  9.97811e-57,  0.0202883  ])
88162   , -1661.88    , array([ 1.5708     ,  0.057459   ,  0.00152128 ,  9.97811e-57,  0.0202883  ])
88163   , -1661.57    , array([ 1.5708     ,  0.0574016  ,  0.0015228  ,  9.97811e-57,  0.0202883  ])
88164   , -1661.57    , array([ 1.5708     ,  0.0574016  ,  0.00152128 ,  9.98809e-57,  0.0202883  ])
88165   , -1661.07    , array([ 1.5708     ,  0.0574016  ,  0.00152128 ,  9.97811e-57,  0.0203086  ])
88166   , -1638.32    , array([ 1.62137    ,  0.0674165  ,  0.00244791 ,  9.97811e-57,  0.0239206  ])
88167   , -1638.32    , array([ 1.62137    ,  0.0674165  ,  0.00244791 ,  9.97811e-57,  0.0239206  ])
88168   , -1638.39    , array([ 1.62299    ,  0.0674165  ,  0.00244791 ,  9.97811e-57,  0.0239206  ])
88169   , -1638.63    , array([ 1.62137    ,  0.0674839  ,  0.00244791 ,  9.97811e-57,  0.0239206  ])
88170   , -1638.32    , array([ 1.62137    ,  0.0674165  ,  0.00245036 ,  9.97811e-57,  0.0239206  ])
88171   , -1638.32    , array([ 1.62137    ,  0.0674165  ,  0.00244791 ,  9.98809e-57,  0.0239206  ])
88172   , -1637.98    , array([ 1.62137    ,  0.0674165  ,  0.00244791 ,  9.97811e-57,  0.0239446  ])
88173   , -1632.27    , array([ 1.43753    ,  0.0685581  ,  0.00337465 ,  9.97811e-57,  0.0244669  ])
88174   , -1632.27    , array([ 1.43753    ,  0.0685581  ,  0.00337465 ,  9.97811e-57,  0.0244669  ])
88175   , -1632.27    , array([ 1.43897    ,  0.0685581  ,  0.00337465 ,  9.97811e-57,  0.0244669  ])
88176   , -1632.38    , array([ 1.43753    ,  0.0686267  ,  0.00337465 ,  9.97811e-57,  0.0244669  ])
88177   , -1632.27    , array([ 1.43753    ,  0.0685581  ,  0.00337803 ,  9.97811e-57,  0.0244669  ])
88178   , -1632.27    , array([ 1.43753    ,  0.0685581  ,  0.00337465 ,  9.98809e-57,  0.0244669  ])
88179   , -1632.17    , array([ 1.43753    ,  0.0685581  ,  0.00337465 ,  9.97811e-57,  0.0244914  ])
88180   , -1632.32    , array([ 1.43519    ,  0.0676463  ,  0.00401364 ,  9.97811e-57,  0.024223   ])
88181   , -1632.32    , array([ 1.43519    ,  0.0676463  ,  0.00401364 ,  9.97811e-57,  0.024223   ])
88182   , -1632.32    , array([ 1.43662    ,  0.0676463  ,  0.00401364 ,  9.97811e-57,  0.024223   ])
88183   , -1632.33    , array([ 1.43519    ,  0.067714   ,  0.00401364 ,  9.97811e-57,  0.024223   ])
88184   , -1632.32    , array([ 1.43519    ,  0.0676463  ,  0.00401766 ,  9.97811e-57,  0.024223   ])
88185   , -1632.32    , array([ 1.43519    ,  0.0676463  ,  0.00401364 ,  9.98809e-57,  0.024223   ])
88186   , -1632.32    , array([ 1.43519    ,  0.0676463  ,  0.00401364 ,  9.97811e-57,  0.0242472  ])
88187   , -1632.23    , array([ 1.4369     ,  0.0683135  ,  0.00353453 ,  9.97811e-57,  0.0244016  ])
88188   , -1632.23    , array([ 1.4369     ,  0.0683135  ,  0.00353453 ,  9.97811e-57,  0.0244016  ])
88189   , -1632.23    , array([ 1.43834    ,  0.0683135  ,  0.00353453 ,  9.97811e-57,  0.0244016  ])
88190   , -1632.32    , array([ 1.4369     ,  0.0683819  ,  0.00353453 ,  9.97811e-57,  0.0244016  ])
88191   , -1632.23    , array([ 1.4369     ,  0.0683135  ,  0.00353806 ,  9.97811e-57,  0.0244016  ])
88192   , -1632.23    , array([ 1.4369     ,  0.0683135  ,  0.00353453 ,  9.98809e-57,  0.0244016  ])
88193   , -1632.16    , array([ 1.4369     ,  0.0683135  ,  0.00353453 ,  9.97811e-57,  0.024426   ])
88194   , -1632.21    , array([ 1.43662    ,  0.0681958  ,  0.00378292 ,  9.97811e-57,  0.0243727  ])
88195   , -1632.21    , array([ 1.43662    ,  0.0681958  ,  0.00378292 ,  9.97811e-57,  0.0243727  ])
88196   , -1632.21    , array([ 1.43805    ,  0.0681958  ,  0.00378292 ,  9.97811e-57,  0.0243727  ])
88197   , -1632.28    , array([ 1.43662    ,  0.0682641  ,  0.00378292 ,  9.97811e-57,  0.0243727  ])
88198   , -1632.21    , array([ 1.43662    ,  0.0681958  ,  0.00378671 ,  9.97811e-57,  0.0243727  ])
88199   , -1632.21    , array([ 1.43662    ,  0.0681958  ,  0.00378292 ,  9.98809e-57,  0.0243727  ])
88200   , -1632.16    , array([ 1.43662    ,  0.0681958  ,  0.00378292 ,  9.97811e-57,  0.0243971  ])
88201   , -1632.2     , array([ 1.43642    ,  0.0681264  ,  0.0040665  ,  9.97811e-57,  0.0243557  ])
88202   , -1632.2     , array([ 1.43642    ,  0.0681264  ,  0.0040665  ,  9.97811e-57,  0.0243557  ])
88203   , -1632.2     , array([ 1.43786    ,  0.0681264  ,  0.0040665  ,  9.97811e-57,  0.0243557  ])
88204   , -1632.25    , array([ 1.43642    ,  0.0681945  ,  0.0040665  ,  9.97811e-57,  0.0243557  ])
88205   , -1632.2     , array([ 1.43642    ,  0.0681264  ,  0.00407057 ,  9.97811e-57,  0.0243557  ])
88206   , -1632.2     , array([ 1.43642    ,  0.0681264  ,  0.0040665  ,  9.98809e-57,  0.0243557  ])
88207   , -1632.15    , array([ 1.43642    ,  0.0681264  ,  0.0040665  ,  9.97811e-57,  0.0243801  ])
88208   , -1632.17    , array([ 1.43562    ,  0.0678492  ,  0.00542993 ,  9.97811e-57,  0.0242878  ])
88209   , -1632.17    , array([ 1.43562    ,  0.0678492  ,  0.00542993 ,  9.97811e-57,  0.0242878  ])
88210   , -1632.17    , array([ 1.43706    ,  0.0678492  ,  0.00542993 ,  9.97811e-57,  0.0242878  ])
88211   , -1632.19    , array([ 1.43562    ,  0.067917   ,  0.00542993 ,  9.97811e-57,  0.0242878  ])
88212   , -1632.17    , array([ 1.43562    ,  0.0678492  ,  0.00543536 ,  9.97811e-57,  0.0242878  ])
88213   , -1632.17    , array([ 1.43562    ,  0.0678492  ,  0.00542993 ,  9.98809e-57,  0.0242878  ])
88214   , -1632.16    , array([ 1.43562    ,  0.0678492  ,  0.00542993 ,  9.97811e-57,  0.0243121  ])
88215   , -1632.13    , array([ 1.43506    ,  0.0677056  ,  0.00698313 ,  9.97811e-57,  0.0242538  ])
88216   , -1632.13    , array([ 1.43506    ,  0.0677056  ,  0.00698313 ,  9.97811e-57,  0.0242538  ])
88217   , -1632.13    , array([ 1.43649    ,  0.0677056  ,  0.00698313 ,  9.97811e-57,  0.0242538  ])
88218   , -1632.13    , array([ 1.43506    ,  0.0677734  ,  0.00698313 ,  9.97811e-57,  0.0242538  ])
88219   , -1632.13    , array([ 1.43506    ,  0.0677056  ,  0.00699012 ,  9.97811e-57,  0.0242538  ])
88220   , -1632.13    , array([ 1.43506    ,  0.0677056  ,  0.00698313 ,  9.98809e-57,  0.0242538  ])
88221   , -1632.14    , array([ 1.43506    ,  0.0677056  ,  0.00698313 ,  9.97811e-57,  0.0242781  ])
88222   , -1631.86    , array([ 1.4328     ,  0.0671347  ,  0.0191018  ,  9.97811e-57,  0.0241182  ])
88223   , -1631.86    , array([ 1.4328     ,  0.0671347  ,  0.0191018  ,  9.97811e-57,  0.0241182  ])
88224   , -1631.86    , array([ 1.43423    ,  0.0671347  ,  0.0191018  ,  9.97811e-57,  0.0241182  ])
88225   , -1631.77    , array([ 1.4328     ,  0.0672018  ,  0.0191018  ,  9.97811e-57,  0.0241182  ])
88226   , -1631.86    , array([ 1.4328     ,  0.0671347  ,  0.0191209  ,  9.97811e-57,  0.0241182  ])
88227   , -1631.86    , array([ 1.4328     ,  0.0671347  ,  0.0191018  ,  9.98809e-57,  0.0241182  ])
