602     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
603     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
604     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
605     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
606     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
613     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
614     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
615     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
616     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
617     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
618     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
619     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
620     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
621     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
622     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
623     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
624     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
625     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
626     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
627     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
628     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
629     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
630     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
631     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
