280363  , -3044.23    , array([ 10.601     ,  0.162365   ,  3.04922e-53,  0.0471449  ,  0.0583963  ])
280364  , -3044.56    , array([ 10.6116    ,  0.162365   ,  3.04922e-53,  0.0471449  ,  0.0583963  ])
280365  , -3045.66    , array([ 10.601     ,  0.162528   ,  3.04922e-53,  0.0471449  ,  0.0583963  ])
280366  , -3044.23    , array([ 10.601     ,  0.162365   ,  3.05227e-53,  0.0471449  ,  0.0583963  ])
280367  , -3044.23    , array([ 10.601     ,  0.162365   ,  3.04922e-53,  0.0471921  ,  0.0583963  ])
280368  , -3045.8     , array([ 10.601     ,  0.162365   ,  3.04922e-53,  0.0471449  ,  0.0584547  ])
280369  , -3044.23    , array([ 10.601     ,  0.162365   ,  3.04922e-53,  0.0471449  ,  0.0583963  ])
280370  , -1997.31    , array([ 9.05784    ,  0.0829021  ,  3.04922e-53,  0.047131   ,  0.0279389  ])
280371  , -1997.31    , array([ 9.05784    ,  0.0829021  ,  3.04922e-53,  0.047131   ,  0.0279389  ])
280372  , -1997.43    , array([ 9.0669     ,  0.0829021  ,  3.04922e-53,  0.047131   ,  0.0279389  ])
280373  , -1999.77    , array([ 9.05784    ,  0.0829851  ,  3.04922e-53,  0.047131   ,  0.0279389  ])
280374  , -1997.31    , array([ 9.05784    ,  0.0829021  ,  3.05227e-53,  0.047131   ,  0.0279389  ])
280375  , -1997.31    , array([ 9.05784    ,  0.0829021  ,  3.04922e-53,  0.0471782  ,  0.0279389  ])
280376  , -1995.38    , array([ 9.05784    ,  0.0829021  ,  3.04922e-53,  0.047131   ,  0.0279668  ])
280377  , -10447      , array([ 7.64917    ,  0.0277765  ,  3.04922e-53,  0.0470931  ,  0.0204829  ])
280378  , -10447      , array([ 7.64917    ,  0.0277765  ,  3.04922e-53,  0.0470931  ,  0.0204829  ])
280379  , -10447      , array([ 7.65683    ,  0.0277765  ,  3.04922e-53,  0.0470931  ,  0.0204829  ])
280380  , -10422.2    , array([ 7.64917    ,  0.0278043  ,  3.04922e-53,  0.0470931  ,  0.0204829  ])
280381  , -10447      , array([ 7.64917    ,  0.0277765  ,  3.05227e-53,  0.0470931  ,  0.0204829  ])
280382  , -10446.9    , array([ 7.64917    ,  0.0277765  ,  3.04922e-53,  0.0471402  ,  0.0204829  ])
280383  , -10470.8    , array([ 7.64917    ,  0.0277765  ,  3.04922e-53,  0.0470931  ,  0.0205034  ])
280384  , -1885.77    , array([ 8.90169    ,  0.0740819  ,  3.04922e-53,  0.0471271  ,  0.0270607  ])
280385  , -1885.77    , array([ 8.90169    ,  0.0740819  ,  3.04922e-53,  0.0471271  ,  0.0270607  ])
280386  , -1885.88    , array([ 8.9106     ,  0.0740819  ,  3.04922e-53,  0.0471271  ,  0.0270607  ])
280387  , -1885.7     , array([ 8.90169    ,  0.074156   ,  3.04922e-53,  0.0471271  ,  0.0270607  ])
280388  , -1885.77    , array([ 8.90169    ,  0.0740819  ,  3.05227e-53,  0.0471271  ,  0.0270607  ])
280389  , -1885.77    , array([ 8.90169    ,  0.0740819  ,  3.04922e-53,  0.0471743  ,  0.0270607  ])
280390  , -1886.21    , array([ 8.90169    ,  0.0740819  ,  3.04922e-53,  0.0471271  ,  0.0270878  ])
280391  , -3232.8     , array([ 0.501806   ,  0.0944046  ,  3.04922e-53,  0.05106    ,  0.0344709  ])
280392  , -3232.8     , array([ 0.501806   ,  0.0944046  ,  3.04922e-53,  0.05106    ,  0.0344709  ])
280393  , -3229.05    , array([ 0.502308   ,  0.0944046  ,  3.04922e-53,  0.05106    ,  0.0344709  ])
280394  , -3232.35    , array([ 0.501806   ,  0.0944991  ,  3.04922e-53,  0.05106    ,  0.0344709  ])
280395  , -3232.8     , array([ 0.501806   ,  0.0944046  ,  3.05227e-53,  0.05106    ,  0.0344709  ])
280396  , -3232.79    , array([ 0.501806   ,  0.0944046  ,  3.04922e-53,  0.0511111  ,  0.0344709  ])
280397  , -3236.55    , array([ 0.501806   ,  0.0944046  ,  3.04922e-53,  0.05106    ,  0.0345054  ])
280398  , -1769.06    , array([ 3.58293    ,  0.0799888  ,  3.04922e-53,  0.0483378  ,  0.0292148  ])
280399  , -1769.06    , array([ 3.58293    ,  0.0799888  ,  3.04922e-53,  0.0483378  ,  0.0292148  ])
280400  , -1769.25    , array([ 3.58651    ,  0.0799888  ,  3.04922e-53,  0.0483378  ,  0.0292148  ])
280401  , -1768.94    , array([ 3.58293    ,  0.0800688  ,  3.04922e-53,  0.0483378  ,  0.0292148  ])
280402  , -1769.06    , array([ 3.58293    ,  0.0799888  ,  3.05227e-53,  0.0483378  ,  0.0292148  ])
280403  , -1769.06    , array([ 3.58293    ,  0.0799888  ,  3.04922e-53,  0.0483861  ,  0.0292148  ])
280404  , -1769.5     , array([ 3.58293    ,  0.0799888  ,  3.04922e-53,  0.0483378  ,  0.0292441  ])
280405  , -1675.58    , array([ 1.44603    ,  0.086347   ,  3.04922e-53,  0.0495758  ,  0.0315332  ])
280406  , -1675.58    , array([ 1.44603    ,  0.086347   ,  3.04922e-53,  0.0495758  ,  0.0315332  ])
280407  , -1675.49    , array([ 1.44747    ,  0.086347   ,  3.04922e-53,  0.0495758  ,  0.0315332  ])
280408  , -1675.24    , array([ 1.44603    ,  0.0864334  ,  3.04922e-53,  0.0495758  ,  0.0315332  ])
280409  , -1675.58    , array([ 1.44603    ,  0.086347   ,  3.05227e-53,  0.0495758  ,  0.0315332  ])
280410  , -1675.58    , array([ 1.44603    ,  0.086347   ,  3.04922e-53,  0.0496254  ,  0.0315332  ])
280411  , -1676.33    , array([ 1.44603    ,  0.086347   ,  3.04922e-53,  0.0495758  ,  0.0315648  ])
280412  , -1684.32    , array([ 2.11265    ,  0.0836311  ,  3.04922e-53,  0.0490547  ,  0.0305429  ])
280413  , -1684.32    , array([ 2.11265    ,  0.0836311  ,  3.04922e-53,  0.0490547  ,  0.0305429  ])
280414  , -1684.46    , array([ 2.11477    ,  0.0836311  ,  3.04922e-53,  0.0490547  ,  0.0305429  ])
280415  , -1684.09    , array([ 2.11265    ,  0.0837147  ,  3.04922e-53,  0.0490547  ,  0.0305429  ])
280416  , -1684.32    , array([ 2.11265    ,  0.0836311  ,  3.05227e-53,  0.0490547  ,  0.0305429  ])
280417  , -1684.32    , array([ 2.11265    ,  0.0836311  ,  3.04922e-53,  0.0491038  ,  0.0305429  ])
280418  , -1684.85    , array([ 2.11265    ,  0.0836311  ,  3.04922e-53,  0.0490547  ,  0.0305735  ])
280419  , -1667.98    , array([ 1.65934    ,  0.0853512  ,  3.04922e-53,  0.049386   ,  0.0311701  ])
280420  , -1667.98    , array([ 1.65934    ,  0.0853512  ,  3.04922e-53,  0.049386   ,  0.0311701  ])
280421  , -1668.01    , array([ 1.661      ,  0.0853512  ,  3.04922e-53,  0.049386   ,  0.0311701  ])
280422  , -1667.69    , array([ 1.65934    ,  0.0854366  ,  3.04922e-53,  0.049386   ,  0.0311701  ])
280423  , -1667.98    , array([ 1.65934    ,  0.0853512  ,  3.05227e-53,  0.049386   ,  0.0311701  ])
280424  , -1667.98    , array([ 1.65934    ,  0.0853512  ,  3.04922e-53,  0.0494355  ,  0.0311701  ])
280425  , -1668.62    , array([ 1.65934    ,  0.0853512  ,  3.04922e-53,  0.049386   ,  0.0312013  ])
280426  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280427  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280428  , -1621.32    , array([ 1.69755    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280429  , -1622.16    , array([ 1.69586    ,  0.0768764  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280430  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.05227e-53,  0.924179   ,  0.0279011  ])
280431  , -1621.25    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.925103   ,  0.0279011  ])
280432  , -1620.5     , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.027929   ])
280440  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280441  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280442  , -1621.32    , array([ 1.69755    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280443  , -1622.16    , array([ 1.69586    ,  0.0768764  ,  3.04922e-53,  0.924179   ,  0.0279011  ])
280444  , -1621.24    , array([ 1.69586    ,  0.0767996  ,  3.05227e-53,  0.924179   ,  0.0279011  ])
280445  , -1621.25    , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.925104   ,  0.0279011  ])
280446  , -1620.5     , array([ 1.69586    ,  0.0767996  ,  3.04922e-53,  0.924179   ,  0.027929   ])
280447  , -1617.11    , array([ 1.49939    ,  0.0752592  ,  3.04922e-53,  1.28509    ,  0.027359   ])
280448  , -1617.11    , array([ 1.49939    ,  0.0752592  ,  3.04922e-53,  1.28509    ,  0.027359   ])
280449  , -1617.13    , array([ 1.50089    ,  0.0752592  ,  3.04922e-53,  1.28509    ,  0.027359   ])
280450  , -1618.37    , array([ 1.49939    ,  0.0753345  ,  3.04922e-53,  1.28509    ,  0.027359   ])
280451  , -1617.11    , array([ 1.49939    ,  0.0752592  ,  3.05227e-53,  1.28509    ,  0.027359   ])
280452  , -1617.15    , array([ 1.49939    ,  0.0752592  ,  3.04922e-53,  1.28637    ,  0.027359   ])
280453  , -1616.05    , array([ 1.49939    ,  0.0752592  ,  3.04922e-53,  1.28509    ,  0.0273864  ])
280454  , -1612.05    , array([ 1.40921    ,  0.0740648  ,  3.04922e-53,  1.1197     ,  0.0269228  ])
280455  , -1612.05    , array([ 1.40921    ,  0.0740648  ,  3.04922e-53,  1.1197     ,  0.0269228  ])
280456  , -1612.03    , array([ 1.41062    ,  0.0740648  ,  3.04922e-53,  1.1197     ,  0.0269228  ])
280457  , -1613.06    , array([ 1.40921    ,  0.0741389  ,  3.04922e-53,  1.1197     ,  0.0269228  ])
280458  , -1612.05    , array([ 1.40921    ,  0.0740648  ,  3.05227e-53,  1.1197     ,  0.0269228  ])
280459  , -1612.06    , array([ 1.40921    ,  0.0740648  ,  3.04922e-53,  1.12082    ,  0.0269228  ])
280460  , -1611.21    , array([ 1.40921    ,  0.0740648  ,  3.04922e-53,  1.1197     ,  0.0269497  ])
280461  , -1604.07    , array([ 1.41915    ,  0.0711329  ,  3.04922e-53,  1.22597    ,  0.0259969  ])
280462  , -1604.07    , array([ 1.41915    ,  0.0711329  ,  3.04922e-53,  1.22597    ,  0.0259969  ])
280463  , -1604.06    , array([ 1.42057    ,  0.0711329  ,  3.04922e-53,  1.22597    ,  0.0259969  ])
280464  , -1604.98    , array([ 1.41915    ,  0.071204   ,  3.04922e-53,  1.22597    ,  0.0259969  ])
280465  , -1604.07    , array([ 1.41915    ,  0.0711329  ,  3.05227e-53,  1.22597    ,  0.0259969  ])
280466  , -1604.08    , array([ 1.41915    ,  0.0711329  ,  3.04922e-53,  1.2272     ,  0.0259969  ])
280467  , -1603.27    , array([ 1.41915    ,  0.0711329  ,  3.04922e-53,  1.22597    ,  0.0260229  ])
280468  , -1592.12    , array([ 1.41225    ,  0.0668566  ,  3.04922e-53,  1.52015    ,  0.0247925  ])
280469  , -1592.12    , array([ 1.41225    ,  0.0668566  ,  3.04922e-53,  1.52015    ,  0.0247925  ])
280470  , -1592.12    , array([ 1.41366    ,  0.0668566  ,  3.04922e-53,  1.52015    ,  0.0247925  ])
280471  , -1592.83    , array([ 1.41225    ,  0.0669235  ,  3.04922e-53,  1.52015    ,  0.0247925  ])
280472  , -1592.12    , array([ 1.41225    ,  0.0668566  ,  3.05227e-53,  1.52015    ,  0.0247925  ])
