Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-394.09	796.18	599.0	4322.98	29.9889,1.7185,29.9992,4.6334
our_model	Round_1_Replicate_2	-396.45	800.9	603.42	24919.05	1.7872,0.2971,30.0,0.5861
our_model	Round_1_Replicate_3	-394.09	796.18	598.26	52631.71	1.466,0.1416,2.5504,0.3612
our_model	Round_1_Replicate_4	-393.74	795.48	598.34	5092.59	29.5769,1.4596,29.8203,4.1827
our_model	Round_1_Replicate_5	-395.6	799.2	600.94	45555.01	1.6818,0.1634,0.6012,0.3638
our_model	Round_1_Replicate_6	-395.73	799.46	601.58	23196.78	2.1018,0.3202,30.0,0.6676
our_model	Round_1_Replicate_7	-395.61	799.22	600.94	46926.99	2.2903,0.1586,0.3704,0.3568
our_model	Round_1_Replicate_8	-393.27	794.54	597.47	7512.4	29.5949,0.9903,29.8319,3.2503
our_model	Round_1_Replicate_9	-397.45	802.9	605.28	2532.65	30.0,2.9199,30.0,6.0821
our_model	Round_1_Replicate_10	-393.95	795.9	598.15	28284.4	3.1262,0.2634,5.733,0.6945
our_model	Round_2_Replicate_1	-396.82	801.64	604.11	4689.22	9.7563,1.5782,30.0,3.0826
our_model	Round_2_Replicate_2	-399.74	807.48	609.44	2208.73	30.0,3.3408,30.0,6.4013
our_model	Round_2_Replicate_3	-395.05	798.1	600.82	15042.56	3.5882,0.4931,30.0,1.0858
our_model	Round_2_Replicate_4	-399.75	807.5	609.47	2206.92	30.0,3.3435,30.0,6.4031
our_model	Round_2_Replicate_5	-395.23	798.46	600.45	12686.35	4.4858,0.5863,12.5282,1.2968
our_model	Round_2_Replicate_6	-396.34	800.68	603.21	3840.86	13.8618,1.928,30.0,3.9546
our_model	Round_2_Replicate_7	-398.86	805.72	607.84	4502.32	30.0,1.6402,13.1236,3.4821
our_model	Round_2_Replicate_8	-399.57	807.14	609.14	2226.14	30.0,3.3151,30.0,6.3843
our_model	Round_2_Replicate_9	-397.49	802.98	605.34	2727.61	30.0,2.7111,27.0691,5.6975
our_model	Round_2_Replicate_10	-394.71	797.42	599.37	21431.03	2.7542,0.3475,30.0,0.8035
our_model	Round_3_Replicate_1	-394.36	796.72	599.52	7376.77	10.3552,1.0066,20.9566,2.4712
our_model	Round_3_Replicate_2	-394.26	796.52	599.33	4072.47	29.9998,1.8237,29.9986,4.7967
our_model	Round_3_Replicate_3	-395.65	799.3	601.93	3789.64	30.0,1.9558,22.6829,4.6179
our_model	Round_3_Replicate_4	-393.68	795.36	598.24	10040.28	8.7082,0.7404,29.0862,2.0082
our_model	Round_3_Replicate_5	-395.49	798.98	601.64	8833.04	5.7155,0.8393,30.0,1.7776
our_model	Round_3_Replicate_6	-397.59	803.18	605.53	2748.94	30.0,2.6898,26.5331,5.6399
our_model	Round_3_Replicate_7	-393.69	795.38	598.25	5195.19	30.0,1.4309,29.9998,4.1461
our_model	Round_3_Replicate_8	-393.3	794.6	597.52	11899.08	10.4192,0.6252,29.9993,1.9185
our_model	Round_3_Replicate_9	-397.46	802.92	605.29	2715.68	30.0,2.7231,27.3059,5.725
our_model	Round_3_Replicate_10	-394.69	797.38	600.14	6426.98	9.5994,1.1548,29.9986,2.6683
our_model	Round_3_Replicate_11	-393.28	794.56	597.49	7394.48	29.9421,1.006,29.8003,3.2899
our_model	Round_3_Replicate_12	-394.44	796.88	599.68	5354.69	13.512,1.3866,30.0,3.352
our_model	Round_3_Replicate_13	-397.8	803.6	605.91	3246.14	30.0,2.2773,21.0839,4.8389
our_model	Round_3_Replicate_14	-394.72	797.44	600.2	5958.77	29.9999,1.2455,16.0132,3.2515
our_model	Round_3_Replicate_15	-396.59	801.18	603.68	6219.62	7.1999,1.1902,30.0,2.336
our_model	Round_3_Replicate_16	-393.08	794.16	597.09	12418.18	30.0,0.5993,26.2765,2.2396
our_model	Round_3_Replicate_17	-394.09	796.18	599.02	10427.86	6.718,0.7124,29.9985,1.774
our_model	Round_3_Replicate_18	-393.75	795.5	598.37	5979.44	17.8657,1.2431,29.9993,3.4237
our_model	Round_3_Replicate_19	-396.63	801.26	603.76	3798.07	30.0,1.9489,19.6109,4.3936
our_model	Round_3_Replicate_20	-393.67	795.34	598.21	5258.33	29.9463,1.4138,29.9999,4.1138
