89555   , -79089.4    , array([ 3.23476    ,  52.1137    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89556   , -79089.4    , array([ 3.23476    ,  52.2039    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89557   , -79089.4    , array([ 3.23476    ,  52.2596    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89558   , -79089.4    , array([ 3.23476    ,  52.2941    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89559   , -79089.4    , array([ 3.23476    ,  52.3197    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89560   , -79089.4    , array([ 3.23476    ,  52.3197    ,  0.0659476  ,  8.75087e-23,  1.7384e-31 ])
89561   , -79089.4    , array([ 3.23476    ,  52.3197    ,  1.06595    ,  8.75087e-23,  1.7384e-31 ])
89562   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.68398    ,  8.75087e-23,  1.7384e-31 ])
89563   , -79089.4    , array([ 3.23476    ,  52.3197    ,  1.06595    ,  8.75087e-23,  1.7384e-31 ])
89564   , -79089.4    , array([ 3.23476    ,  52.3197    ,  1.68398    ,  8.75087e-23,  1.7384e-31 ])
89565   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.06595    ,  8.75087e-23,  1.7384e-31 ])
89566   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.30202    ,  8.75087e-23,  1.7384e-31 ])
89567   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.44791    ,  8.75087e-23,  1.7384e-31 ])
89568   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.53808    ,  8.75087e-23,  1.7384e-31 ])
89569   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.59381    ,  8.75087e-23,  1.7384e-31 ])
89570   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.62825    ,  8.75087e-23,  1.7384e-31 ])
89571   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  8.75087e-23,  1.7384e-31 ])
89572   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  8.75087e-23,  1.7384e-31 ])
89573   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  1          ,  1.7384e-31 ])
89574   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.61803    ,  1.7384e-31 ])
89575   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  1          ,  1.7384e-31 ])
89576   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  1.61803    ,  1.7384e-31 ])
89577   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2          ,  1.7384e-31 ])
89578   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.23607    ,  1.7384e-31 ])
89579   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.38197    ,  1.7384e-31 ])
89580   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.47214    ,  1.7384e-31 ])
89581   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.52786    ,  1.7384e-31 ])
89582   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.56231    ,  1.7384e-31 ])
89583   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  1.7384e-31 ])
89584   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  1.7384e-31 ])
89585   , -91024.5    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  1          ])
89587   , -79089.4    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  1.7384e-31 ])
89589   , -79797.2    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.381966   ])
