179010  , -13410.8    , array([ 0.121478   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179011  , -13410.8    , array([ 0.121478   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179012  , -13072.7    , array([ 1.12148    ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179013  , -13454.5    , array([ 2.73951    ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179014  , -13072.7    , array([ 1.12148    ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179015  , -13292.1    , array([ 1.73951    ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179016  , -12805.1    , array([ 0.739512   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179017  , -12526.4    , array([ 0.503444   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179018  , -12302.7    , array([ 0.357546   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179019  , -12203.1    , array([ 0.267376   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179020  , -12255.5    , array([ 0.211648   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179021  , -12205.4    , array([ 0.273044   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179022  , -12201.6    , array([ 0.2609     ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179023  , -12206.2    , array([ 0.242088   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179024  , -12201.4    , array([ 0.256555   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179025  , -12201.4    , array([ 0.257906   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179026  , -12201.5    , array([ 0.25927    ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179027  , -12201.4    , array([ 0.257906   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179028  , -55459.7    , array([ 0.257906   ,  1.06024    ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179030  , -12201.4    , array([ 0.257906   ,  0.0602381  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179032  , -48283.2    , array([ 0.257906   ,  0.442204   ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179033  , -40502      , array([ 0.257906   ,  0.250929   ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179036  , -28645.5    , array([ 0.257906   ,  0.133076   ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179037  , -2461.34    , array([ 0.257906   ,  0.0257962  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179039  , -5368.03    , array([ 0.257906   ,  0.0389519  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179040  , -3971.31    , array([ 0.257906   ,  0.0176656  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179041  , -2526.18    , array([ 0.257906   ,  0.0265914  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
179042  , -2416.94    , array([ 0.257906   ,  0.0248323  ,  6.51951e-53,  6.21624e-07,  0.00843711 ])
