Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-11502.86	23023.72	649.49	20505.32	2.3183,1.4401,0.342,0.6854,0.2733,0.5172,9.0089,0.0569,0.0902
our_model	Round_1_Replicate_2	-11777.07	23572.14	1171.87	9694.25	4.7226,2.5273,0.6404,1.2604,0.1988,0.3485,4.9856,5.0812,0.2503
our_model	Round_1_Replicate_3	-11998.82	24015.64	1613.87	12155.27	4.5868,1.8908,0.4855,0.9489,0.5077,0.6479,6.5256,6.3246,0.2388
our_model	Round_1_Replicate_4	-11771.56	23561.12	1169.8	9167.02	2.6891,2.471,0.7429,1.5873,0.139,0.2126,3.9821,4.8109,0.1731
our_model	Round_1_Replicate_5	-11789.5	23597.0	1203.71	9711.71	3.4376,2.4062,0.6699,1.2866,0.141,0.3834,4.7721,4.8566,0.2045
our_model	Round_1_Replicate_6	-11244.82	22507.64	133.42	20182.33	0.495,1.4257,0.4854,0.7864,0.2859,1.2577,4.1292,0.1081,0.051
our_model	Round_1_Replicate_7	-11943.51	23905.02	1502.84	7993.98	7.9329,3.0872,0.7199,1.3333,0.2562,0.4591,4.5057,30.0,0.4582
our_model	Round_1_Replicate_8	-11781.36	23580.72	1176.71	15597.37	7.258,1.5578,0.4033,0.7788,0.3133,0.5784,7.9626,1.9999,0.1555
our_model	Round_1_Replicate_9	-11775.9	23569.8	1175.58	8813.98	2.8428,2.6157,0.7645,1.5277,0.1123,0.2609,4.0551,5.0653,0.1963
our_model	Round_1_Replicate_10	-11761.64	23541.28	1147.8	10494.39	3.5335,2.2086,0.6334,1.3258,0.1504,0.2918,4.836,4.0898,0.1685
our_model	Round_2_Replicate_1	-11213.21	22444.42	69.41	19872.66	1.478,1.4345,0.4688,1.0554,0.3896,0.6084,3.941,0.1166,0.054
our_model	Round_2_Replicate_2	-11194.39	22406.78	31.99	19998.86	0.2307,1.4901,0.4776,0.8849,0.359,0.9378,4.6065,0.0947,0.0575
our_model	Round_2_Replicate_3	-11212.07	22442.14	67.92	19790.41	0.7024,1.4873,0.5471,1.0676,0.3534,1.0096,0.01,0.1267,0.0393
our_model	Round_2_Replicate_4	-11191.05	22400.1	25.44	20059.49	0.2544,1.4888,0.4701,0.9552,0.4457,0.8317,4.3491,0.0927,0.0563
our_model	Round_2_Replicate_5	-11210.53	22439.06	65.1	19995.59	0.7164,1.4633,0.531,1.0707,0.3358,0.9513,0.01,0.1214,0.0389
our_model	Round_2_Replicate_6	-11211.14	22440.28	67.05	20257.38	0.1368,1.4687,0.514,1.1164,0.4632,0.975,0.234,0.1041,0.04
our_model	Round_2_Replicate_7	-11193.51	22405.02	30.44	19733.92	0.937,1.4867,0.5185,1.1235,0.3745,0.7926,1.6292,0.1244,0.0448
our_model	Round_2_Replicate_8	-11187.45	22392.9	18.2	20028.01	0.2378,1.4786,0.473,0.951,0.4609,0.872,4.3106,0.0947,0.0565
our_model	Round_2_Replicate_9	-11192.76	22403.52	28.94	20066.1	0.01,1.4762,0.4871,0.861,0.4131,1.0927,4.292,0.0964,0.0546
our_model	Round_2_Replicate_10	-11185.93	22389.86	15.31	19995.02	0.01,1.4915,0.5119,0.9286,0.4522,1.1338,2.9084,0.1032,0.0488
our_model	Round_2_Replicate_11	-11196.86	22411.72	37.46	20215.96	0.3619,1.4594,0.4997,1.0558,0.4041,0.8943,1.5813,0.104,0.0436
our_model	Round_2_Replicate_12	-11345.27	22708.54	334.62	19591.04	3.2423,1.4596,0.43,0.9211,0.2023,0.3386,5.8808,0.1379,0.0651
our_model	Round_2_Replicate_13	-11205.13	22428.26	53.79	20122.4	0.3866,1.4831,0.4636,0.9618,0.4079,0.7513,4.3837,0.0898,0.0565
our_model	Round_2_Replicate_14	-11195.14	22408.28	33.36	20025.2	0.2455,1.4716,0.4631,0.9356,0.4782,0.8428,4.7684,0.092,0.0597
our_model	Round_2_Replicate_15	-11181.78	22381.56	7.04	19938.17	0.0527,1.514,0.5189,1.0335,0.5074,1.031,2.0324,0.1056,0.0462
our_model	Round_2_Replicate_16	-11200.89	22419.78	45.47	20205.44	0.4593,1.4605,0.4659,0.9345,0.3431,0.8093,4.2214,0.0939,0.0538
our_model	Round_2_Replicate_17	-11190.95	22399.9	25.28	20030.52	0.7516,1.4484,0.4759,1.0073,0.4197,0.762,3.7776,0.103,0.0532
our_model	Round_2_Replicate_18	-11188.58	22395.16	20.68	20059.22	0.3708,1.4897,0.4894,1.0506,0.4359,0.8084,2.9416,0.0991,0.0497
our_model	Round_2_Replicate_19	-11232.27	22482.54	108.82	20167.2	0.9083,1.4683,0.4567,1.0106,0.3547,0.5868,4.1351,0.0924,0.055
our_model	Round_2_Replicate_20	-11183.65	22385.3	10.81	19874.08	0.2958,1.5078,0.5224,1.0699,0.4688,0.9717,1.7282,0.1105,0.0453
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
