40689   , -49803.2    , array([ 0.613109   ,  0.0631779  ,  6.69179e-07,  1.41979e-39,  0.00198122 ])
40690   , -49804.5    , array([ 0.613723   ,  0.0631779  ,  6.69179e-07,  1.41979e-39,  0.00198122 ])
40691   , -49823.5    , array([ 0.613109   ,  0.0632411  ,  6.69179e-07,  1.41979e-39,  0.00198122 ])
40692   , -49803.2    , array([ 0.613109   ,  0.0631779  ,  6.69848e-07,  1.41979e-39,  0.00198122 ])
40693   , -49803.2    , array([ 0.613109   ,  0.0631779  ,  6.69179e-07,  1.42121e-39,  0.00198122 ])
40694   , -49781.5    , array([ 0.613109   ,  0.0631779  ,  6.69179e-07,  1.41979e-39,  0.0019832  ])
40695   , -49803.2    , array([ 0.613109   ,  0.0631779  ,  6.69179e-07,  1.41979e-39,  0.00198122 ])
40696   , -14690.7    , array([ 0.58688    ,  0.0316632  ,  6.69179e-07,  1.41979e-39,  0.00413393 ])
40697   , -14690.7    , array([ 0.58688    ,  0.0316632  ,  6.69179e-07,  1.41979e-39,  0.00413393 ])
40698   , -14691.2    , array([ 0.587467   ,  0.0316632  ,  6.69179e-07,  1.41979e-39,  0.00413393 ])
40699   , -14712.9    , array([ 0.58688    ,  0.0316949  ,  6.69179e-07,  1.41979e-39,  0.00413393 ])
40700   , -14690.7    , array([ 0.58688    ,  0.0316632  ,  6.69848e-07,  1.41979e-39,  0.00413393 ])
40701   , -14690.7    , array([ 0.58688    ,  0.0316632  ,  6.69179e-07,  1.42121e-39,  0.00413393 ])
40702   , -14667.8    , array([ 0.58688    ,  0.0316632  ,  6.69179e-07,  1.41979e-39,  0.00413807 ])
40703   , -1.15491e+06, array([ 0.492714   ,  0.00199762 ,  6.69179e-07,  1.41979e-39,  0.0783586  ])
40704   , -1.15491e+06, array([ 0.492714   ,  0.00199762 ,  6.69179e-07,  1.41979e-39,  0.0783586  ])
40705   , -1.15496e+06, array([ 0.493207   ,  0.00199762 ,  6.69179e-07,  1.41979e-39,  0.0783586  ])
40706   , -1.1543e+06 , array([ 0.492714   ,  0.00199962 ,  6.69179e-07,  1.41979e-39,  0.0783586  ])
40707   , -1.15489e+06, array([ 0.492714   ,  0.00199762 ,  6.69848e-07,  1.41979e-39,  0.0783586  ])
40708   , -1.15491e+06, array([ 0.492714   ,  0.00199762 ,  6.69179e-07,  1.42121e-39,  0.0783586  ])
40709   , -1.15542e+06, array([ 0.492714   ,  0.00199762 ,  6.69179e-07,  1.41979e-39,  0.078437   ])
40710   , -6300.37    , array([ 0.579004   ,  0.0255772  ,  6.69179e-07,  1.41979e-39,  0.0051888  ])
40711   , -6300.37    , array([ 0.579004   ,  0.0255772  ,  6.69179e-07,  1.41979e-39,  0.0051888  ])
40712   , -6300.62    , array([ 0.579584   ,  0.0255772  ,  6.69179e-07,  1.41979e-39,  0.0051888  ])
40713   , -6314.9     , array([ 0.579004   ,  0.0256028  ,  6.69179e-07,  1.41979e-39,  0.0051888  ])
40714   , -6300.37    , array([ 0.579004   ,  0.0255772  ,  6.69848e-07,  1.41979e-39,  0.0051888  ])
40715   , -6300.37    , array([ 0.579004   ,  0.0255772  ,  6.69179e-07,  1.42121e-39,  0.0051888  ])
40716   , -6285.45    , array([ 0.579004   ,  0.0255772  ,  6.69179e-07,  1.41979e-39,  0.00519399 ])
40724   , -6287.55    , array([ 0.581523   ,  0.0255193  ,  6.69179e-07,  1.41979e-39,  0.0051822  ])
40725   , -6287.55    , array([ 0.581523   ,  0.0255193  ,  6.69179e-07,  1.41979e-39,  0.0051822  ])
40726   , -6287.8     , array([ 0.582105   ,  0.0255193  ,  6.69179e-07,  1.41979e-39,  0.0051822  ])
40727   , -6302.07    , array([ 0.581523   ,  0.0255448  ,  6.69179e-07,  1.41979e-39,  0.0051822  ])
40728   , -6287.55    , array([ 0.581523   ,  0.0255193  ,  6.69848e-07,  1.41979e-39,  0.0051822  ])
40729   , -6287.55    , array([ 0.581523   ,  0.0255193  ,  6.69179e-07,  1.42121e-39,  0.0051822  ])
40730   , -6272.65    , array([ 0.581523   ,  0.0255193  ,  6.69179e-07,  1.41979e-39,  0.00518739 ])
40731   , -5453.29    , array([ 35.994     ,  0.00296549 ,  6.69179e-07,  1.41979e-39,  0.00154699 ])
40732   , -5453.29    , array([ 35.994     ,  0.00296549 ,  6.69179e-07,  1.41979e-39,  0.00154699 ])
40733   , -5453.29    , array([ 36.03      ,  0.00296549 ,  6.69179e-07,  1.41979e-39,  0.00154699 ])
40734   , -5439.09    , array([ 35.994     ,  0.00296846 ,  6.69179e-07,  1.41979e-39,  0.00154699 ])
40735   , -5453.29    , array([ 35.994     ,  0.00296549 ,  6.69848e-07,  1.41979e-39,  0.00154699 ])
40736   , -5453.29    , array([ 35.994     ,  0.00296549 ,  6.69179e-07,  1.42121e-39,  0.00154699 ])
40737   , -5467.3     , array([ 35.994     ,  0.00296549 ,  6.69179e-07,  1.41979e-39,  0.00154854 ])
40738   , -2568.39    , array([ 4.08377    ,  0.00923047 ,  6.69179e-07,  1.41979e-39,  0.00292724 ])
40739   , -2568.39    , array([ 4.08377    ,  0.00923047 ,  6.69179e-07,  1.41979e-39,  0.00292724 ])
40740   , -2568.41    , array([ 4.08785    ,  0.00923047 ,  6.69179e-07,  1.41979e-39,  0.00292724 ])
40741   , -2571.23    , array([ 4.08377    ,  0.00923971 ,  6.69179e-07,  1.41979e-39,  0.00292724 ])
40742   , -2568.39    , array([ 4.08377    ,  0.00923047 ,  6.69848e-07,  1.41979e-39,  0.00292724 ])
40743   , -2568.39    , array([ 4.08377    ,  0.00923047 ,  6.69179e-07,  1.42121e-39,  0.00292724 ])
40744   , -2565.37    , array([ 4.08377    ,  0.00923047 ,  6.69179e-07,  1.41979e-39,  0.00293017 ])
40752   , -2568.28    , array([ 4.08574    ,  0.00923541 ,  6.69179e-07,  1.41979e-39,  0.00292881 ])
40753   , -2568.28    , array([ 4.08574    ,  0.00923541 ,  6.69179e-07,  1.41979e-39,  0.00292881 ])
40754   , -2568.3     , array([ 4.08983    ,  0.00923541 ,  6.69179e-07,  1.41979e-39,  0.00292881 ])
40755   , -2571.12    , array([ 4.08574    ,  0.00924465 ,  6.69179e-07,  1.41979e-39,  0.00292881 ])
40756   , -2568.28    , array([ 4.08574    ,  0.00923541 ,  6.69848e-07,  1.41979e-39,  0.00292881 ])
40757   , -2568.28    , array([ 4.08574    ,  0.00923541 ,  6.69179e-07,  1.42121e-39,  0.00292881 ])
40758   , -2565.26    , array([ 4.08574    ,  0.00923541 ,  6.69179e-07,  1.41979e-39,  0.00293174 ])
40759   , -2568.17    , array([ 4.08771    ,  0.00924034 ,  6.69179e-07,  1.41979e-39,  0.00293038 ])
40760   , -2568.17    , array([ 4.08771    ,  0.00924034 ,  6.69179e-07,  1.41979e-39,  0.00293038 ])
40761   , -2568.19    , array([ 4.0918     ,  0.00924034 ,  6.69179e-07,  1.41979e-39,  0.00293038 ])
