31762   , -2185.66    , array([ 0.023695   ,  0.00741484 ,  8.02373e-45,  6.71678e-05])
31763   , -2185.52    , array([ 0.023695   ,  0.00741484 ,  8.01571e-45,  6.7235e-05 ])
31764   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31765   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31766   , -2028.96    , array([ 0.0237187  ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31767   , -2029.18    , array([ 0.023695   ,  0.00272216 ,  8.01571e-45,  5.96848e-05])
31768   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.02373e-45,  5.96848e-05])
31769   , -2028.74    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.97446e-05])
31770   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31771   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31772   , -2028.96    , array([ 0.0237187  ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31773   , -2029.18    , array([ 0.023695   ,  0.00272216 ,  8.01571e-45,  5.96848e-05])
31774   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.02373e-45,  5.96848e-05])
31775   , -2028.74    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.97446e-05])
31776   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31777   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31778   , -2028.96    , array([ 0.0237187  ,  0.00271944 ,  8.01571e-45,  5.96848e-05])
31779   , -2029.18    , array([ 0.023695   ,  0.00272216 ,  8.01571e-45,  5.96848e-05])
31780   , -2028.96    , array([ 0.023695   ,  0.00271944 ,  8.02373e-45,  5.96848e-05])
31781   , -2028.74    , array([ 0.023695   ,  0.00271944 ,  8.01571e-45,  5.97446e-05])
31782   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31783   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31784   , -1928       , array([ 0.0237187  ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31785   , -1928.23    , array([ 0.023695   ,  0.00164855 ,  8.01571e-45,  5.6262e-05 ])
31786   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.02373e-45,  5.6262e-05 ])
31787   , -1927.77    , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.63183e-05])
31788   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31789   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31790   , -1928       , array([ 0.0237187  ,  0.0016469  ,  8.01571e-45,  5.6262e-05 ])
31791   , -1928.23    , array([ 0.023695   ,  0.00164855 ,  8.01571e-45,  5.6262e-05 ])
31792   , -1928       , array([ 0.023695   ,  0.0016469  ,  8.02373e-45,  5.6262e-05 ])
31793   , -1927.77    , array([ 0.023695   ,  0.0016469  ,  8.01571e-45,  5.63183e-05])
31794   , -1863.97    , array([ 0.023695   ,  0.0011828  ,  8.01571e-45,  5.41112e-05])
31795   , -1863.97    , array([ 0.023695   ,  0.0011828  ,  8.01571e-45,  5.41112e-05])
31796   , -1863.97    , array([ 0.0237187  ,  0.0011828  ,  8.01571e-45,  5.41112e-05])
31797   , -1864.17    , array([ 0.023695   ,  0.00118399 ,  8.01571e-45,  5.41112e-05])
31798   , -1863.97    , array([ 0.023695   ,  0.0011828  ,  8.02373e-45,  5.41112e-05])
31799   , -1863.76    , array([ 0.023695   ,  0.0011828  ,  8.01571e-45,  5.41654e-05])
31800   , -1844.87    , array([ 0.023695   ,  0.0010569  ,  8.01571e-45,  5.33989e-05])
31801   , -1844.87    , array([ 0.023695   ,  0.0010569  ,  8.01571e-45,  5.33989e-05])
31802   , -1844.87    , array([ 0.0237187  ,  0.0010569  ,  8.01571e-45,  5.33989e-05])
31803   , -1845.06    , array([ 0.023695   ,  0.00105796 ,  8.01571e-45,  5.33989e-05])
31804   , -1844.87    , array([ 0.023695   ,  0.0010569  ,  8.02373e-45,  5.33989e-05])
31805   , -1844.69    , array([ 0.023695   ,  0.0010569  ,  8.01571e-45,  5.34523e-05])
31806   , -1838.87    , array([ 0.023695   ,  0.00101723 ,  8.01571e-45,  5.31588e-05])
31807   , -1838.87    , array([ 0.023695   ,  0.00101723 ,  8.01571e-45,  5.31588e-05])
31808   , -1838.87    , array([ 0.0237187  ,  0.00101723 ,  8.01571e-45,  5.31588e-05])
31809   , -1839.05    , array([ 0.023695   ,  0.00101824 ,  8.01571e-45,  5.31588e-05])
31810   , -1838.87    , array([ 0.023695   ,  0.00101723 ,  8.02373e-45,  5.31588e-05])
31811   , -1838.7     , array([ 0.023695   ,  0.00101723 ,  8.01571e-45,  5.3212e-05 ])
31812   , -1836.9     , array([ 0.023695   ,  0.00100408 ,  8.01571e-45,  5.30774e-05])
31813   , -1836.9     , array([ 0.023695   ,  0.00100408 ,  8.01571e-45,  5.30774e-05])
31814   , -1836.9     , array([ 0.0237187  ,  0.00100408 ,  8.01571e-45,  5.30774e-05])
31815   , -1837.07    , array([ 0.023695   ,  0.00100508 ,  8.01571e-45,  5.30774e-05])
31816   , -1836.9     , array([ 0.023695   ,  0.00100408 ,  8.02373e-45,  5.30774e-05])
31817   , -1836.73    , array([ 0.023695   ,  0.00100408 ,  8.01571e-45,  5.31305e-05])
31821   , -1836.4     , array([ 0.023695   ,  0.00100065 ,  8.01571e-45,  5.30498e-05])
31824   , -1836.77    , array([ 0.023695   ,  0.00100321 ,  8.01571e-45,  5.3072e-05 ])
31825   , -1836.77    , array([ 0.023695   ,  0.00100321 ,  8.01571e-45,  5.3072e-05 ])
31826   , -1836.77    , array([ 0.0237187  ,  0.00100321 ,  8.01571e-45,  5.3072e-05 ])
31827   , -1836.94    , array([ 0.023695   ,  0.00100421 ,  8.01571e-45,  5.3072e-05 ])
31828   , -1836.77    , array([ 0.023695   ,  0.00100321 ,  8.02373e-45,  5.3072e-05 ])
31829   , -1836.6     , array([ 0.023695   ,  0.00100321 ,  8.01571e-45,  5.31251e-05])
31830   , -1836.41    , array([ 0.023695   ,  0.00100086 ,  8.01571e-45,  5.30573e-05])
31831   , -1836.41    , array([ 0.023695   ,  0.00100086 ,  8.01571e-45,  5.30573e-05])
31832   , -1836.41    , array([ 0.0237187  ,  0.00100086 ,  8.01571e-45,  5.30573e-05])
31833   , -1836.58    , array([ 0.023695   ,  0.00100186 ,  8.01571e-45,  5.30573e-05])
31834   , -1836.41    , array([ 0.023695   ,  0.00100086 ,  8.02373e-45,  5.30573e-05])
31835   , -1836.24    , array([ 0.023695   ,  0.00100086 ,  8.01571e-45,  5.31104e-05])
31836   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31837   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31838   , -1836.29    , array([ 0.0237187  ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31839   , -1836.46    , array([ 0.023695   ,  0.00100106 ,  8.01571e-45,  5.30523e-05])
31840   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.02373e-45,  5.30523e-05])
31841   , -1836.12    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.31054e-05])
