229702  , -79089.4    , array([ 0.788225   ,  2.44621    ,  2.97726e-26,  0.000520041,  1.17762e-09])
229703  , -79089.4    , array([ 0.789013   ,  2.44621    ,  2.97726e-26,  0.000520041,  1.17762e-09])
229704  , -79089.4    , array([ 0.788225   ,  2.44866    ,  2.97726e-26,  0.000520041,  1.17762e-09])
229705  , -79089.4    , array([ 0.788225   ,  2.44621    ,  2.98023e-26,  0.000520041,  1.17762e-09])
229706  , -79089.4    , array([ 0.788225   ,  2.44621    ,  2.97726e-26,  0.000520561,  1.17762e-09])
229707  , -79089.4    , array([ 0.788225   ,  2.44621    ,  2.97726e-26,  0.000520041,  1.1788e-09 ])
229708  , -79089.4    , array([ 0.788225   ,  2.44621    ,  2.97726e-26,  0.000520041,  1.17762e-09])
229709  , -79089.4    , array([ 0.787285   ,  2.44483    ,  2.97726e-26,  0.000520041,  1.17972e-09])
229710  , -79089.4    , array([ 0.787285   ,  2.44483    ,  2.97726e-26,  0.000520041,  1.17972e-09])
229711  , -79089.4    , array([ 0.788073   ,  2.44483    ,  2.97726e-26,  0.000520041,  1.17972e-09])
229712  , -79089.4    , array([ 0.787285   ,  2.44728    ,  2.97726e-26,  0.000520041,  1.17972e-09])
229713  , -79089.4    , array([ 0.787285   ,  2.44483    ,  2.98023e-26,  0.000520041,  1.17972e-09])
229714  , -79089.4    , array([ 0.787285   ,  2.44483    ,  2.97726e-26,  0.000520561,  1.17972e-09])
229715  , -79089.4    , array([ 0.787285   ,  2.44483    ,  2.97726e-26,  0.000520041,  1.1809e-09 ])
229716  , -79089.4    , array([ 0.783539   ,  2.43931    ,  2.97726e-26,  0.000520041,  1.18814e-09])
229717  , -79089.4    , array([ 0.783539   ,  2.43931    ,  2.97726e-26,  0.000520041,  1.18814e-09])
229718  , -79089.4    , array([ 0.784323   ,  2.43931    ,  2.97726e-26,  0.000520041,  1.18814e-09])
229719  , -79089.4    , array([ 0.783539   ,  2.44175    ,  2.97726e-26,  0.000520041,  1.18814e-09])
229720  , -79089.4    , array([ 0.783539   ,  2.43931    ,  2.98023e-26,  0.000520041,  1.18814e-09])
229721  , -79089.4    , array([ 0.783539   ,  2.43931    ,  2.97726e-26,  0.000520561,  1.18814e-09])
229722  , -79089.4    , array([ 0.783539   ,  2.43931    ,  2.97726e-26,  0.000520041,  1.18933e-09])
