142729  , -1639.14    , array([ 1.71308    ,  0.0688532  ,  2.50292e-46,  8.23525e-37,  0.0247574  ])
142730  , -1638.6     , array([ 1.67996    ,  0.0674301  ,  2.50292e-46,  8.75057e-37,  0.0242151  ])
142731  , -1638.6     , array([ 1.67996    ,  0.0674301  ,  2.50292e-46,  8.75057e-37,  0.0242151  ])
142732  , -1638.67    , array([ 1.68164    ,  0.0674301  ,  2.50292e-46,  8.75057e-37,  0.0242151  ])
142733  , -1638.57    , array([ 1.67996    ,  0.0674975  ,  2.50292e-46,  8.75057e-37,  0.0242151  ])
142734  , -1638.6     , array([ 1.67996    ,  0.0674301  ,  2.50542e-46,  8.75057e-37,  0.0242151  ])
142735  , -1638.6     , array([ 1.67996    ,  0.0674301  ,  2.50292e-46,  8.75932e-37,  0.0242151  ])
142736  , -1638.61    , array([ 1.67996    ,  0.0674301  ,  2.50292e-46,  8.75057e-37,  0.0242393  ])
142737  , -1637.95    , array([ 1.64983    ,  0.066795   ,  2.50292e-46,  1.43481e-36,  0.0239796  ])
142738  , -1637.95    , array([ 1.64983    ,  0.066795   ,  2.50292e-46,  1.43481e-36,  0.0239796  ])
142739  , -1638.02    , array([ 1.65148    ,  0.066795   ,  2.50292e-46,  1.43481e-36,  0.0239796  ])
142740  , -1637.91    , array([ 1.64983    ,  0.0668618  ,  2.50292e-46,  1.43481e-36,  0.0239796  ])
142741  , -1637.95    , array([ 1.64983    ,  0.066795   ,  2.50542e-46,  1.43481e-36,  0.0239796  ])
142742  , -1637.95    , array([ 1.64983    ,  0.066795   ,  2.50292e-46,  1.43625e-36,  0.0239796  ])
142743  , -1637.95    , array([ 1.64983    ,  0.066795   ,  2.50292e-46,  1.43481e-36,  0.0240036  ])
142744  , -1636.95    , array([ 1.61156    ,  0.0663806  ,  2.50292e-46,  3.5735e-36 ,  0.0238215  ])
142745  , -1636.95    , array([ 1.61156    ,  0.0663806  ,  2.50292e-46,  3.5735e-36 ,  0.0238215  ])
142746  , -1637.01    , array([ 1.61317    ,  0.0663806  ,  2.50292e-46,  3.5735e-36 ,  0.0238215  ])
142747  , -1636.91    , array([ 1.61156    ,  0.066447   ,  2.50292e-46,  3.5735e-36 ,  0.0238215  ])
142748  , -1636.95    , array([ 1.61156    ,  0.0663806  ,  2.50542e-46,  3.5735e-36 ,  0.0238215  ])
142749  , -1636.95    , array([ 1.61156    ,  0.0663806  ,  2.50292e-46,  3.57707e-36,  0.0238215  ])
142750  , -1636.95    , array([ 1.61156    ,  0.0663806  ,  2.50292e-46,  3.5735e-36 ,  0.0238454  ])
142751  , -1635.35    , array([ 1.55125    ,  0.0661258  ,  2.50292e-46,  2.08414e-35,  0.0237152  ])
142752  , -1635.35    , array([ 1.55125    ,  0.0661258  ,  2.50292e-46,  2.08414e-35,  0.0237152  ])
142753  , -1635.4     , array([ 1.5528     ,  0.0661258  ,  2.50292e-46,  2.08414e-35,  0.0237152  ])
142754  , -1635.32    , array([ 1.55125    ,  0.0661919  ,  2.50292e-46,  2.08414e-35,  0.0237152  ])
142755  , -1635.35    , array([ 1.55125    ,  0.0661258  ,  2.50542e-46,  2.08414e-35,  0.0237152  ])
142756  , -1635.35    , array([ 1.55125    ,  0.0661258  ,  2.50292e-46,  2.08622e-35,  0.0237152  ])
142757  , -1635.34    , array([ 1.55125    ,  0.0661258  ,  2.50292e-46,  2.08414e-35,  0.0237389  ])
142758  , -1633.39    , array([ 1.44028    ,  0.0663205  ,  2.50292e-46,  1.02414e-33,  0.023755   ])
142759  , -1633.39    , array([ 1.44028    ,  0.0663205  ,  2.50292e-46,  1.02414e-33,  0.023755   ])
142760  , -1633.4     , array([ 1.44172    ,  0.0663205  ,  2.50292e-46,  1.02414e-33,  0.023755   ])
142761  , -1633.37    , array([ 1.44028    ,  0.0663869  ,  2.50292e-46,  1.02414e-33,  0.023755   ])
142762  , -1633.39    , array([ 1.44028    ,  0.0663205  ,  2.50542e-46,  1.02414e-33,  0.023755   ])
142763  , -1633.39    , array([ 1.44028    ,  0.0663205  ,  2.50292e-46,  1.02516e-33,  0.023755   ])
142764  , -1633.38    , array([ 1.44028    ,  0.0663205  ,  2.50292e-46,  1.02414e-33,  0.0237788  ])
142765  , -1632.96    , array([ 1.42592    ,  0.0668913  ,  2.50292e-46,  2.47418e-33,  0.023952   ])
142766  , -1632.96    , array([ 1.42592    ,  0.0668913  ,  2.50292e-46,  2.47418e-33,  0.023952   ])
142767  , -1632.95    , array([ 1.42735    ,  0.0668913  ,  2.50292e-46,  2.47418e-33,  0.023952   ])
142768  , -1632.95    , array([ 1.42592    ,  0.0669582  ,  2.50292e-46,  2.47418e-33,  0.023952   ])
142769  , -1632.96    , array([ 1.42592    ,  0.0668913  ,  2.50542e-46,  2.47418e-33,  0.023952   ])
142770  , -1632.96    , array([ 1.42592    ,  0.0668913  ,  2.50292e-46,  2.47666e-33,  0.023952   ])
142771  , -1632.95    , array([ 1.42592    ,  0.0668913  ,  2.50292e-46,  2.47418e-33,  0.023976   ])
142772  , -1632.6     , array([ 1.431      ,  0.0675132  ,  2.50292e-46,  3.10749e-33,  0.0241743  ])
142773  , -1632.6     , array([ 1.431      ,  0.0675132  ,  2.50292e-46,  3.10749e-33,  0.0241743  ])
142774  , -1632.6     , array([ 1.43244    ,  0.0675132  ,  2.50292e-46,  3.10749e-33,  0.0241743  ])
142775  , -1632.61    , array([ 1.431      ,  0.0675808  ,  2.50292e-46,  3.10749e-33,  0.0241743  ])
142776  , -1632.6     , array([ 1.431      ,  0.0675132  ,  2.50542e-46,  3.10749e-33,  0.0241743  ])
