175774  , -78884.1    , array([ 0.600993   ,  3.51235    ,  1.47315e-31,  0.287885   ,  0.000122585])
175775  , -78884.3    , array([ 0.601594   ,  3.51235    ,  1.47315e-31,  0.287885   ,  0.000122585])
175776  , -78884.2    , array([ 0.600993   ,  3.51587    ,  1.47315e-31,  0.287885   ,  0.000122585])
175777  , -78884.1    , array([ 0.600993   ,  3.51235    ,  1.47463e-31,  0.287885   ,  0.000122585])
175778  , -78884.1    , array([ 0.600993   ,  3.51235    ,  1.47315e-31,  0.288173   ,  0.000122585])
175779  , -78883.9    , array([ 0.600993   ,  3.51235    ,  1.47315e-31,  0.287885   ,  0.000122708])
175780  , -78884.1    , array([ 0.600993   ,  3.51235    ,  1.47315e-31,  0.287885   ,  0.000122585])
175781  , -78327.5    , array([ 0.323771   ,  3.00475    ,  1.47315e-31,  0.287813   ,  0.000268227])
175782  , -78327.5    , array([ 0.323771   ,  3.00475    ,  1.47315e-31,  0.287813   ,  0.000268227])
175783  , -78328.2    , array([ 0.324095   ,  3.00475    ,  1.47315e-31,  0.287813   ,  0.000268227])
175784  , -78327.6    , array([ 0.323771   ,  3.00775    ,  1.47315e-31,  0.287813   ,  0.000268227])
175785  , -78327.5    , array([ 0.323771   ,  3.00475    ,  1.47463e-31,  0.287813   ,  0.000268227])
175786  , -78327.5    , array([ 0.323771   ,  3.00475    ,  1.47315e-31,  0.288101   ,  0.000268227])
175787  , -78326.8    , array([ 0.323771   ,  3.00475    ,  1.47315e-31,  0.287813   ,  0.000268495])
175788  , -61261      , array([ 0.0272717  ,  1.60933    ,  1.47315e-31,  0.287528   ,  0.00614842 ])
175789  , -61261      , array([ 0.0272717  ,  1.60933    ,  1.47315e-31,  0.287528   ,  0.00614842 ])
175790  , -61234.9    , array([ 0.027299   ,  1.60933    ,  1.47315e-31,  0.287528   ,  0.00614842 ])
175791  , -61262.7    , array([ 0.0272717  ,  1.61094    ,  1.47315e-31,  0.287528   ,  0.00614842 ])
175792  , -61261      , array([ 0.0272717  ,  1.60933    ,  1.47463e-31,  0.287528   ,  0.00614842 ])
175793  , -61261.1    , array([ 0.0272717  ,  1.60933    ,  1.47315e-31,  0.287816   ,  0.00614842 ])
175794  , -61282.5    , array([ 0.0272717  ,  1.60933    ,  1.47315e-31,  0.287528   ,  0.00615458 ])
175795  , -78197.9    , array([ 0.300765   ,  2.94937    ,  1.47315e-31,  0.287805   ,  0.000294459])
175796  , -78197.9    , array([ 0.300765   ,  2.94937    ,  1.47315e-31,  0.287805   ,  0.000294459])
175797  , -78198.6    , array([ 0.301066   ,  2.94937    ,  1.47315e-31,  0.287805   ,  0.000294459])
175798  , -78198      , array([ 0.300765   ,  2.95233    ,  1.47315e-31,  0.287805   ,  0.000294459])
175799  , -78197.9    , array([ 0.300765   ,  2.94937    ,  1.47463e-31,  0.287805   ,  0.000294459])
175800  , -78197.9    , array([ 0.300765   ,  2.94937    ,  1.47315e-31,  0.288093   ,  0.000294459])
175801  , -78197      , array([ 0.300765   ,  2.94937    ,  1.47315e-31,  0.287805   ,  0.000294754])
175802  , -56325.3    , array([ 0.0518034  ,  1.89219    ,  1.47315e-31,  0.287602   ,  0.00272911 ])
175803  , -56325.3    , array([ 0.0518034  ,  1.89219    ,  1.47315e-31,  0.287602   ,  0.00272911 ])
175804  , -56333.8    , array([ 0.0518552  ,  1.89219    ,  1.47315e-31,  0.287602   ,  0.00272911 ])
175805  , -56326.3    , array([ 0.0518034  ,  1.89408    ,  1.47315e-31,  0.287602   ,  0.00272911 ])
175806  , -56325.3    , array([ 0.0518034  ,  1.89219    ,  1.47463e-31,  0.287602   ,  0.00272911 ])
175807  , -56325.4    , array([ 0.0518034  ,  1.89219    ,  1.47315e-31,  0.28789    ,  0.00272911 ])
175808  , -56315.5    , array([ 0.0518034  ,  1.89219    ,  1.47315e-31,  0.287602   ,  0.00273184 ])
175809  , -52691.3    , array([ 0.0388166  ,  1.75927    ,  1.47315e-31,  0.287569   ,  0.00393271 ])
175810  , -52691.3    , array([ 0.0388166  ,  1.75927    ,  1.47315e-31,  0.287569   ,  0.00393271 ])
175811  , -52690.1    , array([ 0.0388554  ,  1.75927    ,  1.47315e-31,  0.287569   ,  0.00393271 ])
175812  , -52692.5    , array([ 0.0388166  ,  1.76103    ,  1.47315e-31,  0.287569   ,  0.00393271 ])
175813  , -52691.3    , array([ 0.0388166  ,  1.75927    ,  1.47463e-31,  0.287569   ,  0.00393271 ])
175814  , -52691.4    , array([ 0.0388166  ,  1.75927    ,  1.47315e-31,  0.287856   ,  0.00393271 ])
175815  , -52690.3    , array([ 0.0388166  ,  1.75927    ,  1.47315e-31,  0.287569   ,  0.00393665 ])
175823  , -52693.1    , array([ 0.0384117  ,  1.75397    ,  1.47315e-31,  0.287565   ,  0.00398777 ])
175824  , -52693.1    , array([ 0.0384117  ,  1.75397    ,  1.47315e-31,  0.287565   ,  0.00398777 ])
175825  , -52691.3    , array([ 0.0384502  ,  1.75397    ,  1.47315e-31,  0.287565   ,  0.00398777 ])
175826  , -52694.3    , array([ 0.0384117  ,  1.75573    ,  1.47315e-31,  0.287565   ,  0.00398777 ])
175827  , -52693.1    , array([ 0.0384117  ,  1.75397    ,  1.47463e-31,  0.287565   ,  0.00398777 ])
175828  , -52693.2    , array([ 0.0384117  ,  1.75397    ,  1.47315e-31,  0.287853   ,  0.00398777 ])
175829  , -52692.6    , array([ 0.0384117  ,  1.75397    ,  1.47315e-31,  0.287565   ,  0.00399176 ])
175830  , -52690.5    , array([ 0.0386696  ,  1.75735    ,  1.47315e-31,  0.287567   ,  0.00395255 ])
175831  , -52690.5    , array([ 0.0386696  ,  1.75735    ,  1.47315e-31,  0.287567   ,  0.00395255 ])
175832  , -52689      , array([ 0.0387083  ,  1.75735    ,  1.47315e-31,  0.287567   ,  0.00395255 ])
175833  , -52691.7    , array([ 0.0386696  ,  1.75911    ,  1.47315e-31,  0.287567   ,  0.00395255 ])
175834  , -52690.5    , array([ 0.0386696  ,  1.75735    ,  1.47463e-31,  0.287567   ,  0.00395255 ])
175835  , -52690.5    , array([ 0.0386696  ,  1.75735    ,  1.47315e-31,  0.287855   ,  0.00395255 ])
175836  , -52689.6    , array([ 0.0386696  ,  1.75735    ,  1.47315e-31,  0.287567   ,  0.0039565  ])
175837  , -52688.7    , array([ 0.0379009  ,  1.68903    ,  1.47315e-31,  0.28861    ,  0.00387047 ])
175838  , -52688.7    , array([ 0.0379009  ,  1.68903    ,  1.47315e-31,  0.28861    ,  0.00387047 ])
175839  , -52687.3    , array([ 0.0379389  ,  1.68903    ,  1.47315e-31,  0.28861    ,  0.00387047 ])
175840  , -52690      , array([ 0.0379009  ,  1.69072    ,  1.47315e-31,  0.28861    ,  0.00387047 ])
175841  , -52688.7    , array([ 0.0379009  ,  1.68903    ,  1.47463e-31,  0.28861    ,  0.00387047 ])
175842  , -52688.8    , array([ 0.0379009  ,  1.68903    ,  1.47315e-31,  0.288899   ,  0.00387047 ])
175843  , -52687.9    , array([ 0.0379009  ,  1.68903    ,  1.47315e-31,  0.28861    ,  0.00387434 ])
175844  , -52673.3    , array([ 0.0349761  ,  1.44129    ,  1.47315e-31,  0.29282    ,  0.00355886 ])
175845  , -52673.3    , array([ 0.0349761  ,  1.44129    ,  1.47315e-31,  0.29282    ,  0.00355886 ])
175846  , -52671.9    , array([ 0.0350111  ,  1.44129    ,  1.47315e-31,  0.29282    ,  0.00355886 ])
175847  , -52674.7    , array([ 0.0349761  ,  1.44274    ,  1.47315e-31,  0.29282    ,  0.00355886 ])
175848  , -52673.3    , array([ 0.0349761  ,  1.44129    ,  1.47463e-31,  0.29282    ,  0.00355886 ])
175849  , -52673.4    , array([ 0.0349761  ,  1.44129    ,  1.47315e-31,  0.293113   ,  0.00355886 ])
175850  , -52672.5    , array([ 0.0349761  ,  1.44129    ,  1.47315e-31,  0.29282    ,  0.00356242 ])
175851  , -52472.6    , array([ 0.0253664  ,  0.764206   ,  1.47315e-31,  0.310282   ,  0.00254389 ])
175852  , -52472.6    , array([ 0.0253664  ,  0.764206   ,  1.47315e-31,  0.310282   ,  0.00254389 ])
175853  , -52471.1    , array([ 0.0253917  ,  0.764206   ,  1.47315e-31,  0.310282   ,  0.00254389 ])
175854  , -52474.4    , array([ 0.0253664  ,  0.76497    ,  1.47315e-31,  0.310282   ,  0.00254389 ])
175855  , -52472.6    , array([ 0.0253664  ,  0.764206   ,  1.47463e-31,  0.310282   ,  0.00254389 ])
175856  , -52472.7    , array([ 0.0253664  ,  0.764206   ,  1.47315e-31,  0.310592   ,  0.00254389 ])
175857  , -52471.7    , array([ 0.0253664  ,  0.764206   ,  1.47315e-31,  0.310282   ,  0.00254643 ])
175858  , -48933      , array([ 0.00701787 ,  0.0604007  ,  1.47315e-31,  0.391181   ,  0.000664121])
175859  , -48933      , array([ 0.00701787 ,  0.0604007  ,  1.47315e-31,  0.391181   ,  0.000664121])
175860  , -48931.1    , array([ 0.00702489 ,  0.0604007  ,  1.47315e-31,  0.391181   ,  0.000664121])
175861  , -48938.4    , array([ 0.00701787 ,  0.0604612  ,  1.47315e-31,  0.391181   ,  0.000664121])
175862  , -48933      , array([ 0.00701787 ,  0.0604007  ,  1.47463e-31,  0.391181   ,  0.000664121])
175863  , -48933      , array([ 0.00701787 ,  0.0604007  ,  1.47315e-31,  0.391573   ,  0.000664121])
175864  , -48929.2    , array([ 0.00701787 ,  0.0604007  ,  1.47315e-31,  0.391181   ,  0.000664785])
175872  , -48931.9    , array([ 0.00701632 ,  0.0603745  ,  1.47315e-31,  0.391197   ,  0.000663968])
175873  , -48931.9    , array([ 0.00701632 ,  0.0603745  ,  1.47315e-31,  0.391197   ,  0.000663968])
175874  , -48930      , array([ 0.00702334 ,  0.0603745  ,  1.47315e-31,  0.391197   ,  0.000663968])
175875  , -48937.3    , array([ 0.00701632 ,  0.0604349  ,  1.47315e-31,  0.391197   ,  0.000663968])
175876  , -48931.9    , array([ 0.00701632 ,  0.0603745  ,  1.47463e-31,  0.391197   ,  0.000663968])
175877  , -48931.9    , array([ 0.00701632 ,  0.0603745  ,  1.47315e-31,  0.391588   ,  0.000663968])
175878  , -48928.1    , array([ 0.00701632 ,  0.0603745  ,  1.47315e-31,  0.391197   ,  0.000664632])
175879  , -48930.8    , array([ 0.00701478 ,  0.0603483  ,  1.47315e-31,  0.391212   ,  0.000663815])
175880  , -48930.8    , array([ 0.00701478 ,  0.0603483  ,  1.47315e-31,  0.391212   ,  0.000663815])
175881  , -48929      , array([ 0.0070218  ,  0.0603483  ,  1.47315e-31,  0.391212   ,  0.000663815])
175882  , -48936.2    , array([ 0.00701478 ,  0.0604087  ,  1.47315e-31,  0.391212   ,  0.000663815])
175883  , -48930.8    , array([ 0.00701478 ,  0.0603483  ,  1.47463e-31,  0.391212   ,  0.000663815])
175884  , -48930.8    , array([ 0.00701478 ,  0.0603483  ,  1.47315e-31,  0.391604   ,  0.000663815])
175885  , -48927      , array([ 0.00701478 ,  0.0603483  ,  1.47315e-31,  0.391212   ,  0.00066448 ])
175893  , -48930.5    , array([ 0.0070144  ,  0.0603418  ,  1.47315e-31,  0.391216   ,  0.000663777])
175894  , -48930.5    , array([ 0.0070144  ,  0.0603418  ,  1.47315e-31,  0.391216   ,  0.000663777])
175895  , -48928.7    , array([ 0.00702141 ,  0.0603418  ,  1.47315e-31,  0.391216   ,  0.000663777])
175896  , -48936      , array([ 0.0070144  ,  0.0604021  ,  1.47315e-31,  0.391216   ,  0.000663777])
175897  , -48930.5    , array([ 0.0070144  ,  0.0603418  ,  1.47463e-31,  0.391216   ,  0.000663777])
175898  , -48930.5    , array([ 0.0070144  ,  0.0603418  ,  1.47315e-31,  0.391608   ,  0.000663777])
175899  , -48926.7    , array([ 0.0070144  ,  0.0603418  ,  1.47315e-31,  0.391216   ,  0.000664441])
175900  , -48930.2    , array([ 0.00701401 ,  0.0603352  ,  1.47315e-31,  0.39122    ,  0.000663739])
175901  , -48930.2    , array([ 0.00701401 ,  0.0603352  ,  1.47315e-31,  0.39122    ,  0.000663739])
175902  , -48928.4    , array([ 0.00702103 ,  0.0603352  ,  1.47315e-31,  0.39122    ,  0.000663739])
