32454   , -69996      , array([ 0.00261124 ,  1.1954     ,  1.29698e-94,  3.61537e-26,  3.61239e-05])
32455   , -70003.4    , array([ 0.00261386 ,  1.1954     ,  1.29698e-94,  3.61537e-26,  3.61239e-05])
32456   , -69996.1    , array([ 0.00261124 ,  1.19659    ,  1.29698e-94,  3.61537e-26,  3.61239e-05])
32457   , -69996      , array([ 0.00261124 ,  1.1954     ,  1.29828e-94,  3.61537e-26,  3.61239e-05])
32458   , -69996      , array([ 0.00261124 ,  1.1954     ,  1.29698e-94,  3.61899e-26,  3.61239e-05])
32459   , -69988.6    , array([ 0.00261124 ,  1.1954     ,  1.29698e-94,  3.61537e-26,  3.61601e-05])
32460   , -69996      , array([ 0.00261124 ,  1.1954     ,  1.29698e-94,  3.61537e-26,  3.61239e-05])
32461   , -57024.9    , array([ 0.00128072 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39139e-05])
32462   , -57024.9    , array([ 0.00128072 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39139e-05])
32463   , -57032.5    , array([ 0.00128201 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39139e-05])
32464   , -57025      , array([ 0.00128072 ,  1.19317    ,  1.29698e-94,  3.61537e-26,  7.39139e-05])
32465   , -57024.9    , array([ 0.00128072 ,  1.19198    ,  1.29828e-94,  3.61537e-26,  7.39139e-05])
32466   , -57024.9    , array([ 0.00128072 ,  1.19198    ,  1.29698e-94,  3.61899e-26,  7.39139e-05])
32467   , -57017.4    , array([ 0.00128072 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39878e-05])
32475   , -57021.8    , array([ 0.00128046 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39291e-05])
32476   , -57021.8    , array([ 0.00128046 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39291e-05])
32477   , -57029.4    , array([ 0.00128174 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.39291e-05])
32478   , -57021.9    , array([ 0.00128046 ,  1.19317    ,  1.29698e-94,  3.61537e-26,  7.39291e-05])
32479   , -57021.8    , array([ 0.00128046 ,  1.19198    ,  1.29828e-94,  3.61537e-26,  7.39291e-05])
32480   , -57021.8    , array([ 0.00128046 ,  1.19198    ,  1.29698e-94,  3.61899e-26,  7.39291e-05])
32481   , -57014.3    , array([ 0.00128046 ,  1.19198    ,  1.29698e-94,  3.61537e-26,  7.40031e-05])
32482   , -55458.3    , array([ 0.00112539 ,  1.19136    ,  1.29698e-94,  3.61537e-26,  8.41701e-05])
32483   , -55458.3    , array([ 0.00112539 ,  1.19136    ,  1.29698e-94,  3.61537e-26,  8.41701e-05])
32484   , -55462.5    , array([ 0.00112652 ,  1.19136    ,  1.29698e-94,  3.61537e-26,  8.41701e-05])
32485   , -55458.3    , array([ 0.00112539 ,  1.19256    ,  1.29698e-94,  3.61537e-26,  8.41701e-05])
32486   , -55458.3    , array([ 0.00112539 ,  1.19136    ,  1.29828e-94,  3.61537e-26,  8.41701e-05])
32487   , -55458.3    , array([ 0.00112539 ,  1.19136    ,  1.29698e-94,  3.61899e-26,  8.41701e-05])
32488   , -55454      , array([ 0.00112539 ,  1.19136    ,  1.29698e-94,  3.61537e-26,  8.42543e-05])
32496   , -55457.8    , array([ 0.00112641 ,  1.18929    ,  1.29698e-94,  3.61537e-26,  8.42528e-05])
32497   , -55457.8    , array([ 0.00112641 ,  1.18929    ,  1.29698e-94,  3.61537e-26,  8.42528e-05])
32498   , -55462      , array([ 0.00112754 ,  1.18929    ,  1.29698e-94,  3.61537e-26,  8.42528e-05])
32499   , -55457.8    , array([ 0.00112641 ,  1.19048    ,  1.29698e-94,  3.61537e-26,  8.42528e-05])
32500   , -55457.8    , array([ 0.00112641 ,  1.18929    ,  1.29828e-94,  3.61537e-26,  8.42528e-05])
32501   , -55457.8    , array([ 0.00112641 ,  1.18929    ,  1.29698e-94,  3.61899e-26,  8.42528e-05])
32502   , -55453.5    , array([ 0.00112641 ,  1.18929    ,  1.29698e-94,  3.61537e-26,  8.43371e-05])
32503   , -55457.3    , array([ 0.00112743 ,  1.18722    ,  1.29698e-94,  3.61537e-26,  8.43355e-05])
32504   , -55457.3    , array([ 0.00112743 ,  1.18722    ,  1.29698e-94,  3.61537e-26,  8.43355e-05])
