117534  , -6602.82    , array([ 1.07841    ,  0.154786   ,  2.4955e-48 ,  6.21874e-09,  0.0847609  ])
117535  , -6619.44    , array([ 1.07841    ,  0.154786   ,  2.4955e-48 ,  6.21253e-09,  0.0848457  ])
117536  , -5382.52    , array([ 1.47354    ,  0.116923   ,  2.4955e-48 ,  6.21253e-09,  0.0652355  ])
117537  , -5382.52    , array([ 1.47354    ,  0.116923   ,  2.4955e-48 ,  6.21253e-09,  0.0652355  ])
117538  , -5381.81    , array([ 1.47501    ,  0.116923   ,  2.4955e-48 ,  6.21253e-09,  0.0652355  ])
117539  , -5369.63    , array([ 1.47354    ,  0.11704    ,  2.4955e-48 ,  6.21253e-09,  0.0652355  ])
117540  , -5382.52    , array([ 1.47354    ,  0.116923   ,  2.49799e-48,  6.21253e-09,  0.0652355  ])
117541  , -5382.52    , array([ 1.47354    ,  0.116923   ,  2.4955e-48 ,  6.21874e-09,  0.0652355  ])
117542  , -5397.85    , array([ 1.47354    ,  0.116923   ,  2.4955e-48 ,  6.21253e-09,  0.0653007  ])
117543  , -8078.81    , array([ 0.140079   ,  0.0171199  ,  2.4955e-48 ,  6.21253e-09,  0.00987173 ])
117544  , -8078.81    , array([ 0.140079   ,  0.0171199  ,  2.4955e-48 ,  6.21253e-09,  0.00987173 ])
117545  , -8074.65    , array([ 0.140219   ,  0.0171199  ,  2.4955e-48 ,  6.21253e-09,  0.00987173 ])
117546  , -8063.41    , array([ 0.140079   ,  0.017137   ,  2.4955e-48 ,  6.21253e-09,  0.00987173 ])
117547  , -8078.81    , array([ 0.140079   ,  0.0171199  ,  2.49799e-48,  6.21253e-09,  0.00987173 ])
117548  , -8078.81    , array([ 0.140079   ,  0.0171199  ,  2.4955e-48 ,  6.21874e-09,  0.00987173 ])
117549  , -8097.4     , array([ 0.140079   ,  0.0171199  ,  2.4955e-48 ,  6.21253e-09,  0.00988161 ])
117550  , -5234.58    , array([ 1.01572    ,  0.0862926  ,  2.4955e-48 ,  6.21253e-09,  0.0483972  ])
117551  , -5234.58    , array([ 1.01572    ,  0.0862926  ,  2.4955e-48 ,  6.21253e-09,  0.0483972  ])
117552  , -5233.27    , array([ 1.01674    ,  0.0862926  ,  2.4955e-48 ,  6.21253e-09,  0.0483972  ])
117553  , -5221.14    , array([ 1.01572    ,  0.0863789  ,  2.4955e-48 ,  6.21253e-09,  0.0483972  ])
