Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-1413.09	2836.18	206.31	19856.4	0.9624,0.1347,5.5517,0.7575,0.0606
our_model	Round_1_Replicate_2	-1355.74	2721.48	87.75	19697.78	1.0506,0.117,4.6611,2.9225,0.0637
our_model	Round_1_Replicate_3	-2238.23	4486.46	1779.64	3558.85	5.1929,0.6935,0.526,1.1727,30.0
our_model	Round_1_Replicate_4	-2000.17	4010.34	1320.72	9462.09	2.0778,0.1746,1.4373,4.8656,30.0
our_model	Round_1_Replicate_5	-2423.76	4857.52	2131.09	2238.04	8.2391,1.2363,0.3263,0.6502,30.0
our_model	Round_1_Replicate_6	-1377.52	2765.04	133.97	19904.7	0.9596,0.129,5.5063,1.0375,0.0598
our_model	Round_1_Replicate_7	-1984.15	3978.3	1284.82	10440.63	1.9084,0.1432,1.6073,5.9889,30.0
our_model	Round_1_Replicate_8	-1985.54	3981.08	1288.17	9220.91	2.1571,0.1643,1.4167,5.2142,30.0
our_model	Round_1_Replicate_9	-1353.64	2717.28	86.55	19886.63	0.9926,0.1215,5.3235,1.0911,0.0561
our_model	Round_1_Replicate_10	-2004.15	4018.3	1329.17	8943.97	2.1931,0.1879,1.356,4.5156,30.0
our_model	Round_2_Replicate_1	-1311.95	2633.9	2.04	20029.63	0.998,0.0962,4.9829,2.6014,0.0476
our_model	Round_2_Replicate_2	-1333.23	2676.46	44.97	20286.81	0.897,0.0858,5.206,2.9732,0.042
our_model	Round_2_Replicate_3	-1628.39	3266.78	670.12	20347.75	0.9483,0.038,1.77,7.2086,0.0164
our_model	Round_2_Replicate_4	-1429.63	2869.26	249.37	20359.26	0.8693,0.1212,7.0722,0.8264,0.0569
our_model	Round_2_Replicate_5	-1497.07	3004.14	391.24	19949.93	1.3864,0.0554,2.9183,3.9928,0.0238
our_model	Round_2_Replicate_6	-1318.15	2646.3	14.53	20084.1	0.9842,0.0905,4.8957,2.6869,0.0438
our_model	Round_2_Replicate_7	-1457.94	2925.88	307.29	19979.9	1.2787,0.0594,3.3562,3.8853,0.026
our_model	Round_2_Replicate_8	-1317.56	2645.12	13.2	19997.25	1.0188,0.0913,4.6189,2.7709,0.0444
our_model	Round_2_Replicate_9	-1313.29	2636.58	4.75	19980.14	1.0049,0.1023,5.0306,2.0911,0.0495
our_model	Round_2_Replicate_10	-1381.98	2773.96	143.77	20368.9	0.8642,0.0725,4.7781,3.5508,0.034
our_model	Round_3_Replicate_1	-1312.36	2634.72	2.86	20044.68	0.9921,0.0955,4.9781,2.7682,0.0481
our_model	Round_3_Replicate_2	-1329.1	2668.2	35.88	19827.89	1.0203,0.1175,4.9822,1.9633,0.0597
our_model	Round_3_Replicate_3	-1319.8	2649.6	17.7	19808.42	1.0778,0.107,4.9004,2.4083,0.0541
our_model	Round_3_Replicate_4	-1316.31	2642.62	10.79	19918.84	1.0142,0.1075,5.0184,1.9937,0.0522
our_model	Round_3_Replicate_5	-1329.15	2668.3	36.53	19876.11	1.1292,0.088,4.5683,3.3031,0.0443
our_model	Round_3_Replicate_6	-1313.93	2637.86	6.03	19997.74	1.0274,0.0938,4.8788,2.708,0.0466
our_model	Round_3_Replicate_7	-1310.95	2631.9	0.03	19994.97	1.0011,0.1002,4.984,2.4742,0.05
our_model	Round_3_Replicate_8	-1313.0	2636.0	4.13	19913.52	1.034,0.1039,4.9813,2.3994,0.0521
our_model	Round_3_Replicate_9	-1311.03	2632.06	0.2	19982.95	1.0027,0.1009,4.9577,2.4556,0.0503
our_model	Round_3_Replicate_10	-1311.03	2632.06	0.2	19993.54	1.0048,0.0994,4.9819,2.5791,0.0499
our_model	Round_3_Replicate_11	-1342.55	2695.1	63.27	20136.67	0.9944,0.0799,4.7427,4.1644,0.0418
our_model	Round_3_Replicate_12	-1320.29	2650.58	18.86	20057.6	1.0195,0.0896,5.0896,3.1044,0.0448
our_model	Round_3_Replicate_13	-1335.34	2680.68	49.34	19920.62	1.11,0.0865,4.4126,2.4016,0.0404
our_model	Round_3_Replicate_14	-1329.24	2668.48	36.61	20118.53	0.9702,0.0848,4.6837,3.2625,0.0414
our_model	Round_3_Replicate_15	-1328.49	2666.98	35.47	19919.1	1.114,0.0896,4.8177,2.5581,0.0427
our_model	Round_3_Replicate_16	-1353.88	2717.76	87.52	20318.14	0.919,0.0763,5.2212,3.926,0.0384
our_model	Round_3_Replicate_17	-1317.43	2644.86	13.03	20003.46	0.9744,0.1088,5.2369,1.9428,0.0534
our_model	Round_3_Replicate_18	-1371.96	2753.92	122.38	20199.22	0.869,0.1265,5.9486,1.5104,0.0645
our_model	Round_3_Replicate_19	-1312.02	2634.04	2.18	20017.52	0.9978,0.0963,4.8883,2.7174,0.0482
our_model	Round_3_Replicate_20	-1356.97	2723.94	94.0	19994.76	0.9626,0.124,5.8061,1.4081,0.061
