17078   , -1741.46    , array([ 0.244673   ,  0.0690904  ,  5.16314e-10,  0.0104833  ])
17079   , -1741.46    , array([ 0.244918   ,  0.0690904  ,  5.16314e-10,  0.0104833  ])
17080   , -1741.06    , array([ 0.244673   ,  0.0691595  ,  5.16314e-10,  0.0104833  ])
17081   , -1741.46    , array([ 0.244673   ,  0.0690904  ,  5.1683e-10 ,  0.0104833  ])
17082   , -1741.66    , array([ 0.244673   ,  0.0690904  ,  5.16314e-10,  0.0104938  ])
17083   , -1741.46    , array([ 0.244673   ,  0.0690904  ,  5.16314e-10,  0.0104833  ])
17084   , -1916.56    , array([ 0.244673   ,  0.171394   ,  5.16314e-10,  0.00674369 ])
17085   , -1916.56    , array([ 0.244673   ,  0.171394   ,  5.16314e-10,  0.00674369 ])
17086   , -1916.56    , array([ 0.244918   ,  0.171394   ,  5.16314e-10,  0.00674369 ])
17087   , -1916.88    , array([ 0.244673   ,  0.171565   ,  5.16314e-10,  0.00674369 ])
17088   , -1916.56    , array([ 0.244673   ,  0.171394   ,  5.1683e-10 ,  0.00674369 ])
17089   , -1916.28    , array([ 0.244673   ,  0.171394   ,  5.16314e-10,  0.00675044 ])
17090   , -1690.89    , array([ 0.244673   ,  0.0876323  ,  5.16314e-10,  0.00934038 ])
17091   , -1690.89    , array([ 0.244673   ,  0.0876323  ,  5.16314e-10,  0.00934038 ])
17092   , -1690.89    , array([ 0.244918   ,  0.0876323  ,  5.16314e-10,  0.00934038 ])
17093   , -1690.87    , array([ 0.244673   ,  0.0877199  ,  5.16314e-10,  0.00934038 ])
17094   , -1690.89    , array([ 0.244673   ,  0.0876323  ,  5.1683e-10 ,  0.00934038 ])
17095   , -1690.79    , array([ 0.244673   ,  0.0876323  ,  5.16314e-10,  0.00934972 ])
17096   , -1527.81    , array([ 0.244673   ,  0.181098   ,  5.16314e-10,  0.0246743  ])
17097   , -1527.81    , array([ 0.244673   ,  0.181098   ,  5.16314e-10,  0.0246743  ])
17098   , -1527.81    , array([ 0.244918   ,  0.181098   ,  5.16314e-10,  0.0246743  ])
17099   , -1527.9     , array([ 0.244673   ,  0.181279   ,  5.16314e-10,  0.0246743  ])
17100   , -1527.81    , array([ 0.244673   ,  0.181098   ,  5.1683e-10 ,  0.0246743  ])
17101   , -1527.5     , array([ 0.244673   ,  0.181098   ,  5.16314e-10,  0.024699   ])
17102   , -9741.16    , array([ 0.244673   ,  3.30305    ,  5.16314e-10,  1.20162    ])
17103   , -9741.16    , array([ 0.244673   ,  3.30305    ,  5.16314e-10,  1.20162    ])
17104   , -9741.16    , array([ 0.244918   ,  3.30305    ,  5.16314e-10,  1.20162    ])
17105   , -9750.3     , array([ 0.244673   ,  3.30636    ,  5.16314e-10,  1.20162    ])
17106   , -9741.16    , array([ 0.244673   ,  3.30305    ,  5.1683e-10 ,  1.20162    ])
17107   , -9740.53    , array([ 0.244673   ,  3.30305    ,  5.16314e-10,  1.20282    ])
17108   , -1442.99    , array([ 0.244673   ,  0.23348    ,  5.16314e-10,  0.0346657  ])
17109   , -1442.99    , array([ 0.244673   ,  0.23348    ,  5.16314e-10,  0.0346657  ])
17110   , -1442.99    , array([ 0.244918   ,  0.23348    ,  5.16314e-10,  0.0346657  ])
17111   , -1443.21    , array([ 0.244673   ,  0.233714   ,  5.16314e-10,  0.0346657  ])
17112   , -1442.99    , array([ 0.244673   ,  0.23348    ,  5.1683e-10 ,  0.0346657  ])
17113   , -1442.56    , array([ 0.244673   ,  0.23348    ,  5.16314e-10,  0.0347004  ])
17114   , -1366.16    , array([ 0.244673   ,  0.293407   ,  5.16314e-10,  0.0470632  ])
17115   , -1366.16    , array([ 0.244673   ,  0.293407   ,  5.16314e-10,  0.0470632  ])
17116   , -1366.16    , array([ 0.244918   ,  0.293407   ,  5.16314e-10,  0.0470632  ])
17117   , -1366.56    , array([ 0.244673   ,  0.293701   ,  5.16314e-10,  0.0470632  ])
17118   , -1366.16    , array([ 0.244673   ,  0.293407   ,  5.1683e-10 ,  0.0470632  ])
17119   , -1365.63    , array([ 0.244673   ,  0.293407   ,  5.16314e-10,  0.0471103  ])
17120   , -2290.12    , array([ 0.244673   ,  0.984449   ,  5.16314e-10,  0.237806   ])
17121   , -2290.12    , array([ 0.244673   ,  0.984449   ,  5.16314e-10,  0.237806   ])
17122   , -2290.12    , array([ 0.244918   ,  0.984449   ,  5.16314e-10,  0.237806   ])
17123   , -2293.08    , array([ 0.244673   ,  0.985434   ,  5.16314e-10,  0.237806   ])
17124   , -2290.12    , array([ 0.244673   ,  0.984449   ,  5.1683e-10 ,  0.237806   ])
17125   , -2290.09    , array([ 0.244673   ,  0.984449   ,  5.16314e-10,  0.238044   ])
17126   , -1301.86    , array([ 0.244673   ,  0.387539   ,  5.16314e-10,  0.0682968  ])
17127   , -1301.86    , array([ 0.244673   ,  0.387539   ,  5.16314e-10,  0.0682968  ])
17128   , -1301.86    , array([ 0.244918   ,  0.387539   ,  5.16314e-10,  0.0682968  ])
17129   , -1302.58    , array([ 0.244673   ,  0.387927   ,  5.16314e-10,  0.0682968  ])
17130   , -1301.86    , array([ 0.244673   ,  0.387539   ,  5.1683e-10 ,  0.0682968  ])
17131   , -1301.24    , array([ 0.244673   ,  0.387539   ,  5.16314e-10,  0.0683651  ])
17138   , -1301.86    , array([ 0.244673   ,  0.387542   ,  5.16314e-10,  0.0682974  ])
17139   , -1301.86    , array([ 0.244673   ,  0.387542   ,  5.16314e-10,  0.0682974  ])
17140   , -1301.86    , array([ 0.244918   ,  0.387542   ,  5.16314e-10,  0.0682974  ])
17141   , -1302.58    , array([ 0.244673   ,  0.387929   ,  5.16314e-10,  0.0682974  ])
17142   , -1301.86    , array([ 0.244673   ,  0.387542   ,  5.1683e-10 ,  0.0682974  ])
17143   , -1301.24    , array([ 0.244673   ,  0.387542   ,  5.16314e-10,  0.0683658  ])
17144   , -1301.85    , array([ 0.244673   ,  0.387558   ,  5.16314e-10,  0.0683016  ])
17145   , -1301.85    , array([ 0.244673   ,  0.387558   ,  5.16314e-10,  0.0683016  ])
17146   , -1301.85    , array([ 0.244918   ,  0.387558   ,  5.16314e-10,  0.0683016  ])
17147   , -1302.58    , array([ 0.244673   ,  0.387946   ,  5.16314e-10,  0.0683016  ])
17148   , -1301.85    , array([ 0.244673   ,  0.387558   ,  5.1683e-10 ,  0.0683016  ])
17149   , -1301.23    , array([ 0.244673   ,  0.387558   ,  5.16314e-10,  0.0683699  ])
17150   , -13589.7    , array([ 0.244673   ,  6.01601    ,  5.16314e-10,  3.06035    ])
17151   , -13589.7    , array([ 0.244673   ,  6.01601    ,  5.16314e-10,  3.06035    ])
17152   , -13589.7    , array([ 0.244918   ,  6.01601    ,  5.16314e-10,  3.06035    ])
17153   , -13603.6    , array([ 0.244673   ,  6.02203    ,  5.16314e-10,  3.06035    ])
17154   , -13589.7    , array([ 0.244673   ,  6.01601    ,  5.16831e-10,  3.06035    ])
17155   , -13583.1    , array([ 0.244673   ,  6.01601    ,  5.16314e-10,  3.06342    ])
17156   , -1298.96    , array([ 0.244673   ,  0.396198   ,  5.16314e-10,  0.0704218  ])
