316231  , -42175.8    , array([ 3.76225    ,  0.385152   ,  8.34175e-96,  0.000790316,  0.0169582  ])
316232  , -42177.4    , array([ 3.76601    ,  0.385152   ,  8.34175e-96,  0.000790316,  0.0169582  ])
316233  , -42199.1    , array([ 3.76225    ,  0.385538   ,  8.34175e-96,  0.000790316,  0.0169582  ])
316234  , -42175.8    , array([ 3.76225    ,  0.385152   ,  8.35009e-96,  0.000790316,  0.0169582  ])
316235  , -42175.8    , array([ 3.76225    ,  0.385152   ,  8.34175e-96,  0.000791107,  0.0169582  ])
316236  , -42151.7    , array([ 3.76225    ,  0.385152   ,  8.34175e-96,  0.000790316,  0.0169752  ])
316237  , -42175.8    , array([ 3.76225    ,  0.385152   ,  8.34175e-96,  0.000790316,  0.0169582  ])
316238  , -8317.46    , array([ 3.5891     ,  0.191378   ,  8.34175e-96,  0.000790307,  0.0350892  ])
316239  , -8317.46    , array([ 3.5891     ,  0.191378   ,  8.34175e-96,  0.000790307,  0.0350892  ])
316240  , -8318.15    , array([ 3.59269    ,  0.191378   ,  8.34175e-96,  0.000790307,  0.0350892  ])
316241  , -8334.87    , array([ 3.5891     ,  0.19157    ,  8.34175e-96,  0.000790307,  0.0350892  ])
316242  , -8317.46    , array([ 3.5891     ,  0.191378   ,  8.35009e-96,  0.000790307,  0.0350892  ])
316243  , -8317.46    , array([ 3.5891     ,  0.191378   ,  8.34175e-96,  0.000791098,  0.0350892  ])
316244  , -8300.95    , array([ 3.5891     ,  0.191378   ,  8.34175e-96,  0.000790307,  0.0351243  ])
316252  , -8309.69    , array([ 3.59145    ,  0.191104   ,  8.34175e-96,  0.000790307,  0.0350537  ])
316253  , -8309.69    , array([ 3.59145    ,  0.191104   ,  8.34175e-96,  0.000790307,  0.0350537  ])
316254  , -8310.38    , array([ 3.59505    ,  0.191104   ,  8.34175e-96,  0.000790307,  0.0350537  ])
316255  , -8327.1     , array([ 3.59145    ,  0.191295   ,  8.34175e-96,  0.000790307,  0.0350537  ])
316256  , -8309.69    , array([ 3.59145    ,  0.191104   ,  8.35009e-96,  0.000790307,  0.0350537  ])
316257  , -8309.69    , array([ 3.59145    ,  0.191104   ,  8.34175e-96,  0.000791097,  0.0350537  ])
316258  , -8293.19    , array([ 3.59145    ,  0.191104   ,  8.34175e-96,  0.000790307,  0.0350887  ])
316259  , -4028.04    , array([ 15.8075    ,  0.00743991 ,  8.34175e-96,  0.000789319,  0.00353194 ])
316260  , -4028.04    , array([ 15.8075    ,  0.00743991 ,  8.34175e-96,  0.000789319,  0.00353194 ])
316261  , -4028.04    , array([ 15.8233    ,  0.00743991 ,  8.34175e-96,  0.000789319,  0.00353194 ])
316262  , -4017.52    , array([ 15.8075    ,  0.00744735 ,  8.34175e-96,  0.000789319,  0.00353194 ])
316263  , -4028.04    , array([ 15.8075    ,  0.00743991 ,  8.35009e-96,  0.000789319,  0.00353194 ])
316264  , -4028.04    , array([ 15.8075    ,  0.00743991 ,  8.34175e-96,  0.000790109,  0.00353194 ])
316265  , -4038.2     , array([ 15.8075    ,  0.00743991 ,  8.34175e-96,  0.000789319,  0.00353548 ])
