1355    , -1796.48    , array([ 0.0195404  ,  2.82085    ,  0.00209873 ,  8.29808e-10])
1356    , -1796.32    , array([ 0.0195404  ,  2.82085    ,  0.00209663 ,  8.30638e-10])
1357    , -1777.98    , array([ 0.0238326  ,  2.82085    ,  0.00187724 ,  8.29808e-10])
1358    , -1777.98    , array([ 0.0238326  ,  2.82085    ,  0.00187724 ,  8.29808e-10])
1359    , -1778.02    , array([ 0.0238565  ,  2.82085    ,  0.00187724 ,  8.29808e-10])
1360    , -1777.98    , array([ 0.0238326  ,  2.82367    ,  0.00187724 ,  8.29808e-10])
1361    , -1777.92    , array([ 0.0238326  ,  2.82085    ,  0.00187912 ,  8.29808e-10])
1362    , -1777.98    , array([ 0.0238326  ,  2.82085    ,  0.00187724 ,  8.30638e-10])
1363    , -1776.16    , array([ 0.0226876  ,  2.82085    ,  0.00192941 ,  8.29808e-10])
1364    , -1776.16    , array([ 0.0226876  ,  2.82085    ,  0.00192941 ,  8.29808e-10])
1365    , -1776.15    , array([ 0.0227103  ,  2.82085    ,  0.00192941 ,  8.29808e-10])
1366    , -1776.16    , array([ 0.0226876  ,  2.82367    ,  0.00192941 ,  8.29808e-10])
1367    , -1776.15    , array([ 0.0226876  ,  2.82085    ,  0.00193134 ,  8.29808e-10])
1368    , -1776.16    , array([ 0.0226876  ,  2.82085    ,  0.00192941 ,  8.30638e-10])
1375    , -1776.16    , array([ 0.0226875  ,  2.82085    ,  0.00192942 ,  8.29808e-10])
1376    , -1776.16    , array([ 0.0226875  ,  2.82085    ,  0.00192942 ,  8.29808e-10])
1377    , -1776.15    , array([ 0.0227102  ,  2.82085    ,  0.00192942 ,  8.29808e-10])
1378    , -1776.16    , array([ 0.0226875  ,  2.82367    ,  0.00192942 ,  8.29808e-10])
1379    , -1776.15    , array([ 0.0226875  ,  2.82085    ,  0.00193136 ,  8.29808e-10])
1380    , -1776.16    , array([ 0.0226875  ,  2.82085    ,  0.00192942 ,  8.30638e-10])
1381    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192947 ,  8.29808e-10])
1382    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192947 ,  8.29808e-10])
1383    , -1776.15    , array([ 0.0227101  ,  2.82085    ,  0.00192947 ,  8.29808e-10])
1384    , -1776.16    , array([ 0.0226874  ,  2.82367    ,  0.00192947 ,  8.29808e-10])
1385    , -1776.15    , array([ 0.0226874  ,  2.82085    ,  0.0019314  ,  8.29808e-10])
1386    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192947 ,  8.30638e-10])
1393    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192948 ,  8.29808e-10])
1394    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192948 ,  8.29808e-10])
1395    , -1776.15    , array([ 0.0227101  ,  2.82085    ,  0.00192948 ,  8.29808e-10])
1396    , -1776.16    , array([ 0.0226874  ,  2.82367    ,  0.00192948 ,  8.29808e-10])
1397    , -1776.15    , array([ 0.0226874  ,  2.82085    ,  0.00193141 ,  8.29808e-10])
1398    , -1776.16    , array([ 0.0226874  ,  2.82085    ,  0.00192948 ,  8.30638e-10])
1399    , -1776.16    , array([ 0.0226873  ,  2.82085    ,  0.00192949 ,  8.29808e-10])
1400    , -1776.16    , array([ 0.0226873  ,  2.82085    ,  0.00192949 ,  8.29808e-10])
1401    , -1776.15    , array([ 0.02271    ,  2.82085    ,  0.00192949 ,  8.29808e-10])
1402    , -1776.16    , array([ 0.0226873  ,  2.82367    ,  0.00192949 ,  8.29808e-10])
1403    , -1776.15    , array([ 0.0226873  ,  2.82085    ,  0.00193142 ,  8.29808e-10])
1404    , -1776.16    , array([ 0.0226873  ,  2.82085    ,  0.00192949 ,  8.30638e-10])
1405    , -2336.81    , array([ 0.0064597  ,  2.82085    ,  0.418758   ,  8.29812e-10])
1406    , -2336.81    , array([ 0.0064597  ,  2.82085    ,  0.418758   ,  8.29812e-10])
1407    , -2336.81    , array([ 0.00646616 ,  2.82085    ,  0.418758   ,  8.29812e-10])
1408    , -2336.81    , array([ 0.0064597  ,  2.82367    ,  0.418758   ,  8.29812e-10])
1409    , -2336.81    , array([ 0.0064597  ,  2.82085    ,  0.419177   ,  8.29812e-10])
1410    , -2336.81    , array([ 0.0064597  ,  2.82085    ,  0.418758   ,  8.30642e-10])
1411    , -1779.88    , array([ 0.0221602  ,  2.82085    ,  0.00213386 ,  8.29808e-10])
1412    , -1779.88    , array([ 0.0221602  ,  2.82085    ,  0.00213386 ,  8.29808e-10])
1413    , -1779.78    , array([ 0.0221824  ,  2.82085    ,  0.00213386 ,  8.29808e-10])
1414    , -1779.88    , array([ 0.0221602  ,  2.82367    ,  0.00213386 ,  8.29808e-10])
1415    , -1779.94    , array([ 0.0221602  ,  2.82085    ,  0.002136   ,  8.29808e-10])
1416    , -1779.88    , array([ 0.0221602  ,  2.82085    ,  0.00213386 ,  8.30638e-10])
1417    , -1776.07    , array([ 0.0226181  ,  2.82085    ,  0.00195491 ,  8.29808e-10])
1418    , -1776.07    , array([ 0.0226181  ,  2.82085    ,  0.00195491 ,  8.29808e-10])
1419    , -1776.06    , array([ 0.0226407  ,  2.82085    ,  0.00195491 ,  8.29808e-10])
1420    , -1776.07    , array([ 0.0226181  ,  2.82367    ,  0.00195491 ,  8.29808e-10])
1421    , -1776.07    , array([ 0.0226181  ,  2.82085    ,  0.00195687 ,  8.29808e-10])
1422    , -1776.07    , array([ 0.0226181  ,  2.82085    ,  0.00195491 ,  8.30638e-10])
1423    , -1775.89    , array([ 0.0227839  ,  2.82085    ,  0.00197066 ,  8.29808e-10])
1424    , -1775.89    , array([ 0.0227839  ,  2.82085    ,  0.00197066 ,  8.29808e-10])
1425    , -1775.88    , array([ 0.0228067  ,  2.82085    ,  0.00197066 ,  8.29808e-10])
1426    , -1775.89    , array([ 0.0227839  ,  2.82367    ,  0.00197066 ,  8.29808e-10])
1427    , -1775.89    , array([ 0.0227839  ,  2.82085    ,  0.00197263 ,  8.29808e-10])
1428    , -1775.89    , array([ 0.0227839  ,  2.82085    ,  0.00197066 ,  8.30638e-10])
1429    , -1775.16    , array([ 0.0234596  ,  2.82085    ,  0.00203494 ,  8.29808e-10])
1430    , -1775.16    , array([ 0.0234596  ,  2.82085    ,  0.00203494 ,  8.29808e-10])
1431    , -1775.14    , array([ 0.023483   ,  2.82085    ,  0.00203494 ,  8.29808e-10])
1432    , -1775.16    , array([ 0.0234596  ,  2.82367    ,  0.00203494 ,  8.29808e-10])
1433    , -1775.15    , array([ 0.0234596  ,  2.82085    ,  0.00203698 ,  8.29808e-10])
1434    , -1775.16    , array([ 0.0234596  ,  2.82085    ,  0.00203494 ,  8.30638e-10])
1435    , -1771.96    , array([ 0.0263685  ,  2.82085    ,  0.00231374 ,  8.29808e-10])
1436    , -1771.96    , array([ 0.0263685  ,  2.82085    ,  0.00231374 ,  8.29808e-10])
1437    , -1771.93    , array([ 0.0263949  ,  2.82085    ,  0.00231374 ,  8.29808e-10])
1438    , -1771.96    , array([ 0.0263685  ,  2.82367    ,  0.00231374 ,  8.29808e-10])
1439    , -1771.95    , array([ 0.0263685  ,  2.82085    ,  0.00231606 ,  8.29808e-10])
1440    , -1771.96    , array([ 0.0263685  ,  2.82085    ,  0.00231374 ,  8.30638e-10])
1441    , -1753.82    , array([ 0.0420867  ,  2.82085    ,  0.00386693 ,  8.29809e-10])
1442    , -1753.82    , array([ 0.0420867  ,  2.82085    ,  0.00386693 ,  8.29809e-10])
1443    , -1753.8     , array([ 0.0421288  ,  2.82085    ,  0.00386693 ,  8.29809e-10])
1444    , -1753.82    , array([ 0.0420867  ,  2.82367    ,  0.00386693 ,  8.29809e-10])
1445    , -1753.8     , array([ 0.0420867  ,  2.82085    ,  0.0038708  ,  8.29809e-10])
1446    , -1753.82    , array([ 0.0420867  ,  2.82085    ,  0.00386693 ,  8.30639e-10])
1447    , -1555.57    , array([ 0.27314    ,  2.82083    ,  0.0301696  ,  8.29812e-10])
1448    , -1555.57    , array([ 0.27314    ,  2.82083    ,  0.0301696  ,  8.29812e-10])
1449    , -1555.99    , array([ 0.273413   ,  2.82083    ,  0.0301696  ,  8.29812e-10])
1450    , -1555.57    , array([ 0.27314    ,  2.82365    ,  0.0301696  ,  8.29812e-10])
1451    , -1555.12    , array([ 0.27314    ,  2.82083    ,  0.0301998  ,  8.29812e-10])
1452    , -1555.57    , array([ 0.27314    ,  2.82083    ,  0.0301696  ,  8.30642e-10])
1459    , -1555.57    , array([ 0.273142   ,  2.82083    ,  0.0301698  ,  8.29812e-10])
1460    , -1555.57    , array([ 0.273142   ,  2.82083    ,  0.0301698  ,  8.29812e-10])
1461    , -1555.99    , array([ 0.273416   ,  2.82083    ,  0.0301698  ,  8.29812e-10])
1462    , -1555.57    , array([ 0.273142   ,  2.82365    ,  0.0301698  ,  8.29812e-10])
1463    , -1555.12    , array([ 0.273142   ,  2.82083    ,  0.0302     ,  8.29812e-10])
1464    , -1555.57    , array([ 0.273142   ,  2.82083    ,  0.0301698  ,  8.30642e-10])
1465    , -1555.57    , array([ 0.273156   ,  2.82083    ,  0.0301715  ,  8.29812e-10])
1466    , -1555.57    , array([ 0.273156   ,  2.82083    ,  0.0301715  ,  8.29812e-10])
1467    , -1555.98    , array([ 0.273429   ,  2.82083    ,  0.0301715  ,  8.29812e-10])
1468    , -1555.57    , array([ 0.273156   ,  2.82365    ,  0.0301715  ,  8.29812e-10])
1469    , -1555.11    , array([ 0.273156   ,  2.82083    ,  0.0302017  ,  8.29812e-10])
1470    , -1555.57    , array([ 0.273156   ,  2.82083    ,  0.0301715  ,  8.30642e-10])
1471    , -23473.1    , array([ 11.5048    ,  2.82081    ,  1.83649    ,  8.29819e-10])
1472    , -23473.1    , array([ 11.5048    ,  2.82081    ,  1.83649    ,  8.29819e-10])
1473    , -23484.8    , array([ 11.5163    ,  2.82081    ,  1.83649    ,  8.29819e-10])
1474    , -23473.1    , array([ 11.5048    ,  2.82363    ,  1.83649    ,  8.29819e-10])
1475    , -23475.7    , array([ 11.5048    ,  2.82081    ,  1.83833    ,  8.29819e-10])
1476    , -23473.1    , array([ 11.5048    ,  2.82081    ,  1.83649    ,  8.30649e-10])
1477    , -1552.64    , array([ 0.283503   ,  2.82083    ,  0.0314292  ,  8.29812e-10])
1478    , -1552.64    , array([ 0.283503   ,  2.82083    ,  0.0314292  ,  8.29812e-10])
1479    , -1553.08    , array([ 0.283787   ,  2.82083    ,  0.0314292  ,  8.29812e-10])
1480    , -1552.64    , array([ 0.283503   ,  2.82365    ,  0.0314292  ,  8.29812e-10])
1481    , -1552.18    , array([ 0.283503   ,  2.82083    ,  0.0314607  ,  8.29812e-10])
1482    , -1552.64    , array([ 0.283503   ,  2.82083    ,  0.0314292  ,  8.30643e-10])
1483    , -1546.65    , array([ 0.319651   ,  2.82083    ,  0.0358577  ,  8.29813e-10])
1484    , -1546.65    , array([ 0.319651   ,  2.82083    ,  0.0358577  ,  8.29813e-10])
1485    , -1547.17    , array([ 0.31997    ,  2.82083    ,  0.0358577  ,  8.29813e-10])
