86733   , -71856.8    , array([ 0.801928   ,  5.31681    ,  3.29559e-19,  1.42041    ,  0.00660218 ])
86734   , -71856.8    , array([ 0.801928   ,  5.31681    ,  3.29559e-19,  1.42041    ,  0.00660218 ])
86735   , -71862      , array([ 0.80273    ,  5.31681    ,  3.29559e-19,  1.42041    ,  0.00660218 ])
86736   , -71858.1    , array([ 0.801928   ,  5.32213    ,  3.29559e-19,  1.42041    ,  0.00660218 ])
86737   , -71856.8    , array([ 0.801928   ,  5.31681    ,  3.29889e-19,  1.42041    ,  0.00660218 ])
86738   , -71856.9    , array([ 0.801928   ,  5.31681    ,  3.29559e-19,  1.42183    ,  0.00660218 ])
86739   , -71850.4    , array([ 0.801928   ,  5.31681    ,  3.29559e-19,  1.42041    ,  0.00660879 ])
86747   , -71856.8    , array([ 0.801926   ,  5.31684    ,  3.29559e-19,  1.42043    ,  0.00660221 ])
86748   , -71856.8    , array([ 0.801926   ,  5.31684    ,  3.29559e-19,  1.42043    ,  0.00660221 ])
86749   , -71862      , array([ 0.802728   ,  5.31684    ,  3.29559e-19,  1.42043    ,  0.00660221 ])
86750   , -71858.1    , array([ 0.801926   ,  5.32216    ,  3.29559e-19,  1.42043    ,  0.00660221 ])
86751   , -71856.8    , array([ 0.801926   ,  5.31684    ,  3.29889e-19,  1.42043    ,  0.00660221 ])
86752   , -71856.9    , array([ 0.801926   ,  5.31684    ,  3.29559e-19,  1.42186    ,  0.00660221 ])
86753   , -71850.4    , array([ 0.801926   ,  5.31684    ,  3.29559e-19,  1.42043    ,  0.00660881 ])
86754   , -71856.8    , array([ 0.801924   ,  5.31687    ,  3.29559e-19,  1.42046    ,  0.00660223 ])
86755   , -71856.8    , array([ 0.801924   ,  5.31687    ,  3.29559e-19,  1.42046    ,  0.00660223 ])
86756   , -71861.9    , array([ 0.802726   ,  5.31687    ,  3.29559e-19,  1.42046    ,  0.00660223 ])
86757   , -71858      , array([ 0.801924   ,  5.32219    ,  3.29559e-19,  1.42046    ,  0.00660223 ])
86758   , -71856.8    , array([ 0.801924   ,  5.31687    ,  3.29889e-19,  1.42046    ,  0.00660223 ])
86759   , -71856.9    , array([ 0.801924   ,  5.31687    ,  3.29559e-19,  1.42188    ,  0.00660223 ])
86760   , -71850.4    , array([ 0.801924   ,  5.31687    ,  3.29559e-19,  1.42046    ,  0.00660884 ])
86761   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65446    ,  0.00868496 ])
86762   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65446    ,  0.00868496 ])
86763   , -69732.4    , array([ 0.680572   ,  7.7968     ,  3.29559e-19,  5.65446    ,  0.00868496 ])
86764   , -69726.6    , array([ 0.679891   ,  7.8046     ,  3.29559e-19,  5.65446    ,  0.00868496 ])
86765   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29889e-19,  5.65446    ,  0.00868496 ])
86766   , -69726.1    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.66011    ,  0.00868496 ])
86767   , -69718      , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65446    ,  0.00869364 ])
86775   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86776   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86777   , -69732.4    , array([ 0.680571   ,  7.7968     ,  3.29559e-19,  5.65447    ,  0.00868496 ])
