57049   , -45674      , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.23607    ])
57050   , -44916.5    , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.61803    ])
57051   , -44485.1    , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.8541     ])
57053   , -44646.5    , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.76393    ])
57054   , -44387.4    , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57056   , -44387.4    , array([ 2.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57057   , -46951.6    , array([ 3.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57058   , -42259.3    , array([ 1.0296     ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57059   , -51393.7    , array([ 0.46014    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57060   , -42259.3    , array([ 1.0296     ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57061   , -42005.6    , array([ 1.64763    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57062   , -42787.9    , array([ 2.0296     ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57063   , -41757.9    , array([ 1.4221     ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57064   , -41745.1    , array([ 1.39202    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57065   , -41739      , array([ 1.32602    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57066   , -41813.7    , array([ 1.2128     ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57067   , -41737.4    , array([ 1.34556    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57068   , -41738      , array([ 1.35858    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57069   , -41737.4    , array([ 1.34556    ,  2.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57070   , -48021.6    , array([ 1.34556    ,  3.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57071   , -20745      , array([ 1.34556    ,  1.04107    ,  2.58793    ,  2.58842    ,  4.90983    ])
57073   , -20745      , array([ 1.34556    ,  1.04107    ,  2.58793    ,  2.58842    ,  4.90983    ])
57074   , -37917.6    , array([ 1.34556    ,  0.0410654  ,  2.58793    ,  2.58842    ,  4.90983    ])
57075   , -31320.1    , array([ 1.34556    ,  1.6591     ,  2.58793    ,  2.58842    ,  4.90983    ])
57076   , -18682      , array([ 1.34556    ,  0.946302   ,  2.58793    ,  2.58842    ,  4.90983    ])
