329403  , -79088      , array([ 27.5526    ,  0.0197149  ,  2.0287e-60 ,  2.30988e-14,  2.46024e-08])
329404  , -79088      , array([ 27.5801    ,  0.0197149  ,  2.0287e-60 ,  2.30988e-14,  2.46024e-08])
329405  , -79088      , array([ 27.5526    ,  0.0197346  ,  2.0287e-60 ,  2.30988e-14,  2.46024e-08])
329406  , -79088      , array([ 27.5526    ,  0.0197149  ,  2.03073e-60,  2.30988e-14,  2.46024e-08])
329407  , -79088      , array([ 27.5526    ,  0.0197149  ,  2.0287e-60 ,  2.31219e-14,  2.46024e-08])
329408  , -79088      , array([ 27.5526    ,  0.0197149  ,  2.0287e-60 ,  2.30988e-14,  2.4627e-08 ])
329409  , -79088      , array([ 27.5526    ,  0.0197149  ,  2.0287e-60 ,  2.30988e-14,  2.46024e-08])
329410  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329411  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329412  , -79083.3    , array([ 27.5706    ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329413  , -79083.3    , array([ 27.543     ,  0.00966807 ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329414  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.03073e-60,  2.30988e-14,  5.02822e-08])
329415  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.31219e-14,  5.02822e-08])
329416  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.03325e-08])
329424  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329425  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329426  , -79083.3    , array([ 27.5706    ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329427  , -79083.3    , array([ 27.543     ,  0.00966807 ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329428  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.03073e-60,  2.30988e-14,  5.02822e-08])
329429  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.31219e-14,  5.02822e-08])
329430  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.03325e-08])
329431  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329432  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329433  , -79083.3    , array([ 27.5706    ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329434  , -79083.3    , array([ 27.543     ,  0.00966806 ,  2.0287e-60 ,  2.30988e-14,  5.02822e-08])
329435  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.03073e-60,  2.30988e-14,  5.02822e-08])
329436  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.31219e-14,  5.02822e-08])
329437  , -79083.3    , array([ 27.543     ,  0.0096584  ,  2.0287e-60 ,  2.30988e-14,  5.03325e-08])
329438  , -78983.1    , array([ 27.5239    ,  0.00231807 ,  2.0287e-60 ,  2.30988e-14,  2.10033e-07])
329439  , -78983.1    , array([ 27.5239    ,  0.00231807 ,  2.0287e-60 ,  2.30988e-14,  2.10033e-07])
329440  , -78983.1    , array([ 27.5514    ,  0.00231807 ,  2.0287e-60 ,  2.30988e-14,  2.10033e-07])
329441  , -78983.2    , array([ 27.5239    ,  0.00232039 ,  2.0287e-60 ,  2.30988e-14,  2.10033e-07])
329442  , -78983.1    , array([ 27.5239    ,  0.00231807 ,  2.03073e-60,  2.30988e-14,  2.10033e-07])
329443  , -78983.1    , array([ 27.5239    ,  0.00231807 ,  2.0287e-60 ,  2.31219e-14,  2.10033e-07])
329444  , -78983      , array([ 27.5239    ,  0.00231807 ,  2.0287e-60 ,  2.30988e-14,  2.10244e-07])
329445  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329446  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329447  , -78983.1    , array([ 27.5514    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329448  , -78983.2    , array([ 27.5239    ,  0.00232038 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329449  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.03073e-60,  2.30988e-14,  2.10034e-07])
329450  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.31219e-14,  2.10034e-07])
329451  , -78983      , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10244e-07])
329452  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329453  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329454  , -78983.1    , array([ 27.5514    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329455  , -78983.2    , array([ 27.5239    ,  0.00232038 ,  2.0287e-60 ,  2.30988e-14,  2.10034e-07])
329456  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.03073e-60,  2.30988e-14,  2.10034e-07])
329457  , -78983.1    , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.31219e-14,  2.10034e-07])
329458  , -78983      , array([ 27.5239    ,  0.00231806 ,  2.0287e-60 ,  2.30988e-14,  2.10244e-07])
329459  , -78647      , array([ 27.5143    ,  0.00113563 ,  2.0287e-60 ,  2.30988e-14,  4.29265e-07])
329460  , -78647      , array([ 27.5143    ,  0.00113563 ,  2.0287e-60 ,  2.30988e-14,  4.29265e-07])
329461  , -78647      , array([ 27.5419    ,  0.00113563 ,  2.0287e-60 ,  2.30988e-14,  4.29265e-07])
329462  , -78647.4    , array([ 27.5143    ,  0.00113676 ,  2.0287e-60 ,  2.30988e-14,  4.29265e-07])
