64409   , -78577.3    , array([ 0.0549135  ,  0.0630488  ,  4.6285e-26 ,  1.26051e-24,  1.55145e-05])
64410   , -78577.5    , array([ 0.0549684  ,  0.0630488  ,  4.6285e-26 ,  1.26051e-24,  1.55145e-05])
64411   , -78577.6    , array([ 0.0549135  ,  0.0631118  ,  4.6285e-26 ,  1.26051e-24,  1.55145e-05])
64412   , -78577.3    , array([ 0.0549135  ,  0.0630488  ,  4.63313e-26,  1.26051e-24,  1.55145e-05])
64413   , -78577.3    , array([ 0.0549135  ,  0.0630488  ,  4.6285e-26 ,  1.26178e-24,  1.55145e-05])
64414   , -78576.8    , array([ 0.0549135  ,  0.0630488  ,  4.6285e-26 ,  1.26051e-24,  1.553e-05  ])
64415   , -78577.3    , array([ 0.0549135  ,  0.0630488  ,  4.6285e-26 ,  1.26051e-24,  1.55145e-05])
64416   , -77341      , array([ 0.0383422  ,  0.0397039  ,  4.6285e-26 ,  1.26051e-24,  3.53288e-05])
64417   , -77341      , array([ 0.0383422  ,  0.0397039  ,  4.6285e-26 ,  1.26051e-24,  3.53288e-05])
64418   , -77341.7    , array([ 0.0383806  ,  0.0397039  ,  4.6285e-26 ,  1.26051e-24,  3.53288e-05])
64419   , -77342      , array([ 0.0383422  ,  0.0397436  ,  4.6285e-26 ,  1.26051e-24,  3.53288e-05])
64420   , -77341      , array([ 0.0383422  ,  0.0397039  ,  4.63313e-26,  1.26051e-24,  3.53288e-05])
64421   , -77341      , array([ 0.0383422  ,  0.0397039  ,  4.6285e-26 ,  1.26178e-24,  3.53288e-05])
64422   , -77339.2    , array([ 0.0383422  ,  0.0397039  ,  4.6285e-26 ,  1.26051e-24,  3.53641e-05])
64423   , -15758.4    , array([ 0.00911322 ,  0.00624395 ,  4.6285e-26 ,  1.26051e-24,  0.000949932])
64424   , -15758.4    , array([ 0.00911322 ,  0.00624395 ,  4.6285e-26 ,  1.26051e-24,  0.000949932])
64425   , -15748.2    , array([ 0.00912234 ,  0.00624395 ,  4.6285e-26 ,  1.26051e-24,  0.000949932])
64426   , -15773.8    , array([ 0.00911322 ,  0.0062502  ,  4.6285e-26 ,  1.26051e-24,  0.000949932])
64427   , -15758.4    , array([ 0.00911322 ,  0.00624395 ,  4.63313e-26,  1.26051e-24,  0.000949932])
64428   , -15758.4    , array([ 0.00911322 ,  0.00624395 ,  4.6285e-26 ,  1.26178e-24,  0.000949932])
64429   , -15753      , array([ 0.00911322 ,  0.00624395 ,  4.6285e-26 ,  1.26051e-24,  0.000950883])
64437   , -15732.2    , array([ 0.00910225 ,  0.00623428 ,  4.6285e-26 ,  1.26051e-24,  0.000952557])
64438   , -15732.2    , array([ 0.00910225 ,  0.00623428 ,  4.6285e-26 ,  1.26051e-24,  0.000952557])
64439   , -15722      , array([ 0.00911136 ,  0.00623428 ,  4.6285e-26 ,  1.26051e-24,  0.000952557])
