5060    , -2254.01    , array([ 0.0896028  ,  0.474287   ,  0.000454391,  4.73489e-10])
5061    , -2254.1     , array([ 0.0896924  ,  0.474287   ,  0.000454391,  4.73489e-10])
5062    , -2254.01    , array([ 0.0896028  ,  0.474762   ,  0.000454391,  4.73489e-10])
5063    , -2253.94    , array([ 0.0896028  ,  0.474287   ,  0.000454846,  4.73489e-10])
5064    , -2254.01    , array([ 0.0896028  ,  0.474287   ,  0.000454391,  4.73963e-10])
5065    , -2254.01    , array([ 0.0896028  ,  0.474287   ,  0.000454391,  4.73489e-10])
5066    , -2044.42    , array([ 0.0424855  ,  0.474287   ,  0.000897473,  4.73489e-10])
5067    , -2044.42    , array([ 0.0424855  ,  0.474287   ,  0.000897473,  4.73489e-10])
5068    , -2044.64    , array([ 0.042528   ,  0.474287   ,  0.000897473,  4.73489e-10])
5069    , -2044.42    , array([ 0.0424855  ,  0.474762   ,  0.000897473,  4.73489e-10])
5070    , -2044.2     , array([ 0.0424855  ,  0.474287   ,  0.000898371,  4.73489e-10])
5071    , -2044.42    , array([ 0.0424855  ,  0.474287   ,  0.000897473,  4.73963e-10])
5072    , -410.67     , array([ 0.00214742 ,  0.474287   ,  0.013658   ,  4.73489e-10])
5073    , -410.67     , array([ 0.00214742 ,  0.474287   ,  0.013658   ,  4.73489e-10])
5074    , -412.009    , array([ 0.00214957 ,  0.474287   ,  0.013658   ,  4.73489e-10])
5075    , -410.67     , array([ 0.00214742 ,  0.474761   ,  0.013658   ,  4.73489e-10])
5076    , -409.146    , array([ 0.00214742 ,  0.474287   ,  0.0136717  ,  4.73489e-10])
5077    , -410.67     , array([ 0.00214742 ,  0.474287   ,  0.013658   ,  4.73963e-10])
5084    , -408.941    , array([ 0.00214603 ,  0.474287   ,  0.0136661  ,  4.73489e-10])
5085    , -408.941    , array([ 0.00214603 ,  0.474287   ,  0.0136661  ,  4.73489e-10])
5086    , -410.213    , array([ 0.00214817 ,  0.474287   ,  0.0136661  ,  4.73489e-10])
5087    , -408.941    , array([ 0.00214603 ,  0.474761   ,  0.0136661  ,  4.73489e-10])
5088    , -407.495    , array([ 0.00214603 ,  0.474287   ,  0.0136798  ,  4.73489e-10])
5089    , -408.941    , array([ 0.00214603 ,  0.474287   ,  0.0136661  ,  4.73963e-10])
5090    , -400.518    , array([ 0.00213779 ,  0.474287   ,  0.0137141  ,  4.73489e-10])
5091    , -400.518    , array([ 0.00213779 ,  0.474287   ,  0.0137141  ,  4.73489e-10])
5092    , -401.399    , array([ 0.00213993 ,  0.474287   ,  0.0137141  ,  4.73489e-10])
5093    , -400.518    , array([ 0.00213779 ,  0.474761   ,  0.0137141  ,  4.73489e-10])
5094    , -399.538    , array([ 0.00213779 ,  0.474287   ,  0.0137278  ,  4.73489e-10])
5095    , -400.518    , array([ 0.00213779 ,  0.474287   ,  0.0137141  ,  4.73963e-10])
5102    , -400.331    , array([ 0.00213756 ,  0.474287   ,  0.0137154  ,  4.73489e-10])
5103    , -400.331    , array([ 0.00213756 ,  0.474287   ,  0.0137154  ,  4.73489e-10])
5104    , -401.202    , array([ 0.0021397  ,  0.474287   ,  0.0137154  ,  4.73489e-10])
5105    , -400.331    , array([ 0.00213756 ,  0.474761   ,  0.0137154  ,  4.73489e-10])
5106    , -399.364    , array([ 0.00213756 ,  0.474287   ,  0.0137292  ,  4.73489e-10])
5107    , -400.331    , array([ 0.00213756 ,  0.474287   ,  0.0137154  ,  4.73963e-10])
5108    , -399.302    , array([ 0.00213626 ,  0.474287   ,  0.013723   ,  4.73489e-10])
5109    , -399.302    , array([ 0.00213626 ,  0.474287   ,  0.013723   ,  4.73489e-10])
5110    , -400.111    , array([ 0.0021384  ,  0.474287   ,  0.013723   ,  4.73489e-10])
5111    , -399.302    , array([ 0.00213626 ,  0.474761   ,  0.013723   ,  4.73489e-10])
5112    , -398.408    , array([ 0.00213626 ,  0.474287   ,  0.0137368  ,  4.73489e-10])
5113    , -399.302    , array([ 0.00213626 ,  0.474287   ,  0.013723   ,  4.73963e-10])
5120    , -399.263    , array([ 0.00213621 ,  0.474287   ,  0.0137233  ,  4.73489e-10])
5121    , -399.263    , array([ 0.00213621 ,  0.474287   ,  0.0137233  ,  4.73489e-10])
5122    , -400.069    , array([ 0.00213835 ,  0.474287   ,  0.0137233  ,  4.73489e-10])
5123    , -399.263    , array([ 0.00213621 ,  0.474761   ,  0.0137233  ,  4.73489e-10])
5124    , -398.371    , array([ 0.00213621 ,  0.474287   ,  0.0137371  ,  4.73489e-10])
5125    , -399.263    , array([ 0.00213621 ,  0.474287   ,  0.0137233  ,  4.73963e-10])
5126    , -399.041    , array([ 0.00213592 ,  0.474287   ,  0.0137251  ,  4.73489e-10])
