2422    , -79088.7    , array([ 0.948538   ,  1.21926    ,  0.730177   ,  0.406648   ,  4.18687e-07])
2423    , -79088.7    , array([ 0.949487   ,  1.21926    ,  0.730177   ,  0.406648   ,  4.18687e-07])
2424    , -79088.7    , array([ 0.948538   ,  1.22048    ,  0.730177   ,  0.406648   ,  4.18687e-07])
2425    , -79088.7    , array([ 0.948538   ,  1.21926    ,  0.730907   ,  0.406648   ,  4.18687e-07])
2426    , -79088.7    , array([ 0.948538   ,  1.21926    ,  0.730177   ,  0.407055   ,  4.18687e-07])
2427    , -79088.7    , array([ 0.948538   ,  1.21926    ,  0.730177   ,  0.406648   ,  4.19106e-07])
2428    , -79088.7    , array([ 0.948538   ,  1.21926    ,  0.730177   ,  0.406648   ,  4.18687e-07])
2429    , -79087.1    , array([ 0.666867   ,  0.814631   ,  0.730848   ,  0.406537   ,  8.98812e-07])
2430    , -79087.1    , array([ 0.666867   ,  0.814631   ,  0.730848   ,  0.406537   ,  8.98812e-07])
2431    , -79087.1    , array([ 0.667535   ,  0.814631   ,  0.730848   ,  0.406537   ,  8.98812e-07])
2432    , -79087.1    , array([ 0.666867   ,  0.815446   ,  0.730848   ,  0.406537   ,  8.98812e-07])
2433    , -79087.1    , array([ 0.666867   ,  0.814631   ,  0.731579   ,  0.406537   ,  8.98812e-07])
2434    , -79087.1    , array([ 0.666867   ,  0.814631   ,  0.730848   ,  0.406943   ,  8.98812e-07])
2435    , -79087.1    , array([ 0.666867   ,  0.814631   ,  0.730848   ,  0.406537   ,  8.99711e-07])
2436    , -78857.9    , array([ 0.162922   ,  0.162335   ,  0.73354    ,  0.406092   ,  1.90892e-05])
2437    , -78857.9    , array([ 0.162922   ,  0.162335   ,  0.73354    ,  0.406092   ,  1.90892e-05])
2438    , -78858      , array([ 0.163085   ,  0.162335   ,  0.73354    ,  0.406092   ,  1.90892e-05])
2439    , -78858.1    , array([ 0.162922   ,  0.162498   ,  0.73354    ,  0.406092   ,  1.90892e-05])
2440    , -78857.9    , array([ 0.162922   ,  0.162335   ,  0.734274   ,  0.406092   ,  1.90892e-05])
2441    , -78857.9    , array([ 0.162922   ,  0.162335   ,  0.73354    ,  0.406499   ,  1.90892e-05])
2442    , -78857.7    , array([ 0.162922   ,  0.162335   ,  0.73354    ,  0.406092   ,  1.91083e-05])
2450    , -78857.9    , array([ 0.162915   ,  0.162328   ,  0.73354    ,  0.406092   ,  1.90908e-05])
2451    , -78857.9    , array([ 0.162915   ,  0.162328   ,  0.73354    ,  0.406092   ,  1.90908e-05])
2452    , -78858      , array([ 0.163078   ,  0.162328   ,  0.73354    ,  0.406092   ,  1.90908e-05])
2453    , -78858      , array([ 0.162915   ,  0.16249    ,  0.73354    ,  0.406092   ,  1.90908e-05])
2454    , -78857.9    , array([ 0.162915   ,  0.162328   ,  0.734274   ,  0.406092   ,  1.90908e-05])
2455    , -78857.9    , array([ 0.162915   ,  0.162328   ,  0.73354    ,  0.406499   ,  1.90908e-05])
2456    , -78857.7    , array([ 0.162915   ,  0.162328   ,  0.73354    ,  0.406092   ,  1.91099e-05])
2457    , -78857.9    , array([ 0.162909   ,  0.16232    ,  0.73354    ,  0.406092   ,  1.90925e-05])
2458    , -78857.9    , array([ 0.162909   ,  0.16232    ,  0.73354    ,  0.406092   ,  1.90925e-05])
2459    , -78858      , array([ 0.163072   ,  0.16232    ,  0.73354    ,  0.406092   ,  1.90925e-05])
2460    , -78858      , array([ 0.162909   ,  0.162483   ,  0.73354    ,  0.406092   ,  1.90925e-05])
2461    , -78857.9    , array([ 0.162909   ,  0.16232    ,  0.734274   ,  0.406092   ,  1.90925e-05])
2462    , -78857.9    , array([ 0.162909   ,  0.16232    ,  0.73354    ,  0.406499   ,  1.90925e-05])
2463    , -78857.6    , array([ 0.162909   ,  0.16232    ,  0.73354    ,  0.406092   ,  1.91116e-05])
2464    , -85300      , array([ 0.00972392 ,  0.0064461  ,  0.738953   ,  0.405205   ,  0.00861113 ])
2465    , -85300      , array([ 0.00972392 ,  0.0064461  ,  0.738953   ,  0.405205   ,  0.00861113 ])
2466    , -85243.8    , array([ 0.00973365 ,  0.0064461  ,  0.738953   ,  0.405205   ,  0.00861113 ])
2467    , -85268.6    , array([ 0.00972392 ,  0.00645255 ,  0.738953   ,  0.405205   ,  0.00861113 ])
2468    , -85299.1    , array([ 0.00972392 ,  0.0064461  ,  0.739693   ,  0.405205   ,  0.00861113 ])
2469    , -85299.6    , array([ 0.00972392 ,  0.0064461  ,  0.738953   ,  0.40561    ,  0.00861113 ])
2470    , -85383.6    , array([ 0.00972392 ,  0.0064461  ,  0.738953   ,  0.405205   ,  0.00861974 ])
2471    , -71289.1    , array([ 0.0539438  ,  0.0458115  ,  0.735658   ,  0.405744   ,  0.000209722])
2472    , -71289.1    , array([ 0.0539438  ,  0.0458115  ,  0.735658   ,  0.405744   ,  0.000209722])
2473    , -71291.6    , array([ 0.0539977  ,  0.0458115  ,  0.735658   ,  0.405744   ,  0.000209722])
2474    , -71293.7    , array([ 0.0539438  ,  0.0458573  ,  0.735658   ,  0.405744   ,  0.000209722])
2475    , -71289.1    , array([ 0.0539438  ,  0.0458115  ,  0.736394   ,  0.405744   ,  0.000209722])
2476    , -71289.1    , array([ 0.0539438  ,  0.0458115  ,  0.735658   ,  0.40615    ,  0.000209722])
2477    , -71281.9    , array([ 0.0539438  ,  0.0458115  ,  0.735658   ,  0.405744   ,  0.000209931])
2478    , -15968.7    , array([ 0.0183429  ,  0.0133282  ,  0.737731   ,  0.405405   ,  0.00217483 ])
2479    , -15968.7    , array([ 0.0183429  ,  0.0133282  ,  0.737731   ,  0.405405   ,  0.00217483 ])
2480    , -15956.5    , array([ 0.0183612  ,  0.0133282  ,  0.737731   ,  0.405405   ,  0.00217483 ])
2481    , -15983.4    , array([ 0.0183429  ,  0.0133415  ,  0.737731   ,  0.405405   ,  0.00217483 ])
2482    , -15968.7    , array([ 0.0183429  ,  0.0133282  ,  0.738469   ,  0.405405   ,  0.00217483 ])
2483    , -15968.8    , array([ 0.0183429  ,  0.0133282  ,  0.737731   ,  0.40581    ,  0.00217483 ])
2484    , -15966.1    , array([ 0.0183429  ,  0.0133282  ,  0.737731   ,  0.405405   ,  0.002177   ])
2485    , -15821.1    , array([ 0.0174737  ,  0.0126078  ,  0.737824   ,  0.405389   ,  0.00241624 ])
2486    , -15821.1    , array([ 0.0174737  ,  0.0126078  ,  0.737824   ,  0.405389   ,  0.00241624 ])
2487    , -15805.9    , array([ 0.0174911  ,  0.0126078  ,  0.737824   ,  0.405389   ,  0.00241624 ])
2488    , -15834      , array([ 0.0174737  ,  0.0126204  ,  0.737824   ,  0.405389   ,  0.00241624 ])
2489    , -15821.1    , array([ 0.0174737  ,  0.0126078  ,  0.738563   ,  0.405389   ,  0.00241624 ])
2490    , -15821.1    , array([ 0.0174737  ,  0.0126078  ,  0.737824   ,  0.405795   ,  0.00241624 ])
2491    , -15823      , array([ 0.0174737  ,  0.0126078  ,  0.737824   ,  0.405389   ,  0.00241866 ])
2492    , -15789.9    , array([ 0.0177308  ,  0.0128204  ,  0.737796   ,  0.405394   ,  0.0023409  ])
2493    , -15789.9    , array([ 0.0177308  ,  0.0128204  ,  0.737796   ,  0.405394   ,  0.0023409  ])
2494    , -15775.6    , array([ 0.0177486  ,  0.0128204  ,  0.737796   ,  0.405394   ,  0.0023409  ])
2495    , -15803.3    , array([ 0.0177308  ,  0.0128332  ,  0.737796   ,  0.405394   ,  0.0023409  ])
2496    , -15789.8    , array([ 0.0177308  ,  0.0128204  ,  0.738534   ,  0.405394   ,  0.0023409  ])
2497    , -15789.9    , array([ 0.0177308  ,  0.0128204  ,  0.737796   ,  0.4058     ,  0.0023409  ])
2498    , -15790.3    , array([ 0.0177308  ,  0.0128204  ,  0.737796   ,  0.405394   ,  0.00234324 ])
2499    , -15789.8    , array([ 0.0177242  ,  0.0128149  ,  0.737797   ,  0.405394   ,  0.0023428  ])
2500    , -15789.8    , array([ 0.0177242  ,  0.0128149  ,  0.737797   ,  0.405394   ,  0.0023428  ])
2501    , -15775.5    , array([ 0.0177419  ,  0.0128149  ,  0.737797   ,  0.405394   ,  0.0023428  ])
2502    , -15803.3    , array([ 0.0177242  ,  0.0128277  ,  0.737797   ,  0.405394   ,  0.0023428  ])
2503    , -15789.8    , array([ 0.0177242  ,  0.0128149  ,  0.738535   ,  0.405394   ,  0.0023428  ])
2504    , -15789.8    , array([ 0.0177242  ,  0.0128149  ,  0.737797   ,  0.405799   ,  0.0023428  ])
2505    , -15790.3    , array([ 0.0177242  ,  0.0128149  ,  0.737797   ,  0.405394   ,  0.00234514 ])
2506    , -15789.8    , array([ 0.0177243  ,  0.012815   ,  0.737797   ,  0.405394   ,  0.00234276 ])
2507    , -15789.8    , array([ 0.0177243  ,  0.012815   ,  0.737797   ,  0.405394   ,  0.00234276 ])
2508    , -15775.5    , array([ 0.0177421  ,  0.012815   ,  0.737797   ,  0.405394   ,  0.00234276 ])
2509    , -15803.3    , array([ 0.0177243  ,  0.0128279  ,  0.737797   ,  0.405394   ,  0.00234276 ])
2510    , -15789.8    , array([ 0.0177243  ,  0.012815   ,  0.738535   ,  0.405394   ,  0.00234276 ])
2511    , -15789.8    , array([ 0.0177243  ,  0.012815   ,  0.737797   ,  0.405799   ,  0.00234276 ])
