82626   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.413163   ,  1.11932e-10])
82627   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.41275    ,  1.12044e-10])
82628   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.41275    ,  1.11932e-10])
82629   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.41275    ,  1.11932e-10])
82630   , -79089.4    , array([ 1.21685    ,  0.0117874  ,  9.95622e-26,  0.41275    ,  1.11932e-10])
82631   , -79089.4    , array([ 1.21563    ,  0.0117992  ,  9.95622e-26,  0.41275    ,  1.11932e-10])
82632   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.96618e-26,  0.41275    ,  1.11932e-10])
82633   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.413163   ,  1.11932e-10])
82634   , -79089.4    , array([ 1.21563    ,  0.0117874  ,  9.95622e-26,  0.41275    ,  1.12044e-10])
82635   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82636   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82637   , -79089      , array([ 1.16789    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82638   , -79089      , array([ 1.16672    ,  0.00183863 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82639   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.96618e-26,  0.413095   ,  7.51505e-10])
82640   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413508   ,  7.51505e-10])
82641   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.52257e-10])
82642   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82643   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82644   , -79089      , array([ 1.16789    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82645   , -79089      , array([ 1.16672    ,  0.00183863 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82646   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.96618e-26,  0.413095   ,  7.51505e-10])
82647   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413508   ,  7.51505e-10])
82648   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.52257e-10])
82649   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82650   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82651   , -79089      , array([ 1.16789    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82652   , -79089      , array([ 1.16672    ,  0.00183863 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82653   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.96618e-26,  0.413095   ,  7.51505e-10])
82654   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413508   ,  7.51505e-10])
82655   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.52257e-10])
82663   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82664   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82665   , -79089      , array([ 1.16789    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82666   , -79089      , array([ 1.16672    ,  0.00183863 ,  9.95622e-26,  0.413095   ,  7.51505e-10])
82667   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.96618e-26,  0.413095   ,  7.51505e-10])
82668   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413508   ,  7.51505e-10])
82669   , -79089      , array([ 1.16672    ,  0.00183679 ,  9.95622e-26,  0.413095   ,  7.52257e-10])
82670   , -79088.9    , array([ 1.16409    ,  0.00165858 ,  9.95622e-26,  0.413114   ,  8.34317e-10])
82671   , -79088.9    , array([ 1.16409    ,  0.00165858 ,  9.95622e-26,  0.413114   ,  8.34317e-10])
82672   , -79088.9    , array([ 1.16526    ,  0.00165858 ,  9.95622e-26,  0.413114   ,  8.34317e-10])
82673   , -79088.9    , array([ 1.16409    ,  0.00166024 ,  9.95622e-26,  0.413114   ,  8.34317e-10])
82674   , -79088.9    , array([ 1.16409    ,  0.00165858 ,  9.96618e-26,  0.413114   ,  8.34317e-10])
82675   , -79088.9    , array([ 1.16409    ,  0.00165858 ,  9.95622e-26,  0.413527   ,  8.34317e-10])
82676   , -79088.9    , array([ 1.16409    ,  0.00165858 ,  9.95622e-26,  0.413114   ,  8.35152e-10])
82677   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82678   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82679   , -79088.1    , array([ 1.15465    ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82680   , -79088.1    , array([ 1.1535     ,  0.00109772 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82681   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.96618e-26,  0.413191   ,  1.27461e-09])
82682   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413604   ,  1.27461e-09])
82683   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27588e-09])
82684   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82685   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82686   , -79088.1    , array([ 1.15465    ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82687   , -79088.1    , array([ 1.1535     ,  0.00109772 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82688   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.96618e-26,  0.413191   ,  1.27461e-09])
82689   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413604   ,  1.27461e-09])
82690   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27588e-09])
82691   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82692   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82693   , -79088.1    , array([ 1.15465    ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82694   , -79088.1    , array([ 1.1535     ,  0.00109772 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82695   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.96618e-26,  0.413191   ,  1.27461e-09])
82696   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413604   ,  1.27461e-09])
82697   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27588e-09])
82705   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82706   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82707   , -79088.1    , array([ 1.15465    ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82708   , -79088.1    , array([ 1.1535     ,  0.00109772 ,  9.95622e-26,  0.413191   ,  1.27461e-09])
82709   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.96618e-26,  0.413191   ,  1.27461e-09])
82710   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413604   ,  1.27461e-09])
82711   , -79088.1    , array([ 1.1535     ,  0.00109663 ,  9.95622e-26,  0.413191   ,  1.27588e-09])
82712   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82713   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82714   , -79088      , array([ 1.15364    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82715   , -79088      , array([ 1.15249    ,  0.00105499 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82716   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.96618e-26,  0.413198   ,  1.32751e-09])
82717   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413611   ,  1.32751e-09])
82718   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32884e-09])
82726   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82727   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82728   , -79088      , array([ 1.15364    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82729   , -79088      , array([ 1.15249    ,  0.00105499 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82730   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.96618e-26,  0.413198   ,  1.32751e-09])
82731   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413611   ,  1.32751e-09])
82732   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32884e-09])
82740   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82741   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82742   , -79088      , array([ 1.15364    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82743   , -79088      , array([ 1.15249    ,  0.00105499 ,  9.95622e-26,  0.413198   ,  1.32751e-09])
82744   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.96618e-26,  0.413198   ,  1.32751e-09])
82745   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413611   ,  1.32751e-09])
82746   , -79088      , array([ 1.15249    ,  0.00105394 ,  9.95622e-26,  0.413198   ,  1.32884e-09])
