273076  , -16766.7    , array([ 6.31432    ,  0.0599199  ,  3.82416e-11,  6.91946e-11,  0.00733515 ])
273077  , -16766.9    , array([ 6.32063    ,  0.0599199  ,  3.82416e-11,  6.91946e-11,  0.00733515 ])
273078  , -16790.7    , array([ 6.31432    ,  0.0599798  ,  3.82416e-11,  6.91946e-11,  0.00733515 ])
273079  , -16766.7    , array([ 6.31432    ,  0.0599199  ,  3.82798e-11,  6.91946e-11,  0.00733515 ])
273080  , -16766.7    , array([ 6.31432    ,  0.0599199  ,  3.82416e-11,  6.92639e-11,  0.00733515 ])
273081  , -16742.6    , array([ 6.31432    ,  0.0599199  ,  3.82416e-11,  6.91946e-11,  0.00734249 ])
273082  , -16766.7    , array([ 6.31432    ,  0.0599199  ,  3.82416e-11,  6.91946e-11,  0.00733515 ])
273083  , -3992.87    , array([ 6.28714    ,  0.0293743  ,  3.82416e-11,  6.91946e-11,  0.0150012  ])
273084  , -3992.87    , array([ 6.28714    ,  0.0293743  ,  3.82416e-11,  6.91946e-11,  0.0150012  ])
273085  , -3992.92    , array([ 6.29343    ,  0.0293743  ,  3.82416e-11,  6.91946e-11,  0.0150012  ])
273086  , -3980.92    , array([ 6.28714    ,  0.0294037  ,  3.82416e-11,  6.91946e-11,  0.0150012  ])
273087  , -3992.87    , array([ 6.28714    ,  0.0293743  ,  3.82798e-11,  6.91946e-11,  0.0150012  ])
273088  , -3992.87    , array([ 6.28714    ,  0.0293743  ,  3.82416e-11,  6.92639e-11,  0.0150012  ])
273089  , -4004.19    , array([ 6.28714    ,  0.0293743  ,  3.82416e-11,  6.91946e-11,  0.0150162  ])
273097  , -3991.68    , array([ 6.28203    ,  0.0294392  ,  3.82416e-11,  6.91946e-11,  0.0150348  ])
273098  , -3991.68    , array([ 6.28203    ,  0.0294392  ,  3.82416e-11,  6.91946e-11,  0.0150348  ])
273099  , -3991.73    , array([ 6.28832    ,  0.0294392  ,  3.82416e-11,  6.91946e-11,  0.0150348  ])
273100  , -3979.74    , array([ 6.28203    ,  0.0294687  ,  3.82416e-11,  6.91946e-11,  0.0150348  ])
273101  , -3991.68    , array([ 6.28203    ,  0.0294392  ,  3.82798e-11,  6.91946e-11,  0.0150348  ])
