1009    , -2335.96    , array([ 0.0145022  ,  0.867389   ,  6.49406e-07,  3.87547e-15])
1010    , -2335.96    , array([ 0.0145167  ,  0.867389   ,  6.49406e-07,  3.87547e-15])
1011    , -2335.96    , array([ 0.0145022  ,  0.868257   ,  6.49406e-07,  3.87547e-15])
1012    , -2335.96    , array([ 0.0145022  ,  0.867389   ,  6.50056e-07,  3.87547e-15])
1013    , -2335.96    , array([ 0.0145022  ,  0.867389   ,  6.49406e-07,  3.87935e-15])
1014    , -2335.96    , array([ 0.0145022  ,  0.867389   ,  6.49406e-07,  3.87547e-15])
1015    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1016    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1017    , -2333.25    , array([ 0.00707297 ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1018    , -2333.25    , array([ 0.0070659  ,  0.868257   ,  1.31996e-06,  3.87547e-15])
1019    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.32129e-06,  3.87547e-15])
1020    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87935e-15])
1027    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1028    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1029    , -2333.25    , array([ 0.00707297 ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1030    , -2333.25    , array([ 0.0070659  ,  0.868257   ,  1.31996e-06,  3.87547e-15])
1031    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.32129e-06,  3.87547e-15])
1032    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87935e-15])
1033    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1034    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1035    , -2333.25    , array([ 0.00707297 ,  0.867389   ,  1.31996e-06,  3.87547e-15])
1036    , -2333.25    , array([ 0.0070659  ,  0.868257   ,  1.31996e-06,  3.87547e-15])
1037    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.32129e-06,  3.87547e-15])
1038    , -2333.25    , array([ 0.0070659  ,  0.867389   ,  1.31996e-06,  3.87935e-15])
1039    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1040    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1041    , -2277.51    , array([ 0.00167907 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1042    , -2277.45    , array([ 0.00167739 ,  0.868257   ,  5.45323e-06,  3.87547e-15])
1043    , -2277.4     , array([ 0.00167739 ,  0.867389   ,  5.45869e-06,  3.87547e-15])
1044    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87935e-15])
1045    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1046    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1047    , -2277.51    , array([ 0.00167907 ,  0.867389   ,  5.45323e-06,  3.87547e-15])
1048    , -2277.45    , array([ 0.00167739 ,  0.868257   ,  5.45323e-06,  3.87547e-15])
1049    , -2277.4     , array([ 0.00167739 ,  0.867389   ,  5.45869e-06,  3.87547e-15])
1050    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45323e-06,  3.87935e-15])
1051    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1052    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1053    , -2277.51    , array([ 0.00167907 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1054    , -2277.45    , array([ 0.00167739 ,  0.868257   ,  5.45324e-06,  3.87547e-15])
1055    , -2277.4     , array([ 0.00167739 ,  0.867389   ,  5.45869e-06,  3.87547e-15])
1056    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87935e-15])
1063    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1064    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1065    , -2277.51    , array([ 0.00167907 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1066    , -2277.45    , array([ 0.00167739 ,  0.868257   ,  5.45324e-06,  3.87547e-15])
1067    , -2277.4     , array([ 0.00167739 ,  0.867389   ,  5.45869e-06,  3.87547e-15])
1068    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87935e-15])
1069    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1070    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1071    , -2277.51    , array([ 0.00167907 ,  0.867389   ,  5.45324e-06,  3.87547e-15])
1072    , -2277.45    , array([ 0.00167739 ,  0.868257   ,  5.45324e-06,  3.87547e-15])
1073    , -2277.4     , array([ 0.00167739 ,  0.867389   ,  5.45869e-06,  3.87547e-15])
1074    , -2277.45    , array([ 0.00167739 ,  0.867389   ,  5.45324e-06,  3.87935e-15])
1075    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1076    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1077    , -2221.56    , array([ 0.00117202 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1078    , -2221.46    , array([ 0.00117085 ,  0.868257   ,  7.77458e-06,  3.87547e-15])
1079    , -2221.35    , array([ 0.00117085 ,  0.867389   ,  7.78236e-06,  3.87547e-15])
1080    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87935e-15])
1081    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1082    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1083    , -2221.56    , array([ 0.00117202 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1084    , -2221.46    , array([ 0.00117085 ,  0.868257   ,  7.77458e-06,  3.87547e-15])
1085    , -2221.35    , array([ 0.00117085 ,  0.867389   ,  7.78236e-06,  3.87547e-15])
1086    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87935e-15])
1087    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1088    , -2221.46    , array([ 0.00117085 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
1089    , -2221.56    , array([ 0.00117202 ,  0.867389   ,  7.77458e-06,  3.87547e-15])
