48421   , -3960.83    , array([ 1.13058    ,  0.283694   ,  2.58793    ,  3.59701    ,  4.90983    ])
48422   , -2669.49    , array([ 1.13058    ,  0.193992   ,  2.58793    ,  3.59701    ,  4.90983    ])
48423   , -3790.47    , array([ 1.13058    ,  0.145641   ,  2.58793    ,  3.59701    ,  4.90983    ])
48424   , -2799.45    , array([ 1.13058    ,  0.224901   ,  2.58793    ,  3.59701    ,  4.90983    ])
48425   , -2669.49    , array([ 1.13058    ,  0.193992   ,  2.58793    ,  3.59701    ,  4.90983    ])
48426   , -3379.06    , array([ 1.13058    ,  0.193992   ,  3.58793    ,  3.59701    ,  4.90983    ])
48427   , -4212.71    , array([ 1.13058    ,  0.193992   ,  0.969895   ,  3.59701    ,  4.90983    ])
48428   , -2669.49    , array([ 1.13058    ,  0.193992   ,  2.58793    ,  3.59701    ,  4.90983    ])
48429   , -2715.63    , array([ 1.13058    ,  0.193992   ,  1.96989    ,  3.59701    ,  4.90983    ])
48430   , -2852.52    , array([ 1.13058    ,  0.193992   ,  2.96989    ,  3.59701    ,  4.90983    ])
48431   , -2629.98    , array([ 1.13058    ,  0.193992   ,  2.34631    ,  3.59701    ,  4.90983    ])
48432   , -2629.84    , array([ 1.13058    ,  0.193992   ,  2.33791    ,  3.59701    ,  4.90983    ])
48433   , -2629.77    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  3.59701    ,  4.90983    ])
48434   , -2629.77    , array([ 1.13058    ,  0.193992   ,  2.3296     ,  3.59701    ,  4.90983    ])
48435   , -2629.78    , array([ 1.13058    ,  0.193992   ,  2.32438    ,  3.59701    ,  4.90983    ])
48436   , -2629.77    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  3.59701    ,  4.90983    ])
48437   , -2630.35    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.59701    ,  4.90983    ])
48438   , -6205.34    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  1.97897    ,  4.90983    ])
48439   , -2629.77    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  3.59701    ,  4.90983    ])
48440   , -3237.71    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  2.97897    ,  4.90983    ])
48441   , -2519.99    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  3.97897    ,  4.90983    ])
48442   , -2518.83    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  3.9944     ,  4.90983    ])
48443   , -2516.45    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.05708    ,  4.90983    ])
