1       , -1137.32    , array([ 0.00558057 ,  5.46601    ,  0.00713792 ,  0.0194148  ])
2       , -1135.87    , array([ 0.00558616 ,  5.46601    ,  0.00713792 ,  0.0194148  ])
3       , -1137.42    , array([ 0.00558057 ,  5.47148    ,  0.00713792 ,  0.0194148  ])
4       , -1138.67    , array([ 0.00558057 ,  5.46601    ,  0.00714506 ,  0.0194148  ])
5       , -1137.53    , array([ 0.00558057 ,  5.46601    ,  0.00713792 ,  0.0194342  ])
6       , -1137.32    , array([ 0.00558057 ,  5.46601    ,  0.00713792 ,  0.0194148  ])
7       , -738.675    , array([ 0.0116328  ,  5.18903    ,  0.00360435 ,  0.0174835  ])
8       , -738.675    , array([ 0.0116328  ,  5.18903    ,  0.00360435 ,  0.0174835  ])
9       , -738.848    , array([ 0.0116445  ,  5.18903    ,  0.00360435 ,  0.0174835  ])
10      , -738.644    , array([ 0.0116328  ,  5.19422    ,  0.00360435 ,  0.0174835  ])
11      , -738.467    , array([ 0.0116328  ,  5.18903    ,  0.00360796 ,  0.0174835  ])
12      , -737.699    , array([ 0.0116328  ,  5.18903    ,  0.00360435 ,  0.0175009  ])
13      , -1017.87    , array([ 0.0173022  ,  5.15254    ,  0.002623   ,  0.0457707  ])
14      , -1017.87    , array([ 0.0173022  ,  5.15254    ,  0.002623   ,  0.0457707  ])
15      , -1019.05    , array([ 0.0173195  ,  5.15254    ,  0.002623   ,  0.0457707  ])
16      , -1017.95    , array([ 0.0173022  ,  5.1577     ,  0.002623   ,  0.0457707  ])
17      , -1016.71    , array([ 0.0173022  ,  5.15254    ,  0.00262562 ,  0.0457707  ])
18      , -1018.46    , array([ 0.0173022  ,  5.15254    ,  0.002623   ,  0.0458165  ])
19      , -585.029    , array([ 0.0134992  ,  5.17532    ,  0.00319958 ,  0.0250773  ])
20      , -585.029    , array([ 0.0134992  ,  5.17532    ,  0.00319958 ,  0.0250773  ])
21      , -585.711    , array([ 0.0135127  ,  5.17532    ,  0.00319958 ,  0.0250773  ])
22      , -585.011    , array([ 0.0134992  ,  5.1805     ,  0.00319958 ,  0.0250773  ])
23      , -584.343    , array([ 0.0134992  ,  5.17532    ,  0.00320278 ,  0.0250773  ])
24      , -584.514    , array([ 0.0134992  ,  5.17532    ,  0.00319958 ,  0.0251024  ])
25      , -4069.85    , array([ 0.0808382  ,  0.0409176  ,  0.0261758  ,  0.0353484  ])
26      , -4069.85    , array([ 0.0808382  ,  0.0409176  ,  0.0261758  ,  0.0353484  ])
27      , -4070.12    , array([ 0.0809191  ,  0.0409176  ,  0.0261758  ,  0.0353484  ])
28      , -4068.1     , array([ 0.0808382  ,  0.0409586  ,  0.0261758  ,  0.0353484  ])
29      , -4069.58    , array([ 0.0808382  ,  0.0409176  ,  0.026202   ,  0.0353484  ])
30      , -4069.19    , array([ 0.0808382  ,  0.0409176  ,  0.0261758  ,  0.0353838  ])
31      , -571.157    , array([ 0.0146698  ,  4.13305    ,  0.00352781 ,  0.0254805  ])
32      , -571.157    , array([ 0.0146698  ,  4.13305    ,  0.00352781 ,  0.0254805  ])
33      , -571.834    , array([ 0.0146845  ,  4.13305    ,  0.00352781 ,  0.0254805  ])
34      , -571.133    , array([ 0.0146698  ,  4.13718    ,  0.00352781 ,  0.0254805  ])
35      , -570.476    , array([ 0.0146698  ,  4.13305    ,  0.00353134 ,  0.0254805  ])
36      , -570.642    , array([ 0.0146698  ,  4.13305    ,  0.00352781 ,  0.025506   ])
37      , -538.916    , array([ 0.0194772  ,  1.9203     ,  0.00492117 ,  0.0269041  ])
38      , -538.916    , array([ 0.0194772  ,  1.9203     ,  0.00492117 ,  0.0269041  ])
39      , -539.553    , array([ 0.0194967  ,  1.9203     ,  0.00492117 ,  0.0269041  ])
40      , -538.853    , array([ 0.0194772  ,  1.92222    ,  0.00492117 ,  0.0269041  ])
41      , -538.273    , array([ 0.0194772  ,  1.9203     ,  0.00492609 ,  0.0269041  ])
42      , -538.385    , array([ 0.0194772  ,  1.9203     ,  0.00492117 ,  0.026931   ])
43      , -448.938    , array([ 0.0897439  ,  1.94748    ,  0.0254411  ,  0.0273628  ])
44      , -448.938    , array([ 0.0897439  ,  1.94748    ,  0.0254411  ,  0.0273628  ])
45      , -449.68     , array([ 0.0898337  ,  1.94748    ,  0.0254411  ,  0.0273628  ])
46      , -448.888    , array([ 0.0897439  ,  1.94943    ,  0.0254411  ,  0.0273628  ])
47      , -448.22     , array([ 0.0897439  ,  1.94748    ,  0.0254666  ,  0.0273628  ])
48      , -448.606    , array([ 0.0897439  ,  1.94748    ,  0.0254411  ,  0.0273901  ])
49      , -294.357    , array([ 0.130522   ,  2.14407    ,  0.0460335  ,  0.0299077  ])
50      , -294.357    , array([ 0.130522   ,  2.14407    ,  0.0460335  ,  0.0299077  ])
51      , -295.091    , array([ 0.130653   ,  2.14407    ,  0.0460335  ,  0.0299077  ])
52      , -294.334    , array([ 0.130522   ,  2.14622    ,  0.0460335  ,  0.0299077  ])
53      , -293.723    , array([ 0.130522   ,  2.14407    ,  0.0460795  ,  0.0299077  ])
54      , -294.215    , array([ 0.130522   ,  2.14407    ,  0.0460335  ,  0.0299376  ])
55      , -119.958    , array([ 0.0545983  ,  2.39877    ,  0.0258699  ,  0.0382986  ])
56      , -119.958    , array([ 0.0545983  ,  2.39877    ,  0.0258699  ,  0.0382986  ])
57      , -120.061    , array([ 0.0546529  ,  2.39877    ,  0.0258699  ,  0.0382986  ])
58      , -120.009    , array([ 0.0545983  ,  2.40117    ,  0.0258699  ,  0.0382986  ])
59      , -119.864    , array([ 0.0545983  ,  2.39877    ,  0.0258958  ,  0.0382986  ])
60      , -120.036    , array([ 0.0545983  ,  2.39877    ,  0.0258699  ,  0.0383369  ])
61      , -106.292    , array([ 0.0568178  ,  0.857665   ,  0.0306776  ,  0.0418509  ])
62      , -106.292    , array([ 0.0568178  ,  0.857665   ,  0.0306776  ,  0.0418509  ])
63      , -106.399    , array([ 0.0568747  ,  0.857665   ,  0.0306776  ,  0.0418509  ])
64      , -106.173    , array([ 0.0568178  ,  0.858523   ,  0.0306776  ,  0.0418509  ])
65      , -106.175    , array([ 0.0568178  ,  0.857665   ,  0.0307082  ,  0.0418509  ])
66      , -106.115    , array([ 0.0568178  ,  0.857665   ,  0.0306776  ,  0.0418928  ])
67      , -100.087    , array([ 0.0554424  ,  1.61439    ,  0.0276247  ,  0.0396291  ])
68      , -100.087    , array([ 0.0554424  ,  1.61439    ,  0.0276247  ,  0.0396291  ])
69      , -100.169    , array([ 0.0554979  ,  1.61439    ,  0.0276247  ,  0.0396291  ])
