91660   , -34876      , array([ 0.688332   ,  2.87029    ,  2.12213e-24,  1.06972e-37,  0.145665   ])
91661   , -27202.8    , array([ 1.50146    ,  1.68609    ,  2.12213e-24,  1.06972e-37,  0.36994    ])
91662   , -27202.8    , array([ 1.50146    ,  1.68609    ,  2.12213e-24,  1.06972e-37,  0.36994    ])
91663   , -27188.4    , array([ 1.50296    ,  1.68609    ,  2.12213e-24,  1.06972e-37,  0.36994    ])
91664   , -27212.9    , array([ 1.50146    ,  1.68778    ,  2.12213e-24,  1.06972e-37,  0.36994    ])
91665   , -27202.8    , array([ 1.50146    ,  1.68609    ,  2.12426e-24,  1.06972e-37,  0.36994    ])
91666   , -27202.8    , array([ 1.50146    ,  1.68609    ,  2.12213e-24,  1.0708e-37 ,  0.36994    ])
91667   , -27221      , array([ 1.50146    ,  1.68609    ,  2.12213e-24,  1.06972e-37,  0.37031    ])
91675   , -27199.5    , array([ 1.50207    ,  1.68503    ,  2.12213e-24,  1.06972e-37,  0.370123   ])
91676   , -27199.5    , array([ 1.50207    ,  1.68503    ,  2.12213e-24,  1.06972e-37,  0.370123   ])
91677   , -27185.1    , array([ 1.50357    ,  1.68503    ,  2.12213e-24,  1.06972e-37,  0.370123   ])
91678   , -27209.6    , array([ 1.50207    ,  1.68671    ,  2.12213e-24,  1.06972e-37,  0.370123   ])
91679   , -27199.5    , array([ 1.50207    ,  1.68503    ,  2.12426e-24,  1.06972e-37,  0.370123   ])
91680   , -27199.5    , array([ 1.50207    ,  1.68503    ,  2.12213e-24,  1.0708e-37 ,  0.370123   ])
91681   , -27217.8    , array([ 1.50207    ,  1.68503    ,  2.12213e-24,  1.06972e-37,  0.370493   ])
91682   , -27178.6    , array([ 1.50609    ,  1.67811    ,  2.12213e-24,  1.06972e-37,  0.371317   ])
91683   , -27178.6    , array([ 1.50609    ,  1.67811    ,  2.12213e-24,  1.06972e-37,  0.371317   ])
91684   , -27164.2    , array([ 1.50759    ,  1.67811    ,  2.12213e-24,  1.06972e-37,  0.371317   ])
91685   , -27188.7    , array([ 1.50609    ,  1.67978    ,  2.12213e-24,  1.06972e-37,  0.371317   ])
91686   , -27178.6    , array([ 1.50609    ,  1.67811    ,  2.12426e-24,  1.06972e-37,  0.371317   ])
91687   , -27178.6    , array([ 1.50609    ,  1.67811    ,  2.12213e-24,  1.0708e-37 ,  0.371317   ])
91688   , -27197      , array([ 1.50609    ,  1.67811    ,  2.12213e-24,  1.06972e-37,  0.371688   ])
