1       , -28043.2    , array([ 0.00917594 ,  1.55958    ,  0.00811432 ,  0.050002   ])
2       , -28049.2    , array([ 0.00918512 ,  1.55958    ,  0.00811432 ,  0.050002   ])
3       , -28041.6    , array([ 0.00917594 ,  1.56114    ,  0.00811432 ,  0.050002   ])
4       , -28037.2    , array([ 0.00917594 ,  1.55958    ,  0.00812243 ,  0.050002   ])
5       , -28039.6    , array([ 0.00917594 ,  1.55958    ,  0.00811432 ,  0.0500521  ])
6       , -28043.2    , array([ 0.00917594 ,  1.55958    ,  0.00811432 ,  0.050002   ])
7       , -34907.3    , array([ 0.00479025 ,  1.856      ,  0.0154687  ,  0.073753   ])
8       , -34907.3    , array([ 0.00479025 ,  1.856      ,  0.0154687  ,  0.073753   ])
9       , -34875      , array([ 0.00479505 ,  1.856      ,  0.0154687  ,  0.073753   ])
10      , -34908.3    , array([ 0.00479025 ,  1.85785    ,  0.0154687  ,  0.073753   ])
11      , -34939      , array([ 0.00479025 ,  1.856      ,  0.0154841  ,  0.073753   ])
12      , -34916.8    , array([ 0.00479025 ,  1.856      ,  0.0154687  ,  0.0738268  ])
13      , -25102.5    , array([ 0.00715656 ,  1.66688    ,  0.0103848  ,  0.0580139  ])
14      , -25102.5    , array([ 0.00715656 ,  1.66688    ,  0.0103848  ,  0.0580139  ])
15      , -25105.4    , array([ 0.00716372 ,  1.66688    ,  0.0103848  ,  0.0580139  ])
16      , -25101.3    , array([ 0.00715656 ,  1.66855    ,  0.0103848  ,  0.0580139  ])
17      , -25099.7    , array([ 0.00715656 ,  1.66688    ,  0.0103952  ,  0.0580139  ])
18      , -25102.3    , array([ 0.00715656 ,  1.66688    ,  0.0103848  ,  0.058072   ])
19      , -53285.2    , array([ 0.00266647 ,  4.24488    ,  0.0239981  ,  0.00948827 ])
20      , -53285.2    , array([ 0.00266647 ,  4.24488    ,  0.0239981  ,  0.00948827 ])
21      , -53261.4    , array([ 0.00266914 ,  4.24488    ,  0.0239981  ,  0.00948827 ])
22      , -53285.7    , array([ 0.00266647 ,  4.24913    ,  0.0239981  ,  0.00948827 ])
23      , -53295.5    , array([ 0.00266647 ,  4.24488    ,  0.0240222  ,  0.00948827 ])
24      , -53299.2    , array([ 0.00266647 ,  4.24488    ,  0.0239981  ,  0.00949776 ])
25      , -24909.2    , array([ 0.00691758 ,  1.72136    ,  0.0106884  ,  0.0545106  ])
26      , -24909.2    , array([ 0.00691758 ,  1.72136    ,  0.0106884  ,  0.0545106  ])
27      , -24911.7    , array([ 0.0069245  ,  1.72136    ,  0.0106884  ,  0.0545106  ])
28      , -24908.2    , array([ 0.00691758 ,  1.72308    ,  0.0106884  ,  0.0545106  ])
29      , -24906.9    , array([ 0.00691758 ,  1.72136    ,  0.0106991  ,  0.0545106  ])
30      , -24909.2    , array([ 0.00691758 ,  1.72136    ,  0.0106884  ,  0.0545652  ])
31      , -25218.1    , array([ 0.00110589 ,  6.33174    ,  0.0010159  ,  0.0782117  ])
32      , -25218.1    , array([ 0.00110589 ,  6.33174    ,  0.0010159  ,  0.0782117  ])
33      , -25221.7    , array([ 0.00110699 ,  6.33174    ,  0.0010159  ,  0.0782117  ])
34      , -25217.6    , array([ 0.00110589 ,  6.33807    ,  0.0010159  ,  0.0782117  ])
35      , -25214.5    , array([ 0.00110589 ,  6.33174    ,  0.00101691 ,  0.0782117  ])
36      , -25216.6    , array([ 0.00110589 ,  6.33174    ,  0.0010159  ,  0.07829    ])
37      , -24876.9    , array([ 0.00466237 ,  2.27822    ,  0.00644125 ,  0.0589145  ])
38      , -24876.9    , array([ 0.00466237 ,  2.27822    ,  0.00644125 ,  0.0589145  ])
39      , -24879.9    , array([ 0.00466704 ,  2.27822    ,  0.00644125 ,  0.0589145  ])
40      , -24876      , array([ 0.00466237 ,  2.2805     ,  0.00644125 ,  0.0589145  ])
41      , -24873.9    , array([ 0.00466237 ,  2.27822    ,  0.00644769 ,  0.0589145  ])
42      , -24876.3    , array([ 0.00466237 ,  2.27822    ,  0.00644125 ,  0.0589734  ])
43      , -24824      , array([ 0.00297229 ,  2.13343    ,  0.00425483 ,  0.0578706  ])
44      , -24824      , array([ 0.00297229 ,  2.13343    ,  0.00425483 ,  0.0578706  ])
45      , -24826.8    , array([ 0.00297526 ,  2.13343    ,  0.00425483 ,  0.0578706  ])
46      , -24823.1    , array([ 0.00297229 ,  2.13556    ,  0.00425483 ,  0.0578706  ])
47      , -24821.3    , array([ 0.00297229 ,  2.13343    ,  0.00425909 ,  0.0578706  ])
48      , -24823.6    , array([ 0.00297229 ,  2.13343    ,  0.00425483 ,  0.0579285  ])
49      , -24721.1    , array([ 0.00264238 ,  2.08534    ,  0.003989   ,  0.0545518  ])
50      , -24721.1    , array([ 0.00264238 ,  2.08534    ,  0.003989   ,  0.0545518  ])
51      , -24723.6    , array([ 0.00264502 ,  2.08534    ,  0.003989   ,  0.0545518  ])
52      , -24720.2    , array([ 0.00264238 ,  2.08742    ,  0.003989   ,  0.0545518  ])
53      , -24718.6    , array([ 0.00264238 ,  2.08534    ,  0.00399299 ,  0.0545518  ])
54      , -24720.8    , array([ 0.00264238 ,  2.08534    ,  0.003989   ,  0.0546064  ])
55      , -24391.5    , array([ 0.00165048 ,  1.90357    ,  0.00308172 ,  0.043074   ])
56      , -24391.5    , array([ 0.00165048 ,  1.90357    ,  0.00308172 ,  0.043074   ])
57      , -24392.3    , array([ 0.00165213 ,  1.90357    ,  0.00308172 ,  0.043074   ])
58      , -24390.9    , array([ 0.00165048 ,  1.90548    ,  0.00308172 ,  0.043074   ])
59      , -24390.8    , array([ 0.00165048 ,  1.90357    ,  0.0030848  ,  0.043074   ])
60      , -24392      , array([ 0.00165048 ,  1.90357    ,  0.00308172 ,  0.0431171  ])
67      , -24391.5    , array([ 0.00165048 ,  1.90357    ,  0.00308171 ,  0.043074   ])
68      , -24391.5    , array([ 0.00165048 ,  1.90357    ,  0.00308171 ,  0.043074   ])
69      , -24392.3    , array([ 0.00165213 ,  1.90357    ,  0.00308171 ,  0.043074   ])
70      , -24390.9    , array([ 0.00165048 ,  1.90548    ,  0.00308171 ,  0.043074   ])
