184836  , -27905.7    , array([ 20.545     ,  0.00578098 ,  1.14796e-42,  5.06005e-61,  0.000462323])
184837  , -27905.7    , array([ 20.5655    ,  0.00578098 ,  1.14796e-42,  5.06005e-61,  0.000462323])
184838  , -27932.4    , array([ 20.545     ,  0.00578676 ,  1.14796e-42,  5.06005e-61,  0.000462323])
184839  , -27905.7    , array([ 20.545     ,  0.00578098 ,  1.1491e-42 ,  5.06005e-61,  0.000462323])
184840  , -27905.7    , array([ 20.545     ,  0.00578098 ,  1.14796e-42,  5.06512e-61,  0.000462323])
184841  , -27879      , array([ 20.545     ,  0.00578098 ,  1.14796e-42,  5.06005e-61,  0.000462786])
184842  , -27905.7    , array([ 20.545     ,  0.00578098 ,  1.14796e-42,  5.06005e-61,  0.000462323])
184843  , -2643.16    , array([ 20.5424    ,  0.00283063 ,  1.14796e-42,  5.06005e-61,  0.000944397])
184844  , -2643.16    , array([ 20.5424    ,  0.00283063 ,  1.14796e-42,  5.06005e-61,  0.000944397])
184845  , -2643.16    , array([ 20.563     ,  0.00283063 ,  1.14796e-42,  5.06005e-61,  0.000944397])
184846  , -2644.2     , array([ 20.5424    ,  0.00283346 ,  1.14796e-42,  5.06005e-61,  0.000944397])
184847  , -2643.16    , array([ 20.5424    ,  0.00283063 ,  1.1491e-42 ,  5.06005e-61,  0.000944397])
184848  , -2643.16    , array([ 20.5424    ,  0.00283063 ,  1.14796e-42,  5.06512e-61,  0.000944397])
184849  , -2642.07    , array([ 20.5424    ,  0.00283063 ,  1.14796e-42,  5.06005e-61,  0.000945342])
184857  , -2643.16    , array([ 20.5424    ,  0.00283084 ,  1.14796e-42,  5.06005e-61,  0.000944468])
184858  , -2643.16    , array([ 20.5424    ,  0.00283084 ,  1.14796e-42,  5.06005e-61,  0.000944468])
184859  , -2643.16    , array([ 20.5629    ,  0.00283084 ,  1.14796e-42,  5.06005e-61,  0.000944468])
184860  , -2644.19    , array([ 20.5424    ,  0.00283368 ,  1.14796e-42,  5.06005e-61,  0.000944468])
184861  , -2643.16    , array([ 20.5424    ,  0.00283084 ,  1.1491e-42 ,  5.06005e-61,  0.000944468])
184862  , -2643.16    , array([ 20.5424    ,  0.00283084 ,  1.14796e-42,  5.06512e-61,  0.000944468])
184863  , -2642.06    , array([ 20.5424    ,  0.00283084 ,  1.14796e-42,  5.06005e-61,  0.000945413])
184864  , -2643.15    , array([ 20.5423    ,  0.00283106 ,  1.14796e-42,  5.06005e-61,  0.00094454 ])
184865  , -2643.15    , array([ 20.5423    ,  0.00283106 ,  1.14796e-42,  5.06005e-61,  0.00094454 ])
184866  , -2643.15    , array([ 20.5629    ,  0.00283106 ,  1.14796e-42,  5.06005e-61,  0.00094454 ])
184867  , -2644.19    , array([ 20.5423    ,  0.00283389 ,  1.14796e-42,  5.06005e-61,  0.00094454 ])
184868  , -2643.15    , array([ 20.5423    ,  0.00283106 ,  1.1491e-42 ,  5.06005e-61,  0.00094454 ])
184869  , -2643.15    , array([ 20.5423    ,  0.00283106 ,  1.14796e-42,  5.06512e-61,  0.00094454 ])
184870  , -2642.06    , array([ 20.5423    ,  0.00283106 ,  1.14796e-42,  5.06005e-61,  0.000945485])
184878  , -2643.15    , array([ 20.5423    ,  0.00283111 ,  1.14796e-42,  5.06005e-61,  0.000944557])
184879  , -2643.15    , array([ 20.5423    ,  0.00283111 ,  1.14796e-42,  5.06005e-61,  0.000944557])
184880  , -2643.15    , array([ 20.5629    ,  0.00283111 ,  1.14796e-42,  5.06005e-61,  0.000944557])
184881  , -2644.19    , array([ 20.5423    ,  0.00283394 ,  1.14796e-42,  5.06005e-61,  0.000944557])
184882  , -2643.15    , array([ 20.5423    ,  0.00283111 ,  1.1491e-42 ,  5.06005e-61,  0.000944557])
184883  , -2643.15    , array([ 20.5423    ,  0.00283111 ,  1.14796e-42,  5.06512e-61,  0.000944557])
184884  , -2642.06    , array([ 20.5423    ,  0.00283111 ,  1.14796e-42,  5.06005e-61,  0.000945503])
184885  , -2643.15    , array([ 20.5423    ,  0.00283116 ,  1.14796e-42,  5.06005e-61,  0.000944575])
184886  , -2643.15    , array([ 20.5423    ,  0.00283116 ,  1.14796e-42,  5.06005e-61,  0.000944575])
184887  , -2643.15    , array([ 20.5629    ,  0.00283116 ,  1.14796e-42,  5.06005e-61,  0.000944575])
184888  , -2644.18    , array([ 20.5423    ,  0.002834   ,  1.14796e-42,  5.06005e-61,  0.000944575])
184889  , -2643.15    , array([ 20.5423    ,  0.00283116 ,  1.1491e-42 ,  5.06005e-61,  0.000944575])
184890  , -2643.15    , array([ 20.5423    ,  0.00283116 ,  1.14796e-42,  5.06512e-61,  0.000944575])
184891  , -2642.05    , array([ 20.5423    ,  0.00283116 ,  1.14796e-42,  5.06005e-61,  0.00094552 ])
184892  , -45153      , array([ 16.0062    ,  2.99098    ,  1.14796e-42,  5.06005e-61,  1.02551    ])
184893  , -45153      , array([ 16.0062    ,  2.99098    ,  1.14796e-42,  5.06005e-61,  1.02551    ])
184894  , -45159.5    , array([ 16.0222    ,  2.99098    ,  1.14796e-42,  5.06005e-61,  1.02551    ])
184895  , -45157.7    , array([ 16.0062    ,  2.99397    ,  1.14796e-42,  5.06005e-61,  1.02551    ])
184896  , -45153      , array([ 16.0062    ,  2.99098    ,  1.1491e-42 ,  5.06005e-61,  1.02551    ])
184897  , -45153      , array([ 16.0062    ,  2.99098    ,  1.14796e-42,  5.06512e-61,  1.02551    ])
184898  , -45172.7    , array([ 16.0062    ,  2.99098    ,  1.14796e-42,  5.06005e-61,  1.02654    ])
184899  , -2467.85    , array([ 19.7087    ,  0.00899504 ,  1.14796e-42,  5.06005e-61,  0.00301469 ])
184900  , -2467.85    , array([ 19.7087    ,  0.00899504 ,  1.14796e-42,  5.06005e-61,  0.00301469 ])
184901  , -2467.86    , array([ 19.7284    ,  0.00899504 ,  1.14796e-42,  5.06005e-61,  0.00301469 ])
184902  , -2468.98    , array([ 19.7087    ,  0.00900404 ,  1.14796e-42,  5.06005e-61,  0.00301469 ])
184903  , -2467.85    , array([ 19.7087    ,  0.00899504 ,  1.1491e-42 ,  5.06005e-61,  0.00301469 ])
184904  , -2467.85    , array([ 19.7087    ,  0.00899504 ,  1.14796e-42,  5.06512e-61,  0.00301469 ])
184905  , -2466.54    , array([ 19.7087    ,  0.00899504 ,  1.14796e-42,  5.06005e-61,  0.00301771 ])
184906  , -2173.94    , array([ 19.0319    ,  0.0238505  ,  1.14796e-42,  5.06005e-61,  0.00802413 ])
184907  , -2173.94    , array([ 19.0319    ,  0.0238505  ,  1.14796e-42,  5.06005e-61,  0.00802413 ])
184908  , -2173.95    , array([ 19.051     ,  0.0238505  ,  1.14796e-42,  5.06005e-61,  0.00802413 ])
184909  , -2175.39    , array([ 19.0319    ,  0.0238744  ,  1.14796e-42,  5.06005e-61,  0.00802413 ])
184910  , -2173.94    , array([ 19.0319    ,  0.0238505  ,  1.1491e-42 ,  5.06005e-61,  0.00802413 ])
184911  , -2173.94    , array([ 19.0319    ,  0.0238505  ,  1.14796e-42,  5.06512e-61,  0.00802413 ])
184912  , -2172.18    , array([ 19.0319    ,  0.0238505  ,  1.14796e-42,  5.06005e-61,  0.00803216 ])
184913  , -5372.55    , array([ 17.4536    ,  0.267089   ,  1.14796e-42,  5.06005e-61,  0.0907129  ])
184914  , -5372.55    , array([ 17.4536    ,  0.267089   ,  1.14796e-42,  5.06005e-61,  0.0907129  ])
