19909   , -2336.8     , array([ 10.2275    ,  0.254078   ,  1.90592e-09,  2.3342e-31 ])
19910   , -2336.8     , array([ 10.2172    ,  0.254332   ,  1.90592e-09,  2.3342e-31 ])
19911   , -2336.8     , array([ 10.2172    ,  0.254078   ,  1.90782e-09,  2.3342e-31 ])
19912   , -2336.8     , array([ 10.2172    ,  0.254078   ,  1.90592e-09,  2.33654e-31])
19913   , -2336.8     , array([ 9.69079    ,  0.254078   ,  9.58032e-10,  2.3342e-31 ])
19914   , -2336.8     , array([ 9.69079    ,  0.254078   ,  9.58032e-10,  2.3342e-31 ])
19915   , -2336.8     , array([ 9.70048    ,  0.254078   ,  9.58032e-10,  2.3342e-31 ])
19916   , -2336.8     , array([ 9.69079    ,  0.254332   ,  9.58032e-10,  2.3342e-31 ])
19917   , -2336.8     , array([ 9.69079    ,  0.254078   ,  9.5899e-10 ,  2.3342e-31 ])
19918   , -2336.8     , array([ 9.69079    ,  0.254078   ,  9.58032e-10,  2.33654e-31])
19919   , -2336.8     , array([ 9.19214    ,  0.254078   ,  4.8202e-10 ,  2.3342e-31 ])
19920   , -2336.8     , array([ 9.19214    ,  0.254078   ,  4.8202e-10 ,  2.3342e-31 ])
19921   , -2336.8     , array([ 9.20133    ,  0.254078   ,  4.8202e-10 ,  2.3342e-31 ])
19922   , -2336.8     , array([ 9.19214    ,  0.254332   ,  4.8202e-10 ,  2.3342e-31 ])
19923   , -2336.8     , array([ 9.19214    ,  0.254078   ,  4.82503e-10,  2.3342e-31 ])
19924   , -2336.8     , array([ 9.19214    ,  0.254078   ,  4.8202e-10 ,  2.33654e-31])
