310210  , -11318.7    , array([ 8.22075    ,  0.00849138 ,  4.93101e-28,  1.38264    ,  0.00133876 ])
310211  , -11298.3    , array([ 8.22075    ,  0.00849138 ,  4.93101e-28,  1.38126    ,  0.0013401  ])
310212  , -55923      , array([ 8.20047    ,  0.0024386  ,  4.93101e-28,  1.38009    ,  0.00467462 ])
310213  , -55923      , array([ 8.20047    ,  0.0024386  ,  4.93101e-28,  1.38009    ,  0.00467462 ])
310214  , -55923      , array([ 8.20867    ,  0.0024386  ,  4.93101e-28,  1.38009    ,  0.00467462 ])
310215  , -55851.8    , array([ 8.20047    ,  0.00244104 ,  4.93101e-28,  1.38009    ,  0.00467462 ])
310216  , -55923      , array([ 8.20047    ,  0.0024386  ,  4.93594e-28,  1.38009    ,  0.00467462 ])
310217  , -55921.4    , array([ 8.20047    ,  0.0024386  ,  4.93101e-28,  1.38147    ,  0.00467462 ])
310218  , -55990.9    , array([ 8.20047    ,  0.0024386  ,  4.93101e-28,  1.38009    ,  0.0046793  ])
310219  , -2566.19    , array([ 8.21475    ,  0.00587242 ,  4.93101e-28,  1.38091    ,  0.00193741 ])
310220  , -2566.19    , array([ 8.21475    ,  0.00587242 ,  4.93101e-28,  1.38091    ,  0.00193741 ])
310221  , -2566.2     , array([ 8.22297    ,  0.00587242 ,  4.93101e-28,  1.38091    ,  0.00193741 ])
310222  , -2567.83    , array([ 8.21475    ,  0.0058783  ,  4.93101e-28,  1.38091    ,  0.00193741 ])
310223  , -2566.19    , array([ 8.21475    ,  0.00587242 ,  4.93594e-28,  1.38091    ,  0.00193741 ])
310224  , -2566.19    , array([ 8.21475    ,  0.00587242 ,  4.93101e-28,  1.3823     ,  0.00193741 ])
310225  , -2564.42    , array([ 8.21475    ,  0.00587242 ,  4.93101e-28,  1.38091    ,  0.00193935 ])
310233  , -2565.96    , array([ 8.21434    ,  0.00587973 ,  4.93101e-28,  1.381      ,  0.00193985 ])
310234  , -2565.96    , array([ 8.21434    ,  0.00587973 ,  4.93101e-28,  1.381      ,  0.00193985 ])
310235  , -2565.97    , array([ 8.22256    ,  0.00587973 ,  4.93101e-28,  1.381      ,  0.00193985 ])
310236  , -2567.6     , array([ 8.21434    ,  0.00588561 ,  4.93101e-28,  1.381      ,  0.00193985 ])
310237  , -2565.96    , array([ 8.21434    ,  0.00587973 ,  4.93594e-28,  1.381      ,  0.00193985 ])
310238  , -2565.96    , array([ 8.21434    ,  0.00587973 ,  4.93101e-28,  1.38238    ,  0.00193985 ])
310239  , -2564.19    , array([ 8.21434    ,  0.00587973 ,  4.93101e-28,  1.381      ,  0.00194179 ])
310240  , -2565.74    , array([ 8.21394    ,  0.00588706 ,  4.93101e-28,  1.38108    ,  0.0019423  ])
310241  , -2565.74    , array([ 8.21394    ,  0.00588706 ,  4.93101e-28,  1.38108    ,  0.0019423  ])
310242  , -2565.74    , array([ 8.22215    ,  0.00588706 ,  4.93101e-28,  1.38108    ,  0.0019423  ])
310243  , -2567.38    , array([ 8.21394    ,  0.00589295 ,  4.93101e-28,  1.38108    ,  0.0019423  ])
310244  , -2565.74    , array([ 8.21394    ,  0.00588706 ,  4.93594e-28,  1.38108    ,  0.0019423  ])
310245  , -2565.73    , array([ 8.21394    ,  0.00588706 ,  4.93101e-28,  1.38246    ,  0.0019423  ])
310246  , -2563.97    , array([ 8.21394    ,  0.00588706 ,  4.93101e-28,  1.38108    ,  0.00194424 ])
310254  , -2565.68    , array([ 8.21383    ,  0.00588889 ,  4.93101e-28,  1.3811     ,  0.00194291 ])
310255  , -2565.68    , array([ 8.21383    ,  0.00588889 ,  4.93101e-28,  1.3811     ,  0.00194291 ])
310256  , -2565.69    , array([ 8.22205    ,  0.00588889 ,  4.93101e-28,  1.3811     ,  0.00194291 ])
310257  , -2567.32    , array([ 8.21383    ,  0.00589478 ,  4.93101e-28,  1.3811     ,  0.00194291 ])
310258  , -2565.68    , array([ 8.21383    ,  0.00588889 ,  4.93594e-28,  1.3811     ,  0.00194291 ])
310259  , -2565.68    , array([ 8.21383    ,  0.00588889 ,  4.93101e-28,  1.38249    ,  0.00194291 ])
310260  , -2563.91    , array([ 8.21383    ,  0.00588889 ,  4.93101e-28,  1.3811     ,  0.00194485 ])
310261  , -2565.62    , array([ 8.21373    ,  0.00589073 ,  4.93101e-28,  1.38112    ,  0.00194352 ])
310262  , -2565.62    , array([ 8.21373    ,  0.00589073 ,  4.93101e-28,  1.38112    ,  0.00194352 ])
310263  , -2565.63    , array([ 8.22195    ,  0.00589073 ,  4.93101e-28,  1.38112    ,  0.00194352 ])
310264  , -2567.26    , array([ 8.21373    ,  0.00589662 ,  4.93101e-28,  1.38112    ,  0.00194352 ])
310265  , -2565.62    , array([ 8.21373    ,  0.00589073 ,  4.93594e-28,  1.38112    ,  0.00194352 ])
310266  , -2565.62    , array([ 8.21373    ,  0.00589073 ,  4.93101e-28,  1.38251    ,  0.00194352 ])
310267  , -2563.85    , array([ 8.21373    ,  0.00589073 ,  4.93101e-28,  1.38112    ,  0.00194547 ])
310275  , -2565.61    , array([ 8.21371    ,  0.00589119 ,  4.93101e-28,  1.38113    ,  0.00194368 ])
