149023  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149024  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149025  , -50105.2    , array([ 22.5223    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149026  , -50126.2    , array([ 22.4998    ,  0.853497   ,  5.29545e-39,  0.0698582  ,  0.0288831  ])
149027  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.30075e-39,  0.0698582  ,  0.0288831  ])
149028  , -50104.6    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0699281  ,  0.0288831  ])
149029  , -50084.5    , array([ 22.4998    ,  0.852644   ,  5.29545e-39,  0.0698582  ,  0.028912   ])
149030  , -42254.2    , array([ 14.7655    ,  0.764822   ,  5.29545e-39,  5.1077     ,  0.530449   ])
149031  , -42254.2    , array([ 14.7655    ,  0.764822   ,  5.29545e-39,  5.1077     ,  0.530449   ])
149032  , -42263.1    , array([ 14.7803    ,  0.764822   ,  5.29545e-39,  5.1077     ,  0.530449   ])
149033  , -42278.7    , array([ 14.7655    ,  0.765587   ,  5.29545e-39,  5.1077     ,  0.530449   ])
149034  , -42254.2    , array([ 14.7655    ,  0.764822   ,  5.30075e-39,  5.1077     ,  0.530449   ])
149035  , -42275.8    , array([ 14.7655    ,  0.764822   ,  5.29545e-39,  5.11281    ,  0.530449   ])
149036  , -42265.1    , array([ 14.7655    ,  0.764822   ,  5.29545e-39,  5.1077     ,  0.53098    ])
149037  , -28076      , array([ 19.4909    ,  0.821634   ,  5.29545e-39,  0.301652   ,  0.0778824  ])
149038  , -28076      , array([ 19.4909    ,  0.821634   ,  5.29545e-39,  0.301652   ,  0.0778824  ])
149039  , -28077.1    , array([ 19.5104    ,  0.821634   ,  5.29545e-39,  0.301652   ,  0.0778824  ])
149040  , -28102.4    , array([ 19.4909    ,  0.822456   ,  5.29545e-39,  0.301652   ,  0.0778824  ])
149041  , -28076      , array([ 19.4909    ,  0.821634   ,  5.30075e-39,  0.301652   ,  0.0778824  ])
149042  , -28076.7    , array([ 19.4909    ,  0.821634   ,  5.29545e-39,  0.301954   ,  0.0778824  ])
149043  , -28056.3    , array([ 19.4909    ,  0.821634   ,  5.29545e-39,  0.301652   ,  0.0779603  ])
149044  , -19335.3    , array([ 17.4465    ,  0.798472   ,  5.29545e-39,  0.93297    ,  0.167478   ])
149045  , -19335.3    , array([ 17.4465    ,  0.798472   ,  5.29545e-39,  0.93297    ,  0.167478   ])
149046  , -19337.3    , array([ 17.464     ,  0.798472   ,  5.29545e-39,  0.93297    ,  0.167478   ])
149047  , -19355.2    , array([ 17.4465    ,  0.799271   ,  5.29545e-39,  0.93297    ,  0.167478   ])
149048  , -19335.3    , array([ 17.4465    ,  0.798472   ,  5.30075e-39,  0.93297    ,  0.167478   ])
149049  , -19338.7    , array([ 17.4465    ,  0.798472   ,  5.29545e-39,  0.933903   ,  0.167478   ])
149050  , -19330.8    , array([ 17.4465    ,  0.798472   ,  5.29545e-39,  0.93297    ,  0.167645   ])
149058  , -19328.5    , array([ 17.4419    ,  0.798072   ,  5.29545e-39,  0.933733   ,  0.167445   ])
149059  , -19328.5    , array([ 17.4419    ,  0.798072   ,  5.29545e-39,  0.933733   ,  0.167445   ])
149060  , -19330.4    , array([ 17.4594    ,  0.798072   ,  5.29545e-39,  0.933733   ,  0.167445   ])
149061  , -19348.3    , array([ 17.4419    ,  0.79887    ,  5.29545e-39,  0.933733   ,  0.167445   ])
149062  , -19328.5    , array([ 17.4419    ,  0.798072   ,  5.30075e-39,  0.933733   ,  0.167445   ])
149063  , -19331.8    , array([ 17.4419    ,  0.798072   ,  5.29545e-39,  0.934667   ,  0.167445   ])
149064  , -19323.9    , array([ 17.4419    ,  0.798072   ,  5.29545e-39,  0.933733   ,  0.167613   ])
149065  , -10588.5    , array([ 8.83242    ,  0.220741   ,  5.29545e-39,  7.5795     ,  0.101954   ])
149066  , -10588.5    , array([ 8.83242    ,  0.220741   ,  5.29545e-39,  7.5795     ,  0.101954   ])
149067  , -10589.8    , array([ 8.84126    ,  0.220741   ,  5.29545e-39,  7.5795     ,  0.101954   ])
149068  , -10603.2    , array([ 8.83242    ,  0.220962   ,  5.29545e-39,  7.5795     ,  0.101954   ])
149069  , -10588.5    , array([ 8.83242    ,  0.220741   ,  5.30075e-39,  7.5795     ,  0.101954   ])
149070  , -10598.2    , array([ 8.83242    ,  0.220741   ,  5.29545e-39,  7.58708    ,  0.101954   ])
149071  , -10589.1    , array([ 8.83242    ,  0.220741   ,  5.29545e-39,  7.5795     ,  0.102056   ])
149079  , -10587.9    , array([ 8.82579    ,  0.220759   ,  5.29545e-39,  7.57886    ,  0.101963   ])
149080  , -10587.9    , array([ 8.82579    ,  0.220759   ,  5.29545e-39,  7.57886    ,  0.101963   ])
149081  , -10589.2    , array([ 8.83462    ,  0.220759   ,  5.29545e-39,  7.57886    ,  0.101963   ])
149082  , -10602.7    , array([ 8.82579    ,  0.22098    ,  5.29545e-39,  7.57886    ,  0.101963   ])
149083  , -10587.9    , array([ 8.82579    ,  0.220759   ,  5.30075e-39,  7.57886    ,  0.101963   ])
149084  , -10597.6    , array([ 8.82579    ,  0.220759   ,  5.29545e-39,  7.58644    ,  0.101963   ])
149085  , -10588.6    , array([ 8.82579    ,  0.220759   ,  5.29545e-39,  7.57886    ,  0.102065   ])
149086  , -10587.4    , array([ 8.81916    ,  0.220777   ,  5.29545e-39,  7.57822    ,  0.101972   ])
149087  , -10587.4    , array([ 8.81916    ,  0.220777   ,  5.29545e-39,  7.57822    ,  0.101972   ])
149088  , -10588.7    , array([ 8.82798    ,  0.220777   ,  5.29545e-39,  7.57822    ,  0.101972   ])
149089  , -10602.2    , array([ 8.81916    ,  0.220998   ,  5.29545e-39,  7.57822    ,  0.101972   ])
149090  , -10587.4    , array([ 8.81916    ,  0.220777   ,  5.30075e-39,  7.57822    ,  0.101972   ])
149091  , -10597.1    , array([ 8.81916    ,  0.220777   ,  5.29545e-39,  7.5858     ,  0.101972   ])
149092  , -10588.1    , array([ 8.81916    ,  0.220777   ,  5.29545e-39,  7.57822    ,  0.102074   ])
149100  , -10587.3    , array([ 8.8175     ,  0.220782   ,  5.29545e-39,  7.57806    ,  0.101975   ])
149101  , -10587.3    , array([ 8.8175     ,  0.220782   ,  5.29545e-39,  7.57806    ,  0.101975   ])
149102  , -10588.6    , array([ 8.82632    ,  0.220782   ,  5.29545e-39,  7.57806    ,  0.101975   ])
149103  , -10602.1    , array([ 8.8175     ,  0.221002   ,  5.29545e-39,  7.57806    ,  0.101975   ])
149104  , -10587.3    , array([ 8.8175     ,  0.220782   ,  5.30075e-39,  7.57806    ,  0.101975   ])
149105  , -10597      , array([ 8.8175     ,  0.220782   ,  5.29545e-39,  7.58564    ,  0.101975   ])
149106  , -10587.9    , array([ 8.8175     ,  0.220782   ,  5.29545e-39,  7.57806    ,  0.102077   ])
149107  , -10587.2    , array([ 8.81584    ,  0.220786   ,  5.29545e-39,  7.5779     ,  0.101977   ])
149108  , -10587.2    , array([ 8.81584    ,  0.220786   ,  5.29545e-39,  7.5779     ,  0.101977   ])
149109  , -10588.5    , array([ 8.82466    ,  0.220786   ,  5.29545e-39,  7.5779     ,  0.101977   ])
149110  , -10601.9    , array([ 8.81584    ,  0.221007   ,  5.29545e-39,  7.5779     ,  0.101977   ])
149111  , -10587.2    , array([ 8.81584    ,  0.220786   ,  5.30075e-39,  7.5779     ,  0.101977   ])
149112  , -10596.8    , array([ 8.81584    ,  0.220786   ,  5.29545e-39,  7.58548    ,  0.101977   ])
149113  , -10587.8    , array([ 8.81584    ,  0.220786   ,  5.29545e-39,  7.5779     ,  0.102079   ])
149114  , -446019     , array([ 0.0150164  ,  0.442762   ,  5.29545e-39,  3.70029    ,  0.217946   ])
149115  , -446019     , array([ 0.0150164  ,  0.442762   ,  5.29545e-39,  3.70029    ,  0.217946   ])
149116  , -445764     , array([ 0.0150315  ,  0.442762   ,  5.29545e-39,  3.70029    ,  0.217946   ])
149117  , -446087     , array([ 0.0150164  ,  0.443205   ,  5.29545e-39,  3.70029    ,  0.217946   ])
149118  , -446019     , array([ 0.0150164  ,  0.442762   ,  5.30075e-39,  3.70029    ,  0.217946   ])
149119  , -445960     , array([ 0.0150164  ,  0.442762   ,  5.29545e-39,  3.70399    ,  0.217946   ])
149120  , -446107     , array([ 0.0150164  ,  0.442762   ,  5.29545e-39,  3.70029    ,  0.218164   ])
149121  , -9245.38    , array([ 2.86707    ,  0.249584   ,  5.29545e-39,  6.67879    ,  0.116579   ])
149122  , -9245.38    , array([ 2.86707    ,  0.249584   ,  5.29545e-39,  6.67879    ,  0.116579   ])
149123  , -9247.13    , array([ 2.86994    ,  0.249584   ,  5.29545e-39,  6.67879    ,  0.116579   ])
149124  , -9259.32    , array([ 2.86707    ,  0.249834   ,  5.29545e-39,  6.67879    ,  0.116579   ])
149125  , -9245.38    , array([ 2.86707    ,  0.249584   ,  5.30075e-39,  6.67879    ,  0.116579   ])
149126  , -9254.38    , array([ 2.86707    ,  0.249584   ,  5.29545e-39,  6.68547    ,  0.116579   ])
149127  , -9244.44    , array([ 2.86707    ,  0.249584   ,  5.29545e-39,  6.67879    ,  0.116695   ])
