9589    , -78755.9    , array([ 4.41742    ,  0.00698811 ,  3.72622e-25,  1.28046e-06,  1.987e-06  ])
9590    , -78755.9    , array([ 4.42184    ,  0.00698811 ,  3.72622e-25,  1.28046e-06,  1.987e-06  ])
9591    , -78756.3    , array([ 4.41742    ,  0.0069951  ,  3.72622e-25,  1.28046e-06,  1.987e-06  ])
9592    , -78755.9    , array([ 4.41742    ,  0.00698811 ,  3.72995e-25,  1.28046e-06,  1.987e-06  ])
9593    , -78755.9    , array([ 4.41742    ,  0.00698811 ,  3.72622e-25,  1.28174e-06,  1.987e-06  ])
9594    , -78755.6    , array([ 4.41742    ,  0.00698811 ,  3.72622e-25,  1.28046e-06,  1.98899e-06])
9595    , -78755.9    , array([ 4.41742    ,  0.00698811 ,  3.72622e-25,  1.28046e-06,  1.987e-06  ])
9596    , -77711.4    , array([ 4.41403    ,  0.00342399 ,  3.72622e-25,  1.28046e-06,  4.06161e-06])
9597    , -77711.4    , array([ 4.41403    ,  0.00342399 ,  3.72622e-25,  1.28046e-06,  4.06161e-06])
9598    , -77711.4    , array([ 4.41845    ,  0.00342399 ,  3.72622e-25,  1.28046e-06,  4.06161e-06])
9599    , -77712.8    , array([ 4.41403    ,  0.00342741 ,  3.72622e-25,  1.28046e-06,  4.06161e-06])
9600    , -77711.4    , array([ 4.41403    ,  0.00342399 ,  3.72995e-25,  1.28046e-06,  4.06161e-06])
9601    , -77711.4    , array([ 4.41403    ,  0.00342399 ,  3.72622e-25,  1.28174e-06,  4.06161e-06])
9602    , -77710      , array([ 4.41403    ,  0.00342399 ,  3.72622e-25,  1.28046e-06,  4.06567e-06])
9610    , -77711.3    , array([ 4.41403    ,  0.00342386 ,  3.72622e-25,  1.28046e-06,  4.06176e-06])
9611    , -77711.3    , array([ 4.41403    ,  0.00342386 ,  3.72622e-25,  1.28046e-06,  4.06176e-06])
9612    , -77711.3    , array([ 4.41845    ,  0.00342386 ,  3.72622e-25,  1.28046e-06,  4.06176e-06])
9613    , -77712.7    , array([ 4.41403    ,  0.00342729 ,  3.72622e-25,  1.28046e-06,  4.06176e-06])
9614    , -77711.3    , array([ 4.41403    ,  0.00342386 ,  3.72995e-25,  1.28046e-06,  4.06176e-06])
9615    , -77711.3    , array([ 4.41403    ,  0.00342386 ,  3.72622e-25,  1.28174e-06,  4.06176e-06])
9616    , -77709.9    , array([ 4.41403    ,  0.00342386 ,  3.72622e-25,  1.28046e-06,  4.06582e-06])
9617    , -77711.2    , array([ 4.41403    ,  0.00342373 ,  3.72622e-25,  1.28046e-06,  4.06191e-06])
9618    , -77711.2    , array([ 4.41403    ,  0.00342373 ,  3.72622e-25,  1.28046e-06,  4.06191e-06])
9619    , -77711.2    , array([ 4.41845    ,  0.00342373 ,  3.72622e-25,  1.28046e-06,  4.06191e-06])
9620    , -77712.6    , array([ 4.41403    ,  0.00342716 ,  3.72622e-25,  1.28046e-06,  4.06191e-06])
9621    , -77711.2    , array([ 4.41403    ,  0.00342373 ,  3.72995e-25,  1.28046e-06,  4.06191e-06])
9622    , -77711.2    , array([ 4.41403    ,  0.00342373 ,  3.72622e-25,  1.28174e-06,  4.06191e-06])
9623    , -77709.8    , array([ 4.41403    ,  0.00342373 ,  3.72622e-25,  1.28046e-06,  4.06597e-06])
9631    , -77711.2    , array([ 4.41403    ,  0.0034237  ,  3.72622e-25,  1.28046e-06,  4.06194e-06])
9632    , -77711.2    , array([ 4.41403    ,  0.0034237  ,  3.72622e-25,  1.28046e-06,  4.06194e-06])
9633    , -77711.2    , array([ 4.41845    ,  0.0034237  ,  3.72622e-25,  1.28046e-06,  4.06194e-06])
9634    , -77712.5    , array([ 4.41403    ,  0.00342713 ,  3.72622e-25,  1.28046e-06,  4.06194e-06])
9635    , -77711.2    , array([ 4.41403    ,  0.0034237  ,  3.72995e-25,  1.28046e-06,  4.06194e-06])
