118954  , -68498.6    , array([ 16.7545    ,  1.53558    ,  1.74155e-17,  9.04056e-31,  0.0147304  ])
118955  , -68499.2    , array([ 16.7713    ,  1.53558    ,  1.74155e-17,  9.04056e-31,  0.0147304  ])
118956  , -68507.8    , array([ 16.7545    ,  1.53711    ,  1.74155e-17,  9.04056e-31,  0.0147304  ])
118957  , -68498.6    , array([ 16.7545    ,  1.53558    ,  1.74329e-17,  9.04056e-31,  0.0147304  ])
118958  , -68498.6    , array([ 16.7545    ,  1.53558    ,  1.74155e-17,  9.04961e-31,  0.0147304  ])
118959  , -68489.4    , array([ 16.7545    ,  1.53558    ,  1.74155e-17,  9.04056e-31,  0.0147452  ])
118960  , -68498.6    , array([ 16.7545    ,  1.53558    ,  1.74155e-17,  9.04056e-31,  0.0147304  ])
118961  , -46172      , array([ 15.9866    ,  0.751509   ,  1.74155e-17,  9.04056e-31,  0.0300286  ])
118962  , -46172      , array([ 15.9866    ,  0.751509   ,  1.74155e-17,  9.04056e-31,  0.0300286  ])
118963  , -46172.8    , array([ 16.0025    ,  0.751509   ,  1.74155e-17,  9.04056e-31,  0.0300286  ])
118964  , -46195.1    , array([ 15.9866    ,  0.752261   ,  1.74155e-17,  9.04056e-31,  0.0300286  ])
118965  , -46172      , array([ 15.9866    ,  0.751509   ,  1.74329e-17,  9.04056e-31,  0.0300286  ])
118966  , -46172      , array([ 15.9866    ,  0.751509   ,  1.74155e-17,  9.04961e-31,  0.0300286  ])
118967  , -46150.2    , array([ 15.9866    ,  0.751509   ,  1.74155e-17,  9.04056e-31,  0.0300586  ])
118968  , -425970     , array([ 13.251     ,  0.0431106  ,  1.74155e-17,  9.04056e-31,  0.518574   ])
118969  , -425970     , array([ 13.251     ,  0.0431106  ,  1.74155e-17,  9.04056e-31,  0.518574   ])
118970  , -425975     , array([ 13.2642    ,  0.0431106  ,  1.74155e-17,  9.04056e-31,  0.518574   ])
118971  , -425551     , array([ 13.251     ,  0.0431537  ,  1.74155e-17,  9.04056e-31,  0.518574   ])
118972  , -425970     , array([ 13.251     ,  0.0431106  ,  1.74329e-17,  9.04056e-31,  0.518574   ])
118973  , -425970     , array([ 13.251     ,  0.0431106  ,  1.74155e-17,  9.04961e-31,  0.518574   ])
118974  , -426405     , array([ 13.251     ,  0.0431106  ,  1.74155e-17,  9.04056e-31,  0.519092   ])
