36071   , -79089.4    , array([ 0.324085   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36072   , -79089.4    , array([ 0.324085   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36073   , -79089.4    , array([ 1.32409    ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36075   , -79089.4    , array([ 0.324085   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36077   , -79089.4    , array([ 0.706051   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36078   , -79089.4    , array([ 0.515068   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36079   , -79089.4    , array([ 0.228594   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36080   , -79089.4    , array([ 0.0290004  ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36082   , -79089.4    , array([ 0.105238   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36084   , -79089.4    , array([ 0.0581206  ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36085   , -79089.4    , array([ 0.011003   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36087   , -79089.4    , array([ 0.0178774  ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36089   , -79089.4    , array([ 0.0141338  ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36090   , -79089.4    , array([ 0.011003   ,  37.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36091   , -79089.4    , array([ 0.011003   ,  38.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36092   , -79089.4    , array([ 0.011003   ,  39.8559    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36093   , -79089.4    , array([ 0.011003   ,  38.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36094   , -79089.4    , array([ 0.011003   ,  38.8559    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36095   , -79089.4    , array([ 0.011003   ,  39.2378    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36096   , -79089.4    , array([ 0.011003   ,  39.4739    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36097   , -79089.4    , array([ 0.011003   ,  39.6198    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36098   , -79089.4    , array([ 0.011003   ,  39.71      ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36099   , -79089.4    , array([ 0.011003   ,  39.7657    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36100   , -79089.4    , array([ 0.011003   ,  39.8001    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36101   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36102   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36103   , -79089.4    , array([ 0.011003   ,  39.8258    ,  6.42343    ,  8.37366e-50,  2.3774e-17 ])
36104   , -79089.4    , array([ 0.011003   ,  39.8258    ,  3.80539    ,  8.37366e-50,  2.3774e-17 ])
36105   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.42343    ,  8.37366e-50,  2.3774e-17 ])
36106   , -79089.4    , array([ 0.011003   ,  39.8258    ,  4.80539    ,  8.37366e-50,  2.3774e-17 ])
36107   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.80539    ,  8.37366e-50,  2.3774e-17 ])
36108   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.61441    ,  8.37366e-50,  2.3774e-17 ])
36109   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.68736    ,  8.37366e-50,  2.3774e-17 ])
36110   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.73244    ,  8.37366e-50,  2.3774e-17 ])
36111   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.76031    ,  8.37366e-50,  2.3774e-17 ])
36112   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.77753    ,  8.37366e-50,  2.3774e-17 ])
36113   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.78817    ,  8.37366e-50,  2.3774e-17 ])
36114   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79475    ,  8.37366e-50,  2.3774e-17 ])
36115   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  8.37366e-50,  2.3774e-17 ])
36116   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  8.37366e-50,  2.3774e-17 ])
36117   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  1          ,  2.3774e-17 ])
36118   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.61803    ,  2.3774e-17 ])
36119   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  1          ,  2.3774e-17 ])
36120   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  1.61803    ,  2.3774e-17 ])
36121   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2          ,  2.3774e-17 ])
36122   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.23607    ,  2.3774e-17 ])
36123   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.11803    ,  2.3774e-17 ])
36124   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.07295    ,  2.3774e-17 ])
36125   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.04508    ,  2.3774e-17 ])
36126   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  2.3774e-17 ])
36127   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  2.3774e-17 ])
36128   , -213829     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  1          ])
36130   , -79089.4    , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  2.3774e-17 ])
36132   , -208437     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  0.381966   ])
36133   , -202924     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  0.189938   ])
36136   , -196449     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  0.0725498  ])
36138   , -177094     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  0.0277116  ])
36140   , -127811     , array([ 0.011003   ,  39.8258    ,  5.79882    ,  2.02463    ,  0.0105849  ])
