208856  , -1936.7     , array([ 7.46692    ,  0.0447019  ,  2.01236e-16,  6.1378e-21 ,  0.015125   ])
208857  , -1934.79    , array([ 7.46692    ,  0.0447019  ,  2.01236e-16,  6.13166e-21,  0.0151401  ])
208858  , -1936.63    , array([ 7.47066    ,  0.0447102  ,  2.01236e-16,  6.13166e-21,  0.0151283  ])
208859  , -1936.63    , array([ 7.47066    ,  0.0447102  ,  2.01236e-16,  6.13166e-21,  0.0151283  ])
208860  , -1936.69    , array([ 7.47813    ,  0.0447102  ,  2.01236e-16,  6.13166e-21,  0.0151283  ])
208861  , -1938.33    , array([ 7.47066    ,  0.044755   ,  2.01236e-16,  6.13166e-21,  0.0151283  ])
208862  , -1936.63    , array([ 7.47066    ,  0.0447102  ,  2.01437e-16,  6.13166e-21,  0.0151283  ])
208863  , -1936.63    , array([ 7.47066    ,  0.0447102  ,  2.01236e-16,  6.1378e-21 ,  0.0151283  ])
208864  , -1934.72    , array([ 7.47066    ,  0.0447102  ,  2.01236e-16,  6.13166e-21,  0.0151434  ])
208872  , -1936.61    , array([ 7.47166    ,  0.0447124  ,  2.01236e-16,  6.13166e-21,  0.0151291  ])
208873  , -1936.61    , array([ 7.47166    ,  0.0447124  ,  2.01236e-16,  6.13166e-21,  0.0151291  ])
208874  , -1936.67    , array([ 7.47913    ,  0.0447124  ,  2.01236e-16,  6.13166e-21,  0.0151291  ])
208875  , -1938.31    , array([ 7.47166    ,  0.0447572  ,  2.01236e-16,  6.13166e-21,  0.0151291  ])
208876  , -1936.61    , array([ 7.47166    ,  0.0447124  ,  2.01437e-16,  6.13166e-21,  0.0151291  ])
208877  , -1936.61    , array([ 7.47166    ,  0.0447124  ,  2.01236e-16,  6.1378e-21 ,  0.0151291  ])
208878  , -1934.7     , array([ 7.47166    ,  0.0447124  ,  2.01236e-16,  6.13166e-21,  0.0151443  ])
208879  , -1936.59    , array([ 7.47259    ,  0.0447145  ,  2.01236e-16,  6.13166e-21,  0.0151299  ])
208880  , -1936.59    , array([ 7.47259    ,  0.0447145  ,  2.01236e-16,  6.13166e-21,  0.0151299  ])
208881  , -1936.65    , array([ 7.48007    ,  0.0447145  ,  2.01236e-16,  6.13166e-21,  0.0151299  ])
208882  , -1938.29    , array([ 7.47259    ,  0.0447592  ,  2.01236e-16,  6.13166e-21,  0.0151299  ])
208883  , -1936.59    , array([ 7.47259    ,  0.0447145  ,  2.01437e-16,  6.13166e-21,  0.0151299  ])
208884  , -1936.59    , array([ 7.47259    ,  0.0447145  ,  2.01236e-16,  6.1378e-21 ,  0.0151299  ])
208885  , -1934.69    , array([ 7.47259    ,  0.0447145  ,  2.01236e-16,  6.13166e-21,  0.0151451  ])
208893  , -1936.59    , array([ 7.47284    ,  0.0447151  ,  2.01236e-16,  6.13166e-21,  0.0151302  ])
208894  , -1936.59    , array([ 7.47284    ,  0.0447151  ,  2.01236e-16,  6.13166e-21,  0.0151302  ])
208895  , -1936.65    , array([ 7.48032    ,  0.0447151  ,  2.01236e-16,  6.13166e-21,  0.0151302  ])
208896  , -1938.28    , array([ 7.47284    ,  0.0447598  ,  2.01236e-16,  6.13166e-21,  0.0151302  ])
208897  , -1936.59    , array([ 7.47284    ,  0.0447151  ,  2.01437e-16,  6.13166e-21,  0.0151302  ])
208898  , -1936.59    , array([ 7.47284    ,  0.0447151  ,  2.01236e-16,  6.1378e-21 ,  0.0151302  ])
208899  , -1934.68    , array([ 7.47284    ,  0.0447151  ,  2.01236e-16,  6.13166e-21,  0.0151453  ])
208900  , -1936.58    , array([ 7.47307    ,  0.0447156  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208901  , -1936.58    , array([ 7.47307    ,  0.0447156  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208902  , -1936.64    , array([ 7.48055    ,  0.0447156  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208903  , -1938.28    , array([ 7.47307    ,  0.0447603  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208904  , -1936.58    , array([ 7.47307    ,  0.0447156  ,  2.01437e-16,  6.13166e-21,  0.0151304  ])
208905  , -1936.58    , array([ 7.47307    ,  0.0447156  ,  2.01236e-16,  6.1378e-21 ,  0.0151304  ])
208906  , -1934.68    , array([ 7.47307    ,  0.0447156  ,  2.01236e-16,  6.13166e-21,  0.0151455  ])
208914  , -1936.58    , array([ 7.47314    ,  0.0447157  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208915  , -1936.58    , array([ 7.47314    ,  0.0447157  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208916  , -1936.64    , array([ 7.48061    ,  0.0447157  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208917  , -1938.28    , array([ 7.47314    ,  0.0447605  ,  2.01236e-16,  6.13166e-21,  0.0151304  ])
208918  , -1936.58    , array([ 7.47314    ,  0.0447157  ,  2.01437e-16,  6.13166e-21,  0.0151304  ])
208919  , -1936.58    , array([ 7.47314    ,  0.0447157  ,  2.01236e-16,  6.1378e-21 ,  0.0151304  ])
208920  , -1934.68    , array([ 7.47314    ,  0.0447157  ,  2.01236e-16,  6.13166e-21,  0.0151456  ])
208921  , -1936.58    , array([ 7.47319    ,  0.0447158  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208922  , -1936.58    , array([ 7.47319    ,  0.0447158  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208923  , -1936.64    , array([ 7.48067    ,  0.0447158  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208924  , -1938.28    , array([ 7.47319    ,  0.0447606  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208925  , -1936.58    , array([ 7.47319    ,  0.0447158  ,  2.01437e-16,  6.13166e-21,  0.0151305  ])
208926  , -1936.58    , array([ 7.47319    ,  0.0447158  ,  2.01236e-16,  6.1378e-21 ,  0.0151305  ])
208927  , -1934.67    , array([ 7.47319    ,  0.0447158  ,  2.01236e-16,  6.13166e-21,  0.0151456  ])
208935  , -1936.58    , array([ 7.47321    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208936  , -1936.58    , array([ 7.47321    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208937  , -1936.64    , array([ 7.48069    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208938  , -1938.28    , array([ 7.47321    ,  0.0447606  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208939  , -1936.58    , array([ 7.47321    ,  0.0447159  ,  2.01437e-16,  6.13166e-21,  0.0151305  ])
208940  , -1936.58    , array([ 7.47321    ,  0.0447159  ,  2.01236e-16,  6.1378e-21 ,  0.0151305  ])
208941  , -1934.67    , array([ 7.47321    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151456  ])
208942  , -1936.58    , array([ 7.47322    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208943  , -1936.58    , array([ 7.47322    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208944  , -1936.64    , array([ 7.4807     ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208945  , -1938.28    , array([ 7.47322    ,  0.0447607  ,  2.01236e-16,  6.13166e-21,  0.0151305  ])
208946  , -1936.58    , array([ 7.47322    ,  0.0447159  ,  2.01437e-16,  6.13166e-21,  0.0151305  ])
208947  , -1936.58    , array([ 7.47322    ,  0.0447159  ,  2.01236e-16,  6.1378e-21 ,  0.0151305  ])
208948  , -1934.67    , array([ 7.47322    ,  0.0447159  ,  2.01236e-16,  6.13166e-21,  0.0151456  ])
208949  , -2030.16    , array([ 35.0482    ,  0.0792918  ,  2.01236e-16,  6.13166e-21,  0.0294173  ])
208950  , -2030.16    , array([ 35.0482    ,  0.0792918  ,  2.01236e-16,  6.13166e-21,  0.0294173  ])
208951  , -2030.2     , array([ 35.0832    ,  0.0792918  ,  2.01236e-16,  6.13166e-21,  0.0294173  ])
208952  , -2029.72    , array([ 35.0482    ,  0.0793712  ,  2.01236e-16,  6.13166e-21,  0.0294173  ])
208953  , -2030.16    , array([ 35.0482    ,  0.0792918  ,  2.01437e-16,  6.13166e-21,  0.0294173  ])
208954  , -2030.16    , array([ 35.0482    ,  0.0792918  ,  2.01236e-16,  6.1378e-21 ,  0.0294173  ])
208955  , -2031.29    , array([ 35.0482    ,  0.0792918  ,  2.01236e-16,  6.13166e-21,  0.0294467  ])
208956  , -1887.8     , array([ 13.5538    ,  0.0557565  ,  2.01236e-16,  6.13166e-21,  0.0195474  ])
208957  , -1887.8     , array([ 13.5538    ,  0.0557565  ,  2.01236e-16,  6.13166e-21,  0.0195474  ])
208958  , -1887.85    , array([ 13.5674    ,  0.0557565  ,  2.01236e-16,  6.13166e-21,  0.0195474  ])
208959  , -1888.66    , array([ 13.5538    ,  0.0558123  ,  2.01236e-16,  6.13166e-21,  0.0195474  ])
208960  , -1887.8     , array([ 13.5538    ,  0.0557565  ,  2.01437e-16,  6.13166e-21,  0.0195474  ])
208961  , -1887.8     , array([ 13.5538    ,  0.0557565  ,  2.01236e-16,  6.1378e-21 ,  0.0195474  ])
208962  , -1886.95    , array([ 13.5538    ,  0.0557565  ,  2.01236e-16,  6.13166e-21,  0.019567   ])
208963  , -1875.27    , array([ 10.8439    ,  0.049744   ,  2.01236e-16,  6.13166e-21,  0.0178004  ])
208964  , -1875.27    , array([ 10.8439    ,  0.049744   ,  2.01236e-16,  6.13166e-21,  0.0178004  ])
208965  , -1875.32    , array([ 10.8548    ,  0.049744   ,  2.01236e-16,  6.13166e-21,  0.0178004  ])
208966  , -1875.38    , array([ 10.8439    ,  0.0497938  ,  2.01236e-16,  6.13166e-21,  0.0178004  ])
208967  , -1875.27    , array([ 10.8439    ,  0.049744   ,  2.01437e-16,  6.13166e-21,  0.0178004  ])
208968  , -1875.27    , array([ 10.8439    ,  0.049744   ,  2.01236e-16,  6.1378e-21 ,  0.0178004  ])
208969  , -1875.04    , array([ 10.8439    ,  0.049744   ,  2.01236e-16,  6.13166e-21,  0.0178182  ])
208970  , -1845.7     , array([ 6.51822    ,  0.0488573  ,  2.01236e-16,  6.13166e-21,  0.0175209  ])
208971  , -1845.7     , array([ 6.51822    ,  0.0488573  ,  2.01236e-16,  6.13166e-21,  0.0175209  ])
208972  , -1845.78    , array([ 6.52474    ,  0.0488573  ,  2.01236e-16,  6.13166e-21,  0.0175209  ])
208973  , -1845.7     , array([ 6.51822    ,  0.0489062  ,  2.01236e-16,  6.13166e-21,  0.0175209  ])
208974  , -1845.7     , array([ 6.51822    ,  0.0488573  ,  2.01437e-16,  6.13166e-21,  0.0175209  ])
208975  , -1845.7     , array([ 6.51822    ,  0.0488573  ,  2.01236e-16,  6.1378e-21 ,  0.0175209  ])
208976  , -1845.53    , array([ 6.51822    ,  0.0488573  ,  2.01236e-16,  6.13166e-21,  0.0175385  ])
208977  , -1749.51    , array([ 0.85093    ,  0.0454655  ,  2.01236e-16,  6.13166e-21,  0.0164463  ])
208978  , -1749.51    , array([ 0.85093    ,  0.0454655  ,  2.01236e-16,  6.13166e-21,  0.0164463  ])
208979  , -1749.3     , array([ 0.851781   ,  0.0454655  ,  2.01236e-16,  6.13166e-21,  0.0164463  ])
208980  , -1748.82    , array([ 0.85093    ,  0.045511   ,  2.01236e-16,  6.13166e-21,  0.0164463  ])
208981  , -1749.51    , array([ 0.85093    ,  0.0454655  ,  2.01437e-16,  6.13166e-21,  0.0164463  ])
208982  , -1749.51    , array([ 0.85093    ,  0.0454655  ,  2.01236e-16,  6.1378e-21 ,  0.0164463  ])
208983  , -1750.02    , array([ 0.85093    ,  0.0454655  ,  2.01236e-16,  6.13166e-21,  0.0164627  ])
208984  , -1805.66    , array([ 3.96633    ,  0.0480071  ,  2.01236e-16,  6.13166e-21,  0.0172524  ])
208985  , -1805.66    , array([ 3.96633    ,  0.0480071  ,  2.01236e-16,  6.13166e-21,  0.0172524  ])
208986  , -1805.76    , array([ 3.9703     ,  0.0480071  ,  2.01236e-16,  6.13166e-21,  0.0172524  ])
208987  , -1805.52    , array([ 3.96633    ,  0.0480551  ,  2.01236e-16,  6.13166e-21,  0.0172524  ])
208988  , -1805.66    , array([ 3.96633    ,  0.0480071  ,  2.01437e-16,  6.13166e-21,  0.0172524  ])
