200052  , -34230.9    , array([ 0.805513   ,  0.00739677 ,  0.0466947  ,  1.82857e-24,  0.000464254])
200053  , -34231.1    , array([ 0.806319   ,  0.00739677 ,  0.0466947  ,  1.82857e-24,  0.000464254])
200054  , -34257.2    , array([ 0.805513   ,  0.00740417 ,  0.0466947  ,  1.82857e-24,  0.000464254])
200055  , -34230.9    , array([ 0.805513   ,  0.00739677 ,  0.0467414  ,  1.82857e-24,  0.000464254])
200056  , -34230.9    , array([ 0.805513   ,  0.00739677 ,  0.0466947  ,  1.8304e-24 ,  0.000464254])
200057  , -34204.4    , array([ 0.805513   ,  0.00739677 ,  0.0466947  ,  1.82857e-24,  0.000464719])
200058  , -34230.9    , array([ 0.805513   ,  0.00739677 ,  0.0466947  ,  1.82857e-24,  0.000464254])
200059  , -3760.94    , array([ 0.802301   ,  0.00362904 ,  0.0466941  ,  1.82857e-24,  0.00095022 ])
200060  , -3760.94    , array([ 0.802301   ,  0.00362904 ,  0.0466941  ,  1.82857e-24,  0.00095022 ])
200061  , -3760.98    , array([ 0.803104   ,  0.00362904 ,  0.0466941  ,  1.82857e-24,  0.00095022 ])
200062  , -3769.27    , array([ 0.802301   ,  0.00363267 ,  0.0466941  ,  1.82857e-24,  0.00095022 ])
200063  , -3760.94    , array([ 0.802301   ,  0.00362904 ,  0.0467408  ,  1.82857e-24,  0.00095022 ])
200064  , -3760.94    , array([ 0.802301   ,  0.00362904 ,  0.0466941  ,  1.8304e-24 ,  0.00095022 ])
200065  , -3752.55    , array([ 0.802301   ,  0.00362904 ,  0.0466941  ,  1.82857e-24,  0.000951171])
200073  , -3760.88    , array([ 0.802427   ,  0.00362958 ,  0.0466939  ,  1.82857e-24,  0.000950369])
200074  , -3760.88    , array([ 0.802427   ,  0.00362958 ,  0.0466939  ,  1.82857e-24,  0.000950369])
200075  , -3760.91    , array([ 0.80323    ,  0.00362958 ,  0.0466939  ,  1.82857e-24,  0.000950369])
200076  , -3769.2     , array([ 0.802427   ,  0.00363321 ,  0.0466939  ,  1.82857e-24,  0.000950369])
200077  , -3760.88    , array([ 0.802427   ,  0.00362958 ,  0.0467407  ,  1.82857e-24,  0.000950369])
200078  , -3760.88    , array([ 0.802427   ,  0.00362958 ,  0.0466939  ,  1.8304e-24 ,  0.000950369])
200079  , -3752.49    , array([ 0.802427   ,  0.00362958 ,  0.0466939  ,  1.82857e-24,  0.00095132 ])
200080  , -3760.81    , array([ 0.802553   ,  0.00363012 ,  0.0466938  ,  1.82857e-24,  0.000950518])
200081  , -3760.81    , array([ 0.802553   ,  0.00363012 ,  0.0466938  ,  1.82857e-24,  0.000950518])
200082  , -3760.84    , array([ 0.803356   ,  0.00363012 ,  0.0466938  ,  1.82857e-24,  0.000950518])
200083  , -3769.13    , array([ 0.802553   ,  0.00363375 ,  0.0466938  ,  1.82857e-24,  0.000950518])
200084  , -3760.81    , array([ 0.802553   ,  0.00363012 ,  0.0467405  ,  1.82857e-24,  0.000950518])
200085  , -3760.81    , array([ 0.802553   ,  0.00363012 ,  0.0466938  ,  1.8304e-24 ,  0.000950518])
200086  , -3752.42    , array([ 0.802553   ,  0.00363012 ,  0.0466938  ,  1.82857e-24,  0.000951469])
200094  , -3760.79    , array([ 0.802584   ,  0.00363025 ,  0.0466937  ,  1.82857e-24,  0.000950555])
200095  , -3760.79    , array([ 0.802584   ,  0.00363025 ,  0.0466937  ,  1.82857e-24,  0.000950555])
200096  , -3760.83    , array([ 0.803387   ,  0.00363025 ,  0.0466937  ,  1.82857e-24,  0.000950555])
200097  , -3769.11    , array([ 0.802584   ,  0.00363389 ,  0.0466937  ,  1.82857e-24,  0.000950555])
200098  , -3760.79    , array([ 0.802584   ,  0.00363025 ,  0.0467405  ,  1.82857e-24,  0.000950555])
200099  , -3760.79    , array([ 0.802584   ,  0.00363025 ,  0.0466937  ,  1.8304e-24 ,  0.000950555])
200100  , -3752.4     , array([ 0.802584   ,  0.00363025 ,  0.0466937  ,  1.82857e-24,  0.000951506])
200101  , -3760.77    , array([ 0.802616   ,  0.00363039 ,  0.0466937  ,  1.82857e-24,  0.000950592])
200102  , -3760.77    , array([ 0.802616   ,  0.00363039 ,  0.0466937  ,  1.82857e-24,  0.000950592])
200103  , -3760.81    , array([ 0.803419   ,  0.00363039 ,  0.0466937  ,  1.82857e-24,  0.000950592])
