11132   , -2337.7     , array([ 1.45781    ,  12.7606    ,  1.18878e-48,  5.05342e-05])
11133   , -2337.7     , array([ 1.45927    ,  12.7606    ,  1.18878e-48,  5.05342e-05])
11134   , -2337.7     , array([ 1.45781    ,  12.7733    ,  1.18878e-48,  5.05342e-05])
11135   , -2337.7     , array([ 1.45781    ,  12.7606    ,  1.18997e-48,  5.05342e-05])
11136   , -2337.7     , array([ 1.45781    ,  12.7606    ,  1.18878e-48,  5.05848e-05])
11137   , -2337.7     , array([ 1.45781    ,  12.7606    ,  1.18878e-48,  5.05342e-05])
11138   , -2337.17    , array([ 1.45781    ,  11.8248    ,  1.18878e-48,  2.06148e-05])
11139   , -2337.17    , array([ 1.45781    ,  11.8248    ,  1.18878e-48,  2.06148e-05])
11140   , -2337.17    , array([ 1.45927    ,  11.8248    ,  1.18878e-48,  2.06148e-05])
11141   , -2337.17    , array([ 1.45781    ,  11.8366    ,  1.18878e-48,  2.06148e-05])
11142   , -2337.17    , array([ 1.45781    ,  11.8248    ,  1.18997e-48,  2.06148e-05])
11143   , -2337.17    , array([ 1.45781    ,  11.8248    ,  1.18878e-48,  2.06354e-05])
11144   , -2337       , array([ 1.45781    ,  11.1773    ,  1.18878e-48,  1.11993e-05])
11145   , -2337       , array([ 1.45781    ,  11.1773    ,  1.18878e-48,  1.11993e-05])
11146   , -2337       , array([ 1.45927    ,  11.1773    ,  1.18878e-48,  1.11993e-05])
11147   , -2337       , array([ 1.45781    ,  11.1885    ,  1.18878e-48,  1.11993e-05])
11148   , -2337       , array([ 1.45781    ,  11.1773    ,  1.18997e-48,  1.11993e-05])
11149   , -2337       , array([ 1.45781    ,  11.1773    ,  1.18878e-48,  1.12105e-05])
11150   , -2336.9     , array([ 1.45781    ,  10.435     ,  1.18878e-48,  5.46497e-06])
11151   , -2336.9     , array([ 1.45781    ,  10.435     ,  1.18878e-48,  5.46497e-06])
11152   , -2336.9     , array([ 1.45927    ,  10.435     ,  1.18878e-48,  5.46497e-06])
