67659   , -79089.4    , array([ 0.746355   ,  0.0639701  ,  2.05535e-44,  0.209679   ,  2.5276e-11 ])
67660   , -79089.4    , array([ 0.747102   ,  0.0639701  ,  2.05535e-44,  0.209679   ,  2.5276e-11 ])
67661   , -79089.4    , array([ 0.746355   ,  0.0640341  ,  2.05535e-44,  0.209679   ,  2.5276e-11 ])
67662   , -79089.4    , array([ 0.746355   ,  0.0639701  ,  2.05741e-44,  0.209679   ,  2.5276e-11 ])
67663   , -79089.4    , array([ 0.746355   ,  0.0639701  ,  2.05535e-44,  0.209889   ,  2.5276e-11 ])
67664   , -79089.4    , array([ 0.746355   ,  0.0639701  ,  2.05535e-44,  0.209679   ,  2.53013e-11])
67665   , -79089.4    , array([ 0.746355   ,  0.0639701  ,  2.05535e-44,  0.209679   ,  2.5276e-11 ])
67666   , -79089.4    , array([ 0.746335   ,  0.0639404  ,  2.05535e-44,  0.209679   ,  2.52884e-11])
67667   , -79089.4    , array([ 0.746335   ,  0.0639404  ,  2.05535e-44,  0.209679   ,  2.52884e-11])
67668   , -79089.4    , array([ 0.747082   ,  0.0639404  ,  2.05535e-44,  0.209679   ,  2.52884e-11])
67669   , -79089.4    , array([ 0.746335   ,  0.0640044  ,  2.05535e-44,  0.209679   ,  2.52884e-11])
67670   , -79089.4    , array([ 0.746335   ,  0.0639404  ,  2.05741e-44,  0.209679   ,  2.52884e-11])
67671   , -79089.4    , array([ 0.746335   ,  0.0639404  ,  2.05535e-44,  0.209889   ,  2.52884e-11])
67672   , -79089.4    , array([ 0.746335   ,  0.0639404  ,  2.05535e-44,  0.209679   ,  2.53137e-11])
67673   , -79089.4    , array([ 0.746255   ,  0.0638218  ,  2.05535e-44,  0.209679   ,  2.53383e-11])
67674   , -79089.4    , array([ 0.746255   ,  0.0638218  ,  2.05535e-44,  0.209679   ,  2.53383e-11])
67675   , -79089.4    , array([ 0.747002   ,  0.0638218  ,  2.05535e-44,  0.209679   ,  2.53383e-11])
67676   , -79089.4    , array([ 0.746255   ,  0.0638857  ,  2.05535e-44,  0.209679   ,  2.53383e-11])
67677   , -79089.4    , array([ 0.746255   ,  0.0638218  ,  2.05741e-44,  0.209679   ,  2.53383e-11])
67678   , -79089.4    , array([ 0.746255   ,  0.0638218  ,  2.05535e-44,  0.209889   ,  2.53383e-11])
67679   , -79089.4    , array([ 0.746255   ,  0.0638218  ,  2.05535e-44,  0.209679   ,  2.53636e-11])
67680   , -79089.4    , array([ 0.745935   ,  0.0633497  ,  2.05535e-44,  0.20968    ,  2.55386e-11])
67681   , -79089.4    , array([ 0.745935   ,  0.0633497  ,  2.05535e-44,  0.20968    ,  2.55386e-11])
67682   , -79089.4    , array([ 0.746682   ,  0.0633497  ,  2.05535e-44,  0.20968    ,  2.55386e-11])
67683   , -79089.4    , array([ 0.745935   ,  0.0634131  ,  2.05535e-44,  0.20968    ,  2.55386e-11])
67684   , -79089.4    , array([ 0.745935   ,  0.0633497  ,  2.05741e-44,  0.20968    ,  2.55386e-11])
67685   , -79089.4    , array([ 0.745935   ,  0.0633497  ,  2.05535e-44,  0.209889   ,  2.55386e-11])
67686   , -79089.4    , array([ 0.745935   ,  0.0633497  ,  2.05535e-44,  0.20968    ,  2.55642e-11])
67687   , -79089.4    , array([ 0.744657   ,  0.061496   ,  2.05535e-44,  0.209681   ,  2.63559e-11])
67688   , -79089.4    , array([ 0.744657   ,  0.061496   ,  2.05535e-44,  0.209681   ,  2.63559e-11])
67689   , -79089.4    , array([ 0.745402   ,  0.061496   ,  2.05535e-44,  0.209681   ,  2.63559e-11])
67690   , -79089.4    , array([ 0.744657   ,  0.0615575  ,  2.05535e-44,  0.209681   ,  2.63559e-11])
67691   , -79089.4    , array([ 0.744657   ,  0.061496   ,  2.05741e-44,  0.209681   ,  2.63559e-11])
67692   , -79089.4    , array([ 0.744657   ,  0.061496   ,  2.05535e-44,  0.20989    ,  2.63559e-11])
67693   , -79089.4    , array([ 0.744657   ,  0.061496   ,  2.05535e-44,  0.209681   ,  2.63823e-11])
67694   , -79089.4    , array([ 0.739564   ,  0.0546078  ,  2.05535e-44,  0.209685   ,  2.98952e-11])
67695   , -79089.4    , array([ 0.739564   ,  0.0546078  ,  2.05535e-44,  0.209685   ,  2.98952e-11])
67696   , -79089.4    , array([ 0.740304   ,  0.0546078  ,  2.05535e-44,  0.209685   ,  2.98952e-11])
67697   , -79089.4    , array([ 0.739564   ,  0.0546624  ,  2.05535e-44,  0.209685   ,  2.98952e-11])
67698   , -79089.4    , array([ 0.739564   ,  0.0546078  ,  2.05741e-44,  0.209685   ,  2.98952e-11])
67699   , -79089.4    , array([ 0.739564   ,  0.0546078  ,  2.05535e-44,  0.209894   ,  2.98952e-11])
67700   , -79089.4    , array([ 0.739564   ,  0.0546078  ,  2.05535e-44,  0.209685   ,  2.99251e-11])
67701   , -79089.4    , array([ 0.719541   ,  0.0339535  ,  2.05535e-44,  0.2097     ,  4.94872e-11])
67702   , -79089.4    , array([ 0.719541   ,  0.0339535  ,  2.05535e-44,  0.2097     ,  4.94872e-11])
67703   , -79089.4    , array([ 0.720261   ,  0.0339535  ,  2.05535e-44,  0.2097     ,  4.94872e-11])
67704   , -79089.4    , array([ 0.719541   ,  0.0339875  ,  2.05535e-44,  0.2097     ,  4.94872e-11])
67705   , -79089.4    , array([ 0.719541   ,  0.0339535  ,  2.05741e-44,  0.2097     ,  4.94872e-11])
67706   , -79089.4    , array([ 0.719541   ,  0.0339535  ,  2.05535e-44,  0.20991    ,  4.94872e-11])
67707   , -79089.4    , array([ 0.719541   ,  0.0339535  ,  2.05535e-44,  0.2097     ,  4.95367e-11])
67708   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67709   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67710   , -79089.4    , array([ 0.645369   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67711   , -79089.4    , array([ 0.644724   ,  0.00507974 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67712   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05741e-44,  0.209763   ,  3.71586e-10])
67713   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209973   ,  3.71586e-10])
67714   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71958e-10])
67722   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67723   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67724   , -79089.4    , array([ 0.645369   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67725   , -79089.4    , array([ 0.644724   ,  0.00507974 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67726   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05741e-44,  0.209763   ,  3.71586e-10])
67727   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209973   ,  3.71586e-10])
67728   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71958e-10])
67729   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67730   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67731   , -79089.4    , array([ 0.645369   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67732   , -79089.4    , array([ 0.644724   ,  0.00507974 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67733   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05741e-44,  0.209763   ,  3.71586e-10])
67734   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209973   ,  3.71586e-10])
67735   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71958e-10])
67743   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67744   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67745   , -79089.4    , array([ 0.645369   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67746   , -79089.4    , array([ 0.644724   ,  0.00507974 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67747   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05741e-44,  0.209763   ,  3.71586e-10])
67748   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209973   ,  3.71586e-10])
67749   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71958e-10])
67750   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67751   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67752   , -79089.4    , array([ 0.645369   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67753   , -79089.4    , array([ 0.644724   ,  0.00507974 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
67754   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05741e-44,  0.209763   ,  3.71586e-10])
67755   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209973   ,  3.71586e-10])
67756   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71958e-10])
67764   , -79089.4    , array([ 0.644724   ,  0.00507466 ,  2.05535e-44,  0.209763   ,  3.71586e-10])
