3104    , -12236.8    , array([ 0.7744     ,  4.93808    ,  3.11886    ,  0.396114   ])
3105    , -12236.8    , array([ 0.7744     ,  4.93808    ,  3.11886    ,  0.396114   ])
3106    , -12226.1    , array([ 0.775175   ,  4.93808    ,  3.11886    ,  0.396114   ])
3107    , -12242      , array([ 0.7744     ,  4.94302    ,  3.11886    ,  0.396114   ])
3108    , -12237.3    , array([ 0.7744     ,  4.93808    ,  3.12198    ,  0.396114   ])
3109    , -12242.4    , array([ 0.7744     ,  4.93808    ,  3.11886    ,  0.39651    ])
3110    , -12236.3    , array([ 0.774415   ,  4.93877    ,  3.11847    ,  0.396042   ])
3111    , -12236.3    , array([ 0.774415   ,  4.93877    ,  3.11847    ,  0.396042   ])
3112    , -12225.6    , array([ 0.77519    ,  4.93877    ,  3.11847    ,  0.396042   ])
3113    , -12241.5    , array([ 0.774415   ,  4.94371    ,  3.11847    ,  0.396042   ])
3114    , -12236.7    , array([ 0.774415   ,  4.93877    ,  3.12159    ,  0.396042   ])
3115    , -12241.9    , array([ 0.774415   ,  4.93877    ,  3.11847    ,  0.396438   ])
3116    , -3058.52    , array([ 1.06646    ,  49.4017    ,  0.394176   ,  0.0196991  ])
3117    , -3058.52    , array([ 1.06646    ,  49.4017    ,  0.394176   ,  0.0196991  ])
3118    , -3062.54    , array([ 1.06753    ,  49.4017    ,  0.394176   ,  0.0196991  ])
3119    , -3058.53    , array([ 1.06646    ,  49.4511    ,  0.394176   ,  0.0196991  ])
3120    , -3058.55    , array([ 1.06646    ,  49.4017    ,  0.394571   ,  0.0196991  ])
3121    , -3059.07    , array([ 1.06646    ,  49.4017    ,  0.394176   ,  0.0197188  ])
3128    , -3057.94    , array([ 1.06636    ,  49.4028    ,  0.394129   ,  0.019693   ])
3129    , -3057.94    , array([ 1.06636    ,  49.4028    ,  0.394129   ,  0.019693   ])
3130    , -3061.97    , array([ 1.06743    ,  49.4028    ,  0.394129   ,  0.019693   ])
3131    , -3057.96    , array([ 1.06636    ,  49.4523    ,  0.394129   ,  0.019693   ])
3132    , -3057.98    , array([ 1.06636    ,  49.4028    ,  0.394523   ,  0.019693   ])
3133    , -3058.5     , array([ 1.06636    ,  49.4028    ,  0.394129   ,  0.0197127  ])
3134    , -1259.85    , array([ 0.636724   ,  55.6606    ,  0.211406   ,  0.00400067 ])
3135    , -1259.85    , array([ 0.636724   ,  55.6606    ,  0.211406   ,  0.00400067 ])
3136    , -1261.97    , array([ 0.637361   ,  55.6606    ,  0.211406   ,  0.00400067 ])
3137    , -1259.85    , array([ 0.636724   ,  55.7163    ,  0.211406   ,  0.00400067 ])
3138    , -1259.42    , array([ 0.636724   ,  55.6606    ,  0.211618   ,  0.00400067 ])
3139    , -1259.88    , array([ 0.636724   ,  55.6606    ,  0.211406   ,  0.00400468 ])
3146    , -1259.83    , array([ 0.636723   ,  55.6616    ,  0.211414   ,  0.00400056 ])
3147    , -1259.83    , array([ 0.636723   ,  55.6616    ,  0.211414   ,  0.00400056 ])
3148    , -1261.95    , array([ 0.63736    ,  55.6616    ,  0.211414   ,  0.00400056 ])
3149    , -1259.83    , array([ 0.636723   ,  55.7173    ,  0.211414   ,  0.00400056 ])
3150    , -1259.39    , array([ 0.636723   ,  55.6616    ,  0.211626   ,  0.00400056 ])
3151    , -1259.86    , array([ 0.636723   ,  55.6616    ,  0.211414   ,  0.00400457 ])
3152    , -1259.21    , array([ 0.636685   ,  55.69      ,  0.211645   ,  0.00399744 ])
3153    , -1259.21    , array([ 0.636685   ,  55.69      ,  0.211645   ,  0.00399744 ])
3154    , -1261.33    , array([ 0.637322   ,  55.69      ,  0.211645   ,  0.00399744 ])
3155    , -1259.21    , array([ 0.636685   ,  55.7457    ,  0.211645   ,  0.00399744 ])
3156    , -1258.77    , array([ 0.636685   ,  55.69      ,  0.211857   ,  0.00399744 ])
3157    , -1259.24    , array([ 0.636685   ,  55.69      ,  0.211645   ,  0.00400144 ])
3164    , -1259.2     , array([ 0.636685   ,  55.6903    ,  0.211647   ,  0.00399742 ])
3165    , -1259.2     , array([ 0.636685   ,  55.6903    ,  0.211647   ,  0.00399742 ])
3166    , -1261.33    , array([ 0.637322   ,  55.6903    ,  0.211647   ,  0.00399742 ])
3167    , -1259.2     , array([ 0.636685   ,  55.746     ,  0.211647   ,  0.00399742 ])
3168    , -1258.77    , array([ 0.636685   ,  55.6903    ,  0.211859   ,  0.00399742 ])
3169    , -1259.23    , array([ 0.636685   ,  55.6903    ,  0.211647   ,  0.00400142 ])
3170    , -1259.05    , array([ 0.636675   ,  55.6973    ,  0.211705   ,  0.00399664 ])
3171    , -1259.05    , array([ 0.636675   ,  55.6973    ,  0.211705   ,  0.00399664 ])
3172    , -1261.17    , array([ 0.637312   ,  55.6973    ,  0.211705   ,  0.00399664 ])
3173    , -1259.05    , array([ 0.636675   ,  55.7531    ,  0.211705   ,  0.00399664 ])
3174    , -1258.61    , array([ 0.636675   ,  55.6973    ,  0.211916   ,  0.00399664 ])
3175    , -1259.08    , array([ 0.636675   ,  55.6973    ,  0.211705   ,  0.00400064 ])
3182    , -1259.05    , array([ 0.636675   ,  55.6974    ,  0.211705   ,  0.00399663 ])
3183    , -1259.05    , array([ 0.636675   ,  55.6974    ,  0.211705   ,  0.00399663 ])
3184    , -1261.17    , array([ 0.637312   ,  55.6974    ,  0.211705   ,  0.00399663 ])
3185    , -1259.05    , array([ 0.636675   ,  55.7531    ,  0.211705   ,  0.00399663 ])
3186    , -1258.61    , array([ 0.636675   ,  55.6974    ,  0.211917   ,  0.00399663 ])
3187    , -1259.07    , array([ 0.636675   ,  55.6974    ,  0.211705   ,  0.00400063 ])
3188    , -1259.01    , array([ 0.636673   ,  55.6992    ,  0.211719   ,  0.00399644 ])
3189    , -1259.01    , array([ 0.636673   ,  55.6992    ,  0.211719   ,  0.00399644 ])
3190    , -1261.13    , array([ 0.63731    ,  55.6992    ,  0.211719   ,  0.00399644 ])
3191    , -1259.01    , array([ 0.636673   ,  55.7549    ,  0.211719   ,  0.00399644 ])
3192    , -1258.57    , array([ 0.636673   ,  55.6992    ,  0.211931   ,  0.00399644 ])
3193    , -1259.04    , array([ 0.636673   ,  55.6992    ,  0.211719   ,  0.00400044 ])
3194    , -1021.3     , array([ 0.609824   ,  80.8824    ,  0.470109   ,  0.00225818 ])
3195    , -1021.3     , array([ 0.609824   ,  80.8824    ,  0.470109   ,  0.00225818 ])
3196    , -1023.08    , array([ 0.610434   ,  80.8824    ,  0.470109   ,  0.00225818 ])
3197    , -1021.3     , array([ 0.609824   ,  80.9633    ,  0.470109   ,  0.00225818 ])
3198    , -1021.5     , array([ 0.609824   ,  80.8824    ,  0.470579   ,  0.00225818 ])
3199    , -1021.32    , array([ 0.609824   ,  80.8824    ,  0.470109   ,  0.00226044 ])
3200    , -632.871    , array([ 0.474677   ,  39.5743    ,  0.389034   ,  0.00258721 ])
3201    , -632.871    , array([ 0.474677   ,  39.5743    ,  0.389034   ,  0.00258721 ])
