113445  , -25302.3    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.430349   ])
113446  , -16407.6    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.239181   ])
113449  , -6309.67    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.121261   ])
113450  , -19901.1    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0139408  ])
113451  , -2672.58    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0762196  ])
113452  , -2100.91    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0577753  ])
113453  , -2105.96    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.060403   ])
113454  , -2098.83    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0587715  ])
113455  , -2098.81    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113456  , -2098.85    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0585648  ])
113458  , -2098.81    , array([ 0.526413   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113459  , -1817.45    , array([ 1.52641    ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113460  , -2578.99    , array([ 3.14445    ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113461  , -1817.45    , array([ 1.52641    ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113462  , -2175.04    , array([ 2.14445    ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113463  , -1579.9     , array([ 1.14445    ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113464  , -1494.05    , array([ 0.908379   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113465  , -1533.42    , array([ 0.762481   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113466  , -1494.85    , array([ 0.916784   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113467  , -1493.24    , array([ 0.892461   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113468  , -1497.51    , array([ 0.842813   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113469  , -1493.18    , array([ 0.886358   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113470  , -1493.22    , array([ 0.882758   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113471  , -1493.18    , array([ 0.886358   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113472  , -35407.7    , array([ 0.886358   ,  1.13465    ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113474  , -1493.18    , array([ 0.886358   ,  0.134654   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113476  , -20624.3    , array([ 0.886358   ,  0.51662    ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113477  , -11459.7    , array([ 0.886358   ,  0.325482   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113479  , -22325.1    , array([ 0.886358   ,  0.0444843  ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113480  , -4431.17    , array([ 0.886358   ,  0.207544   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113481  , -2564.21    , array([ 0.886358   ,  0.100212   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113482  , -1567.82    , array([ 0.886358   ,  0.140805   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113483  , -1478.97    , array([ 0.886358   ,  0.132033   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113484  , -1476.03    , array([ 0.886358   ,  0.129802   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113485  , -1475.91    , array([ 0.886358   ,  0.130139   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113486  , -1475.91    , array([ 0.886358   ,  0.130184   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113487  , -1475.92    , array([ 0.886358   ,  0.130229   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113488  , -1475.91    , array([ 0.886358   ,  0.130184   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113489  , -1554.26    , array([ 0.886358   ,  0.130184   ,  7.73424    ,  5.21954e-06,  0.0586676  ])
113490  , -1517.58    , array([ 0.886358   ,  0.130184   ,  5.1162     ,  5.21954e-06,  0.0586676  ])
113491  , -1475.91    , array([ 0.886358   ,  0.130184   ,  6.73424    ,  5.21954e-06,  0.0586676  ])
113492  , -1465.32    , array([ 0.886358   ,  0.130184   ,  6.1162     ,  5.21954e-06,  0.0586676  ])
113493  , -1474.65    , array([ 0.886358   ,  0.130184   ,  5.73424    ,  5.21954e-06,  0.0586676  ])
113494  , -1464.93    , array([ 0.886358   ,  0.130184   ,  6.21904    ,  5.21954e-06,  0.0586676  ])
113495  , -1464.93    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  5.21954e-06,  0.0586676  ])
113496  , -1464.93    , array([ 0.886358   ,  0.130184   ,  6.20665    ,  5.21954e-06,  0.0586676  ])
113497  , -1464.93    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  5.21954e-06,  0.0586676  ])
113498  , -1447.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  1.00001    ,  0.0586676  ])
113499  , -1863.11    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  2.61804    ,  0.0586676  ])
113500  , -1447.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  1.00001    ,  0.0586676  ])
113501  , -1554.44    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  1.61804    ,  0.0586676  ])
113502  , -1422.94    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.618039   ,  0.0586676  ])
113503  , -1422.49    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.503404   ,  0.0586676  ])
113504  , -1422.25    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0586676  ])
113505  , -1422.25    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.550141   ,  0.0586676  ])
113506  , -1422.26    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.539247   ,  0.0586676  ])
113507  , -1422.25    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0586676  ])
113508  , -24662      , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  1.05867    ])
113510  , -1422.25    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0586676  ])
113512  , -20772.5    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.440634   ])
113513  , -13970.2    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.249494   ])
113516  , -5884.67    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.131557   ])
113517  , -8954.71    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0242258  ])
113518  , -2242.85    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.083375   ])
113519  , -2521.79    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0424551  ])
113520  , -1444.52    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0642955  ])
113521  , -1414.19    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0601911  ])
113522  , -1413.93    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0606032  ])
113523  , -1413.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0605273  ])
113524  , -1413.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0605459  ])
113525  , -1413.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0605087  ])
113526  , -1461.12    , array([ 1.2463     ,  0.125713   ,  5.68952    ,  1.08938    ,  0.062387   ])
113527  , -1413.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0605273  ])
113528  , -1461.12    , array([ 1.2463     ,  0.125713   ,  5.68952    ,  1.08938    ,  0.062387   ])
113530  , -1413.92    , array([ 0.886358   ,  0.130184   ,  6.21188    ,  0.544694   ,  0.0605273  ])
113531  , -1634.18    , array([ 0.6639     ,  0.132947   ,  6.53471    ,  0.208058   ,  0.059378   ])
113532  , -1403.83    , array([ 1.02384    ,  0.128476   ,  6.01235    ,  0.752747   ,  0.0612377  ])
113533  , -1401.59    , array([ 0.969517   ,  0.129151   ,  6.09119    ,  0.670536   ,  0.060957   ])
113534  , -1401.49    , array([ 0.981725   ,  0.128999   ,  6.07348    ,  0.68901    ,  0.0610201  ])
113535  , -1401.48    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0610056  ])
113536  , -1401.48    , array([ 0.978008   ,  0.129046   ,  6.07887    ,  0.683385   ,  0.0610009  ])
113537  , -1401.48    , array([ 0.97986    ,  0.129023   ,  6.07619    ,  0.686187   ,  0.0610104  ])
113538  , -1401.48    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0610056  ])
113539  , -24191      , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  1.06101    ])
113541  , -1401.48    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0610056  ])
113543  , -20099.5    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.442972   ])
113544  , -13614.3    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.251837   ])
113547  , -5947       , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.133897   ])
113548  , -7482.95    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0265638  ])
113549  , -2220.78    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0834446  ])
113550  , -1879.26    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.04785    ])
113551  , -1417.56    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0633027  ])
113552  , -1401.29    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0609056  ])
113553  , -1401       , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0605189  ])
113554  , -1400.99    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.060541   ])
113555  , -1400.99    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0605456  ])
113556  , -1401       , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.0605363  ])
113557  , -1400.99    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.060541   ])
113558  , -36062.8    , array([ 0.978934   ,  1.12903    ,  6.07753    ,  0.684786   ,  0.060541   ])
113560  , -1400.99    , array([ 0.978934   ,  0.129034   ,  6.07753    ,  0.684786   ,  0.060541   ])
113562  , -20785.4    , array([ 0.978934   ,  0.511      ,  6.07753    ,  0.684786   ,  0.060541   ])
113563  , -11367.7    , array([ 0.978934   ,  0.31986    ,  6.07753    ,  0.684786   ,  0.060541   ])
113565  , -25921.7    , array([ 0.978934   ,  0.0388641  ,  6.07753    ,  0.684786   ,  0.060541   ])
113566  , -4218.56    , array([ 0.978934   ,  0.201923   ,  6.07753    ,  0.684786   ,  0.060541   ])
113567  , -2790.92    , array([ 0.978934   ,  0.0945922  ,  6.07753    ,  0.684786   ,  0.060541   ])
113568  , -1508.84    , array([ 0.978934   ,  0.139223   ,  6.07753    ,  0.684786   ,  0.060541   ])
