215807  , -4623.11    , array([ 3.71432    ,  0.276641   ,  2.24704e-34,  5.72594e-13,  0.10193    ])
215808  , -4627.7     , array([ 3.71432    ,  0.276641   ,  2.24704e-34,  5.72021e-13,  0.102032   ])
215809  , -1721.38    , array([ 1.03358    ,  0.0761892  ,  2.24704e-34,  5.72021e-13,  0.0258755  ])
215810  , -1721.38    , array([ 1.03358    ,  0.0761892  ,  2.24704e-34,  5.72021e-13,  0.0258755  ])
215811  , -1721.07    , array([ 1.03462    ,  0.0761892  ,  2.24704e-34,  5.72021e-13,  0.0258755  ])
215812  , -1722.84    , array([ 1.03358    ,  0.0762654  ,  2.24704e-34,  5.72021e-13,  0.0258755  ])
215813  , -1721.38    , array([ 1.03358    ,  0.0761892  ,  2.24929e-34,  5.72021e-13,  0.0258755  ])
215814  , -1721.38    , array([ 1.03358    ,  0.0761892  ,  2.24704e-34,  5.72594e-13,  0.0258755  ])
215815  , -1720.21    , array([ 1.03358    ,  0.0761892  ,  2.24704e-34,  5.72021e-13,  0.0259014  ])
215816  , -1656.95    , array([ 1.16411    ,  0.0691353  ,  2.24704e-34,  5.72021e-13,  0.0252181  ])
215817  , -1656.95    , array([ 1.16411    ,  0.0691353  ,  2.24704e-34,  5.72021e-13,  0.0252181  ])
215818  , -1656.77    , array([ 1.16528    ,  0.0691353  ,  2.24704e-34,  5.72021e-13,  0.0252181  ])
215819  , -1656.36    , array([ 1.16411    ,  0.0692045  ,  2.24704e-34,  5.72021e-13,  0.0252181  ])
215820  , -1656.95    , array([ 1.16411    ,  0.0691353  ,  2.24929e-34,  5.72021e-13,  0.0252181  ])
215821  , -1656.95    , array([ 1.16411    ,  0.0691353  ,  2.24704e-34,  5.72594e-13,  0.0252181  ])
215822  , -1657.68    , array([ 1.16411    ,  0.0691353  ,  2.24704e-34,  5.72021e-13,  0.0252433  ])
215823  , -1637.38    , array([ 1.29714    ,  0.0704395  ,  2.24704e-34,  5.72021e-13,  0.0253102  ])
215824  , -1637.38    , array([ 1.29714    ,  0.0704395  ,  2.24704e-34,  5.72021e-13,  0.0253102  ])
215825  , -1637.3     , array([ 1.29843    ,  0.0704395  ,  2.24704e-34,  5.72021e-13,  0.0253102  ])
