135485  , -79089.4    , array([ 22.2757    ,  7.63092    ,  1.9274e-06 ,  6.76661e-13,  2.4725e-08 ])
135486  , -79089.4    , array([ 22.298     ,  7.63092    ,  1.9274e-06 ,  6.76661e-13,  2.4725e-08 ])
135487  , -79089.4    , array([ 22.2757    ,  7.63855    ,  1.9274e-06 ,  6.76661e-13,  2.4725e-08 ])
135488  , -79089.4    , array([ 22.2757    ,  7.63092    ,  1.92933e-06,  6.76661e-13,  2.4725e-08 ])
135489  , -79089.4    , array([ 22.2757    ,  7.63092    ,  1.9274e-06 ,  6.77338e-13,  2.4725e-08 ])
135490  , -79089.4    , array([ 22.2757    ,  7.63092    ,  1.9274e-06 ,  6.76661e-13,  2.47497e-08])
135491  , -79089.4    , array([ 22.2757    ,  7.63092    ,  1.9274e-06 ,  6.76661e-13,  2.4725e-08 ])
135492  , -79089.4    , array([ 22.256     ,  7.60194    ,  1.9274e-06 ,  6.76661e-13,  2.48516e-08])
135493  , -79089.4    , array([ 22.256     ,  7.60194    ,  1.9274e-06 ,  6.76661e-13,  2.48516e-08])
135494  , -79089.4    , array([ 22.2783    ,  7.60194    ,  1.9274e-06 ,  6.76661e-13,  2.48516e-08])
135495  , -79089.4    , array([ 22.256     ,  7.60954    ,  1.9274e-06 ,  6.76661e-13,  2.48516e-08])
135496  , -79089.4    , array([ 22.256     ,  7.60194    ,  1.92933e-06,  6.76661e-13,  2.48516e-08])
135497  , -79089.4    , array([ 22.256     ,  7.60194    ,  1.9274e-06 ,  6.77338e-13,  2.48516e-08])
135498  , -79089.4    , array([ 22.256     ,  7.60194    ,  1.9274e-06 ,  6.76661e-13,  2.48765e-08])
135499  , -79089.4    , array([ 22.1773    ,  7.48711    ,  1.9274e-06 ,  6.76661e-13,  2.53644e-08])
135500  , -79089.4    , array([ 22.1773    ,  7.48711    ,  1.9274e-06 ,  6.76661e-13,  2.53644e-08])
135501  , -79089.4    , array([ 22.1995    ,  7.48711    ,  1.9274e-06 ,  6.76661e-13,  2.53644e-08])
135502  , -79089.4    , array([ 22.1773    ,  7.4946     ,  1.9274e-06 ,  6.76661e-13,  2.53644e-08])
135503  , -79089.4    , array([ 22.1773    ,  7.48711    ,  1.92933e-06,  6.76661e-13,  2.53644e-08])
135504  , -79089.4    , array([ 22.1773    ,  7.48711    ,  1.9274e-06 ,  6.77338e-13,  2.53644e-08])
135505  , -79089.4    , array([ 22.1773    ,  7.48711    ,  1.9274e-06 ,  6.76661e-13,  2.53898e-08])
135506  , -79089.4    , array([ 21.8651    ,  7.04487    ,  1.9274e-06 ,  6.76661e-13,  2.75238e-08])
135507  , -79089.4    , array([ 21.8651    ,  7.04487    ,  1.9274e-06 ,  6.76661e-13,  2.75238e-08])
135508  , -79089.4    , array([ 21.887     ,  7.04487    ,  1.9274e-06 ,  6.76661e-13,  2.75238e-08])
135509  , -79089.4    , array([ 21.8651    ,  7.05192    ,  1.9274e-06 ,  6.76661e-13,  2.75238e-08])
135510  , -79089.4    , array([ 21.8651    ,  7.04487    ,  1.92933e-06,  6.76661e-13,  2.75238e-08])
135511  , -79089.4    , array([ 21.8651    ,  7.04487    ,  1.9274e-06 ,  6.77338e-13,  2.75238e-08])
135512  , -79089.4    , array([ 21.8651    ,  7.04487    ,  1.9274e-06 ,  6.76661e-13,  2.75513e-08])
135513  , -79089.4    , array([ 20.6599    ,  5.52216    ,  1.9274e-06 ,  6.76661e-13,  3.81629e-08])
135514  , -79089.4    , array([ 20.6599    ,  5.52216    ,  1.9274e-06 ,  6.76661e-13,  3.81629e-08])
135515  , -79089.4    , array([ 20.6806    ,  5.52216    ,  1.9274e-06 ,  6.76661e-13,  3.81629e-08])
135516  , -79089.4    , array([ 20.6599    ,  5.52769    ,  1.9274e-06 ,  6.76661e-13,  3.81629e-08])
135517  , -79089.4    , array([ 20.6599    ,  5.52216    ,  1.92932e-06,  6.76661e-13,  3.81629e-08])
135518  , -79089.4    , array([ 20.6599    ,  5.52216    ,  1.9274e-06 ,  6.77338e-13,  3.81629e-08])
135519  , -79089.4    , array([ 20.6599    ,  5.52216    ,  1.9274e-06 ,  6.76661e-13,  3.82011e-08])
135520  , -79089.4    , array([ 16.4678    ,  2.08475    ,  1.92737e-06,  6.76661e-13,  1.4105e-07 ])
135521  , -79089.4    , array([ 16.4678    ,  2.08475    ,  1.92737e-06,  6.76661e-13,  1.4105e-07 ])
135522  , -79089.4    , array([ 16.4842    ,  2.08475    ,  1.92737e-06,  6.76661e-13,  1.4105e-07 ])
135523  , -79089.4    , array([ 16.4678    ,  2.08683    ,  1.92737e-06,  6.76661e-13,  1.4105e-07 ])
135524  , -79089.4    , array([ 16.4678    ,  2.08475    ,  1.9293e-06 ,  6.76661e-13,  1.4105e-07 ])
135525  , -79089.4    , array([ 16.4678    ,  2.08475    ,  1.92737e-06,  6.77338e-13,  1.4105e-07 ])
135526  , -79089.4    , array([ 16.4678    ,  2.08475    ,  1.92737e-06,  6.76661e-13,  1.41191e-07])
135527  , -78360.2    , array([ 6.64747    ,  0.0423476  ,  1.92729e-06,  6.76661e-13,  2.63212e-05])
