1       , -3429.71    , array([ 6.80417    ,  0.0495108  ,  9.9        ,  9.9        ,  0.0436405  ])
2       , -3430.05    , array([ 6.81098    ,  0.0495108  ,  9.9        ,  9.9        ,  0.0436405  ])
3       , -3425.49    , array([ 6.80417    ,  0.0495603  ,  9.9        ,  9.9        ,  0.0436405  ])
4       , -3431.1     , array([ 6.80417    ,  0.0495108  ,  9.9099     ,  9.9        ,  0.0436405  ])
5       , -3427.93    , array([ 6.80417    ,  0.0495108  ,  9.9        ,  9.9099     ,  0.0436405  ])
6       , -3433.43    , array([ 6.80417    ,  0.0495108  ,  9.9        ,  9.9        ,  0.0436842  ])
7       , -3429.71    , array([ 6.80417    ,  0.0495108  ,  9.9        ,  9.9        ,  0.0436405  ])
15      , -3429.65    , array([ 6.80417    ,  0.0495111  ,  9.89998    ,  9.90003    ,  0.0436402  ])
16      , -3429.65    , array([ 6.80417    ,  0.0495111  ,  9.89998    ,  9.90003    ,  0.0436402  ])
17      , -3429.99    , array([ 6.81098    ,  0.0495111  ,  9.89998    ,  9.90003    ,  0.0436402  ])
18      , -3425.43    , array([ 6.80417    ,  0.0495606  ,  9.89998    ,  9.90003    ,  0.0436402  ])
19      , -3431.03    , array([ 6.80417    ,  0.0495111  ,  9.90988    ,  9.90003    ,  0.0436402  ])
20      , -3427.87    , array([ 6.80417    ,  0.0495111  ,  9.89998    ,  9.90993    ,  0.0436402  ])
21      , -3433.36    , array([ 6.80417    ,  0.0495111  ,  9.89998    ,  9.90003    ,  0.0436839  ])
22      , -3428.99    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
23      , -3428.99    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
24      , -3429.33    , array([ 6.81094    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
25      , -3424.77    , array([ 6.80413    ,  0.0495644  ,  9.89973    ,  9.90035    ,  0.0436373  ])
26      , -3430.38    , array([ 6.80413    ,  0.0495149  ,  9.90964    ,  9.90035    ,  0.0436373  ])
27      , -3427.21    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.91025    ,  0.0436373  ])
28      , -3432.7     , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.043681   ])
36      , -3428.97    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
37      , -3428.97    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
38      , -3429.32    , array([ 6.81094    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436373  ])
39      , -3424.76    , array([ 6.80413    ,  0.0495645  ,  9.89973    ,  9.90035    ,  0.0436373  ])
40      , -3430.36    , array([ 6.80413    ,  0.0495149  ,  9.90963    ,  9.90035    ,  0.0436373  ])
41      , -3427.2     , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.91026    ,  0.0436373  ])
42      , -3432.69    , array([ 6.80413    ,  0.0495149  ,  9.89973    ,  9.90035    ,  0.0436809  ])
43      , -3428.81    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
44      , -3428.81    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
45      , -3429.15    , array([ 6.81093    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
46      , -3424.6     , array([ 6.80412    ,  0.0495654  ,  9.89966    ,  9.90043    ,  0.0436365  ])
47      , -3430.19    , array([ 6.80412    ,  0.0495159  ,  9.90957    ,  9.90043    ,  0.0436365  ])
48      , -3427.03    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.91034    ,  0.0436365  ])
49      , -3432.52    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436802  ])
57      , -3428.81    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
58      , -3428.81    , array([ 6.80412    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
59      , -3429.15    , array([ 6.81092    ,  0.0495159  ,  9.89966    ,  9.90043    ,  0.0436365  ])
60      , -3424.59    , array([ 6.80412    ,  0.0495654  ,  9.89966    ,  9.90043    ,  0.0436365  ])
