36691   , -1738.25    , array([ 2.85357    ,  0.0538395  ,  2.13319e-15,  0.00526499 ])
36692   , -1738.22    , array([ 2.85357    ,  0.0538395  ,  2.13106e-15,  0.00527026 ])
36693   , -1727.9     , array([ 2.85357    ,  0.0613162  ,  2.13106e-15,  0.00617525 ])
36694   , -1727.9     , array([ 2.85357    ,  0.0613162  ,  2.13106e-15,  0.00617525 ])
36695   , -1727.9     , array([ 2.85643    ,  0.0613162  ,  2.13106e-15,  0.00617525 ])
36696   , -1727.86    , array([ 2.85357    ,  0.0613775  ,  2.13106e-15,  0.00617525 ])
36697   , -1727.9     , array([ 2.85357    ,  0.0613162  ,  2.13319e-15,  0.00617525 ])
36698   , -1727.86    , array([ 2.85357    ,  0.0613162  ,  2.13106e-15,  0.00618143 ])
36699   , -1664.48    , array([ 2.85357    ,  0.103151   ,  2.13106e-15,  0.0116865  ])
36700   , -1664.48    , array([ 2.85357    ,  0.103151   ,  2.13106e-15,  0.0116865  ])
36701   , -1664.48    , array([ 2.85643    ,  0.103151   ,  2.13106e-15,  0.0116865  ])
36702   , -1664.46    , array([ 2.85357    ,  0.103254   ,  2.13106e-15,  0.0116865  ])
36703   , -1664.48    , array([ 2.85357    ,  0.103151   ,  2.13319e-15,  0.0116865  ])
36704   , -1664.37    , array([ 2.85357    ,  0.103151   ,  2.13106e-15,  0.0116982  ])
36705   , -1914.93    , array([ 2.85357    ,  0.826158   ,  2.13106e-15,  0.149901   ])
36706   , -1914.93    , array([ 2.85357    ,  0.826158   ,  2.13106e-15,  0.149901   ])
36707   , -1914.93    , array([ 2.85643    ,  0.826158   ,  2.13106e-15,  0.149901   ])
36708   , -1917.05    , array([ 2.85357    ,  0.826984   ,  2.13106e-15,  0.149901   ])
36709   , -1914.93    , array([ 2.85357    ,  0.826158   ,  2.13319e-15,  0.149901   ])
36710   , -1914.67    , array([ 2.85357    ,  0.826158   ,  2.13106e-15,  0.150051   ])
36711   , -1453.03    , array([ 2.85357    ,  0.258627   ,  2.13106e-15,  0.0360783  ])
36712   , -1453.03    , array([ 2.85357    ,  0.258627   ,  2.13106e-15,  0.0360783  ])
36713   , -1453.03    , array([ 2.85643    ,  0.258627   ,  2.13106e-15,  0.0360783  ])
36714   , -1453.35    , array([ 2.85357    ,  0.258886   ,  2.13106e-15,  0.0360783  ])
36715   , -1453.03    , array([ 2.85357    ,  0.258627   ,  2.13319e-15,  0.0360783  ])
36716   , -1452.57    , array([ 2.85357    ,  0.258627   ,  2.13106e-15,  0.0361144  ])
36717   , -1388.76    , array([ 2.85357    ,  0.403301   ,  2.13106e-15,  0.0622123  ])
36718   , -1388.76    , array([ 2.85357    ,  0.403301   ,  2.13106e-15,  0.0622123  ])
36719   , -1388.76    , array([ 2.85643    ,  0.403301   ,  2.13106e-15,  0.0622123  ])
36720   , -1389.53    , array([ 2.85357    ,  0.403704   ,  2.13106e-15,  0.0622123  ])
36721   , -1388.76    , array([ 2.85357    ,  0.403301   ,  2.13319e-15,  0.0622123  ])
36722   , -1388.16    , array([ 2.85357    ,  0.403301   ,  2.13106e-15,  0.0622746  ])
36729   , -1388.76    , array([ 2.85357    ,  0.403302   ,  2.13106e-15,  0.0622126  ])
36730   , -1388.76    , array([ 2.85357    ,  0.403302   ,  2.13106e-15,  0.0622126  ])
36731   , -1388.76    , array([ 2.85643    ,  0.403302   ,  2.13106e-15,  0.0622126  ])
36732   , -1389.53    , array([ 2.85357    ,  0.403706   ,  2.13106e-15,  0.0622126  ])
36733   , -1388.76    , array([ 2.85357    ,  0.403302   ,  2.13319e-15,  0.0622126  ])
36734   , -1388.16    , array([ 2.85357    ,  0.403302   ,  2.13106e-15,  0.0622749  ])
36735   , -1388.76    , array([ 2.85357    ,  0.403309   ,  2.13106e-15,  0.0622141  ])
36736   , -1388.76    , array([ 2.85357    ,  0.403309   ,  2.13106e-15,  0.0622141  ])
36737   , -1388.76    , array([ 2.85643    ,  0.403309   ,  2.13106e-15,  0.0622141  ])
36738   , -1389.52    , array([ 2.85357    ,  0.403712   ,  2.13106e-15,  0.0622141  ])
36739   , -1388.76    , array([ 2.85357    ,  0.403309   ,  2.13319e-15,  0.0622141  ])
36740   , -1388.16    , array([ 2.85357    ,  0.403309   ,  2.13106e-15,  0.0622764  ])
36741   , -12043.6    , array([ 2.85357    ,  4.39559    ,  2.13106e-15,  1.78964    ])
36742   , -12043.6    , array([ 2.85357    ,  4.39559    ,  2.13106e-15,  1.78964    ])
36743   , -12043.6    , array([ 2.85643    ,  4.39559    ,  2.13106e-15,  1.78964    ])
36744   , -12054.8    , array([ 2.85357    ,  4.39999    ,  2.13106e-15,  1.78964    ])
36745   , -12043.6    , array([ 2.85357    ,  4.39559    ,  2.13319e-15,  1.78964    ])
36746   , -12041.1    , array([ 2.85357    ,  4.39559    ,  2.13106e-15,  1.79143    ])
36747   , -1387.47    , array([ 2.85357    ,  0.410257   ,  2.13106e-15,  0.0637266  ])
36748   , -1387.47    , array([ 2.85357    ,  0.410257   ,  2.13106e-15,  0.0637266  ])
36749   , -1387.47    , array([ 2.85643    ,  0.410257   ,  2.13106e-15,  0.0637266  ])
36750   , -1388.26    , array([ 2.85357    ,  0.410667   ,  2.13106e-15,  0.0637266  ])
36751   , -1387.47    , array([ 2.85357    ,  0.410257   ,  2.13319e-15,  0.0637266  ])
36752   , -1386.87    , array([ 2.85357    ,  0.410257   ,  2.13106e-15,  0.0637904  ])
36753   , -1384.86    , array([ 2.85357    ,  0.410724   ,  2.13106e-15,  0.0640963  ])
36754   , -1384.86    , array([ 2.85357    ,  0.410724   ,  2.13106e-15,  0.0640963  ])
36755   , -1384.86    , array([ 2.85643    ,  0.410724   ,  2.13106e-15,  0.0640963  ])
36756   , -1385.65    , array([ 2.85357    ,  0.411135   ,  2.13106e-15,  0.0640963  ])
36757   , -1384.86    , array([ 2.85357    ,  0.410724   ,  2.13319e-15,  0.0640963  ])
36758   , -1384.26    , array([ 2.85357    ,  0.410724   ,  2.13106e-15,  0.0641604  ])
36759   , -1374.4     , array([ 2.85357    ,  0.4126     ,  2.13106e-15,  0.0655966  ])
36760   , -1374.4     , array([ 2.85357    ,  0.4126     ,  2.13106e-15,  0.0655966  ])
36761   , -1374.4     , array([ 2.85643    ,  0.4126     ,  2.13106e-15,  0.0655966  ])
36762   , -1375.19    , array([ 2.85357    ,  0.413013   ,  2.13106e-15,  0.0655966  ])
36763   , -1374.4     , array([ 2.85357    ,  0.4126     ,  2.13319e-15,  0.0655966  ])
36764   , -1373.79    , array([ 2.85357    ,  0.4126     ,  2.13106e-15,  0.0656622  ])
36765   , -1332.03    , array([ 2.85357    ,  0.42019    ,  2.13106e-15,  0.0719574  ])
36766   , -1332.03    , array([ 2.85357    ,  0.42019    ,  2.13106e-15,  0.0719574  ])
36767   , -1332.03    , array([ 2.85643    ,  0.42019    ,  2.13106e-15,  0.0719574  ])
36768   , -1332.86    , array([ 2.85357    ,  0.42061    ,  2.13106e-15,  0.0719574  ])
36769   , -1332.03    , array([ 2.85357    ,  0.42019    ,  2.13319e-15,  0.0719574  ])
36770   , -1331.41    , array([ 2.85357    ,  0.42019    ,  2.13106e-15,  0.0720294  ])
36771   , -1159.54    , array([ 2.85357    ,  0.45197    ,  2.13106e-15,  0.104196   ])
36772   , -1159.54    , array([ 2.85357    ,  0.45197    ,  2.13106e-15,  0.104196   ])
36773   , -1159.54    , array([ 2.85643    ,  0.45197    ,  2.13106e-15,  0.104196   ])
36774   , -1160.54    , array([ 2.85357    ,  0.452423   ,  2.13106e-15,  0.104196   ])
36775   , -1159.54    , array([ 2.85357    ,  0.45197    ,  2.13319e-15,  0.104196   ])
36776   , -1158.88    , array([ 2.85357    ,  0.45197    ,  2.13106e-15,  0.1043     ])
36777   , -987.838    , array([ 2.85357    ,  0.605017   ,  2.13106e-15,  0.458094   ])
36778   , -987.838    , array([ 2.85357    ,  0.605017   ,  2.13106e-15,  0.458094   ])
36779   , -987.838    , array([ 2.85643    ,  0.605017   ,  2.13106e-15,  0.458094   ])
36780   , -989.538    , array([ 2.85357    ,  0.605622   ,  2.13106e-15,  0.458094   ])
36781   , -987.838    , array([ 2.85357    ,  0.605017   ,  2.13319e-15,  0.458094   ])
36782   , -987.988    , array([ 2.85357    ,  0.605017   ,  2.13106e-15,  0.458552   ])
36783   , -897.614    , array([ 2.85357    ,  0.520857   ,  2.13106e-15,  0.214125   ])
36784   , -897.614    , array([ 2.85357    ,  0.520857   ,  2.13106e-15,  0.214125   ])
36785   , -897.614    , array([ 2.85643    ,  0.520857   ,  2.13106e-15,  0.214125   ])
36786   , -899.021    , array([ 2.85357    ,  0.521378   ,  2.13106e-15,  0.214125   ])
36787   , -897.614    , array([ 2.85357    ,  0.520857   ,  2.13319e-15,  0.214125   ])
36788   , -897.138    , array([ 2.85357    ,  0.520857   ,  2.13106e-15,  0.21434    ])
36789   , -1573.07    , array([ 2.85357    ,  0.450757   ,  2.13106e-15,  1.11749    ])
36790   , -1573.07    , array([ 2.85357    ,  0.450757   ,  2.13106e-15,  1.11749    ])
36791   , -1573.07    , array([ 2.85643    ,  0.450757   ,  2.13106e-15,  1.11749    ])
36792   , -1572.7     , array([ 2.85357    ,  0.451208   ,  2.13106e-15,  1.11749    ])
36793   , -1573.07    , array([ 2.85357    ,  0.450757   ,  2.13319e-15,  1.11749    ])
36794   , -1574.56    , array([ 2.85357    ,  0.450757   ,  2.13106e-15,  1.11861    ])
36795   , -695.721    , array([ 2.85357    ,  0.498366   ,  2.13106e-15,  0.354652   ])
36796   , -695.721    , array([ 2.85357    ,  0.498366   ,  2.13106e-15,  0.354652   ])
36797   , -695.721    , array([ 2.85643    ,  0.498366   ,  2.13106e-15,  0.354652   ])
36798   , -696.888    , array([ 2.85357    ,  0.498864   ,  2.13106e-15,  0.354652   ])
36799   , -695.721    , array([ 2.85357    ,  0.498366   ,  2.13319e-15,  0.354652   ])
36800   , -695.678    , array([ 2.85357    ,  0.498366   ,  2.13106e-15,  0.355007   ])
36801   , -455.396    , array([ 2.85357    ,  0.350532   ,  2.13106e-15,  0.331909   ])
36802   , -455.396    , array([ 2.85357    ,  0.350532   ,  2.13106e-15,  0.331909   ])
36803   , -455.396    , array([ 2.85643    ,  0.350532   ,  2.13106e-15,  0.331909   ])
36804   , -455.696    , array([ 2.85357    ,  0.350882   ,  2.13106e-15,  0.331909   ])
36805   , -455.396    , array([ 2.85357    ,  0.350532   ,  2.13319e-15,  0.331909   ])
36806   , -455.332    , array([ 2.85357    ,  0.350532   ,  2.13106e-15,  0.332241   ])
36807   , -426.775    , array([ 2.85357    ,  0.311384   ,  2.13106e-15,  0.353369   ])
36808   , -426.775    , array([ 2.85357    ,  0.311384   ,  2.13106e-15,  0.353369   ])
36809   , -426.775    , array([ 2.85643    ,  0.311384   ,  2.13106e-15,  0.353369   ])
36810   , -426.936    , array([ 2.85357    ,  0.311695   ,  2.13106e-15,  0.353369   ])
36811   , -426.775    , array([ 2.85357    ,  0.311384   ,  2.13319e-15,  0.353369   ])
36812   , -426.77     , array([ 2.85357    ,  0.311384   ,  2.13106e-15,  0.353723   ])
36813   , -411.3      , array([ 2.85357    ,  0.270977   ,  2.13106e-15,  0.35435    ])
36814   , -411.3      , array([ 2.85357    ,  0.270977   ,  2.13106e-15,  0.35435    ])
36815   , -411.3      , array([ 2.85643    ,  0.270977   ,  2.13106e-15,  0.35435    ])
36816   , -411.374    , array([ 2.85357    ,  0.271248   ,  2.13106e-15,  0.35435    ])
36817   , -411.3      , array([ 2.85357    ,  0.270977   ,  2.13319e-15,  0.35435    ])
36818   , -411.269    , array([ 2.85357    ,  0.270977   ,  2.13106e-15,  0.354705   ])
36819   , -407.388    , array([ 2.85357    ,  0.236423   ,  2.13106e-15,  0.376709   ])
36820   , -407.388    , array([ 2.85357    ,  0.236423   ,  2.13106e-15,  0.376709   ])
36821   , -407.388    , array([ 2.85643    ,  0.236423   ,  2.13106e-15,  0.376709   ])
36822   , -407.403    , array([ 2.85357    ,  0.23666    ,  2.13106e-15,  0.376709   ])
36823   , -407.388    , array([ 2.85357    ,  0.236423   ,  2.13319e-15,  0.376709   ])
36824   , -407.545    , array([ 2.85357    ,  0.236423   ,  2.13106e-15,  0.377086   ])
36825   , -401.993    , array([ 2.85357    ,  0.224341   ,  2.13106e-15,  0.360054   ])
36826   , -401.993    , array([ 2.85357    ,  0.224341   ,  2.13106e-15,  0.360054   ])
36827   , -401.993    , array([ 2.85643    ,  0.224341   ,  2.13106e-15,  0.360054   ])
36828   , -402.017    , array([ 2.85357    ,  0.224566   ,  2.13106e-15,  0.360054   ])
36829   , -401.993    , array([ 2.85357    ,  0.224341   ,  2.13319e-15,  0.360054   ])
36830   , -402.032    , array([ 2.85357    ,  0.224341   ,  2.13106e-15,  0.360414   ])
36831   , -398.665    , array([ 2.85357    ,  0.196197   ,  2.13106e-15,  0.347072   ])
36832   , -398.665    , array([ 2.85357    ,  0.196197   ,  2.13106e-15,  0.347072   ])
36833   , -398.665    , array([ 2.85643    ,  0.196197   ,  2.13106e-15,  0.347072   ])
36834   , -398.68     , array([ 2.85357    ,  0.196393   ,  2.13106e-15,  0.347072   ])
36835   , -398.665    , array([ 2.85357    ,  0.196197   ,  2.13319e-15,  0.347072   ])
36836   , -398.681    , array([ 2.85357    ,  0.196197   ,  2.13106e-15,  0.34742    ])
36837   , -397.098    , array([ 2.85357    ,  0.168289   ,  2.13106e-15,  0.33402    ])
36838   , -397.098    , array([ 2.85357    ,  0.168289   ,  2.13106e-15,  0.33402    ])
36839   , -397.098    , array([ 2.85643    ,  0.168289   ,  2.13106e-15,  0.33402    ])
36840   , -397.08     , array([ 2.85357    ,  0.168458   ,  2.13106e-15,  0.33402    ])
36841   , -397.098    , array([ 2.85357    ,  0.168289   ,  2.13319e-15,  0.33402    ])
36842   , -397.178    , array([ 2.85357    ,  0.168289   ,  2.13106e-15,  0.334354   ])
36843   , -395.638    , array([ 2.85357    ,  0.149568   ,  2.13106e-15,  0.315732   ])
36844   , -395.638    , array([ 2.85357    ,  0.149568   ,  2.13106e-15,  0.315732   ])
36845   , -395.638    , array([ 2.85643    ,  0.149568   ,  2.13106e-15,  0.315732   ])
36846   , -395.633    , array([ 2.85357    ,  0.149718   ,  2.13106e-15,  0.315732   ])
36847   , -395.638    , array([ 2.85357    ,  0.149568   ,  2.13319e-15,  0.315732   ])
36848   , -395.671    , array([ 2.85357    ,  0.149568   ,  2.13106e-15,  0.316048   ])
36849   , -395.205    , array([ 2.85357    ,  0.123849   ,  2.13106e-15,  0.29146    ])
36850   , -395.205    , array([ 2.85357    ,  0.123849   ,  2.13106e-15,  0.29146    ])
36851   , -395.205    , array([ 2.85643    ,  0.123849   ,  2.13106e-15,  0.29146    ])
36852   , -395.158    , array([ 2.85357    ,  0.123973   ,  2.13106e-15,  0.29146    ])
36853   , -395.205    , array([ 2.85357    ,  0.123849   ,  2.13319e-15,  0.29146    ])
36854   , -395.311    , array([ 2.85357    ,  0.123849   ,  2.13106e-15,  0.291751   ])
36855   , -394.641    , array([ 2.85357    ,  0.117478   ,  2.13106e-15,  0.282417   ])
36856   , -394.641    , array([ 2.85357    ,  0.117478   ,  2.13106e-15,  0.282417   ])
36857   , -394.641    , array([ 2.85643    ,  0.117478   ,  2.13106e-15,  0.282417   ])
36858   , -394.61     , array([ 2.85357    ,  0.117596   ,  2.13106e-15,  0.282417   ])
36859   , -394.641    , array([ 2.85357    ,  0.117478   ,  2.13319e-15,  0.282417   ])
36860   , -394.714    , array([ 2.85357    ,  0.117478   ,  2.13106e-15,  0.282699   ])
36861   , -394.208    , array([ 2.85357    ,  0.102983   ,  2.13106e-15,  0.262798   ])
36862   , -394.208    , array([ 2.85357    ,  0.102983   ,  2.13106e-15,  0.262798   ])
36863   , -394.208    , array([ 2.85643    ,  0.102983   ,  2.13106e-15,  0.262798   ])
36864   , -394.175    , array([ 2.85357    ,  0.103086   ,  2.13106e-15,  0.262798   ])
36865   , -394.208    , array([ 2.85357    ,  0.102983   ,  2.13319e-15,  0.262798   ])
36866   , -394.279    , array([ 2.85357    ,  0.102983   ,  2.13106e-15,  0.263061   ])
36867   , -393.848    , array([ 2.85357    ,  0.0945235  ,  2.13106e-15,  0.249458   ])
36868   , -393.848    , array([ 2.85357    ,  0.0945235  ,  2.13106e-15,  0.249458   ])
36869   , -393.848    , array([ 2.85643    ,  0.0945235  ,  2.13106e-15,  0.249458   ])
36870   , -393.832    , array([ 2.85357    ,  0.0946181  ,  2.13106e-15,  0.249458   ])
36871   , -393.848    , array([ 2.85357    ,  0.0945235  ,  2.13319e-15,  0.249458   ])
36872   , -393.889    , array([ 2.85357    ,  0.0945235  ,  2.13106e-15,  0.249707   ])
36873   , -393.802    , array([ 2.85357    ,  0.0842166  ,  2.13106e-15,  0.233668   ])
36874   , -393.802    , array([ 2.85357    ,  0.0842166  ,  2.13106e-15,  0.233668   ])
36875   , -393.802    , array([ 2.85643    ,  0.0842166  ,  2.13106e-15,  0.233668   ])
36876   , -393.763    , array([ 2.85357    ,  0.0843008  ,  2.13106e-15,  0.233668   ])
36877   , -393.802    , array([ 2.85357    ,  0.0842166  ,  2.13319e-15,  0.233668   ])
36878   , -393.877    , array([ 2.85357    ,  0.0842166  ,  2.13106e-15,  0.233902   ])
36879   , -393.786    , array([ 2.85357    ,  0.0830698  ,  2.13106e-15,  0.231752   ])
36880   , -393.786    , array([ 2.85357    ,  0.0830698  ,  2.13106e-15,  0.231752   ])
36881   , -393.786    , array([ 2.85643    ,  0.0830698  ,  2.13106e-15,  0.231752   ])
36882   , -393.747    , array([ 2.85357    ,  0.083153   ,  2.13106e-15,  0.231752   ])
36883   , -393.786    , array([ 2.85357    ,  0.0830698  ,  2.13319e-15,  0.231752   ])
36884   , -393.863    , array([ 2.85357    ,  0.0830698  ,  2.13106e-15,  0.231983   ])
36885   , -393.76     , array([ 2.85357    ,  0.078637   ,  2.13106e-15,  0.224241   ])
36886   , -393.76     , array([ 2.85357    ,  0.078637   ,  2.13106e-15,  0.224241   ])
36887   , -393.76     , array([ 2.85643    ,  0.078637   ,  2.13106e-15,  0.224241   ])
36888   , -393.715    , array([ 2.85357    ,  0.0787157  ,  2.13106e-15,  0.224241   ])
36889   , -393.76     , array([ 2.85357    ,  0.078637   ,  2.13319e-15,  0.224241   ])
36890   , -393.847    , array([ 2.85357    ,  0.078637   ,  2.13106e-15,  0.224465   ])
36891   , -393.743    , array([ 2.85357    ,  0.0778166  ,  2.13106e-15,  0.222779   ])
36892   , -393.743    , array([ 2.85357    ,  0.0778166  ,  2.13106e-15,  0.222779   ])
36893   , -393.743    , array([ 2.85643    ,  0.0778166  ,  2.13106e-15,  0.222779   ])
36894   , -393.697    , array([ 2.85357    ,  0.0778945  ,  2.13106e-15,  0.222779   ])
36895   , -393.743    , array([ 2.85357    ,  0.0778166  ,  2.13319e-15,  0.222779   ])
36896   , -393.829    , array([ 2.85357    ,  0.0778166  ,  2.13106e-15,  0.223002   ])
